# c0 + a0 * (face-area-max + Na-Na-avg)
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.74791750702593; Max AE: 2.80785493218668
# Coefficients
# Task   a0                      c0
# all , -3.666247025532199e-01, -6.400262835910351e-16, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         31|24|add; (face-area-max + Na-Na-avg); $\left(face-area-max + Na-Na-avg\right)$; (face_sub_area_sub_max + Na_sub_Na_sub_avg); (newdata$face_sub_area_sub_max + newdata$Na_sub_Na_sub_avg); face-area-max,Na-Na-avg
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          ,  6.774572406644881e-01,  4.406910421264084e-01, -1.202022228882511e+00
s2          ,  1.967875961713064e+00,  3.524707677038977e-01, -9.613939411317574e-01
s3          , -1.271285198486554e+00, -5.994460664776244e-01,  1.635040034954020e+00
s4          , -1.922048452937919e-01, -7.279149916662193e-01,  1.985449934488670e+00
s5          ,  2.455067115358116e-01, -2.479372441113460e-01,  6.762698813928238e-01
s6          ,  1.771859120156342e-01,  5.947553523743134e-01, -1.622245714029535e+00
s7          , -1.787554844087500e-01,  6.399687280105242e-01, -1.745569034365942e+00
s8          ,  1.258527874893824e+00, -5.405147865067318e-01,  1.474299965993887e+00
s9          ,  1.207996528852184e+00,  9.119086038705607e-01, -2.487308131503188e+00
s10         , -3.778119871449525e-01,  3.509243255707010e-01, -9.571758889317090e-01
s11         ,  2.051916464504998e-01, -7.850212810777306e-01,  2.141212186769589e+00
s12         , -9.030892502610828e-01, -5.714700270097808e-01,  1.558733012342027e+00
s13         , -1.915336013610816e+00, -8.741971263073260e-01,  2.384446875017717e+00
s14         , -4.972857440368104e-01, -3.966527697228677e-01,  1.081904102370975e+00
s15         ,  9.892906044607525e-01,  6.865747668655252e-01, -1.872690961858636e+00
s16         ,  7.196956197004112e-01,  8.846157409422805e-01, -2.412864530899602e+00
s17         , -8.233048349290432e-01, -4.849188143271824e-01,  1.322657232178157e+00
s18         ,  6.436893120625885e-01, -3.273810903591420e-01,  8.929597162417556e-01
s19         ,  6.782210382119217e-01,  5.063810699541481e-01, -1.381197356391013e+00
s20         ,  1.358387811126361e-01, -6.541712998171091e-01,  1.784307754664043e+00
s21         ,  1.192439177417436e+00,  7.745291284807587e-01, -2.112593949853467e+00
s22         , -1.675888320916539e+00, -1.078744129292490e+00,  2.942366190221175e+00
s23         ,  1.682267394333138e+00,  9.250967376814583e-01, -2.523279886049605e+00
s24         , -5.344901610254714e-02,  2.945758065521140e-01, -8.034805197267185e-01
s25         ,  7.630444568978921e-01,  1.364481416612279e+00, -3.721738898415361e+00
s26         , -7.690353008448224e-01, -1.592500271774075e+00,  4.343679683021099e+00
s27         ,  1.318355805735755e-01,  1.826259302442039e-01, -4.981277283619322e-01
s28         , -1.557515501210242e+00, -8.178690590844674e-01,  2.230807289821786e+00
s29         ,  1.315402392066626e+00,  1.334114236673448e+00, -3.638909837178214e+00
s30         , -1.602536800620832e+00, -5.095867920419794e-01,  1.389941235528193e+00
s31         , -6.577868421803237e-01, -1.307238177881589e-01,  3.565603105240355e-01
s32         ,  1.122204297021453e+00,  5.871238449572104e-01, -1.601430129689592e+00
s33         ,  1.732999170998263e+00,  1.010257905886044e+00, -2.755564201894972e+00
s34         ,  1.815120104294483e+00,  7.872727933394670e-01, -2.147353377600588e+00
s35         ,  5.934117724273273e-01,  1.104103108878203e+00, -3.011534959835202e+00
s36         ,  9.702627198604922e-01, -2.516450490447979e-01,  6.863832341146408e-01
s37         ,  1.142962175227537e+00, -6.480235518245286e-02,  1.767539250114916e-01
s38         ,  2.376281988155590e-01,  9.759699530485746e-01, -2.662040899731522e+00
s39         , -9.901628269429661e-01,  2.476629851409799e-01, -6.755218167685506e-01
s40         , -6.175077579414835e-01,  3.852148868149979e-01, -1.050706305746215e+00
s41         , -6.558266813617913e-01, -9.945003261038179e-02,  2.712584065334354e-01
s42         , -1.132806252875512e-01, -7.299481473733153e-01,  1.990995539279992e+00
s43         ,  3.987508132795206e-01,  5.510458324032317e-01, -1.503024287686238e+00
s44         , -1.257042213831158e-02, -3.143445632563368e-01,  8.574014818619737e-01
s45         , -2.453536714432208e-01,  2.050508877233514e-02, -5.592937036030524e-02
s46         ,  4.319604697532171e-01, -5.873094966669083e-01,  1.601936510488277e+00
s47         , -5.858250576994644e-01, -9.311037237855101e-02,  2.539664450598069e-01
s48         , -1.351740028810569e+00, -9.202759537266574e-01,  2.510130788563184e+00
s49         ,  1.400180920836999e+00,  2.450156411774935e-01, -6.683009613677824e-01
s50         ,  6.339509690024699e-01, -3.243429350679345e-01,  8.846728897675729e-01
s51         ,  9.663578673416963e-01,  8.266057019138909e-01, -2.254637224816841e+00
s52         ,  1.470345916377529e-01, -2.508850364816709e-01,  6.843102353291409e-01
s53         , -1.879048126514940e+00,  9.079802529103706e-02, -2.476593220770695e-01
s54         ,  2.462378298792407e+00,  1.216400346940428e+00, -3.317835209873382e+00
s55         ,  2.147693442064033e-01, -3.661999476570273e-01,  9.988414449620138e-01
s56         ,  1.250856345991485e+00,  1.464435679708148e+00, -3.994372636403485e+00
s57         ,  3.470878239384724e-01,  5.040045340314991e-01, -1.374715152911273e+00
s58         ,  2.650904256602346e+00,  9.026460561593208e-01, -2.462043746297460e+00
s59         ,  2.436955679659398e-02, -4.152667734624935e-02,  1.132675377765104e-01
s60         , -1.350996154759193e+00, -7.941696783656785e-01,  2.166165217005242e+00
s61         , -1.175408395594881e+00, -1.116329966149118e+00,  3.044884751013386e+00
s62         ,  5.137509822735411e-02,  2.490153845666032e-01, -6.792106010108698e-01
s63         ,  1.630781368412474e+00,  9.005051382352185e-01, -2.456204210911021e+00
s64         , -7.346563779561160e-02,  1.130256723743049e+00, -3.082871164631849e+00
s65         ,  6.477994742971300e-01,  5.457005011178173e-01, -1.488444442825298e+00
s66         ,  1.102507059534665e+00,  4.932273842102940e-01, -1.345319561871849e+00
s67         , -2.689254974131806e-01, -7.577219831460059e-01,  2.066751034147823e+00
s68         ,  1.634793292022643e+00,  8.310015022145441e-01, -2.266627143308531e+00
s69         ,  3.008420412735001e-01,  7.526603117964049e-01, -2.052944895842495e+00
s70         ,  4.428344099007711e-01,  5.903731718745069e-01, -1.610292944700877e+00
s71         , -2.587880550234565e-02, -7.863933616308074e-01,  2.144954652957823e+00
s72         ,  3.320850724266520e-01,  9.145780506570694e-01, -2.494589274230119e+00
s73         , -1.001377721869568e+00, -1.285425151705575e-01,  3.506106224577091e-01
s74         ,  1.535377236435878e+00,  1.405507231554465e+00, -3.833640291465192e+00
s75         ,  2.223324131252060e-01,  4.576754622770854e-01, -1.248348676697935e+00
s76         , -5.720277382811451e-01, -3.077418980084655e-01,  8.393921518798709e-01
s77         , -1.197863875151751e+00, -1.638019179912807e-01,  4.467836369195616e-01
s78         , -1.436625202734527e+00, -4.164894505581014e-01,  1.136010333339834e+00
s79         ,  4.409066269069510e-01,  5.268047070126355e-01, -1.436904560287135e+00
s80         ,  6.309139277294877e-01,  2.012897225366199e-01, -5.490348062605002e-01
s81         , -1.685326208098238e+00, -1.600319282458945e-01,  4.365006698441531e-01
s82         , -1.663665661245248e-01, -2.253590804348047e-01,  6.146860232422297e-01
s83         , -1.321966357459876e+00, -3.189962357104311e-01,  8.700893133738702e-01
s84         ,  1.425519064192979e+00, -5.468783942319322e-02,  1.491657246288635e-01
s85         , -6.984731689207797e-01, -5.315951716431869e-01,  1.449970959242767e+00
s86         , -2.932580333118892e-01,  1.439812028008769e-01, -3.927209536023475e-01
s87         ,  3.346071912195332e-02, -4.078004427295585e-01,  1.112310326853551e+00
s88         , -7.344698336486584e-02,  2.482543015384788e-02, -6.771346824412305e-02
s89         ,  2.903456543575506e-01,  2.290861093599970e-01, -6.248518110335000e-01
s90         ,  3.160753830639384e-01,  3.250039850862615e-02, -8.864759598109451e-02
s91         ,  4.911838748491691e-01,  1.266369893849758e+00, -3.454131391121769e+00
s92         , -8.899315452749766e-01, -7.691336338071519e-01,  2.097877280092720e+00
s93         ,  8.806558878772816e-01,  1.291092651663281e-01, -3.521564811841532e-01
s94         ,  2.174850994919374e-01,  2.918186116120161e-01, -7.959600364616890e-01
s95         , -7.665153489308596e-01, -1.194662296351586e+00,  3.258542831489011e+00
s96         ,  5.275622810365227e-01,  9.698328292842076e-02, -2.645301373666799e-01
s97         ,  2.030602111680012e+00,  1.090711404315223e+00, -2.975007948780794e+00
s98         , -9.469867286116608e-01, -1.039401199689993e-01,  2.835055009800124e-01
s99         , -9.198822372946847e-01, -1.089667225189637e+00,  2.972159861572497e+00
s100        , -4.843791818667552e-01, -2.576961595934984e-02,  7.028881518317343e-02
s101        , -2.042448773263304e-01, -8.834917384493865e-02,  2.409798718680531e-01
s102        , -5.164158759195604e-01, -1.409702332135014e+00,  3.845082784432341e+00
s103        ,  1.172650799800636e-01,  8.424879610923626e-01, -2.297957435015078e+00
s104        , -1.768695959917696e+00, -9.534591415216220e-01,  2.600640750286638e+00
s105        ,  5.247327840013729e-01,  7.027157203001096e-02, -1.916716782601708e-01
s106        ,  5.297962102782023e-01,  1.136537280894093e+00, -3.100001917435205e+00
s107        ,  1.497385912477807e-01, -4.117950331752350e-01,  1.123205911405976e+00
s108        ,  4.406641357796892e-01,  6.650463896632798e-01, -1.813970485435965e+00
s109        , -6.596772585897818e-01, -5.763364530017052e-01,  1.572006602359378e+00
s110        ,  1.094420195469492e+00, -7.470694591648109e-01,  2.037695370666859e+00
s111        ,  3.915962330096325e-01,  7.156539905582180e-01, -1.952007013096269e+00
s112        ,  8.365523515867513e-01,  8.735253327658361e-01, -2.382614501102894e+00
s113        , -1.291655352083360e-01,  2.630704080464248e-01, -7.175468707219415e-01
s114        ,  1.376602311009741e+00,  6.216451856319849e-01, -1.695590016992231e+00
s115        ,  2.854337653329592e+00,  8.187948531107345e-01, -2.233332471621651e+00
s116        , -4.031277243707178e-01,  1.459931645314649e-01, -3.982087500235283e-01
s117        , -1.548008576871541e+00, -6.442843452396128e-01,  1.757340246722973e+00
