# c0 + a0 * (face-area-count + face-area-max)
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.747981720491658; Max AE: 2.73961350262651
# Coefficients
# Task   a0                      c0
# all , -6.124074877914021e-02,  1.884967822663964e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         34|31|add; (face-area-count + face-area-max); $\left(face-area-count + face-area-max\right)$; (face_sub_area_sub_count + face_sub_area_sub_max); (newdata$face_sub_area_sub_count + newdata$face_sub_area_sub_max); face-area-count,face-area-max
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          ,  6.774572406644881e-01,  4.117569359066324e-01,  2.405605607583844e+01
s2          ,  1.967875961713064e+00,  1.315416323314458e-01,  2.863169091312237e+01
s3          , -1.271285198486554e+00, -5.965106918081884e-01,  4.052005509307869e+01
s4          , -1.922048452937919e-01, -6.070276445643490e-01,  4.069178638255212e+01
s5          ,  2.455067115358116e-01, -3.282178530384599e-01,  3.613910214723367e+01
s6          ,  1.771859120156342e-01,  4.757324685264237e-01,  2.301139979884690e+01
s7          , -1.787554844087500e-01,  4.442814500597470e-01,  2.352496338344810e+01
s8          ,  1.258527874893824e+00, -4.272864771724016e-01,  3.775679340850850e+01
s9          ,  1.207996528852184e+00,  8.857763334171641e-01,  1.631579477988264e+01
s10         , -3.778119871449525e-01,  8.190111829412983e-03,  3.064589751511690e+01
s11         ,  2.051916464504998e-01, -4.657499283641564e-01,  3.838486298568611e+01
s12         , -9.030892502610828e-01, -4.784826910672844e-01,  3.859277622902426e+01
s13         , -1.915336013610816e+00, -4.958499803663248e-01,  3.887636664300946e+01
s14         , -4.972857440368104e-01, -7.614736372268314e-01,  4.321373452560111e+01
s15         ,  9.892906044607525e-01,  3.369769785987078e-01,  2.527713777060368e+01
s16         ,  7.196956197004112e-01,  7.599281852911204e-01,  1.837076880673370e+01
s17         , -8.233048349290432e-01, -4.603006559301654e-01,  3.829588183273444e+01
s18         ,  6.436893120625885e-01, -2.000036212991332e-01,  3.404549234827905e+01
s19         ,  6.782210382119217e-01,  1.040801620248915e+00,  1.378438734411080e+01
s20         ,  1.358387811126361e-01, -7.585116966302028e-01,  4.316536900663415e+01
s21         ,  1.192439177417436e+00,  7.530829584413934e-01,  1.848254449508156e+01
s22         , -1.675888320916539e+00, -1.184379323227608e+00,  5.011936018223623e+01
s23         ,  1.682267394333138e+00,  9.143746888294018e-01,  1.584881232159534e+01
s24         , -5.344901610254714e-02, -9.933769385290314e-02,  3.240171872609044e+01
s25         ,  7.630444568978921e-01,  1.595414739364536e+00,  4.728111413916208e+00
s26         , -7.690353008448224e-01, -1.271147957503330e+00,  5.153620494663724e+01
s27         ,  1.318355805735755e-01, -4.321632203571224e-02,  3.148531301688547e+01
s28         , -1.557515501210242e+00, -6.944664429170655e-01,  4.211957425412204e+01
s29         ,  1.315402392066626e+00,  1.555555072354776e+00,  5.378979794926888e+00
s30         , -1.602536800620832e+00, -4.750759317289188e-01,  3.853714726618038e+01
s31         , -6.577868421803237e-01, -6.932385725014467e-02,  3.191162287976104e+01
s32         ,  1.122204297021453e+00,  2.620701665352234e-01,  2.650029087628549e+01
s33         ,  1.732999170998263e+00,  1.096083041464294e+00,  1.288169718572056e+01
s34         ,  1.815120104294483e+00,  5.808075787894440e-01,  2.129562864389311e+01
s35         ,  5.934117724273273e-01,  1.065272320143706e+00,  1.338480536017650e+01
s36         ,  9.702627198604922e-01, -6.807342546225059e-02,  3.189120458291096e+01
s37         ,  1.142962175227537e+00,  5.059219027786122e-02,  2.995351410547950e+01
s38         ,  2.376281988155590e-01,  1.083811602275784e+00,  1.308207747879577e+01
s39         , -9.901628269429661e-01,  5.198377023248570e-01,  2.229120557069506e+01
s40         , -6.175077579414835e-01,  2.360320464575747e-01,  2.692546725960426e+01
s41         , -6.558266813617913e-01, -2.943254852520663e-01,  3.558567377703815e+01
s42         , -1.132806252875512e-01, -5.158890288025115e-01,  3.920358420379495e+01
s43         ,  3.987508132795206e-01,  7.055358832410257e-01,  1.925894054098627e+01
s44         , -1.257042213831158e-02, -2.177580541337263e-01,  3.433540442787531e+01
s45         , -2.453536714432208e-01, -1.820422693181256e-01,  3.375220148657218e+01
s46         ,  4.319604697532171e-01, -3.817848710046592e-01,  3.701379782019784e+01
s47         , -5.858250576994644e-01, -1.901151877622054e-02,  3.109007285829786e+01
s48         , -1.351740028810569e+00, -1.208411817142758e+00,  5.051178670206572e+01
s49         ,  1.400180920836999e+00, -4.737848832101799e-02,  3.155327701746156e+01
s50         ,  6.339509690024699e-01, -4.167618258200934e-01,  3.758493640868205e+01
s51         ,  9.663578673416963e-01,  8.811015324572005e-01,  1.639212959049743e+01
s52         ,  1.470345916377529e-01,  5.073550918790404e-02,  2.995117385143461e+01
s53         , -1.879048126514940e+00,  6.077565918873629e-02,  2.978722827269844e+01
s54         ,  2.462378298792407e+00,  1.305515588614495e+00,  9.461873762177806e+00
s55         ,  2.147693442064033e-01, -3.844116389942416e-01,  3.705669030668679e+01
s56         ,  1.250856345991485e+00,  1.507111571496669e+00,  6.170013572662265e+00
s57         ,  3.470878239384724e-01,  9.439353002025411e-01,  1.536611718865784e+01
s58         ,  2.650904256602346e+00,  9.321139889347460e-01,  1.555914734428882e+01
s59         ,  2.436955679659398e-02, -1.780329369174711e-01,  3.368673311003234e+01
s60         , -1.350996154759193e+00, -8.017440649246672e-01,  4.387131021663435e+01
s61         , -1.175408395594881e+00, -5.787445746921192e-01,  4.022995222088583e+01
s62         ,  5.137509822735411e-02, -1.255596447428031e-01,  3.282989688218169e+01
s63         ,  1.630781368412474e+00,  7.044938917192942e-01,  1.927595521736603e+01
s64         , -7.346563779561160e-02,  1.222247537990216e+00,  1.082155750681290e+01
s65         ,  6.477994742971300e-01,  5.755180310068990e-01,  2.138200165349855e+01
s66         ,  1.102507059534665e+00,  2.744695093865570e-01,  2.629782204469019e+01
s67         , -2.689254974131806e-01,  9.441521612109227e-02,  2.923792805016729e+01
s68         ,  1.634793292022643e+00,  8.930108324481176e-01,  1.619766266727500e+01
s69         ,  3.008420412735001e-01,  7.589516451601643e-01,  1.838671472755315e+01
s70         ,  4.428344099007711e-01,  3.783606577939491e-01,  2.460138379926528e+01
s71         , -2.587880550234565e-02, -4.712980851649538e-01,  3.847545882116170e+01
s72         ,  3.320850724266520e-01,  7.788366852270947e-01,  1.806201196895945e+01
s73         , -1.001377721869568e+00, -2.960221741904667e-02,  3.126300834412969e+01
s74         ,  1.535377236435878e+00,  1.537137335419021e+00,  5.679722965167619e+00
s75         ,  2.223324131252060e-01,  3.887218775754331e-01,  2.443219547306028e+01
s76         , -5.720277382811451e-01, -5.043907190468584e-01,  3.901582833887042e+01
s77         , -1.197863875151751e+00, -5.805854290622632e-01,  4.026001152628040e+01
s78         , -1.436625202734527e+00, -6.651885891354472e-01,  4.164149626903393e+01
s79         ,  4.409066269069510e-01,  6.339358928462926e-01,  2.042809656572647e+01
s80         ,  6.309139277294877e-01,  1.793062718582870e-01,  2.785174225999436e+01
s81         , -1.685326208098238e+00, -3.525117451551867e-01,  3.653579703749932e+01
s82         , -1.663665661245248e-01, -3.744880905887338e-01,  3.689464871504498e+01
s83         , -1.321966357459876e+00, -6.851349181855717e-01,  4.196719981524724e+01
s84         ,  1.425519064192979e+00, -2.116384632226813e-01,  3.423547764655664e+01
s85         , -6.984731689207797e-01, -4.036076867943139e-01,  3.737014251265673e+01
s86         , -2.932580333118892e-01,  2.409682166607463e-02,  3.038615689871738e+01
s87         ,  3.346071912195332e-02, -2.809350836736493e-01,  3.536702195051152e+01
s88         , -7.344698336486584e-02, -2.302937710169655e-01,  3.454010011062159e+01
s89         ,  2.903456543575506e-01,  1.940145438472927e-01,  2.761157093155339e+01
s90         ,  3.160753830639384e-01, -1.329762009571196e-01,  3.295100180598110e+01
s91         ,  4.911838748491691e-01,  1.276558003337874e+00,  9.934722083824790e+00
s92         , -8.899315452749766e-01, -8.286229613453915e-01,  4.431021563429442e+01
s93         ,  8.806558878772816e-01,  1.592465443247602e-01,  2.817929748969722e+01
s94         ,  2.174850994919374e-01,  1.537035395323827e-01,  2.826980919804305e+01
s95         , -7.665153489308596e-01, -9.052462395878771e-01,  4.556139691097707e+01
s96         ,  5.275622810365227e-01, -9.816427085463797e-02,  3.238255790553129e+01
s97         ,  2.030602111680012e+00,  1.064058049995765e+00,  1.340463317371809e+01
s98         , -9.469867286116608e-01, -3.683301231361780e-01,  3.679409528329705e+01
s99         , -9.198822372946847e-01, -8.647656114648301e-01,  4.490038885784178e+01
s100        , -4.843791818667552e-01, -1.275867517476392e-01,  3.286299750627998e+01
s101        , -2.042448773263304e-01,  3.434623795057292e-01,  2.517123767897661e+01
s102        , -5.164158759195604e-01, -1.132197270021098e+00,  4.926727959460820e+01
s103        ,  1.172650799800636e-01,  6.665050068803862e-01,  1.989627560201567e+01
s104        , -1.768695959917696e+00, -1.145953078669993e+00,  4.949189815207399e+01
s105        ,  5.247327840013729e-01,  5.061690117862372e-02,  2.995311060125633e+01
s106        ,  5.297962102782023e-01,  1.155634255292494e+00,  1.190928559678055e+01
s107        ,  1.497385912477807e-01, -7.046765358019802e-01,  4.228629482969398e+01
s108        ,  4.406641357796892e-01,  7.863541242634489e-01,  1.793925972986673e+01
s109        , -6.596772585897818e-01, -3.579644928716750e-01,  3.662483493832828e+01
s110        ,  1.094420195469492e+00, -1.035888727619361e-01,  3.247113621352783e+01
s111        ,  3.915962330096325e-01,  7.622796366032401e-01,  1.833237196543119e+01
s112        ,  8.365523515867513e-01,  1.024913789934628e+00,  1.404381967684705e+01
s113        , -1.291655352083360e-01,  2.035915442163176e-01,  2.745518812174217e+01
s114        ,  1.376602311009741e+00,  7.413375630660772e-01,  1.867433502033583e+01
s115        ,  2.854337653329592e+00,  6.889856270395704e-01,  1.952918962401336e+01
s116        , -4.031277243707178e-01,  2.975332185378361e-01,  2.592121480831468e+01
s117        , -1.548008576871541e+00, -6.696532375476609e-01,  4.171439949933758e+01
s118        , -1.376296935489929e+00, -6.990747678490923e-01,  4.219482357787943e+01
s119        ,  1.159776550977451e-01, -3.709617653602035e-01,  3.683706736114535e+01
s120        , -1.608916416404318e-01,  5.534201537669958e-01,  2.174283782353947e+01
s121        ,  3.197271174130288e-01,  4.976678934926901e-01,  2.265321631148663e+01
s122        , -1.530552753436365e+00, -3.914226548880908e-01,  3.717117316383038e+01
s123        , -1.233881263109963e+00, -7.900787331366002e-01,  4.368082704945203e+01
s124        , -5.427146006639549e-01, -2.997536223481365e-01,  3.567430981112137e+01
s125        ,  9.732454451545892e-01, -5.847752484373316e-01,  4.032842707407487e+01
s126        , -1.840471966312826e-01, -4.267259867206175e-01,  3.774764116163109e+01
s127        , -1.081994746251625e+00, -1.010474445892225e+00,  4.727966797072268e+01
s128        ,  4.539347974729817e-01,  1.048484135625881e+00,  1.365893957395579e+01
s129        , -9.281932508350823e-01, -5.786541354104009e-01,  4.022847543813054e+01
s130        , -7.213314288938637e-01,  7.312541096640386e-01,  1.883898770017820e+01
s131        , -2.205996399193568e-01, -1.828385853395367e-01,  3.376520452845665e+01
s132        , -1.239159936584262e+00, -5.514065018748617e-01,  3.978354891324749e+01
s133        , -3.218370754810609e-01, -1.220506902512031e-01,  3.277259917499240e+01
s134        , -1.004593496203065e+00, -3.416808956121740e-01,  3.635894012835091e+01
s135        ,  9.616883013837799e-01, -4.178541960530979e-02,  3.146194781546439e+01
s136        ,  1.177397001560173e+00,  7.375945514184934e-01,  1.873545464611119e+01
s137        , -1.190015539084228e+00, -3.397100343518407e-01,  3.632675794084303e+01
s138        ,  2.514478411301381e-01, -1.225287977890690e-01,  3.278040619151975e+01
s139        , -1.987650229798378e-01, -6.314160773820721e-02,  3.181067294633953e+01
s140        , -1.883191692860165e-02, -1.158999503581959e-01,  3.267216376204229e+01
s141        ,  4.763479271249645e-01,  5.408205319347341e-01,  2.194857701000339e+01
s142        , -1.264849480226228e+00, -9.262475697257595e-01,  4.590432756673410e+01
s143        ,  5.343202969822767e-02,  1.109188240482492e+00,  1.266770243092975e+01
s144        ,  1.580293395785219e-01,  7.429772715746992e-01,  1.864756022510047e+01
s145        ,  9.188749641933951e-01,  4.191153591794785e-01,  2.393590040466297e+01
s146        ,  8.965084025411504e-01,  8.489603472162344e-01,  1.691696290625065e+01
s147        ,  6.848734553557309e-01,  3.851111258898556e-01,  2.449115542631949e+01
s148        ,  2.946101194283517e-01,  3.531061234186561e-03,  3.072197513807394e+01
s149        , -1.049624548293927e+00, -4.110826457593815e-01,  3.749220109479499e+01
s150        ,  3.591106519707902e-01,  7.319869198672078e-01,  1.882702164460608e+01
s151        , -1.331621263631160e-02, -1.537971522629000e-02,  3.103076914920984e+01
s152        ,  6.334057303004040e-01, -4.587770132719258e-01,  3.827100227641591e+01
s153        ,  1.034338109925286e+00,  4.451908419938366e-01,  2.351011392533044e+01
s154        , -3.383324211856339e-02, -2.745530246552228e-01,  3.526280932826807e+01
s155        ,  1.136039203602913e+00, -3.602069212359553e-01,  3.666145154424810e+01
s156        , -1.392262169733223e+00, -8.760050397812216e-01,  4.508391744853432e+01
s157        , -5.253740885024729e-01, -8.819570013679834e-02,  3.221978114468875e+01
s158        ,  3.989423304234662e-01,  5.017590326753703e-01,  2.258641211225265e+01
s159        ,  5.765884380454731e-01,  3.348847008586038e-01,  2.531130256743936e+01
s160        , -8.116051377987673e-01, -7.712555688591491e-01,  4.337346365738550e+01
s161        , -3.068617279191663e-01,  3.833865928842008e-01,  2.451931532050815e+01
s162        ,  7.336330388262123e-01, -4.496368334969456e-01,  3.812175230875233e+01
s163        ,  5.366582957206302e-01, -2.367845876577497e-01,  3.464608863574875e+01
s164        ,  1.442528357282191e+00,  1.261081462937431e+00,  1.018743846481251e+01
s165        , -1.062713736405366e-01,  5.543240990016138e-01,  2.172807730456087e+01
s166        , -8.326065002207602e-01, -1.750473098014305e-02,  3.106546852497216e+01
s167        ,  3.946237056414994e-01, -7.749113787854545e-02,  3.204498638022795e+01
s168        ,  2.235679947771067e+00,  1.236960112739698e+00,  1.058131591860925e+01
s169        ,  1.625062009748738e+00,  1.016756363699512e+00,  1.417702226495607e+01
s170        ,  1.327620092596634e-01, -3.994035653594104e-01,  3.730149342657084e+01
s171        ,  5.954984467350797e-01,  6.153471509052029e-01,  2.073163207617766e+01
s172        ,  5.199772380778387e-01,  1.889746370430887e-01,  2.769386755438503e+01
s173        ,  6.222838143288127e-01,  5.789551057033335e-01,  2.132587767126525e+01
s174        ,  1.054103529053623e+00,  2.989076318779826e-01,  2.589877201707606e+01
