# c0 + a0 * (Ge - SBI) + a1 * (face-area-count + Na-Na-max)
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.688285710448547; Max AE: 2.42275231271345
# Coefficients
# Task   a0                      a1                      c0
# all ,  2.685755463994177e+00, -8.483230715028224e-02,  3.069479789252949e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         18|5|sub; (Ge - SBI); $\left(Ge - SBI\right)$; (Ge - SBI); (newdata$Ge - newdata$SBI); Ge,SBI
# 1;  1; Unitless;                                         34|23|add; (face-area-count + Na-Na-max); $\left(face-area-count + Na-Na-max\right)$; (face_sub_area_sub_count + Na_sub_Na_sub_max); (newdata$face_sub_area_sub_count + newdata$Na_sub_Na_sub_max); face-area-count,Na-Na-max
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          ,  6.774572406644881e-01,  3.130276006898134e-01, -2.516773041770550e-01,  2.452495474419457e+01
s2          ,  1.967875961713064e+00,  2.657461069842832e-01, -1.431561915293291e-01,  2.851804035434776e+01
s3          , -1.271285198486554e+00, -7.741097482771200e-01, -1.710259048075695e-01,  3.989347800258820e+01
s4          , -1.922048452937919e-01, -7.444796348307148e-01, -9.680956800127805e-02,  4.189385762621559e+01
s5          ,  2.455067115358116e-01, -3.182024914511681e-01, -1.655160589349337e-01,  3.469370007616308e+01
s6          ,  1.771859120156342e-01,  2.326817404695185e-01, -3.233661538382711e-01,  2.320242959742447e+01
s7          , -1.787554844087500e-01,  2.792485956510582e-01, -2.770221991405241e-01,  2.412073156265368e+01
s8          ,  1.258527874893824e+00,  2.443190050500688e-01,  2.136528878719768e-01,  4.006704885653777e+01
s9          ,  1.207996528852184e+00,  1.148946909722559e+00, -2.051343479720743e-01,  1.614470040506203e+01
s10         , -3.778119871449525e-01,  5.878292161766092e-01,  3.200468683005618e-02,  3.026685730773553e+01
s11         ,  2.051916464504998e-01, -1.071942117633447e+00, -2.711932285111195e-01,  4.023305891667098e+01
s12         , -9.030892502610828e-01, -8.958089886044371e-01, -2.340284304589662e-01,  3.933343031813481e+01
s13         , -1.915336013610816e+00, -4.918702054796893e-01, -8.466054159187654e-02,  3.930074042028995e+01
s14         , -4.972857440368104e-01, -2.826062069987998e-01,  1.367958411691423e-01,  4.384516110748118e+01
s15         ,  9.892906044607525e-01,  4.339287852726130e-01, -1.786086666829044e-01,  2.541309878205803e+01
s16         ,  7.196956197004112e-01,  6.427874078455686e-01, -3.233661538382711e-01,  1.836811963754634e+01
s17         , -8.233048349290432e-01, -9.514137974525072e-01, -2.994485549334896e-01,  3.791772382671752e+01
s18         ,  6.436893120625885e-01, -5.330580282961117e-01, -2.578545817902791e-01,  3.430300982424952e+01
s19         ,  6.782210382119217e-01,  1.113887188765357e+00, -3.167436441549860e-01,  1.302447928895253e+01
s20         ,  1.358387811126361e-01, -9.116943452789963e-01, -8.850733749321589e-02,  4.412782340841368e+01
s21         ,  1.192439177417436e+00,  5.345252905934541e-01, -3.581990065132454e-01,  1.854151575687785e+01
s22         , -1.675888320916539e+00, -1.252230260561038e+00, -7.056713486347356e-02,  4.871002711803825e+01
s23         ,  1.682267394333138e+00,  1.015167253515135e+00, -2.498276820302972e-01,  1.630671757184834e+01
s24         , -5.344901610254714e-02,  1.976747747389078e-01, -3.459475886219759e-02,  3.275747230299261e+01
s25         ,  7.630444568978921e-01,  1.437427934205145e+00, -4.455131661377713e-01,  5.133803965043874e+00
s26         , -7.690353008448224e-01, -1.424300187954802e+00, -1.071322881154807e-01,  4.958074335500854e+01
s27         ,  1.318355805735755e-01,  8.090315557501970e-02, -1.169018300097772e-01,  3.152816414906797e+01
s28         , -1.557515501210242e+00, -9.203955811349607e-01, -1.333668470045617e-01,  4.281015988279236e+01
s29         ,  1.315402392066626e+00,  1.625501374169801e+00, -3.589141056063042e-01,  5.658491569680672e+00
s30         , -1.602536800620832e+00, -5.271604622823634e-01, -1.054367765467256e-01,  3.905897368733755e+01
s31         , -6.577868421803237e-01, -9.463714014423852e-02, -2.177801474649559e-01,  3.040366099939489e+01
s32         ,  1.122204297021453e+00,  4.056985861218632e-02, -2.931446904414636e-01,  2.642383605783215e+01
s33         ,  1.732999170998263e+00,  1.117254561889642e+00, -3.126341148260656e-01,  1.311489080766462e+01
s34         ,  1.815120104294483e+00,  9.518615013641780e-01, -1.086070115455023e-01,  2.152395089252602e+01
s35         ,  5.934117724273273e-01,  9.578224381553733e-01, -3.564068729122373e-01,  1.360844333425176e+01
s36         ,  9.702627198604922e-01, -4.453576163005790e-01, -2.530416474644647e-01,  3.342157620722355e+01
s37         ,  1.142962175227537e+00, -1.841750308377925e-01, -2.191185732903392e-01,  3.141675623524212e+01
s38         ,  2.376281988155590e-01,  1.204508030333648e+00, -2.787260399366495e-01,  1.315986575991963e+01
s39         , -9.901628269429661e-01, -6.993288322094915e-02, -4.744559790352056e-01,  2.198619838372723e+01
s40         , -6.175077579414835e-01,  3.492200772792855e-01, -1.775069666309192e-01,  2.644652116407959e+01
s41         , -6.558266813617913e-01, -4.228621485458279e-01, -1.869027143303417e-01,  3.525033153057148e+01
s42         , -1.132806252875512e-01, -5.802741303471914e-01, -8.040472989721238e-02,  4.047757973698234e+01
