# c0 + a0 * (Ge * S) + a1 * (poly_dist_avg - SBI) + a2 * (pockets-per-volume + face-area-count)
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.657952997419471; Max AE: 2.34721853661355
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  8.799540254858789e+00,  2.659227673621705e+00, -7.152040273308966e-02,  2.161849828288568e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         18|10|mult; (Ge * S); $\left(Ge S\right)$; (Ge .* S); (newdata$Ge * newdata$S); Ge,S
# 1;  1; Unitless;                                         29|5|sub; (poly_dist_avg - SBI); $\left(poly_{dist, avg} - SBI\right)$; (poly_dist_avg - SBI); (newdata$poly_dist_avg - newdata$SBI); poly_dist_avg,SBI
# 2;  1; Unitless;                                         36|34|add; (pockets-per-volume + face-area-count); $\left(pockets-per-volume + face-area-count\right)$; (pockets_sub_per_sub_volume + face_sub_area_sub_count); (newdata$pockets_sub_per_sub_volume + newdata$face_sub_area_sub_count); pockets-per-volume,face-area-count
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
s1          ,  6.774572406644881e-01,  4.273582229938491e-01,  0.000000000000000e+00,  6.417673197130047e-02,  2.663788337525630e+01
s2          ,  1.967875961713064e+00,  5.814876032663849e-01,  0.000000000000000e+00,  1.762139112243052e-01,  2.864854021968480e+01
s3          , -1.271285198486554e+00, -9.275538189380352e-01,  0.000000000000000e+00, -9.363884935216206e-02,  3.971449431434900e+01
s4          , -1.922048452937919e-01, -7.571340567346487e-01,  0.000000000000000e+00,  1.920029984140204e-02,  4.152719699841941e+01
s5          ,  2.455067115358116e-01,  6.049222482728078e-02,  0.000000000000000e+00,  1.600279415129083e-01,  3.533129341448784e+01
s6          ,  1.771859120156342e-01,  5.059800118383220e-01,  0.000000000000000e+00,  5.454548565305867e-02,  2.518048853962593e+01
s7          , -1.787554844087500e-01,  2.654358863006241e-01,  0.000000000000000e+00, -3.783601111138252e-02,  2.510891026275293e+01
s8          ,  1.258527874893824e+00,  1.042061300655380e+00,  1.822916666666667e-01,  1.467242940128557e-02,  3.863077683169563e+01
s9          ,  1.207996528852184e+00,  1.318750860095473e+00,  0.000000000000000e+00,  1.292047585025767e-01,  1.659224210461170e+01
s10         , -3.778119871449525e-01,  4.490011005345869e-01,  5.078125000000000e-02, -1.646476650975018e-03,  3.013576465851754e+01
s11         ,  2.051916464504998e-01, -1.102107879635955e+00,  0.000000000000000e+00, -1.733606170862432e-01,  3.919094762250037e+01
s12         , -9.030892502610828e-01, -1.188129744708275e+00,  0.000000000000000e+00, -2.275982036434495e-01,  3.837707879868677e+01
s13         , -1.915336013610816e+00, -5.975798686256262e-01,  0.000000000000000e+00,  5.375670547540484e-03,  3.878228761029047e+01
s14         , -4.972857440368104e-01, -6.014861643421066e-02,  9.989258861439311e-02, -1.435766620032257e-02,  4.282452110258616e+01
s15         ,  9.892906044607525e-01,  1.946598688472985e-01,  3.961632479540865e-02, -1.921777951832675e-01,  2.523407061557405e+01
s16         ,  7.196956197004112e-01,  9.091283737720237e-01,  0.000000000000000e+00,  5.277935271314915e-02,  1.947799112717624e+01
s17         , -8.233048349290432e-01, -1.033929246157900e+00,  0.000000000000000e+00, -1.857006927403524e-01,  3.777885120955160e+01
s18         ,  6.436893120625885e-01, -3.802572219306848e-01,  0.000000000000000e+00, -4.303154910176671e-02,  3.394382960997833e+01
s19         ,  6.782210382119217e-01,  1.134803709037818e+00,  0.000000000000000e+00, -1.448627021405524e-02,  1.382156406891459e+01
s20         ,  1.358387811126361e-01, -8.670109327525677e-01,  0.000000000000000e+00,  1.541991098392556e-02,  4.292293803924665e+01
s21         ,  1.192439177417436e+00,  4.964937147711586e-01,  0.000000000000000e+00, -1.109021690684581e-01,  1.916155312464206e+01
s22         , -1.675888320916539e+00, -1.244289394655471e+00,  0.000000000000000e+00,  1.226778579962567e-02,  4.808085423217966e+01
s23         ,  1.682267394333138e+00,  1.182830030182908e+00,  0.000000000000000e+00,  9.352393369827960e-02,  1.716602792805679e+01
s24         , -5.344901610254714e-02, -1.095468138290321e-01,  0.000000000000000e+00,  1.751879948982424e-02,  3.241009599988077e+01
s25         ,  7.630444568978921e-01,  1.506406258130063e+00,  0.000000000000000e+00, -8.905669092553886e-02,  5.853176675897800e+00
s26         , -7.690353008448224e-01, -1.418962971970792e+00,  0.000000000000000e+00, -4.067710553836704e-02,  4.855457999151128e+01
s27         ,  1.318355805735755e-01, -1.025537942295469e-01,  0.000000000000000e+00, -1.633191659192222e-02,  3.105370290268286e+01
s28         , -1.557515501210242e+00, -9.791460238117624e-01,  0.000000000000000e+00, -4.623757767005020e-02,  4.219830273134875e+01
s29         ,  1.315402392066626e+00,  1.684160363584664e+00,  0.000000000000000e+00, -7.845193593381650e-03,  6.387370475251926e+00
s30         , -1.602536800620832e+00, -6.262786170920407e-01,  0.000000000000000e+00, -1.716300987071830e-02,  3.834553483716489e+01
