# c0 + a0 * (Ge * S) + a1 * (poly_dist_avg_fixed - SBI) + a2 * (face-area-count + Na-Na-max)
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.661243800661233; Max AE: 2.34879187097048
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  9.577685977681156e+00,  2.647018234087239e+00, -7.020186833940958e-02,  2.113419656445866e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         18|10|mult; (Ge * S); $\left(Ge S\right)$; (Ge .* S); (newdata$Ge * newdata$S); Ge,S
# 1;  1; Unitless;                                         30|5|sub; (poly_dist_avg_fixed - SBI); $\left(poly_{dist, avg, fixed} - SBI\right)$; (poly_dist_avg_fixed - SBI); (newdata$poly_dist_avg_fixed - newdata$SBI); poly_dist_avg_fixed,SBI
# 2;  1; Unitless;                                         34|23|add; (face-area-count + Na-Na-max); $\left(face-area-count + Na-Na-max\right)$; (face_sub_area_sub_count + Na_sub_Na_sub_max); (newdata$face_sub_area_sub_count + newdata$Na_sub_Na_sub_max); face-area-count,Na-Na-max
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
s1          ,  6.774572406644881e-01,  5.615989921961029e-01,  0.000000000000000e+00,  6.417673197130047e-02,  2.452495474419457e+01
s2          ,  1.967875961713064e+00,  5.778413783025416e-01,  0.000000000000000e+00,  1.762139112243052e-01,  2.851804035434776e+01
s3          , -1.271285198486554e+00, -9.261344735091366e-01,  0.000000000000000e+00, -9.027419476714434e-02,  3.989347800258820e+01
s4          , -1.922048452937919e-01, -7.767838770795570e-01,  0.000000000000000e+00,  1.920029984140204e-02,  4.189385762621559e+01
s5          ,  2.455067115358116e-01,  2.028329006617624e-01,  0.000000000000000e+00,  1.983272356832427e-01,  3.469370007616308e+01
s6          ,  1.771859120156342e-01,  6.289486438038441e-01,  0.000000000000000e+00,  5.454548565305867e-02,  2.320242959742447e+01
s7          , -1.787554844087500e-01,  3.199466237172541e-01,  0.000000000000000e+00, -3.783601111138252e-02,  2.412073156265368e+01
s8          ,  1.258527874893824e+00,  1.085408495715532e+00,  1.822916666666667e-01,  1.467242940128557e-02,  4.006704885653777e+01
s9          ,  1.207996528852184e+00,  1.322038875917648e+00,  0.000000000000000e+00,  1.292047585025767e-01,  1.614470040506203e+01
s10         , -3.778119871449525e-01,  4.706383370175113e-01,  5.078125000000000e-02, -1.646476650975018e-03,  3.026685730773553e+01
s11         ,  2.051916464504998e-01, -1.167484732113599e+00,  0.000000000000000e+00, -1.724462936149827e-01,  4.023305891667098e+01
s12         , -9.030892502610828e-01, -1.021014028056236e+00,  0.000000000000000e+00, -1.409712193009257e-01,  3.933343031813481e+01
s13         , -1.915336013610816e+00, -6.313362502208557e-01,  0.000000000000000e+00,  5.375670547540484e-03,  3.930074042028995e+01
s14         , -4.972857440368104e-01, -4.271471420615169e-02,  9.989258861439311e-02, -1.317028649891022e-02,  4.384516110748118e+01
