# c0 + a0 * (Ge * S) + a1 * (poly_dist_avg - SBI) + a2 * (face-area-count + Na-Na-max)
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.661562661266932; Max AE: 2.35566380874736
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  9.264531954768316e+00,  2.660836573276514e+00, -6.735628186276602e-02,  2.028324640808126e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         18|10|mult; (Ge * S); $\left(Ge S\right)$; (Ge .* S); (newdata$Ge * newdata$S); Ge,S
# 1;  1; Unitless;                                         29|5|sub; (poly_dist_avg - SBI); $\left(poly_{dist, avg} - SBI\right)$; (poly_dist_avg - SBI); (newdata$poly_dist_avg - newdata$SBI); poly_dist_avg,SBI
# 2;  1; Unitless;                                         34|23|add; (face-area-count + Na-Na-max); $\left(face-area-count + Na-Na-max\right)$; (face_sub_area_sub_count + Na_sub_Na_sub_max); (newdata$face_sub_area_sub_count + newdata$Na_sub_Na_sub_max); face-area-count,Na-Na-max
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
s1          ,  6.774572406644881e-01,  5.471786719691758e-01,  0.000000000000000e+00,  6.417673197130047e-02,  2.452495474419457e+01
s2          ,  1.967875961713064e+00,  5.763318962326744e-01,  0.000000000000000e+00,  1.762139112243052e-01,  2.851804035434776e+01
s3          , -1.271285198486554e+00, -9.079093830560239e-01,  0.000000000000000e+00, -9.363884935216206e-02,  3.989347800258820e+01
s4          , -1.922048452937919e-01, -7.424009817459636e-01,  0.000000000000000e+00,  1.920029984140204e-02,  4.189385762621559e+01
s5          ,  2.455067115358116e-01,  1.172941991395202e-01,  0.000000000000000e+00,  1.600279415129083e-01,  3.469370007616308e+01
s6          ,  1.771859120156342e-01,  6.106318760758067e-01,  0.000000000000000e+00,  5.454548565305867e-02,  2.320242959742447e+01
s7          , -1.787554844087500e-01,  3.029664047858442e-01,  0.000000000000000e+00, -3.783601111138252e-02,  2.412073156265368e+01
s8          ,  1.258527874893824e+00,  1.057445112309016e+00,  1.822916666666667e-01,  1.467242940128557e-02,  4.006704885653777e+01
s9          ,  1.207996528852184e+00,  1.284670396599871e+00,  0.000000000000000e+00,  1.292047585025767e-01,  1.614470040506203e+01
s10         , -3.778119871449525e-01,  4.557451769262904e-01,  5.078125000000000e-02, -1.646476650975018e-03,  3.026685730773553e+01
s11         ,  2.051916464504998e-01, -1.142908886093298e+00,  0.000000000000000e+00, -1.733606170862432e-01,  4.023305891667098e+01
s12         , -9.030892502610828e-01, -1.226630602596155e+00,  0.000000000000000e+00, -2.275982036434495e-01,  3.933343031813481e+01
s13         , -1.915336013610816e+00, -6.045233275575441e-01,  0.000000000000000e+00,  5.375670547540484e-03,  3.930074042028995e+01
s14         , -4.972857440368104e-01, -3.766771313590622e-02,  9.989258861439311e-02, -1.435766620032257e-02,  4.384516110748118e+01
s15         ,  9.892906044607525e-01,  1.722657972397723e-01,  3.961632479540865e-02, -1.921777951832675e-01,  2.541309878205803e+01
s16         ,  7.196956197004112e-01,  9.315536292255555e-01,  0.000000000000000e+00,  5.277935271314915e-02,  1.836811963754634e+01
s17         , -8.233048349290432e-01, -1.019791447785092e+00,  0.000000000000000e+00, -1.857006927403524e-01,  3.791772382671752e+01
s18         ,  6.436893120625885e-01, -3.966984773099818e-01,  0.000000000000000e+00, -4.303154910176671e-02,  3.430300982424952e+01
s19         ,  6.782210382119217e-01,  1.112498545109757e+00,  0.000000000000000e+00, -1.448627021405524e-02,  1.302447928895253e+01
s20         ,  1.358387811126361e-01, -9.029316075766527e-01,  0.000000000000000e+00,  1.541991098392556e-02,  4.412782340841368e+01
s21         ,  1.192439177417436e+00,  4.843445318118953e-01,  0.000000000000000e+00, -1.109021690684581e-01,  1.854151575687785e+01
s22         , -1.675888320916539e+00, -1.219959102168669e+00,  0.000000000000000e+00,  1.226778579962567e-02,  4.871002711803825e+01
s23         ,  1.682267394333138e+00,  1.178816679043259e+00,  0.000000000000000e+00,  9.352393369827960e-02,  1.630671757184834e+01
s24         , -5.344901610254714e-02, -1.314822343415734e-01,  0.000000000000000e+00,  1.751879948982424e-02,  3.275747230299261e+01
s25         ,  7.630444568978921e-01,  1.445565393600788e+00,  0.000000000000000e+00, -8.905669092553886e-02,  5.133803965043874e+00
s26         , -7.690353008448224e-01, -1.419485013688808e+00,  0.000000000000000e+00, -4.067710553836704e-02,  4.958074335500854e+01
s27         ,  1.318355805735755e-01, -1.387518312115392e-01,  0.000000000000000e+00, -1.633191659192222e-02,  3.152816414906797e+01
s28         , -1.557515501210242e+00, -9.782391925714979e-01,  0.000000000000000e+00, -4.623757767005020e-02,  4.281015988279236e+01
s29         ,  1.315402392066626e+00,  1.626314909684925e+00,  0.000000000000000e+00, -7.845193593381650e-03,  5.658491569680672e+00
s30         , -1.602536800620832e+00, -6.482105645180563e-01,  0.000000000000000e+00, -1.716300987071830e-02,  3.905897368733755e+01
s31         , -6.577868421803237e-01, -4.565536796059471e-01,  0.000000000000000e+00, -1.642343482751850e-01,  3.040366099939489e+01
s32         ,  1.122204297021453e+00, -2.285424124543223e-01,  0.000000000000000e+00, -1.792878633159145e-01,  2.642383605783215e+01
s33         ,  1.732999170998263e+00,  1.221388396717278e+00,  0.000000000000000e+00,  2.872556643172186e-02,  1.311489080766462e+01
s34         ,  1.815120104294483e+00,  6.069927204989294e-01,  1.962809917355372e-02, -5.765245815444058e-02,  2.152395089252602e+01
s35         ,  5.934117724273273e-01,  1.113221288434732e+00,  0.000000000000000e+00,  5.677885583507125e-04,  1.360844333425176e+01
s36         ,  9.702627198604922e-01,  2.107223810408048e-01,  0.000000000000000e+00,  1.629377962925679e-01,  3.342157620722355e+01
s37         ,  1.142962175227537e+00,  3.335909072377978e-01,  0.000000000000000e+00,  1.583645380015084e-01,  3.141675623524212e+01
s38         ,  2.376281988155590e-01,  7.392459627310980e-01,  0.000000000000000e+00, -1.513355065545662e-01,  1.315986575991963e+01
s39         , -9.901628269429661e-01,  1.240542843608350e-01,  0.000000000000000e+00, -1.591085244671556e-01,  2.198619838372723e+01
