# c0 + a0 * (Ge * S) + a1 * (SBI / RBI) + a2 * (face-area-count + Na-Na-avg)
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.661699456651635; Max AE: 2.41002884740892
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  8.694943564558391e+00, -3.202468728371060e+00, -8.421698736871384e-02,  2.816085447760966e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         18|10|mult; (Ge * S); $\left(Ge S\right)$; (Ge .* S); (newdata$Ge * newdata$S); Ge,S
# 1;  1; Unitless;                                         5|6|div; (SBI / RBI); $\left(\frac{ SBI }{ RBI } \right)$; (SBI ./ RBI); (newdata$SBI / newdata$RBI); SBI,RBI
# 2;  1; Unitless;                                         34|24|add; (face-area-count + Na-Na-avg); $\left(face-area-count + Na-Na-avg\right)$; (face_sub_area_sub_count + Na_sub_Na_sub_avg); (newdata$face_sub_area_sub_count + newdata$Na_sub_Na_sub_avg); face-area-count,Na-Na-avg
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
s1          ,  6.774572406644881e-01,  2.676188699289699e-01,  0.000000000000000e+00,  1.564883258840960e-01,  2.431003140577321e+01
s2          ,  1.967875961713064e+00,  2.255854674506974e-01,  0.000000000000000e+00,  6.144104922158480e-02,  2.842344539183904e+01
s3          , -1.271285198486554e+00, -7.525475721882122e-01,  0.000000000000000e+00,  6.078048417183867e-02,  4.006300302956491e+01
s4          , -1.922048452937919e-01, -8.336365965334318e-01,  0.000000000000000e+00,  2.282930473001996e-02,  4.246900799416089e+01
s5          ,  2.455067115358116e-01, -2.376892920634459e-01,  0.000000000000000e+00,  4.175591120953398e-02,  3.467296600348381e+01
s6          ,  1.771859120156342e-01,  3.495119245006537e-01,  0.000000000000000e+00,  1.552696566258131e-01,  2.338396759348848e+01
s7          , -1.787554844087500e-01, -1.673133721387332e-02,  0.000000000000000e+00,  2.485611752559967e-01,  2.418523219327380e+01
s8          ,  1.258527874893824e+00,  9.150817429828044e-01,  1.822916666666667e-01,  1.459186697390555e-02,  4.083842902149825e+01
s9          ,  1.207996528852184e+00,  1.166508643592652e+00,  0.000000000000000e+00,  9.058453379737527e-02,  1.614261813303937e+01
s10         , -3.778119871449525e-01,  6.264578965124410e-01,  5.078125000000000e-02,  1.840420022469098e-02,  3.054287334198293e+01
s11         ,  2.051916464504998e-01, -1.044619276293215e+00,  0.000000000000000e+00,  1.436394038059001e-01,  4.038026212354475e+01
s12         , -9.030892502610828e-01, -1.033144899232543e+00,  0.000000000000000e+00,  1.498331701538028e-01,  4.000848772174160e+01
s13         , -1.915336013610816e+00, -5.515148030365098e-01,  0.000000000000000e+00,  1.623118402970565e-02,  3.936997148807584e+01
s14         , -4.972857440368104e-01, -6.760829307064498e-02,  9.989258861439311e-02,  1.968949979583515e-02,  4.380587894727393e+01
s15         ,  9.892906044607525e-01,  5.326950116349547e-01,  3.961632479540865e-02,  1.557876064322299e-01,  2.527930852322560e+01
s16         ,  7.196956197004112e-01,  7.713700587255212e-01,  0.000000000000000e+00,  1.526146764854170e-01,  1.847574591202327e+01
s17         , -8.233048349290432e-01, -9.873432186936677e-01,  0.000000000000000e+00,  1.802457811196824e-01,  3.830815242622358e+01
s18         ,  6.436893120625885e-01, -4.645526169295304e-01,  0.000000000000000e+00,  1.277545828012626e-01,  3.409654154204655e+01
s19         ,  6.782210382119217e-01,  1.277328037654968e+00,  0.000000000000000e+00,  1.458329922364571e-01,  1.272583888820163e+01
s20         ,  1.358387811126361e-01, -9.786416872645587e-01,  0.000000000000000e+00,  1.932018865015732e-02,  4.432425038791997e+01
s21         ,  1.192439177417436e+00,  4.788057206595360e-01,  0.000000000000000e+00,  2.466234440762989e-01,  1.837486602303697e+01
s22         , -1.675888320916539e+00, -1.361579299933910e+00,  0.000000000000000e+00,  1.168523417218950e-02,  4.916161548914327e+01
