# c0 + a0 * (face-area-count * face-area-max)
# Property Label: $E$; Unit of the Property: eV
# RMSE: 0.0342670149440551; Max AE: 0.127720493096089
# Coefficients
# Task   a0                      c0
# all , -1.654954652024025e-04,  4.012044174636019e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; A^2;                                              34|31|mult; (face-area-count * face-area-max); $\left(face-area-count face-area-max\right)$; (face_sub_area_sub_count .* face_sub_area_sub_max); (newdata$face_sub_area_sub_count * newdata$face_sub_area_sub_max); face-area-count,face-area-max
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          ,  3.651132093274850e-01,  3.561968640354518e-01,  2.719564150782347e+02
s2          ,  4.250240521814745e-01,  3.446643869309490e-01,  3.416409655908329e+02
s3          ,  2.746380789449931e-01,  3.029946559521561e-01,  5.934287165592986e+02
s4          ,  3.247370215691567e-01,  3.147049592664709e-01,  5.226696579954097e+02
s5          ,  3.450588503436838e-01,  3.136227218282743e-01,  5.292090362005653e+02
s6          ,  3.418868902527870e-01,  3.600547139538022e-01,  2.486455049355774e+02
s7          ,  3.253614410179195e-01,  3.607471721364552e-01,  2.444613529299252e+02
s8          ,  3.920908336338758e-01,  3.322842868520997e-01,  4.164472454106956e+02
s9          ,  3.897447923973993e-01,  3.723136277508624e-01,  1.745714885746613e+02
s10         ,  3.161197563926354e-01,  3.412344571938247e-01,  3.623661844536549e+02
s11         ,  3.431871249187676e-01,  3.200077877601203e-01,  4.906275202415810e+02
s12         ,  2.917324756968375e-01,  3.195845533995552e-01,  4.931848976298222e+02
s13         ,  2.447364458196310e-01,  3.082794629617508e-01,  5.614954729315575e+02
s14         ,  3.105728952400728e-01,  3.073391780947384e-01,  5.671771081707008e+02
s15         ,  3.795908353494076e-01,  3.556786323635693e-01,  2.750878100759685e+02
s16         ,  3.670742293030571e-01,  3.695047086054763e-01,  1.915442747591695e+02
s17         ,  2.954366621683970e-01,  3.131284758369840e-01,  5.321954986434232e+02
s18         ,  3.635454507147386e-01,  3.255092442836557e-01,  4.573851802366324e+02
s19         ,  3.651486704953139e-01,  3.728857959270794e-01,  1.711141843185161e+02
s20         ,  3.399672486499590e-01,  3.064919627948274e-01,  5.722963741208272e+02
s21         ,  3.890225043355258e-01,  3.678455313677635e-01,  2.015697895712136e+02
s22         ,  2.558533901530953e-01,  2.648669614079315e-01,  8.238138482461038e+02
s23         ,  4.117639764254846e-01,  3.742537536634737e-01,  1.628483521718689e+02
s24         ,  3.311791000527954e-01,  3.374380366122874e-01,  3.853059101850771e+02
s25         ,  3.690868050126928e-01,  3.921318491599243e-01,  5.482064594689492e+01
s26         ,  2.979562579207253e-01,  2.459610385561694e-01,  9.380521618375974e+02
s27         ,  3.397813902812787e-01,  3.393764367593518e-01,  3.735932016544010e+02
s28         ,  2.613491376061739e-01,  3.016991049601185e-01,  6.012570337307275e+02
s29         ,  3.947313720925611e-01,  3.912117710072515e-01,  6.038018288978031e+01
s30         ,  2.592589137508671e-01,  3.117456508371664e-01,  5.405511656589900e+02
s31         ,  3.031212395007984e-01,  3.263403482086416e-01,  4.523632666514507e+02
s32         ,  3.857616783620361e-01,  3.516147110268775e-01,  2.996438988589548e+02
s33         ,  4.141193231435004e-01,  3.788328844760691e-01,  1.351791298944184e+02
s34         ,  4.179319881718991e-01,  3.643148799439794e-01,  2.229036153619451e+02
s35         ,  3.612111930609704e-01,  3.786836294929456e-01,  1.360809974044494e+02
s36         ,  3.787074193034875e-01,  3.354770552796065e-01,  3.971550646636163e+02
s37         ,  3.867254135891385e-01,  3.382842768809625e-01,  3.801925358237907e+02
s38         ,  3.446930711358910e-01,  3.783299206498281e-01,  1.382182695205456e+02
s39         ,  2.876898720952064e-01,  3.554002084465526e-01,  2.767701759140670e+02
s40         ,  3.049912944269815e-01,  3.481598086528518e-01,  3.205200139222909e+02
s41         ,  3.032122447573497e-01,  3.236988671072180e-01,  4.683243148783191e+02
s42         ,  3.284012713704346e-01,  3.169511331083875e-01,  5.090972387199362e+02
s43         ,  3.521735822893021e-01,  3.644352640070096e-01,  2.221761992790753e+02
s44         ,  3.330769886831567e-01,  3.152768781086658e-01,  5.192138603305290e+02
s45         ,  3.222694574216643e-01,  3.291601012296959e-01,  4.353250171888099e+02
s46         ,  3.537154217541030e-01,  3.216733100645793e-01,  4.805636656071225e+02
s47         ,  3.064622412169097e-01,  3.357749509644275e-01,  3.953550414155066e+02
s48         ,  2.709027668189650e-01,  2.701587499647161e-01,  7.918384188872830e+02
s49         ,  3.986674224858993e-01,  3.359425332137836e-01,  3.943424321023078e+02
s50         ,  3.630933243380700e-01,  3.233563811346778e-01,  4.703937732294669e+02
s51         ,  3.785261269820064e-01,  3.716218912260100e-01,  1.787512799907370e+02
s52         ,  3.404870415156796e-01,  3.467164657696341e-01,  3.292413579268077e+02
s53         ,  2.464211996641334e-01,  3.409789707532030e-01,  3.639099514705289e+02
s54         ,  4.479825317233843e-01,  3.851501565938112e-01,  9.700725545655393e+01
s55         ,  3.436317929445776e-01,  3.252042223784304e-01,  4.592282633981696e+02
s56         ,  3.917346641556894e-01,  3.906808252085827e-01,  6.358840251090116e+01
s57         ,  3.497750017469617e-01,  3.738102665316073e-01,  1.655281061537924e+02
s58         ,  4.567353100642558e-01,  3.733729144824035e-01,  1.681707891340718e+02
s59         ,  3.347920174849711e-01,  3.268982140597170e-01,  4.489923836463295e+02
s60         ,  2.709373029897972e-01,  2.923866467533667e-01,  6.575272052146565e+02
s61         ,  2.790893938381299e-01,  3.060423642404539e-01,  5.750130561388123e+02
s62         ,  3.360458157463063e-01,  3.368620725917373e-01,  3.887861506849951e+02
s63         ,  4.093736118424267e-01,  3.679967804929232e-01,  2.006558725344251e+02
s64         ,  3.302497794709098e-01,  3.823798083943812e-01,  1.137469781797220e+02
s65         ,  3.637362750415415e-01,  3.602480841413645e-01,  2.474770729950056e+02
s66         ,  3.848471859724885e-01,  3.493711296477641e-01,  3.132006532773886e+02
s67         ,  3.211750777924535e-01,  3.205834488700395e-01,  4.871491100675306e+02
s68         ,  4.095598752010021e-01,  3.709474857747847e-01,  1.828263490592486e+02
s69         ,  3.476279282639844e-01,  3.680675680045516e-01,  2.002281417108536e+02
s70         ,  3.542202710009075e-01,  3.574571215986799e-01,  2.643413570965139e+02
s71         ,  3.324591144603498e-01,  3.180437238159417e-01,  5.024953012818440e+02
s72         ,  3.490784623419291e-01,  3.719190595080142e-01,  1.769556520462444e+02
s73         ,  2.871691931895054e-01,  3.365729316535661e-01,  3.905332737123090e+02
s74         ,  4.049442418517104e-01,  3.911641137443855e-01,  6.066815007249275e+01
s75         ,  3.439829269029567e-01,  3.550929683337391e-01,  2.786266625098642e+02
s76         ,  3.071028154909760e-01,  3.122963559875635e-01,  5.372235509130294e+02
s77         ,  2.780468433194506e-01,  3.133312770027994e-01,  5.309700803785338e+02
s78         ,  2.669617651637353e-01,  3.085977409307806e-01,  5.595722905129905e+02
s79         ,  3.541307689639985e-01,  3.647307696547953e-01,  2.203906177380688e+02
s80         ,  3.629523222745701e-01,  3.465109160397410e-01,  3.304833842847005e+02
s81         ,  2.554152131748840e-01,  3.227562947529573e-01,  4.740197721714115e+02
s82         ,  3.259366268272620e-01,  3.146603051740660e-01,  5.229394786358141e+02
s83         ,  2.722850822770267e-01,  3.049385009841789e-01,  5.816831075201301e+02
s84         ,  3.998438077165619e-01,  3.311180962206075e-01,  4.234939075658547e+02
s85         ,  3.012322773461942e-01,  3.103532238079619e-01,  5.489648525687887e+02
s86         ,  3.200453803456573e-01,  3.411671740144430e-01,  3.627727404840538e+02
s87         ,  3.352140969143458e-01,  3.180683275813751e-01,  5.023466339730250e+02
s88         ,  3.302506455484479e-01,  3.259168332650088e-01,  4.549223394521155e+02
s89         ,  3.471406078486814e-01,  3.431670956955384e-01,  3.506882904439906e+02
s90         ,  3.483351733862548e-01,  3.308607443968355e-01,  4.250489460888576e+02
s91         ,  3.564650130752042e-01,  3.848878603839038e-01,  9.859217024311079e+01
s92         ,  2.923433543076974e-01,  2.891816721934387e-01,  6.768931410486583e+02
s93         ,  3.745472031333225e-01,  3.456007204568510e-01,  3.359832061787738e+02
s94         ,  3.437578785209007e-01,  3.430061113530930e-01,  3.516610321577803e+02
s95         ,  2.980732528469880e-01,  2.822571508564579e-01,  7.187342955994014e+02
s96         ,  3.581539694897533e-01,  3.351064798366034e-01,  3.993942525625105e+02
s97         ,  4.279362669937736e-01,  3.789209363938503e-01,  1.346470795589391e+02
s98         ,  2.896944279808133e-01,  3.209193145077968e-01,  4.851196548353498e+02
s99         ,  2.909528202324455e-01,  3.047534489143343e-01,  5.828012775534796e+02
s100        ,  3.111721139319150e-01,  3.323236793316260e-01,  4.162092178642725e+02
s101        ,  3.241780336567121e-01,  3.467953897146940e-01,  3.287644630163436e+02
s102        ,  3.096847321141750e-01,  2.718798556920373e-01,  7.814387035523866e+02
s103        ,  3.391049191815317e-01,  3.662716335899316e-01,  2.110800065182883e+02
s104        ,  2.515445686944838e-01,  2.683937714599954e-01,  8.025032337966346e+02
s105        ,  3.580226031747242e-01,  3.378162100690560e-01,  3.830208115794685e+02
s106        ,  3.582576851144277e-01,  3.811614509811381e-01,  1.211088561124683e+02
s107        ,  3.406125813060369e-01,  2.991247294921002e-01,  6.168125987419488e+02
s108        ,  3.541195107207772e-01,  3.671306389605885e-01,  2.058894995179522e+02
s109        ,  3.030334722988908e-01,  3.231589730124970e-01,  4.715866042350742e+02
s110        ,  3.844717335443058e-01,  3.244734258292946e-01,  4.636440735126159e+02
s111        ,  3.518414134147780e-01,  3.666257408423563e-01,  2.089403270292362e+02
s112        ,  3.724995886738390e-01,  3.768284596923949e-01,  1.472907897590723e+02
s113        ,  3.276637756053076e-01,  3.445496232260052e-01,  3.423344208755649e+02
s114        ,  3.975727278995340e-01,  3.657597891994565e-01,  2.141728066131378e+02
s115        ,  4.661802026900197e-01,  3.681930025566394e-01,  1.994702082415927e+02
s116        ,  3.149444114213277e-01,  3.496414218393179e-01,  3.115674230784627e+02
s117        ,  2.617905198031230e-01,  3.067526761612997e-01,  5.707210236050082e+02
s118        ,  2.697626524103243e-01,  3.080470496712623e-01,  5.628998213238486e+02
s119        ,  3.390451473349576e-01,  3.087440141825644e-01,  5.586884400001992e+02
s120        ,  3.261908135769222e-01,  3.605635438482942e-01,  2.455709198170686e+02
s121        ,  3.485047140780971e-01,  3.552020870819197e-01,  2.779673166598303e+02
s122        ,  2.626009490674024e-01,  3.219060643002756e-01,  4.791572570664921e+02
s123        ,  2.763746480585029e-01,  3.027887372271599e-01,  5.946729725559467e+02
s124        ,  3.084637495449347e-01,  3.106231771124683e-01,  5.473336700818467e+02
s125        ,  3.788458996149217e-01,  3.070598281512610e-01,  5.688650694881646e+02
s126        ,  3.251157603452653e-01,  3.227758856342691e-01,  4.739013950226008e+02
s127        ,  2.834263508079372e-01,  2.908873229926509e-01,  6.665868115240028e+02
s128        ,  3.547356336228297e-01,  3.782044617870227e-01,  1.389763498863849e+02
s129        ,  2.905669611170635e-01,  3.095387709395242e-01,  5.538861527835203e+02
s130        ,  3.001710267623137e-01,  3.631078969341549e-01,  2.301967638983618e+02
s131        ,  3.234187238329760e-01,  3.280803861272181e-01,  4.418491542771424e+02
s132        ,  2.761295727416017e-01,  2.987871687622247e-01,  6.188522965032301e+02
s133        ,  3.187185284669714e-01,  3.318544023393729e-01,  4.190448060882715e+02
s134        ,  2.870198930068550e-01,  3.227149919020920e-01,  4.742693430633678e+02
s135        ,  3.783093309701865e-01,  3.228241152759482e-01,  4.736099692628665e+02
s136        ,  3.883241345589045e-01,  3.644596515399225e-01,  2.220288385469663e+02
s137        ,  2.784112215023900e-01,  3.211428062225176e-01,  4.837692147223988e+02
s138        ,  3.453346818049723e-01,  3.289151479364651e-01,  4.368051380666310e+02
s139        ,  3.244324492872825e-01,  3.350080788349072e-01,  3.999888368405495e+02
s140        ,  3.327862834846864e-01,  3.322904619780458e-01,  4.164099324490472e+02
s141        ,  3.557762179436731e-01,  3.615518443356765e-01,  2.395991520337426e+02
s142        ,  2.749368728938547e-01,  2.850719610191446e-01,  7.017259131688368e+02
s143        ,  3.361413138168960e-01,  3.786796114056612e-01,  1.361052765427295e+02
s144        ,  3.409974995595333e-01,  3.646227022483886e-01,  2.210436108957639e+02
s145        ,  3.763216171571199e-01,  3.571092868278410e-01,  2.664431353561992e+02
s146        ,  3.752831948694745e-01,  3.729749053077496e-01,  1.705757443040953e+02
s147        ,  3.654575252194441e-01,  3.554053158748597e-01,  2.767393144744443e+02
s148        ,  3.473385960617674e-01,  3.397949588441014e-01,  3.710642980120098e+02
s149        ,  2.849292163595314e-01,  3.173265227080661e-01,  5.068289614640034e+02
s150        ,  3.503331909216502e-01,  3.677185854094802e-01,  2.023368556544326e+02
s151        ,  3.330423635366063e-01,  3.374125634724559e-01,  3.854598306553473e+02
s152        ,  3.630680102987860e-01,  3.130450532683475e-01,  5.326995763142792e+02
s153        ,  3.816822758848153e-01,  3.554302453174947e-01,  2.765886792736277e+02
s154        ,  3.320898103001320e-01,  3.196791505261665e-01,  4.926132981210644e+02
s155        ,  3.864039977120127e-01,  3.259970590525264e-01,  4.544375782085398e+02
s156        ,  2.690214273922155e-01,  2.757653268126355e-01,  7.579608933547103e+02
s157        ,  3.092688252015169e-01,  3.347242196255647e-01,  4.017040452240262e+02
s158        ,  3.521824739407696e-01,  3.565564566187459e-01,  2.697835906878242e+02
s159        ,  3.604301286467682e-01,  3.462254105232900e-01,  3.322085404157268e+02
s160        ,  2.959798492012398e-01,  2.950525139778249e-01,  6.414188047748150e+02
s161        ,  3.194137955766546e-01,  3.549409019285942e-01,  2.795455179296119e+02
s162        ,  3.677213080484411e-01,  2.970932423145850e-01,  6.290877820832609e+02
s163        ,  3.585762742017419e-01,  3.326584989208419e-01,  4.141860833402756e+02
s164        ,  4.006335057182285e-01,  3.840883185439118e-01,  1.034233711404532e+02
s165        ,  3.287266930084647e-01,  3.624755717242182e-01,  2.340175647231052e+02
s166        ,  2.950048096243486e-01,  3.346097634191901e-01,  4.023956424604498e+02
s167        ,  3.519819712307287e-01,  3.378415042926675e-01,  3.828679722035945e+02
s168        ,  4.374575067359432e-01,  3.838058046716749e-01,  1.051304503760772e+02
s169        ,  4.091080766385897e-01,  3.768862839230030e-01,  1.469413890637882e+02
s170        ,  3.398244019971832e-01,  3.172517480203174e-01,  5.072807846463322e+02
s171        ,  3.613080720154525e-01,  3.639024233021490e-01,  2.253958687981701e+02
s172        ,  3.578018153328690e-01,  3.499222361380748e-01,  3.098706134503954e+02
s173        ,  3.625516481683081e-01,  3.628402698115629e-01,  2.318138905203190e+02
s174        ,  3.825999337737049e-01,  3.499935317109568e-01,  3.094398126861889e+02
s175        ,  3.092599387015685e-01,  3.349370354862855e-01,  4.004181135493394e+02
s176        ,  3.793890053910741e-01,  3.754095330176122e-01,  1.558645997607382e+02
s177        ,  3.131265826402478e-01,  3.357929669987595e-01,  3.952461802191590e+02
s178        ,  3.054696856864712e-01,  3.178479355765637e-01,  5.036783442077551e+02
s179        ,  3.928374269136042e-01,  3.873223088559658e-01,  8.388210873728833e+01
s180        ,  2.641551140722125e-01,  2.752973426213620e-01,  7.607886698783824e+02
s181        ,  2.369318989685527e-01,  2.929118401505870e-01,  6.543537442586239e+02
s182        ,  4.189138162610332e-01,  3.557429953619369e-01,  2.746988991273280e+02
s183        ,  3.759767293543443e-01,  3.469376778689193e-01,  3.279046923026795e+02
s184        ,  4.039791445798378e-01,  3.619988211380549e-01,  2.368983118516159e+02
s185        ,  4.187778012666042e-01,  3.886107628945762e-01,  7.609667463470083e+01
s186        ,  3.450522704714396e-01,  3.590839720335276e-01,  2.545111757507107e+02
s187        ,  3.509325305204691e-01,  3.321218362640041e-01,  4.174288468575808e+02
s188        ,  3.868910592801009e-01,  3.728614542617410e-01,  1.712612678975655e+02
s189        ,  3.427300778100211e-01,  3.391015249175017e-01,  3.752543459130302e+02
s190        ,  3.213421258380463e-01,  3.135389012182024e-01,  5.297155190215259e+02
s191        ,  2.531455052956056e-01,  3.052464480335035e-01,  5.798223492875825e+02
