# c0 + a0 * (face-area-count * Na-Na)
# Property Label: $E$; Unit of the Property: eV
# RMSE: 0.0348177618203297; Max AE: 0.122839740786435
# Coefficients
# Task   a0                      c0
# all , -8.126808625476428e-04,  4.101695353972877e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; A;                                                34|22|mult; (face-area-count * Na-Na); $\left(face-area-count Na-Na\right)$; (face_sub_area_sub_count .* Na_sub_Na); (newdata$face_sub_area_sub_count * newdata$Na_sub_Na); face-area-count,Na-Na
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          ,  3.651132093274850e-01,  3.558454091980338e-01,  6.684558318373008e+01
s2          ,  4.250240521814745e-01,  3.435437096550688e-01,  8.198276692938992e+01
s3          ,  2.746380789449931e-01,  3.145496999773500e-01,  1.176597602165537e+02
s4          ,  3.247370215691567e-01,  2.863639735992058e-01,  1.523421646843861e+02
s5          ,  3.450588503436838e-01,  3.267039820408134e-01,  1.027039729898663e+02
s6          ,  3.418868902527870e-01,  3.539289880535518e-01,  6.920373043783702e+01
s7          ,  3.253614410179195e-01,  3.546434966597886e-01,  6.832453094002071e+01
s8          ,  3.920908336338758e-01,  2.975785846027518e-01,  1.385426383015576e+02
s9          ,  3.897447923973993e-01,  3.733591381173528e-01,  4.529502167005563e+01
s10         ,  3.161197563926354e-01,  3.387058695227880e-01,  8.793570658286575e+01
s11         ,  3.431871249187676e-01,  2.991945371860618e-01,  1.365542162065126e+02
s12         ,  2.917324756968375e-01,  2.991276786763685e-01,  1.366364852899554e+02
s13         ,  2.447364458196310e-01,  3.032747885420257e-01,  1.315334859986265e+02
s14         ,  3.105728952400728e-01,  2.997403091715224e-01,  1.358826463312854e+02
s15         ,  3.795908353494076e-01,  3.557847009188663e-01,  6.692028443727891e+01
s16         ,  3.670742293030571e-01,  3.685943352094008e-01,  5.115808936063097e+01
s17         ,  2.954366621683970e-01,  3.120573850211305e-01,  1.207265421122248e+02
s18         ,  3.635454507147386e-01,  3.283906624966390e-01,  1.006285205785249e+02
s19         ,  3.651486704953139e-01,  3.805915309364735e-01,  3.639559613609121e+01
s20         ,  3.399672486499590e-01,  2.898247794628887e-01,  1.480836592572572e+02
s21         ,  3.890225043355258e-01,  3.683727511788028e-01,  5.143074747380877e+01
s22         ,  2.558533901530953e-01,  2.712371720512837e-01,  1.709556232325567e+02
s23         ,  4.117639764254846e-01,  3.728888697044817e-01,  4.587368475238401e+01
s24         ,  3.311791000527954e-01,  3.327114677459907e-01,  9.531178993003063e+01
s25         ,  3.690868050126928e-01,  3.974551966578508e-01,  1.564493434677324e+01
s26         ,  2.979562579207253e-01,  2.848262077774757e-01,  1.542343783350305e+02
s27         ,  3.397813902812787e-01,  3.338953269010382e-01,  9.385505677731892e+01
s28         ,  2.613491376061739e-01,  2.997998306270913e-01,  1.358094054586232e+02
s29         ,  3.947313720925611e-01,  3.957585508241970e-01,  1.773264910891864e+01
s30         ,  2.592589137508671e-01,  3.098787214368899e-01,  1.234073774617996e+02
s31         ,  3.031212395007984e-01,  3.405703101542223e-01,  8.564152110692186e+01
s32         ,  3.857616783620361e-01,  3.515852412906570e-01,  7.208769986655892e+01
s33         ,  4.141193231435004e-01,  3.802884536634284e-01,  3.676853130291043e+01
s34         ,  4.179319881718991e-01,  3.592185581902022e-01,  6.269493912697941e+01
s35         ,  3.612111930609704e-01,  3.797255830228032e-01,  3.746114099333765e+01
s36         ,  3.787074193034875e-01,  3.228689736159452e-01,  1.074229329181781e+02
s37         ,  3.867254135891385e-01,  3.362024548851050e-01,  9.101614658465816e+01
s38         ,  3.446930711358910e-01,  3.808323735473210e-01,  3.609924042999952e+01
s39         ,  2.876898720952064e-01,  3.580752084709788e-01,  6.410182560839482e+01
s40         ,  3.049912944269815e-01,  3.493395364979263e-01,  7.485102910959134e+01
s41         ,  3.032122447573497e-01,  3.266870145876730e-01,  1.027248513615892e+02
s42         ,  3.284012713704346e-01,  2.952585776820544e-01,  1.413973959655002e+02
s43         ,  3.521735822893021e-01,  3.674179958352704e-01,  5.260556945809839e+01
s44         ,  3.330769886831567e-01,  3.336728862923095e-01,  9.412876890587995e+01
s45         ,  3.222694574216643e-01,  3.285736550769198e-01,  1.004033490644483e+02
s46         ,  3.537154217541030e-01,  3.087776187994688e-01,  1.247622791066707e+02
s47         ,  3.064622412169097e-01,  3.314010702541515e-01,  9.692422791427369e+01
s48         ,  2.709027668189650e-01,  2.730606767769503e-01,  1.687118091971798e+02
s49         ,  3.986674224858993e-01,  3.337990005528806e-01,  9.397358589815437e+01
s50         ,  3.630933243380700e-01,  3.112888189988187e-01,  1.216722590076646e+02
s51         ,  3.785261269820064e-01,  3.726810012621365e-01,  4.612946589837217e+01
s52         ,  3.404870415156796e-01,  3.305182241848663e-01,  9.801056587296209e+01
s53         ,  2.464211996641334e-01,  3.354678902359921e-01,  9.192002494942017e+01
s54         ,  4.479825317233843e-01,  3.874998238203060e-01,  2.789497405650148e+01
s55         ,  3.436317929445776e-01,  3.124200381242971e-01,  1.202802991651106e+02
s56         ,  3.917346641556894e-01,  3.934510442118800e-01,  2.057202520187019e+01
s57         ,  3.497750017469617e-01,  3.690060058802854e-01,  5.065153052572234e+01
s58         ,  4.567353100642558e-01,  3.755835181664460e-01,  4.255793242432129e+01
s59         ,  3.347920174849711e-01,  3.285866126106217e-01,  1.003874048798379e+02
s60         ,  2.709373029897972e-01,  2.906954309408165e-01,  1.470123266861931e+02
s61         ,  2.790893938381299e-01,  2.947753375198524e-01,  1.419920207247041e+02
s62         ,  3.360458157463063e-01,  3.293867854866753e-01,  9.940279589871179e+01
s63         ,  4.093736118424267e-01,  3.677127397691305e-01,  5.224288842616649e+01
s64         ,  3.302497794709098e-01,  3.851743313783133e-01,  3.075648162873919e+01
s65         ,  3.637362750415415e-01,  3.621308873275441e-01,  5.911133174607933e+01
s66         ,  3.848471859724885e-01,  3.516436364736717e-01,  7.201584486700648e+01
s67         ,  3.211750777924535e-01,  3.492819512562982e-01,  7.492188748005623e+01
s68         ,  4.095598752010021e-01,  3.748778011395590e-01,  4.342631392487082e+01
s69         ,  3.476279282639844e-01,  3.689541314547098e-01,  5.071536176374735e+01
s70         ,  3.542202710009075e-01,  3.512744139700819e-01,  7.247017143061264e+01
s71         ,  3.324591144603498e-01,  2.979645241075307e-01,  1.380677415461830e+02
s72         ,  3.490784623419291e-01,  3.678836934609777e-01,  5.203253070799496e+01
s73         ,  2.871691931895054e-01,  3.283574495075309e-01,  1.006693890062664e+02
s74         ,  4.049442418517104e-01,  3.949181043286606e-01,  1.876681459043586e+01
s75         ,  3.439829269029567e-01,  3.506796199342672e-01,  7.320206270949690e+01
s76         ,  3.071028154909760e-01,  3.129835231899638e-01,  1.195869334275439e+02
s77         ,  2.780468433194506e-01,  3.117311372331596e-01,  1.211279884892789e+02
s78         ,  2.669617651637353e-01,  2.989673354138667e-01,  1.368337869244484e+02
s79         ,  3.541307689639985e-01,  3.589019368467564e-01,  6.308454020907356e+01
s80         ,  3.629523222745701e-01,  3.385756480796254e-01,  8.809594345955844e+01
s81         ,  2.554152131748840e-01,  3.226945127451603e-01,  1.076376062036274e+02
s82         ,  3.259366268272620e-01,  3.247526778785708e-01,  1.051050436341602e+02
s83         ,  2.722850822770267e-01,  3.078016301918883e-01,  1.259632285230516e+02
s84         ,  3.998438077165619e-01,  3.289484926580518e-01,  9.994211317419131e+01
s85         ,  3.012322773461942e-01,  3.142264444040151e-01,  1.180575246874944e+02
s86         ,  3.200453803456573e-01,  3.345266430585857e-01,  9.307822519847699e+01
s87         ,  3.352140969143458e-01,  3.246498942817194e-01,  1.052315183693092e+02
s88         ,  3.302506455484479e-01,  3.297546462957068e-01,  9.895014489389024e+01
s89         ,  3.471406078486814e-01,  3.462303972521970e-01,  7.867681040827064e+01
s90         ,  3.483351733862548e-01,  3.318146011501401e-01,  9.641538008107597e+01
s91         ,  3.564650130752042e-01,  3.859884972365182e-01,  2.975465434852896e+01
