# c0 + a0 * (face-area-count + SBI)
# Property Label: $E$; Unit of the Property: eV
# RMSE: 0.0348635908702513; Max AE: 0.125695854440102
# Coefficients
# Task   a0                      c0
# all , -3.095930598760710e-03,  4.296043416149726e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         34|5|add; (face-area-count + SBI); $\left(face-area-count + SBI\right)$; (face_sub_area_sub_count + SBI); (newdata$face_sub_area_sub_count + newdata$SBI); face-area-count,SBI
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          ,  3.651132093274850e-01,  3.518807710413417e-01,  2.510507522511757e+01
s2          ,  4.250240521814745e-01,  3.391783230151650e-01,  2.920802508816082e+01
s3          ,  2.746380789449931e-01,  3.068660648285020e-01,  3.964503494865236e+01
s4          ,  3.247370215691567e-01,  3.036480095493335e-01,  4.068448178911345e+01
s5          ,  3.450588503436838e-01,  3.205241334182743e-01,  3.523341519359726e+01
s6          ,  3.418868902527870e-01,  3.542736235969769e-01,  2.433217270702073e+01
s7          ,  3.253614410179195e-01,  3.518635695809307e-01,  2.511063137693114e+01
s8          ,  3.920908336338758e-01,  3.099823045395824e-01,  3.863847501080112e+01
s9          ,  3.897447923973993e-01,  3.747385774672972e-01,  1.772189730920906e+01
s10         ,  3.161197563926354e-01,  3.331166655193922e-01,  3.116596868618571e+01
s11         ,  3.431871249187676e-01,  3.101535878939363e-01,  3.858314968974175e+01
s12         ,  2.917324756968375e-01,  3.096206413670173e-01,  3.875529389967087e+01
s13         ,  2.447364458196310e-01,  3.119106632439921e-01,  3.801560616962566e+01
s14         ,  3.105728952400728e-01,  2.962776521477354e-01,  4.306514155084981e+01
s15         ,  3.795908353494076e-01,  3.475577699222172e-01,  2.650142471720727e+01
s16         ,  3.670742293030571e-01,  3.678310656910196e-01,  1.995305577866656e+01
s17         ,  2.954366621683970e-01,  3.121443103439747e-01,  3.794013706832342e+01
s18         ,  3.635454507147386e-01,  3.247068084882401e-01,  3.388239166883220e+01
s19         ,  3.651486704953139e-01,  3.854487694094386e-01,  1.426245543850671e+01
s20         ,  3.399672486499590e-01,  2.966614806494834e-01,  4.294116315743826e+01
s21         ,  3.890225043355258e-01,  3.681711677171445e-01,  1.984320124049925e+01
s22         ,  2.558533901530953e-01,  2.802570461954936e-01,  4.823987187544264e+01
s23         ,  4.117639764254846e-01,  3.754406914290043e-01,  1.749511123009343e+01
s24         ,  3.311791000527954e-01,  3.274637550812432e-01,  3.299188508121465e+01
s25         ,  3.690868050126928e-01,  4.076465580430345e-01,  7.092466342988349e+00
s26         ,  2.979562579207253e-01,  2.787154602372225e-01,  4.873781131855812e+01
s27         ,  3.397813902812787e-01,  3.305164740572152e-01,  3.200584263659591e+01
