# c0 + a0 * (face-area-count - RBI)
# Property Label: $E$; Unit of the Property: eV
# RMSE: 0.0348676486489807; Max AE: 0.122015951284493
# Coefficients
# Task   a0                      c0
# all , -3.406510529483552e-03,  4.265616122017307e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         34|6|sub; (face-area-count - RBI); $\left(face-area-count - RBI\right)$; (face_sub_area_sub_count - RBI); (newdata$face_sub_area_sub_count - newdata$RBI); face-area-count,RBI
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          ,  3.651132093274850e-01,  3.491225888230469e-01,  2.273265346120155e+01
s2          ,  4.250240521814745e-01,  3.388200553286059e-01,  2.575701912960972e+01
s3          ,  2.746380789449931e-01,  3.016783237557452e-01,  3.666017978371509e+01
s4          ,  3.247370215691567e-01,  3.027448710180723e-01,  3.634708893808403e+01
s5          ,  3.450588503436838e-01,  3.206054955274103e-01,  3.110400386473604e+01
s6          ,  3.418868902527870e-01,  3.518697930844852e-01,  2.192619646138869e+01
s7          ,  3.253614410179195e-01,  3.475713654011121e-01,  2.318802367318502e+01
s8          ,  3.920908336338758e-01,  3.134175211479102e-01,  3.321407348503746e+01
s9          ,  3.897447923973993e-01,  3.764053747899616e-01,  1.472364079830781e+01
s10         ,  3.161197563926354e-01,  3.379240933704643e-01,  2.602003371605736e+01
s11         ,  3.431871249187676e-01,  3.024830692318317e-01,  3.642394229989659e+01
s12         ,  2.917324756968375e-01,  3.006592355546291e-01,  3.695933875953383e+01
s13         ,  2.447364458196310e-01,  3.151175296089023e-01,  3.271502660222924e+01
s14         ,  3.105728952400728e-01,  2.968464944319796e-01,  3.807858999614387e+01
s15         ,  3.795908353494076e-01,  3.435339115312370e-01,  2.437324057914515e+01
s16         ,  3.670742293030571e-01,  3.669107201975965e-01,  1.751084914837405e+01
s17         ,  2.954366621683970e-01,  3.039975642943768e-01,  3.597935390087738e+01
s18         ,  3.635454507147386e-01,  3.188948329462787e-01,  3.160617832341618e+01
s19         ,  3.651486704953139e-01,  3.864542078428783e-01,  1.177375029717960e+01
s20         ,  3.399672486499590e-01,  2.961890875438334e-01,  3.827157542286024e+01
s21         ,  3.890225043355258e-01,  3.651334058623771e-01,  1.803258959797388e+01
s22         ,  2.558533901530953e-01,  2.830442871535827e-01,  4.213030425298764e+01
s23         ,  4.117639764254846e-01,  3.778873384932147e-01,  1.428860215966963e+01
s24         ,  3.311791000527954e-01,  3.257665813159566e-01,  2.958893859666280e+01
