# c0 + a0 * (poly_dist_avg - SBI) + a1 * (face-area-count * face-area-max)
# Property Label: $E$; Unit of the Property: eV
# RMSE: 0.032176123507235; Max AE: 0.122085641168245
# Coefficients
# Task   a0                      a1                      c0
# all ,  1.336616138140617e-01, -1.638284586876610e-04,  4.036672177702820e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         29|5|sub; (poly_dist_avg - SBI); $\left(poly_{dist, avg} - SBI\right)$; (poly_dist_avg - SBI); (newdata$poly_dist_avg - newdata$SBI); poly_dist_avg,SBI
# 1;  1; A^2;                                              34|31|mult; (face-area-count * face-area-max); $\left(face-area-count face-area-max\right)$; (face_sub_area_sub_count .* face_sub_area_sub_max); (newdata$face_sub_area_sub_count * newdata$face_sub_area_sub_max); face-area-count,face-area-max
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          ,  3.651132093274850e-01,  3.676909830223895e-01,  6.417673197130047e-02,  2.719564150782347e+02
s2          ,  4.250240521814745e-01,  3.712497407037000e-01,  1.762139112243052e-01,  3.416409655908329e+02
s3          ,  2.746380789449931e-01,  2.939307860752735e-01, -9.363884935216206e-02,  5.934287165592986e+02
s4          ,  3.247370215691567e-01,  3.206053963606028e-01,  1.920029984140204e-02,  5.226696579954097e+02
s5          ,  3.450588503436838e-01,  3.383573099639184e-01,  1.600279415129083e-01,  5.292090362005653e+02
s6          ,  3.418868902527870e-01,  3.702226455757307e-01,  5.454548565305867e-02,  2.486455049355774e+02
s7          ,  3.253614410179195e-01,  3.585602688056378e-01, -3.783601111138252e-02,  2.444613529299252e+02
s8          ,  3.920908336338758e-01,  3.374024480222743e-01,  1.467242940128557e-02,  4.164472454106956e+02
s9          ,  3.897447923973993e-01,  3.923371564001951e-01,  1.292047585025767e-01,  1.745714885746613e+02
s10         ,  3.161197563926354e-01,  3.440812535644345e-01, -1.646476650975018e-03,  3.623661844536549e+02
s11         ,  3.431871249187676e-01,  3.001168074878057e-01, -1.733606170862432e-01,  4.906275202415810e+02
s12         ,  2.917324756968375e-01,  2.924483529433914e-01, -2.275982036434495e-01,  4.931848976298222e+02
s13         ,  2.447364458196310e-01,  3.123968006805226e-01,  5.375670547540484e-03,  5.614954729315575e+02
s14         ,  3.105728952400728e-01,  3.088283975008126e-01, -1.435766620032257e-02,  5.671771081707008e+02
s15         ,  3.795908353494076e-01,  3.329132115983483e-01, -1.921777951832675e-01,  2.750878100759685e+02
s16         ,  3.670742293030571e-01,  3.793413879257425e-01,  5.277935271314915e-02,  1.915442747591695e+02
s17         ,  2.954366621683970e-01,  2.916573952289540e-01, -1.857006927403524e-01,  5.321954986434232e+02
s18         ,  3.635454507147386e-01,  3.229828423676753e-01, -4.303154910176671e-02,  4.573851802366324e+02
s19         ,  3.651486704953139e-01,  3.736975864388259e-01, -1.448627021405524e-02,  1.711141843185161e+02
s20         ,  3.399672486499590e-01,  3.119698350725105e-01,  1.541991098392556e-02,  5.722963741208272e+02
s21         ,  3.890225043355258e-01,  3.558209869336638e-01, -1.109021690684581e-01,  2.015697895712136e+02
s22         ,  2.558533901530953e-01,  2.703427968144753e-01,  1.226778579962567e-02,  8.238138482461038e+02
s23         ,  4.117639764254846e-01,  3.894885831424906e-01,  9.352393369827960e-02,  1.628483521718689e+02
s24         ,  3.311791000527954e-01,  3.428847353933093e-01,  1.751879948982424e-02,  3.853059101850771e+02
s25         ,  3.690868050126928e-01,  3.827825748104925e-01, -8.905669092553886e-02,  5.482064594689492e+01
s26         ,  2.979562579207253e-01,  2.445506103562570e-01, -4.067710553836704e-02,  9.380521618375974e+02
s27         ,  3.397813902812787e-01,  3.402790690387000e-01, -1.633191659192222e-02,  3.735932016544010e+02
s28         ,  2.613491376061739e-01,  2.989840154088300e-01, -4.623757767005020e-02,  6.012570337307275e+02
s29         ,  3.947313720925611e-01,  3.927266242357951e-01, -7.845193593381650e-03,  6.038018288978031e+01
s30         ,  2.592589137508671e-01,  3.128155178613242e-01, -1.716300987071830e-02,  5.405511656589900e+02
s31         ,  3.031212395007984e-01,  3.076054129936975e-01, -1.642343482751850e-01,  4.523632666514507e+02
s32         ,  3.857616783620361e-01,  3.306131145169779e-01, -1.792878633159145e-01,  2.996438988589548e+02
s33         ,  4.141193231435004e-01,  3.853605348399273e-01,  2.872556643172186e-02,  1.351791298944184e+02
s34         ,  4.179319881718991e-01,  3.594433414323571e-01, -5.765245815444058e-02,  2.229036153619451e+02
s35         ,  3.612111930609704e-01,  3.814491692438458e-01,  5.677885583507125e-04,  1.360809974044494e+02
s36         ,  3.787074193034875e-01,  3.603804444702148e-01,  1.629377962925679e-01,  3.971550646636163e+02
s37         ,  3.867254135891385e-01,  3.625481203419169e-01,  1.583645380015084e-01,  3.801925358237907e+02
s38         ,  3.446930711358910e-01,  3.607953836788034e-01, -1.513355065545662e-01,  1.382182695205456e+02
s39         ,  2.876898720952064e-01,  3.370576842877134e-01, -1.591085244671556e-01,  2.767701759140670e+02
s40         ,  3.049912944269815e-01,  3.387798107658245e-01, -9.260031202555204e-02,  3.205200139222909e+02
s41         ,  3.032122447573497e-01,  3.148320365779185e-01, -9.060440147565874e-02,  4.683243148783191e+02
s42         ,  3.284012713704346e-01,  3.259086639452517e-01,  4.224146301611585e-02,  5.090972387199362e+02
s43         ,  3.521735822893021e-01,  3.470142741494206e-01, -1.515331048154459e-01,  2.221761992790753e+02
s44         ,  3.330769886831567e-01,  3.233361065696130e-01,  3.539456940220217e-02,  5.192138603305290e+02
s45         ,  3.222694574216643e-01,  3.205351281864796e-01, -8.838336342410151e-02,  4.353250171888099e+02
s46         ,  3.537154217541030e-01,  3.170785378561588e-01, -5.879530444206718e-02,  4.805636656071225e+02
s47         ,  3.064622412169097e-01,  3.142548781898836e-01, -1.843605789855209e-01,  3.953550414155066e+02
s48         ,  2.709027668189650e-01,  2.732582536018238e-01, -5.112136932826805e-03,  7.918384188872830e+02
s49         ,  3.986674224858993e-01,  3.570374412931234e-01,  1.344794205037129e-01,  3.943424321023078e+02
s50         ,  3.630933243380700e-01,  3.300216816004651e-01,  2.557466259082548e-02,  4.703937732294669e+02
s51         ,  3.785261269820064e-01,  3.827929541178118e-01,  6.292220179653368e-02,  1.787512799907370e+02
s52         ,  3.404870415156796e-01,  3.670286185583742e-01,  1.294351048128195e-01,  3.292413579268077e+02
s53         ,  2.464211996641334e-01,  3.371174882077352e-01, -5.185425279744299e-02,  3.639099514705289e+02
s54         ,  4.479825317233843e-01,  3.921061755846110e-01,  3.240651398480088e-02,  9.700725545655393e+01
s55         ,  3.436317929445776e-01,  3.298189301819006e-01,  1.037224488311621e-02,  4.592282633981696e+02
s56         ,  3.917346641556894e-01,  3.858010511450861e-01, -5.572711894520566e-02,  6.358840251090116e+01
s57         ,  3.497750017469617e-01,  3.750829184197903e-01, -1.096863046908764e-02,  1.655281061537924e+02
s58         ,  4.567353100642558e-01,  3.652459664119805e-01, -8.132544466581365e-02,  1.681707891340718e+02
s59         ,  3.347920174849711e-01,  3.298017487561554e-01, -2.302372611462891e-03,  4.489923836463295e+02
s60         ,  2.709373029897972e-01,  2.948769563436601e-01, -7.994762449791984e-03,  6.575272052146565e+02
s61         ,  2.790893938381299e-01,  3.113500507938650e-01,  1.411277091648948e-02,  5.750130561388123e+02
