# c0 + a0 * (SBI - NBI) + a1 * (face-area-count * face-area-avg)
# Property Label: $E$; Unit of the Property: eV
# RMSE: 0.0325506504364833; Max AE: 0.123215729107451
# Coefficients
# Task   a0                      a1                      c0
# all , -1.350076806006971e-01, -7.319135922767437e-04,  3.596660176219292e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         5|4|sub; (SBI - NBI); $\left(SBI - NBI\right)$; (SBI - NBI); (newdata$SBI - newdata$NBI); SBI,NBI
# 1;  1; A^2;                                              34|32|mult; (face-area-count * face-area-avg); $\left(face-area-count face-area-avg\right)$; (face_sub_area_sub_count .* face_sub_area_sub_avg); (newdata$face_sub_area_sub_count * newdata$face_sub_area_sub_avg); face-area-count,face-area-avg
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          ,  3.651132093274850e-01,  3.594967127863419e-01, -3.375212643988400e-01,  6.248998294076718e+01
s2          ,  4.250240521814745e-01,  3.601327202940346e-01, -4.497088211125086e-01,  8.231496565674937e+01
s3          ,  2.746380789449931e-01,  3.037945198660338e-01, -3.102117903801258e-01,  1.335573940716553e+02
s4          ,  3.247370215691567e-01,  2.997008155902414e-01, -3.137194677021182e-01,  1.397975673701494e+02
s5          ,  3.450588503436838e-01,  3.446387738068044e-01, -4.905722641740900e-01,  1.110216673467333e+02
s6          ,  3.418868902527870e-01,  3.637229454599283e-01, -3.500794614898473e-01,  5.903222557909469e+01
s7          ,  3.253614410179195e-01,  3.464218957702061e-01, -2.066303902157438e-01,  5.620992971095411e+01
s8          ,  3.920908336338758e-01,  3.117582654554406e-01, -3.390781322479878e-01,  1.280013178226131e+02
s9          ,  3.897447923973993e-01,  3.913175108748875e-01, -4.356200597920927e-01,  3.710897150881102e+01
s10         ,  3.161197563926354e-01,  3.440333302652456e-01, -3.769043926577314e-01,  9.088186900683678e+01
s11         ,  3.431871249187676e-01,  2.941258997266772e-01, -2.408234273757754e-01,  1.339681777934396e+02
s12         ,  2.917324756968375e-01,  2.905896959234187e-01, -1.315068258989337e-01,  1.186352517053047e+02
s13         ,  2.447364458196310e-01,  3.159134839377775e-01, -3.569219880321091e-01,  1.256155704907216e+02
s14         ,  3.105728952400728e-01,  2.929628650050809e-01, -3.745813932599276e-01,  1.602300038618577e+02
s15         ,  3.795908353494076e-01,  3.407793853754152e-01, -2.413400739214120e-01,  7.032168333223625e+01
s16         ,  3.670742293030571e-01,  3.781762420502319e-01, -3.617951416295873e-01,  4.144601058896406e+01
s17         ,  2.954366621683970e-01,  2.990082103490678e-01, -1.980356940443826e-01,  1.194050061703162e+02
s18         ,  3.635454507147386e-01,  3.262689364310068e-01, -2.625884731071820e-01,  9.406648902835148e+01
s19         ,  3.651486704953139e-01,  3.894467674387072e-01, -3.712113554236319e-01,  2.778420090321054e+01
s20         ,  3.399672486499590e-01,  2.916090101338046e-01, -3.169518912951237e-01,  1.514494994539887e+02
s21         ,  3.890225043355258e-01,  3.477207652673427e-01, -1.620537567535806e-01,  4.621276957202334e+01
s22         ,  2.558533901530953e-01,  2.671028752826350e-01, -3.555878269849804e-01,  1.920585047110691e+02
s23         ,  4.117639764254846e-01,  3.977166739038803e-01, -4.888331757341710e-01,  3.818152479948186e+01
s24         ,  3.311791000527954e-01,  3.496356612387719e-01, -4.445087828077657e-01,  9.569771199192195e+01
s25         ,  3.690868050126928e-01,  3.761004519749605e-01, -1.894437170699561e-01,  1.249043956749137e+01
s26         ,  2.979562579207253e-01,  2.567830097889529e-01, -2.948802192223005e-01,  1.949603119697909e+02
s27         ,  3.397813902812787e-01,  3.447518443246901e-01, -3.810206030148732e-01,  9.065944651328017e+01
s28         ,  2.613491376061739e-01,  2.995878374824814e-01, -3.665417423521666e-01,  1.496954446179009e+02
s29         ,  3.947313720925611e-01,  3.911989493962894e-01, -3.074155747655858e-01,  1.362255334575322e+01
s30         ,  2.592589137508671e-01,  3.177310324112139e-01, -3.630604583111255e-01,  1.242645806347276e+02
s31         ,  3.031212395007984e-01,  3.223744930469339e-01, -2.122051460632009e-01,  9.009376223141300e+01
s32         ,  3.857616783620361e-01,  3.433076171806183e-01, -2.767953103343653e-01,  7.340742658374994e+01
s33         ,  4.141193231435004e-01,  3.783423354818207e-01, -2.937997029026026e-01,  2.867674382828888e+01
s34         ,  4.179319881718991e-01,  3.500919182054890e-01, -2.650505466616372e-01,  6.197174016413736e+01
s35         ,  3.612111930609704e-01,  3.785589832405265e-01, -3.000377929644538e-01,  2.953141071591577e+01
s36         ,  3.787074193034875e-01,  3.409693359621516e-01, -4.061544210392594e-01,  1.004635639861220e+02
s37         ,  3.867254135891385e-01,  3.542199615345900e-01, -4.338704537078261e-01,  8.747193712368941e+01
s38         ,  3.446930711358910e-01,  3.641924508477524e-01, -2.313037966893596e-01,  3.648156853636682e+01
s39         ,  2.876898720952064e-01,  3.294996667454739e-01, -4.247175611046983e-02,  4.905000335940491e+01
s40         ,  3.049912944269815e-01,  3.292709941935671e-01, -1.934540368778354e-01,  7.721239890393008e+01
s41         ,  3.032122447573497e-01,  3.079476486299675e-01, -2.083036076709502e-01,  1.090852209425641e+02
s42         ,  3.284012713704346e-01,  3.130868891941210e-01, -3.492181931214536e-01,  1.280564641696983e+02
s43         ,  3.521735822893021e-01,  3.422331290184424e-01, -9.100146158352718e-02,  4.060422593151581e+01
s44         ,  3.330769886831567e-01,  3.398034492021442e-01, -4.097674313812279e-01,  1.027229439507964e+02
s45         ,  3.222694574216643e-01,  3.386303224641497e-01, -3.869397476747008e-01,  1.001150051000196e+02
s46         ,  3.537154217541030e-01,  3.171724662411172e-01, -3.117733362517686e-01,  1.155673938479366e+02
s47         ,  3.064622412169097e-01,  3.248242384215300e-01, -2.637113223309400e-01,  9.624747226965897e+01
s48         ,  2.709027668189650e-01,  2.619389704211411e-01, -3.931448097714856e-01,  2.060415569536493e+02
