# c0 + a0 * (Na-Na-max / RBI) + a1 * (face-area-count * face-area-avg)
# Property Label: $E$; Unit of the Property: eV
# RMSE: 0.0325644170117744; Max AE: 0.114330774090016
# Coefficients
# Task   a0                      a1                      c0
# all , -1.356364501050330e-02, -7.417136389218033e-04,  4.288991392179575e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; A;                                                23|6|div; (Na-Na-max / RBI); $\left(\frac{ Na-Na-max }{ RBI } \right)$; (Na_sub_Na_sub_max ./ RBI); (newdata$Na_sub_Na_sub_max / newdata$RBI); Na-Na-max,RBI
# 1;  1; A^2;                                              34|32|mult; (face-area-count * face-area-avg); $\left(face-area-count face-area-avg\right)$; (face_sub_area_sub_count .* face_sub_area_sub_avg); (newdata$face_sub_area_sub_count * newdata$face_sub_area_sub_avg); face-area-count,face-area-avg
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          ,  3.651132093274850e-01,  3.514803546389496e-01,  2.290616711937763e+00,  6.248998294076718e+01
s2          ,  4.250240521814745e-01,  3.493226241505698e-01,  1.365590321632101e+00,  8.231496565674937e+01
s3          ,  2.746380789449931e-01,  3.035201760804737e-01,  1.940306042756460e+00,  1.335573940716553e+02
s4          ,  3.247370215691567e-01,  3.045668424481260e-01,  1.521901697317866e+00,  1.397975673701494e+02
s5          ,  3.450588503436838e-01,  3.309154415682050e-01,  1.152891626899096e+00,  1.110216673467333e+02
s6          ,  3.418868902527870e-01,  3.585064031641593e-01,  1.961694602392710e+00,  5.903222557909469e+01
s7          ,  3.253614410179195e-01,  3.492540569068258e-01,  2.798171934777932e+00,  5.620992971095411e+01
s8          ,  3.920908336338758e-01,  3.170158566965735e-01,  1.249144995999759e+00,  1.280013178226131e+02
s9          ,  3.897447923973993e-01,  3.841047436744352e-01,  1.273268744183661e+00,  3.710897150881102e+01
s10         ,  3.161197563926354e-01,  3.505234408022581e-01,  8.085862343146715e-01,  9.088186900683678e+01
s11         ,  3.431871249187676e-01,  2.782164481716293e-01,  3.783397925535119e+00,  1.339681777934396e+02
s12         ,  2.917324756968375e-01,  2.896712845104402e-01,  3.777337907405948e+00,  1.186352517053047e+02
s13         ,  2.447364458196310e-01,  3.187603777436229e-01,  1.250989654129375e+00,  1.256155704907216e+02
s14         ,  3.105728952400728e-01,  2.934908799667633e-01,  1.221167319664799e+00,  1.602300038618577e+02
s15         ,  3.795908353494076e-01,  3.466057394474414e-01,  2.221736716621591e+00,  7.032168333223625e+01
s16         ,  3.670742293030571e-01,  3.752719540143270e-01,  1.687312949666257e+00,  4.144601058896406e+01
s17         ,  2.954366621683970e-01,  2.970638830297825e-01,  3.190214320899846e+00,  1.194050061703162e+02
s18         ,  3.635454507147386e-01,  3.204876358652823e-01,  2.848873252354812e+00,  9.406648902835148e+01
s19         ,  3.651486704953139e-01,  3.835821831491927e-01,  1.821710557388968e+00,  2.778420090321054e+01
s20         ,  3.399672486499590e-01,  2.975616944587543e-01,  1.401193071005793e+00,  1.514494994539887e+02
s21         ,  3.890225043355258e-01,  3.579051860372031e-01,  2.707038680856163e+00,  4.621276957202334e+01
s22         ,  2.558533901530953e-01,  2.738789133418223e-01,  9.265808306893608e-01,  1.920585047110691e+02
s23         ,  4.117639764254846e-01,  3.825174060088503e-01,  1.331646139110377e+00,  3.818152479948186e+01
s24         ,  3.311791000527954e-01,  3.369310945593972e-01,  1.547352975124961e+00,  9.569771199192195e+01
s25         ,  3.690868050126928e-01,  3.882947935350639e-01,  2.310589541033250e+00,  1.249043956749137e+01
s26         ,  2.979562579207253e-01,  2.624099066445432e-01,  1.613468217431513e+00,  1.949603119697909e+02
s27         ,  3.397813902812787e-01,  3.470550694414620e-01,  1.076460036309377e+00,  9.065944651328017e+01
s28         ,  2.613491376061739e-01,  2.935968178175751e-01,  1.789428168020238e+00,  1.496954446179009e+02
s29         ,  3.947313720925611e-01,  3.955825495816371e-01,  1.711380385203254e+00,  1.362255334575322e+01
s30         ,  2.592589137508671e-01,  3.172383993602266e-01,  1.437077242213376e+00,  1.242645806347276e+02
s31         ,  3.031212395007984e-01,  3.329564422329692e-01,  2.146836247455780e+00,  9.009376223141300e+01
s32         ,  3.857616783620361e-01,  3.458031160411667e-01,  2.112170707747639e+00,  7.340742658374994e+01
s33         ,  4.141193231435004e-01,  3.817415997245802e-01,  1.908602551601881e+00,  2.867674382828888e+01
s34         ,  4.179319881718991e-01,  3.634398951507615e-01,  1.437221273827327e+00,  6.197174016413736e+01
s35         ,  3.612111930609704e-01,  3.807861430786037e-01,  1.932308462397971e+00,  2.953141071591577e+01
s36         ,  3.787074193034875e-01,  3.200443316527097e-01,  2.531739212833727e+00,  1.004635639861220e+02
s37         ,  3.867254135891385e-01,  3.336983219345214e-01,  2.235511801761621e+00,  8.747193712368941e+01
s38         ,  3.446930711358910e-01,  3.752864483360656e-01,  1.957719618041137e+00,  3.648156853636682e+01
s39         ,  2.876898720952064e-01,  3.364551344508672e-01,  4.133324651511141e+00,  4.905000335940491e+01
s40         ,  3.049912944269815e-01,  3.444494897137065e-01,  2.003897928785927e+00,  7.721239890393008e+01
s41         ,  3.032122447573497e-01,  3.164393224156779e-01,  2.326057678444853e+00,  1.090852209425641e+02
s42         ,  3.284012713704346e-01,  3.171224658326407e-01,  1.238269458213069e+00,  1.280564641696983e+02
s43         ,  3.521735822893021e-01,  3.496339327434704e-01,  3.623546492492262e+00,  4.060422593151581e+01
s44         ,  3.330769886831567e-01,  3.469215717633745e-01,  4.266227029383640e-01,  1.027229439507964e+02
s45         ,  3.222694574216643e-01,  3.430543903455174e-01,  8.543488214308290e-01,  1.001150051000196e+02
s46         ,  3.537154217541030e-01,  3.167924721284833e-01,  1.945550391312741e+00,  1.155673938479366e+02
s47         ,  3.064622412169097e-01,  3.203677212248731e-01,  2.738449367420597e+00,  9.624747226965897e+01
s48         ,  2.709027668189650e-01,  2.643876302245013e-01,  8.616913821616753e-01,  2.060415569536493e+02
s49         ,  3.986674224858993e-01,  3.484832677652875e-01,  8.661412598645565e-01,  9.257998676515706e+01
s50         ,  3.630933243380700e-01,  3.211861684169841e-01,  1.283462061786137e+00,  1.217512288728159e+02
s51         ,  3.785261269820064e-01,  3.800442745044531e-01,  1.600305806554209e+00,  3.660291980692317e+01
s52         ,  3.404870415156796e-01,  3.234947111659439e-01,  2.031851987847645e+00,  1.049530504631447e+02
