# c0 + a0 * (poly_dist_avg - SBI) + a1 * (Ge * S) + a2 * (face-area-count * face-area-avg)
# Property Label: $E$; Unit of the Property: eV
# RMSE: 0.0305906792953316; Max AE: 0.121336179912548
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  1.279217290440420e-01,  4.169345147774051e-01, -7.260363930417323e-04,  4.003156982124522e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         29|5|sub; (poly_dist_avg - SBI); $\left(poly_{dist, avg} - SBI\right)$; (poly_dist_avg - SBI); (newdata$poly_dist_avg - newdata$SBI); poly_dist_avg,SBI
# 1;  1; Unitless;                                         18|10|mult; (Ge * S); $\left(Ge S\right)$; (Ge .* S); (newdata$Ge * newdata$S); Ge,S
# 2;  1; A^2;                                              34|32|mult; (face-area-count * face-area-avg); $\left(face-area-count face-area-avg\right)$; (face_sub_area_sub_count .* face_sub_area_sub_avg); (newdata$face_sub_area_sub_count * newdata$face_sub_area_sub_avg); face-area-count,face-area-avg
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
s1          ,  3.651132093274850e-01,  3.631552949150630e-01,  6.417673197130047e-02,  0.000000000000000e+00,  6.248998294076718e+01
s2          ,  4.250240521814745e-01,  3.630936256590983e-01,  1.762139112243052e-01,  0.000000000000000e+00,  8.231496565674937e+01
s3          ,  2.746380789449931e-01,  2.913697260417912e-01, -9.363884935216206e-02,  0.000000000000000e+00,  1.335573940716553e+02
s4          ,  3.247370215691567e-01,  3.012737121968966e-01,  1.920029984140204e-02,  0.000000000000000e+00,  1.397975673701494e+02
s5          ,  3.450588503436838e-01,  3.401809782762410e-01,  1.600279415129083e-01,  0.000000000000000e+00,  1.110216673467333e+02
s6          ,  3.418868902527870e-01,  3.644337069160667e-01,  5.454548565305867e-02,  0.000000000000000e+00,  5.903222557909469e+01
s7          ,  3.253614410179195e-01,  3.546651956304842e-01, -3.783601111138252e-02,  0.000000000000000e+00,  5.620992971095411e+01
s8          ,  3.920908336338758e-01,  3.852626932438540e-01,  1.467242940128557e-02,  1.822916666666667e-01,  1.280013178226131e+02
s9          ,  3.897447923973993e-01,  3.899013304970742e-01,  1.292047585025767e-01,  0.000000000000000e+00,  3.710897150881102e+01
s10         ,  3.161197563926354e-01,  3.552939895343540e-01, -1.646476650975018e-03,  5.078125000000000e-02,  9.088186900683678e+01
s11         ,  3.431871249187676e-01,  2.808733357391155e-01, -1.733606170862432e-01,  0.000000000000000e+00,  1.339681777934396e+02
s12         ,  2.917324756968375e-01,  2.850674322393467e-01, -2.275982036434495e-01,  0.000000000000000e+00,  1.186352517053047e+02
s13         ,  2.447364458196310e-01,  3.098018875747017e-01,  5.375670547540484e-03,  0.000000000000000e+00,  1.256155704907216e+02
s14         ,  3.105728952400728e-01,  3.237948946299447e-01, -1.435766620032257e-02,  9.989258861439311e-02,  1.602300038618577e+02
