# c0 + a0 * (poly_dist_avg - SBI) + a1 * (Ge * S) + a2 * (face-area-count * Na-Na)
# Property Label: $E$; Unit of the Property: eV
# RMSE: 0.0308458450725926; Max AE: 0.114072371546858
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  1.193951673186615e-01,  4.405893694330341e-01, -8.857258604519799e-04,  4.147440541820390e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         29|5|sub; (poly_dist_avg - SBI); $\left(poly_{dist, avg} - SBI\right)$; (poly_dist_avg - SBI); (newdata$poly_dist_avg - newdata$SBI); poly_dist_avg,SBI
# 1;  1; Unitless;                                         18|10|mult; (Ge * S); $\left(Ge S\right)$; (Ge .* S); (newdata$Ge * newdata$S); Ge,S
# 2;  1; A;                                                34|22|mult; (face-area-count * Na-Na); $\left(face-area-count Na-Na\right)$; (face_sub_area_sub_count .* Na_sub_Na); (newdata$face_sub_area_sub_count * newdata$Na_sub_Na); face-area-count,Na-Na
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
s1          ,  3.651132093274850e-01,  3.631995841508935e-01,  6.417673197130047e-02,  0.000000000000000e+00,  6.684558318373008e+01
s2          ,  4.250240521814745e-01,  3.631688868157726e-01,  1.762139112243052e-01,  0.000000000000000e+00,  8.198276692938992e+01
s3          ,  2.746380789449931e-01,  2.993497357377299e-01, -9.363884935216206e-02,  0.000000000000000e+00,  1.176597602165537e+02
s4          ,  3.247370215691567e-01,  2.821030822959765e-01,  1.920029984140204e-02,  0.000000000000000e+00,  1.523421646843861e+02
s5          ,  3.450588503436838e-01,  3.428830521863474e-01,  1.600279415129083e-01,  0.000000000000000e+00,  1.027039729898663e+02
s6          ,  3.418868902527870e-01,  3.599609878795235e-01,  5.454548565305867e-02,  0.000000000000000e+00,  6.920373043783702e+01
s7          ,  3.253614410179195e-01,  3.497098133478970e-01, -3.783601111138252e-02,  0.000000000000000e+00,  6.832453094002071e+01
s8          ,  3.920908336338758e-01,  3.741008442960057e-01,  1.467242940128557e-02,  1.822916666666667e-01,  1.385426383015576e+02
s9          ,  3.897447923973993e-01,  3.900515058989202e-01,  1.292047585025767e-01,  0.000000000000000e+00,  4.529502167005563e+01
s10         ,  3.161197563926354e-01,  3.590342223657692e-01, -1.646476650975018e-03,  5.078125000000000e-02,  8.793570658286575e+01
s11         ,  3.431871249187676e-01,  2.730960336507015e-01, -1.733606170862432e-01,  0.000000000000000e+00,  1.365542162065126e+02
s12         ,  2.917324756968375e-01,  2.665474600740225e-01, -2.275982036434495e-01,  0.000000000000000e+00,  1.366364852899554e+02
s13         ,  2.447364458196310e-01,  2.988832732021307e-01,  5.375670547540484e-03,  0.000000000000000e+00,  1.315334859986265e+02
s14         ,  3.105728952400728e-01,  3.366866570101251e-01, -1.435766620032257e-02,  9.989258861439311e-02,  1.358826463312854e+02
s15         ,  3.795908353494076e-01,  3.499804592171646e-01, -1.921777951832675e-01,  3.961632479540865e-02,  6.692028443727891e+01
s16         ,  3.670742293030571e-01,  3.757336111121719e-01,  5.277935271314915e-02,  0.000000000000000e+00,  5.115808936063097e+01
s17         ,  2.954366621683970e-01,  2.856416685093707e-01, -1.857006927403524e-01,  0.000000000000000e+00,  1.207265421122248e+02
s18         ,  3.635454507147386e-01,  3.204770122016286e-01, -4.303154910176671e-02,  0.000000000000000e+00,  1.006285205785249e+02
s19         ,  3.651486704953139e-01,  3.807779428217063e-01, -1.448627021405524e-02,  0.000000000000000e+00,  3.639559613609121e+01
s20         ,  3.399672486499590e-01,  2.854235905194917e-01,  1.541991098392556e-02,  0.000000000000000e+00,  1.480836592572572e+02
s21         ,  3.890225043355258e-01,  3.559493280901802e-01, -1.109021690684581e-01,  0.000000000000000e+00,  5.143074747380877e+01
s22         ,  2.558533901530953e-01,  2.647889520334540e-01,  1.226778579962567e-02,  0.000000000000000e+00,  1.709556232325567e+02
