# c0 + a0 * (Ge * S) + a1 * (poly_dist_avg_fixed - SBI) + a2 * (face-area-count * face-area-max)
# Property Label: $E$; Unit of the Property: eV
# RMSE: 0.0308596015191988; Max AE: 0.117481306179331
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  3.467122417372410e-01,  1.284851274683867e-01, -1.807243889383324e-04,  4.064912696417466e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         18|10|mult; (Ge * S); $\left(Ge S\right)$; (Ge .* S); (newdata$Ge * newdata$S); Ge,S
# 1;  1; Unitless;                                         30|5|sub; (poly_dist_avg_fixed - SBI); $\left(poly_{dist, avg, fixed} - SBI\right)$; (poly_dist_avg_fixed - SBI); (newdata$poly_dist_avg_fixed - newdata$SBI); poly_dist_avg_fixed,SBI
# 2;  1; A^2;                                              34|31|mult; (face-area-count * face-area-max); $\left(face-area-count face-area-max\right)$; (face_sub_area_sub_count .* face_sub_area_sub_max); (newdata$face_sub_area_sub_count * newdata$face_sub_area_sub_max); face-area-count,face-area-max
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
s1          ,  3.651132093274850e-01,  3.655878682967102e-01,  0.000000000000000e+00,  6.417673197130047e-02,  2.719564150782347e+02
s2          ,  4.250240521814745e-01,  3.673892817443993e-01,  0.000000000000000e+00,  1.762139112243052e-01,  3.416409655908329e+02
s3          ,  2.746380789449931e-01,  2.876453360413461e-01,  0.000000000000000e+00, -9.027419476714434e-02,  5.934287165592986e+02
s4          ,  3.247370215691567e-01,  3.144990680564729e-01,  0.000000000000000e+00,  1.920029984140204e-02,  5.226696579954097e+02
s5          ,  3.450588503436838e-01,  3.363323901109699e-01,  0.000000000000000e+00,  1.983272356832427e-01,  5.292090362005653e+02
s6          ,  3.418868902527870e-01,  3.685632463769596e-01,  0.000000000000000e+00,  5.454548565305867e-02,  2.486455049355774e+02
s7          ,  3.253614410179195e-01,  3.574497763039066e-01,  0.000000000000000e+00, -3.783601111138252e-02,  2.444613529299252e+02
s8          ,  3.920908336338758e-01,  3.963170370517599e-01,  1.822916666666667e-01,  1.467242940128557e-02,  4.164472454106956e+02
s9          ,  3.897447923973993e-01,  3.915428339087615e-01,  0.000000000000000e+00,  1.292047585025767e-01,  1.745714885746613e+02
s10         ,  3.161197563926354e-01,  3.583977956477898e-01,  5.078125000000000e-02, -1.646476650975018e-03,  3.623661844536549e+02
s11         ,  3.431871249187676e-01,  2.956661268331857e-01,  0.000000000000000e+00, -1.724462936149827e-01,  4.906275202415810e+02
s12         ,  2.917324756968375e-01,  2.992480253027296e-01,  0.000000000000000e+00, -1.409712193009257e-01,  4.931848976298222e+02
s13         ,  2.447364458196310e-01,  3.057060371200797e-01,  0.000000000000000e+00,  5.375670547540484e-03,  5.614954729315575e+02
s14         ,  3.105728952400728e-01,  3.369303307396109e-01,  9.989258861439311e-02, -1.317028649891022e-02,  5.671771081707008e+02
s15         ,  3.795908353494076e-01,  3.458196695298744e-01,  3.961632479540865e-02, -1.921777951832675e-01,  2.750878100759685e+02
s16         ,  3.670742293030571e-01,  3.786559094923076e-01,  0.000000000000000e+00,  5.277935271314915e-02,  1.915442747591695e+02
s17         ,  2.954366621683970e-01,  2.864507861759710e-01,  0.000000000000000e+00, -1.857006927403524e-01,  5.321954986434232e+02
s18         ,  3.635454507147386e-01,  3.129999130779330e-01,  0.000000000000000e+00, -8.429535440795718e-02,  4.573851802366324e+02
s19         ,  3.651486704953139e-01,  3.738422379573152e-01,  0.000000000000000e+00, -1.342198368609421e-02,  1.711141843185161e+02
s20         ,  3.399672486499590e-01,  3.050445863654577e-01,  0.000000000000000e+00,  1.541991098392556e-02,  5.722963741208272e+02
s21         ,  3.890225043355258e-01,  3.454031302940299e-01,  0.000000000000000e+00, -1.919254219138963e-01,  2.015697895712136e+02
s22         ,  2.558533901530953e-01,  2.596792691705315e-01,  0.000000000000000e+00,  1.612057280721170e-02,  8.238138482461038e+02
s23         ,  4.117639764254846e-01,  3.890770352484397e-01,  0.000000000000000e+00,  9.352393369827960e-02,  1.628483521718689e+02
s24         ,  3.311791000527954e-01,  3.454500793168303e-01,  0.000000000000000e+00,  6.687921798360624e-02,  3.853059101850771e+02
