# c0 + a0 * (E_T / cub_root_V)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.545016412429711; Max AE: 2.66069527471599
# Coefficients
# Task   a0                      c0
# all , -1.916577818778664e+01, -1.131503864694176e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; A^-1;                                             0|21|div; (E_T / cub_root_V); $\left(\frac{ E_{T} }{ cub_{root, V} } \right)$; (E_T ./ cub_root_V); (newdata$E_T / newdata$cub_root_V); E_T,cub_root_V
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -2.244947812336508e+01, -2.204842669711457e+01,  5.600288151624674e-01
s2          , -2.298888400764099e+01, -2.292565121541121e+01,  6.057991726038179e-01
s3          , -1.755271246623431e+01, -1.791322041872304e+01,  3.442689207363340e-01
s4          , -1.917258847351942e+01, -1.922480581451480e+01,  4.127026353990429e-01
s5          , -2.000094091703784e+01, -2.039528155037871e+01,  4.737737656393893e-01
s6          , -2.179532463031582e+01, -2.160362919572392e+01,  5.368209131909156e-01
s7          , -2.156980503382011e+01, -2.068730087871735e+01,  4.890102629773755e-01
s8          , -2.070680399014268e+01, -2.114696168920610e+01,  5.129936778945775e-01
s9          , -2.311678210871720e+01, -2.309055223481255e+01,  6.144031028896449e-01
s10         , -1.955558688693647e+01, -1.910483650922270e+01,  4.064430771323952e-01
s11         , -1.929232032084748e+01, -1.944924486421720e+01,  4.244130417025775e-01
s12         , -1.972420304545977e+01, -1.890471402797672e+01,  3.960014201704300e-01
s13         , -1.649771434553038e+01, -1.743818583615987e+01,  3.194833587879088e-01
s14         , -1.814284237715737e+01, -1.866808056850374e+01,  3.836547542978292e-01
s15         , -2.140988745272463e+01, -2.099017346932614e+01,  5.048130437275874e-01
s16         , -2.271802967642396e+01, -2.267317663741743e+01,  5.926259752767892e-01
s17         , -1.845283706311921e+01, -1.844186863810752e+01,  3.718518455831509e-01
s18         , -2.106370881996578e+01, -2.085624009247356e+01,  4.978248914313283e-01
s19         , -2.166440903696862e+01, -2.266893779365010e+01,  5.924048079583639e-01
s20         , -1.957524373940041e+01, -1.962934218560736e+01,  4.338098592815747e-01
s21         , -2.230012329283520e+01, -2.241522435122637e+01,  5.791669712299075e-01
s22         , -1.709175230426198e+01, -1.736190073402502e+01,  3.155030819952101e-01
s23         , -2.271630669020732e+01, -2.369036021174260e+01,  6.456988828497973e-01
s24         , -1.997593461761007e+01, -1.994032600915543e+01,  4.500358544121166e-01
s25         , -2.228124530569044e+01, -2.272620026790577e+01,  5.953925538090468e-01
s26         , -1.806502239865187e+01, -1.781344620565006e+01,  3.390630683000078e-01
s27         , -2.017409009594002e+01, -2.000977999932623e+01,  4.536597088411039e-01
s28         , -1.658938425028538e+01, -1.732177819569109e+01,  3.134096351264836e-01
s29         , -2.262132344831001e+01, -2.354904606551908e+01,  6.383256290826437e-01
s30         , -1.697997334312175e+01, -1.753783978855431e+01,  3.246829364631810e-01
s31         , -1.964904728113367e+01, -1.887558890823185e+01,  3.944817782618419e-01
s32         , -2.151059652715050e+01, -2.144506277835028e+01,  5.285474992016691e-01
s33         , -2.289264810431292e+01, -2.362822929882979e+01,  6.424571197288816e-01
s34         , -2.302504917991390e+01, -2.216592342072307e+01,  5.661593631870380e-01
s35         , -2.244061385591441e+01, -2.248360951625241e+01,  5.827350582836130e-01
s36         , -2.239655424600443e+01, -2.124235402562281e+01,  5.179709000810212e-01
s37         , -2.226102540809307e+01, -2.164057775728431e+01,  5.387487535947005e-01
s38         , -2.102436377352775e+01, -2.089013522607348e+01,  4.995934151650278e-01
s39         , -2.141661104833067e+01, -1.984801554177615e+01,  4.452194328468236e-01
s40         , -1.990275935468409e+01, -1.898314738809631e+01,  4.000937851843156e-01
s41         , -1.952311408648237e+01, -1.906361434178681e+01,  4.042922556508987e-01
s42         , -1.862175379272403e+01, -1.930755260617229e+01,  4.170200594476119e-01
s43         , -2.257821044890805e+01, -2.192574219253646e+01,  5.536275877572430e-01
