# c0 + a0 * (E_T / AAV)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.757543551742838; Max AE: 2.38120055393905
# Coefficients
# Task   a0                      c0
# all , -7.121880410007405e+00, -1.542166981032282e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; A^-3;                                             0|1|div; (E_T / AAV); $\left(\frac{ E_{T} }{ AAV } \right)$; (E_T ./ AAV); (newdata$E_T / newdata$AAV); E_T,AAV
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -2.244947812336508e+01, -2.229503702970090e+01,  9.651056776690431e-01
s2          , -2.298888400764099e+01, -2.163104413817292e+01,  8.718728721034001e-01
s3          , -1.755271246623431e+01, -1.838276762229675e+01,  4.157747169993333e-01
s4          , -1.917258847351942e+01, -1.881012960607670e+01,  4.757816195554954e-01
s5          , -2.000094091703784e+01, -1.984289858319858e+01,  6.207951437464752e-01
s6          , -2.179532463031582e+01, -2.202354987498287e+01,  9.269855269379875e-01
s7          , -2.156980503382011e+01, -2.138928184948128e+01,  8.379264598115109e-01
s8          , -2.070680399014268e+01, -1.963481238538254e+01,  5.915772706797437e-01
s9          , -2.311678210871720e+01, -2.287081412968331e+01,  1.045951896200506e+00
s10         , -1.955558688693647e+01, -1.910576936952148e+01,  5.172930949559186e-01
s11         , -1.929232032084748e+01, -1.909198697096503e+01,  5.153578759178288e-01
s12         , -1.972420304545977e+01, -1.898495842395234e+01,  5.003297455855216e-01
s13         , -1.649771434553038e+01, -1.802341107003337e+01,  3.653166172314097e-01
s14         , -1.814284237715737e+01, -1.838663257642770e+01,  4.163174043106116e-01
s15         , -2.140988745272463e+01, -2.036814928588011e+01,  6.945468318460781e-01
s16         , -2.271802967642396e+01, -2.289885565030540e+01,  1.049889272147270e+00
s17         , -1.845283706311921e+01, -1.888449820172724e+01,  4.862238892046790e-01
s18         , -2.106370881996578e+01, -2.082015154510219e+01,  7.580135335035419e-01
s19         , -2.166440903696862e+01, -2.354835356233995e+01,  1.141086803507373e+00
s20         , -1.957524373940041e+01, -1.882408704649273e+01,  4.777414166333034e-01
s21         , -2.230012329283520e+01, -2.173946311125373e+01,  8.870962354343065e-01
s22         , -1.709175230426198e+01, -1.770522456911657e+01,  3.206393013262314e-01
s23         , -2.271630669020732e+01, -2.358373625835804e+01,  1.146054971179547e+00
s24         , -1.997593461761007e+01, -2.014846051045681e+01,  6.636998135340879e-01
s25         , -2.228124530569044e+01, -2.325345268872500e+01,  1.099679077367999e+00
s26         , -1.806502239865187e+01, -1.798176134524221e+01,  3.594684812907050e-01
s27         , -2.017409009594002e+01, -1.980979760058288e+01,  6.161473568264380e-01
s28         , -1.658938425028538e+01, -1.791015947890675e+01,  3.494146946201449e-01
