# c0 + a0 * (cub_root_V / E_T) + a1 * (E_T / face-area-avg)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.482416561065835; Max AE: 2.37034943242262
# Coefficients
# Task   a0                      a1                      c0
# all ,  2.250971661175468e+00, -5.401868437561810e-01, -2.270582540392964e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; A;                                                21|0|div; (cub_root_V / E_T); $\left(\frac{ cub_{root, V} }{ E_{T} } \right)$; (cub_root_V ./ E_T); (newdata$cub_root_V / newdata$E_T); cub_root_V,E_T
# 1;  1; A^-2;                                             0|32|div; (E_T / face-area-avg); $\left(\frac{ E_{T} }{ face-area-avg } \right)$; (E_T ./ face_sub_area_sub_avg); (newdata$E_T / newdata$face_sub_area_sub_avg); E_T,face-area-avg
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          , -2.244947812336508e+01, -2.171223399088563e+01,  1.785622405357650e+00,  5.601384139488149e+00
s2          , -2.298888400764099e+01, -2.211984536238313e+01,  1.650712059743902e+00,  5.793784246826711e+00
s3          , -1.755271246623431e+01, -1.786352410803923e+01,  2.904706000940097e+00,  3.139857284339258e+00
s4          , -1.917258847351942e+01, -1.922164893242708e+01,  2.423052130580892e+00,  3.646969989656161e+00
s5          , -2.000094091703784e+01, -2.023210235637718e+01,  2.110712058212918e+00,  4.216004159875661e+00
s6          , -2.179532463031582e+01, -2.141812556707225e+01,  1.862818633603343e+00,  5.378605848839864e+00
s7          , -2.156980503382011e+01, -2.109352487291411e+01,  2.044946856353127e+00,  5.536634084696731e+00
s8          , -2.070680399014268e+01, -2.078602129341670e+01,  1.949341762074317e+00,  4.568991234033469e+00
s9          , -2.311678210871720e+01, -2.287671071006972e+01,  1.627595946857732e+00,  7.098576543807239e+00
s10         , -1.955558688693647e+01, -1.942603643503755e+01,  2.460369129806236e+00,  4.180835287710319e+00
s11         , -1.929232032084748e+01, -1.945285043401848e+01,  2.356195266734488e+00,  3.796378655659334e+00
s12         , -1.972420304545977e+01, -1.900091858947578e+01,  2.525243468999740e+00,  3.664185262398559e+00
s13         , -1.649771434553038e+01, -1.720434648655935e+01,  3.130053483204604e+00,  2.858608626136447e+00
s14         , -1.814284237715737e+01, -1.857894187907918e+01,  2.606510120877338e+00,  3.221657306035711e+00
s15         , -2.140988745272463e+01, -2.120358515917593e+01,  1.980931381281088e+00,  5.473624897421190e+00
s16         , -2.271802967642396e+01, -2.254026585040968e+01,  1.687404942945582e+00,  6.724971546359297e+00
s17         , -1.845283706311921e+01, -1.859844428874468e+01,  2.689243073223868e+00,  3.602510603780557e+00
s18         , -2.106370881996578e+01, -2.089958794329477e+01,  2.008738448422769e+00,  5.026734532438883e+00
s19         , -2.166440903696862e+01, -2.273578550957254e+01,  1.688034915594884e+00,  7.089544863943915e+00
s20         , -1.957524373940041e+01, -1.952698508217433e+01,  2.305157383135743e+00,  3.720941458433395e+00
