# c0 + a0 * (PF / NBI) + a1 * (Al + O) + a2 * (AAV / E_T) + a3 * (O + E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.328320095752139; Max AE: 1.65905783213083
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -1.136791607691088e+00, -2.134287142510275e+00,  7.711971032979245e-01, -5.630559117492897e-01, -1.268897312144537e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         2|4|div; (PF / NBI); $\left(\frac{ PF }{ NBI } \right)$; (PF ./ NBI); (newdata$PF / newdata$NBI); PF,NBI
# 1;  1; Unitless;                                         14|11|add; (Al + O); $\left(Al + O\right)$; (Al + O); (newdata$Al + newdata$O); Al,O
# 2;  1; A^3;                                              1|0|div; (AAV / E_T); $\left(\frac{ AAV }{ E_{T} } \right)$; (AAV ./ E_T); (newdata$AAV / newdata$E_T); AAV,E_T
# 3;  1; Unitless;                                         11|0|add; (O + E_T); $\left(O + E_{T}\right)$; (O + E_T); (newdata$O + newdata$E_T); O,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
s1          , -2.244947812336508e+01, -2.213227834364886e+01,  5.165081433357119e-01,  6.313868613138686e-01,  1.036155960055312e+00,  1.475459637507883e+01
s2          , -2.298888400764099e+01, -2.296949304472161e+01,  5.681630383731537e-01,  4.679245283018868e-01,  1.146956204277227e+00,  1.690858891402743e+01
s3          , -1.755271246623431e+01, -1.784873275711635e+01,  7.046190773197187e-01,  1.086956521739130e-01,  2.405148651695441e+00,  1.062347521346189e+01
s4          , -1.917258847351942e+01, -1.883024016373108e+01,  6.064510126509773e-01,  0.000000000000000e+00,  2.101804607194077e+00,  1.256138883866988e+01
s5          , -2.000094091703784e+01, -2.068621168751101e+01,  5.493112987054934e-01,  4.076923076923077e-01,  1.610837343161285e+00,  1.375516458063223e+01
s6          , -2.179532463031582e+01, -2.162869500119581e+01,  5.784278636291468e-01,  6.183206106870229e-01,  1.078765494109917e+00,  1.384309598910606e+01
s7          , -2.156980503382011e+01, -2.147751531143392e+01,  8.154276614488759e-01,  6.607929515418502e-01,  1.193422153329478e+00,  1.309215039088110e+01
s8          , -2.070680399014268e+01, -2.067347836101320e+01,  6.583487515437011e-01,  0.000000000000000e+00,  1.690396250097580e+00,  1.516675061424882e+01
s9          , -2.311678210871720e+01, -2.283651805841796e+01,  9.967377234843064e-01,  4.682926829268293e-01,  9.560669124771134e-01,  1.554429437036547e+01
s10         , -1.955558688693647e+01, -1.937679064650111e+01,  1.137912260768169e+00,  0.000000000000000e+00,  1.933140051067598e+00,  1.222805813900046e+01
s11         , -1.929232032084748e+01, -1.916404066224813e+01,  4.370992251447368e-01,  0.000000000000000e+00,  1.940399180315321e+00,  1.327507070089868e+01
s12         , -1.972420304545977e+01, -1.938499555273378e+01,  8.896597755200102e-01,  3.947368421052632e-01,  1.998681886941838e+00,  1.133734758203288e+01
s13         , -1.649771434553038e+01, -1.648551713901348e+01,  5.077693086052749e-01,  0.000000000000000e+00,  2.737351526953811e+00,  9.466828401885049e+00
s14         , -1.814284237715737e+01, -1.827526550754439e+01,  5.932910316447554e-01,  0.000000000000000e+00,  2.402013438895067e+00,  1.201349596978806e+01
s15         , -2.140988745272463e+01, -2.112391854124670e+01,  1.124064064911505e+00,  0.000000000000000e+00,  1.439787720781966e+00,  1.468322909220248e+01
s16         , -2.271802967642396e+01, -2.242357538156651e+01,  8.536807828944921e-01,  5.575221238938053e-01,  9.524813963997988e-01,  1.475658727713754e+01
s17         , -1.845283706311921e+01, -1.830069247559945e+01,  6.713726943614471e-01,  0.000000000000000e+00,  2.056665709362223e+00,  1.142800033320397e+01
s18         , -2.106370881996578e+01, -2.159545091040869e+01,  6.738585009138754e-01,  4.897119341563786e-01,  1.319237659752585e+00,  1.440824491533685e+01
