# c0 + a0 * (cub_root_V / E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.582573056890231; Max AE: 3.3391010238026
# Coefficients
# Task   a0                      c0
# all ,  3.740190131816028e+00, -2.863732077308087e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; A;                                                21|0|div; (cub_root_V / E_T); $\left(\frac{ cub_{root, V} }{ E_{T} } \right)$; (cub_root_V ./ E_T); (newdata$cub_root_V / newdata$E_T); cub_root_V,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -2.244947812336508e+01, -2.195875347341259e+01,  1.785622405357650e+00
s2          , -2.298888400764099e+01, -2.246334381675701e+01,  1.650712059743902e+00
s3          , -1.755271246623431e+01, -1.777316805253792e+01,  2.904706000940097e+00
s4          , -1.917258847351942e+01, -1.957464510540641e+01,  2.423052130580892e+00
s5          , -2.000094091703784e+01, -2.074285636184781e+01,  2.110712058212918e+00
s6          , -2.179532463031582e+01, -2.167002490231463e+01,  1.862818633603343e+00
s7          , -2.156980503382011e+01, -2.098883072086069e+01,  2.044946856353127e+00
s8          , -2.070680399014268e+01, -2.134641195103364e+01,  1.949341762074317e+00
s9          , -2.311678210871720e+01, -2.254980247405981e+01,  1.627595946857732e+00
s10         , -1.955558688693647e+01, -1.943507243315479e+01,  2.460369129806236e+00
s11         , -1.929232032084748e+01, -1.982470248780890e+01,  2.356195266734488e+00
s12         , -1.972420304545977e+01, -1.919243006989517e+01,  2.525243468999740e+00
s13         , -1.649771434553038e+01, -1.693032562314262e+01,  3.130053483204604e+00
s14         , -1.814284237715737e+01, -1.888847734049685e+01,  2.606510120877338e+00
s15         , -2.140988745272463e+01, -2.122826076900865e+01,  1.980931381281088e+00
s16         , -2.271802967642396e+01, -2.232610545709822e+01,  1.687404942945582e+00
s17         , -1.845283706311921e+01, -1.857904036855435e+01,  2.689243073223868e+00
s18         , -2.106370881996578e+01, -2.112425705089058e+01,  2.008738448422769e+00
s19         , -2.166440903696862e+01, -2.232374923961198e+01,  1.688034915594884e+00
s20         , -1.957524373940041e+01, -2.001559387639370e+01,  2.305157383135743e+00
s21         , -2.230012329283520e+01, -2.217944192706616e+01,  1.726617797068814e+00
s22         , -1.709175230426198e+01, -1.678263425729966e+01,  3.169541145766626e+00
s23         , -2.271630669020732e+01, -2.284485274942769e+01,  1.548709509278523e+00
s24         , -1.997593461761007e+01, -2.032644932773380e+01,  2.222045177503253e+00
s25         , -2.228124530569044e+01, -2.235543144160029e+01,  1.679564169223249e+00
s26         , -1.806502239865187e+01, -1.760636375800821e+01,  2.949303812455286e+00
