# c0 + a0 * (Al + O) + a1 * (E_T / cub_root_V)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.484675855217899; Max AE: 1.7739467099945
# Coefficients
# Task   a0                      a1                      c0
# all , -1.322783366913697e+00, -1.744654716155740e+01, -1.179496126152544e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         14|11|add; (Al + O); $\left(Al + O\right)$; (Al + O); (newdata$Al + newdata$O); Al,O
# 1;  1; A^-1;                                             0|21|div; (E_T / cub_root_V); $\left(\frac{ E_{T} }{ cub_{root, V} } \right)$; (E_T ./ cub_root_V); (newdata$E_T / newdata$cub_root_V); E_T,cub_root_V
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          , -2.244947812336508e+01, -2.240071843532237e+01,  6.313868613138686e-01,  5.600288151624674e-01
s2          , -2.298888400764099e+01, -2.298302787979907e+01,  4.679245283018868e-01,  6.057991726038179e-01
s3          , -1.755271246623431e+01, -1.794504602416184e+01,  1.086956521739130e-01,  3.442689207363340e-01
s4          , -1.917258847351942e+01, -1.899519725371387e+01,  0.000000000000000e+00,  4.127026353990429e-01
s5          , -2.000094091703784e+01, -2.059996621109573e+01,  4.076923076923077e-01,  4.737737656393893e-01
s6          , -2.179532463031582e+01, -2.197853686005777e+01,  6.183206106870229e-01,  5.368209131909156e-01
s7          , -2.156980503382011e+01, -2.120058780231917e+01,  6.607929515418502e-01,  4.890102629773755e-01
s8          , -2.070680399014268e+01, -2.074492965649397e+01,  0.000000000000000e+00,  5.129936778945775e-01
s9          , -2.311678210871720e+01, -2.313362374411983e+01,  4.682926829268293e-01,  6.144031028896449e-01
s10         , -1.955558688693647e+01, -1.888598957520428e+01,  0.000000000000000e+00,  4.064430771323952e-01
s11         , -1.929232032084748e+01, -1.919950340956948e+01,  0.000000000000000e+00,  4.244130417025775e-01
s12         , -1.972420304545977e+01, -1.922597004361743e+01,  3.947368421052632e-01,  3.960014201704300e-01
s13         , -1.649771434553038e+01, -1.736884274795145e+01,  0.000000000000000e+00,  3.194833587879088e-01
s14         , -1.814284237715737e+01, -1.848841202613823e+01,  0.000000000000000e+00,  3.836547542978292e-01
s15         , -2.140988745272463e+01, -2.060220583668813e+01,  0.000000000000000e+00,  5.048130437275874e-01
s16         , -2.271802967642396e+01, -2.287171928052901e+01,  5.575221238938053e-01,  5.926259752767892e-01
s17         , -1.845283706311921e+01, -1.828249202260404e+01,  0.000000000000000e+00,  3.718518455831509e-01
s18         , -2.106370881996578e+01, -2.112806950916049e+01,  4.897119341563786e-01,  4.978248914313283e-01
s19         , -2.166440903696862e+01, -2.253506683108620e+01,  3.059360730593607e-01,  5.924048079583639e-01
s20         , -1.957524373940041e+01, -1.941572935817601e+01,  3.952569169960474e-02,  4.338098592815747e-01
s21         , -2.230012329283520e+01, -2.258896114991683e+01,  5.212765957446809e-01,  5.791669712299075e-01
s22         , -1.709175230426198e+01, -1.729940066117158e+01,  0.000000000000000e+00,  3.155030819952101e-01
s23         , -2.271630669020732e+01, -2.347905867285202e+01,  3.166666666666667e-01,  6.456988828497973e-01
s24         , -1.997593461761007e+01, -2.010590967035267e+01,  3.472803347280335e-01,  4.500358544121166e-01
s25         , -2.228124530569044e+01, -2.286258059554053e+01,  5.141242937853108e-01,  5.953925538090468e-01
s26         , -1.806502239865187e+01, -1.793180482048005e+01,  1.673469387755102e-01,  3.390630683000078e-01
s27         , -2.017409009594002e+01, -1.984899712153212e+01,  1.052631578947368e-01,  4.536597088411039e-01
s28         , -1.658938425028538e+01, -1.734041971487900e+01,  5.862068965517241e-02,  3.134096351264836e-01
s29         , -2.262132344831001e+01, -2.349951423276037e+01,  4.293785310734464e-01,  6.383256290826437e-01
s30         , -1.697997334312175e+01, -1.745955742508327e+01,  0.000000000000000e+00,  3.246829364631810e-01
s31         , -1.964904728113367e+01, -1.905325516725800e+01,  2.842105263157895e-01,  3.944817782618419e-01
s32         , -2.151059652715050e+01, -2.101629013347058e+01,  0.000000000000000e+00,  5.285474992016691e-01
s33         , -2.289264810431292e+01, -2.354953029602284e+01,  4.126984126984127e-01,  6.424571197288816e-01
s34         , -2.302504917991390e+01, -2.177770869651172e+01,  7.954545454545454e-02,  5.661593631870380e-01
s35         , -2.244061385591441e+01, -2.264233145746073e+01,  5.145631067961165e-01,  5.827350582836130e-01
s36         , -2.239655424600443e+01, -2.163895868206662e+01,  6.102236421725240e-01,  5.179709000810212e-01
s37         , -2.226102540809307e+01, -2.190722461405506e+01,  5.389830508474577e-01,  5.387487535947005e-01
s38         , -2.102436377352775e+01, -2.092112682879641e+01,  3.099415204678362e-01,  4.995934151650278e-01
s39         , -2.141661104833067e+01, -2.064208413777823e+01,  8.161434977578476e-01,  4.452194328468236e-01
s40         , -1.990275935468409e+01, -1.900037096943450e+01,  1.702127659574468e-01,  4.000937851843156e-01
s41         , -1.952311408648237e+01, -1.913802968492162e+01,  2.189054726368159e-01,  4.042922556508987e-01
s42         , -1.862175379272403e+01, -1.915678987644456e+01,  6.521739130434782e-02,  4.170200594476119e-01
s43         , -2.257821044890805e+01, -2.241088789512143e+01,  7.235023041474655e-01,  5.536275877572430e-01
s44         , -1.984867902879579e+01, -1.908226838941870e+01,  0.000000000000000e+00,  4.176933728153664e-01
s45         , -1.928264199244582e+01, -1.902665364596441e+01,  3.030303030303030e-02,  4.122080990233639e-01
s46         , -2.007096062658339e+01, -2.017138603719013e+01,  1.098039215686274e-01,  4.717940976154190e-01
s47         , -1.842882744186564e+01, -1.880960089148337e+01,  0.000000000000000e+00,  4.020646357701276e-01
s48         , -1.712958329507449e+01, -1.750077565252155e+01,  0.000000000000000e+00,  3.270454800115749e-01
s49         , -2.142142340445580e+01, -2.206526204691623e+01,  3.359683794466403e-01,  5.631995437412787e-01
s50         , -2.022197746600499e+01, -1.970688968847468e+01,  0.000000000000000e+00,  4.534953738228952e-01
s51         , -2.208446385448407e+01, -2.231273408093897e+01,  4.070351758793970e-01,  5.719959007705825e-01
s52         , -2.030062191637932e+01, -2.062611435800690e+01,  4.397759103641457e-01,  4.728399700348526e-01
s53         , -1.881589086732163e+01, -1.876064070469094e+01,  6.188524590163935e-01,  3.523374365645107e-01
s54         , -2.389190768082197e+01, -2.514000306220000e+01,  3.333333333333333e-01,  7.396371266021569e-01
s55         , -1.989931101552115e+01, -1.942912032269020e+01,  9.016393442622951e-02,  4.307380502755832e-01
s56         , -2.293632659980805e+01, -2.359222108194763e+01,  5.108695652173912e-01,  6.374608083710599e-01
s57         , -2.165250835772914e+01, -2.207303548831943e+01,  3.983050847457627e-01,  5.589187817759974e-01
s58         , -2.493828100106786e+01, -2.540879242411440e+01,  5.333333333333333e-01,  7.398797355546602e-01
s59         , -2.019609135900962e+01, -1.960241666947250e+01,  0.000000000000000e+00,  4.475071964468940e-01
s60         , -1.686951544328429e+01, -1.773041342951811e+01,  5.594405594405594e-02,  3.359662085015653e-01
s61         , -1.698686520707895e+01, -1.769447812135611e+01,  4.620462046204620e-02,  3.346449072326206e-01
s62         , -1.961666852236879e+01, -1.923253158711611e+01,  0.000000000000000e+00,  4.263061485300076e-01
s63         , -2.363642228074260e+01, -2.333092527818430e+01,  4.528301886792453e-01,  6.268843728079693e-01
s64         , -2.123215125329894e+01, -2.133481486192934e+01,  5.051546391752577e-01,  5.085042538119984e-01
s65         , -2.229595939650926e+01, -2.190528829690534e+01,  4.868421052631579e-01,  5.425910530355921e-01
s66         , -2.209517036440609e+01, -2.178434173445326e+01,  2.906403940886699e-01,  5.505345043309242e-01
s67         , -2.100952424313996e+01, -2.081974644130825e+01,  5.231316725978647e-01,  4.776185928024496e-01
s68         , -2.306714632630091e+01, -2.264646855172742e+01,  3.492063492063492e-01,  5.955094061674338e-01
s69         , -2.116954741071400e+01, -2.185758570337390e+01,  3.794466403162055e-01,  5.479994779983414e-01
s70         , -2.268552320802911e+01, -2.149406888378094e+01,  5.254237288135594e-01,  5.160955786735387e-01
s71         , -1.844586653395837e+01, -1.896510481235143e+01,  0.000000000000000e+00,  4.109777988979419e-01
