# c0 + a0 * (poly_dist_avg_fixed - NBI) + a1 * (P + B) + a2 * (face-area-avg * E_T) + a3 * (O + E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.32006002325281; Max AE: 1.84967790866801
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -4.348590479503812e+00,  2.400368993465596e+00,  1.022625931157047e-01, -9.266267371174475e-01, -1.346612757839009e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         30|4|sub; (poly_dist_avg_fixed - NBI); $\left(poly_{dist, avg, fixed} - NBI\right)$; (poly_dist_avg_fixed - NBI); (newdata$poly_dist_avg_fixed - newdata$NBI); poly_dist_avg_fixed,NBI
# 1;  1; Unitless;                                         16|8|add; (P + B); $\left(P + B\right)$; (P + B); (newdata$P + newdata$B); P,B
# 2;  1; A^2;                                              32|0|mult; (face-area-avg * E_T); $\left(face-area-avg E_{T}\right)$; (face_sub_area_sub_avg .* E_T); (newdata$face_sub_area_sub_avg * newdata$E_T); face-area-avg,E_T
# 3;  1; Unitless;                                         11|0|add; (O + E_T); $\left(O + E_{T}\right)$; (O + E_T); (newdata$O + newdata$E_T); O,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
s1          , -2.244947812336508e+01, -2.189615899855723e+01, -2.733445324275395e-01,  1.715328467153285e-01,  3.560995675399762e+01,  1.475459637507883e+01
s2          , -2.298888400764099e+01, -2.284785096117406e+01, -2.734949098882034e-01,  1.358490566037736e-01,  4.665265980384177e+01,  1.690858891402743e+01
s3          , -1.755271246623431e+01, -1.762152770874865e+01, -4.004859851472701e-01,  1.130434782608696e-01,  3.594374374082060e+01,  1.062347521346189e+01
s4          , -1.917258847351942e+01, -1.931973525968370e+01, -2.945191678607162e-01,  3.370786516853932e-02,  4.326563969645847e+01,  1.256138883866988e+01
s5          , -2.000094091703784e+01, -2.023213088485391e+01, -2.922450284908473e-01,  1.615384615384615e-01,  4.225684067687310e+01,  1.375516458063223e+01
s6          , -2.179532463031582e+01, -2.117005293176584e+01, -2.955339758367886e-01,  2.137404580152672e-01,  3.251673179349294e+01,  1.384309598910606e+01
s7          , -2.156980503382011e+01, -2.160898051627615e+01, -2.444664013271263e-01,  0.000000000000000e+00,  2.860869557636923e+01,  1.309215039088110e+01
s8          , -2.070680399014268e+01, -2.096082657669415e+01, -3.244057028467022e-01,  0.000000000000000e+00,  5.034597625869112e+01,  1.516675061424882e+01
s9          , -2.311678210871720e+01, -2.304064285295726e+01, -3.064153012895160e-01,  9.268292682926829e-02,  3.201850758064101e+01,  1.554429437036547e+01
s10         , -1.955558688693647e+01, -1.949344187813568e+01, -3.785508693087064e-01,  0.000000000000000e+00,  3.576448139210588e+01,  1.222805813900046e+01
s11         , -1.929232032084748e+01, -1.922300332264064e+01, -4.132697209907581e-01,  0.000000000000000e+00,  4.641989593191737e+01,  1.327507070089868e+01
s12         , -1.972420304545977e+01, -1.923269517750964e+01, -2.724780451998594e-01,  0.000000000000000e+00,  3.475392376501588e+01,  1.133734758203288e+01
s13         , -1.649771434553038e+01, -1.674806224353406e+01, -3.515463174845685e-01,  3.147410358565737e-01,  3.135121022560702e+01,  9.466828401885049e+00
s14         , -1.814284237715737e+01, -1.833081230793094e+01, -3.877516797588378e-01,  0.000000000000000e+00,  4.479808735265717e+01,  1.201349596978806e+01
s15         , -2.140988745272463e+01, -2.115885070285849e+01, -4.335178691046795e-01,  0.000000000000000e+00,  3.938837984233749e+01,  1.468322909220248e+01
s16         , -2.271802967642396e+01, -2.232677655533155e+01, -3.090157889164381e-01,  1.681415929203540e-01,  2.997982219496648e+01,  1.475658727713754e+01
s17         , -1.845283706311921e+01, -1.867965457560280e+01, -3.837363867847350e-01,  0.000000000000000e+00,  3.625227125734377e+01,  1.142800033320397e+01
s18         , -2.106370881996578e+01, -2.105844916137968e+01, -3.468838275151391e-01,  9.465020576131687e-02,  3.934080037443756e+01,  1.440824491533685e+01
s19         , -2.166440903696862e+01, -2.181618542564011e+01, -3.846333391097261e-01,  1.963470319634703e-01,  2.814056448908629e+01,  1.443051728603995e+01
s20         , -1.957524373940041e+01, -1.943590696573231e+01, -3.015319803111981e-01,  6.324110671936758e-02,  4.647645945865150e+01,  1.315052032586146e+01
s21         , -2.230012329283520e+01, -2.251677120805265e+01, -3.539791786674769e-01,  0.000000000000000e+00,  3.568963600668561e+01,  1.536721127393174e+01
s22         , -1.709175230426198e+01, -1.705808905077891e+01, -3.394672541777687e-01,  2.800000000000000e-02,  3.946028318806370e+01,  9.896851008472128e+00
s23         , -2.271630669020732e+01, -2.285330620538240e+01, -3.953092420358914e-01,  1.416666666666667e-01,  3.526445158755273e+01,  1.624440842103852e+01
s24         , -1.997593461761007e+01, -2.019302281804461e+01, -3.776295648241594e-01,  0.000000000000000e+00,  3.738779836801103e+01,  1.315785989508156e+01
s25         , -2.228124530569044e+01, -2.296771678205473e+01, -2.785004079954949e-01,  7.344632768361582e-02,  2.682807295193117e+01,  1.471194330614414e+01
s26         , -1.806502239865187e+01, -1.775994652165111e+01, -3.301165495789156e-01,  9.387755102040816e-02,  4.620556073517253e+01,  1.152546264842853e+01
s27         , -2.017409009594002e+01, -1.992751931768897e+01, -3.641088945052262e-01,  1.710526315789474e-01,  3.736615528610256e+01,  1.324859416106476e+01
s28         , -1.658938425028538e+01, -1.703203180729656e+01, -4.091986651180588e-01,  1.137931034482759e-01,  3.666234647258013e+01,  1.010943601151142e+01
s29         , -2.262132344831001e+01, -2.343397967532272e+01, -3.152607683589675e-01,  1.073446327683616e-01,  2.859111699459839e+01,  1.567002114573491e+01
s30         , -1.697997334312175e+01, -1.710137255492700e+01, -3.792587275624338e-01,  2.658227848101266e-01,  3.295627441066929e+01,  1.002858254282004e+01
s31         , -1.964904728113367e+01, -1.949462440220183e+01, -3.329103626147117e-01,  0.000000000000000e+00,  3.399611636219903e+01,  1.181998989834859e+01
s32         , -2.151059652715050e+01, -2.091094309201251e+01, -4.560831736502798e-01,  1.176470588235294e-01,  4.025447112845632e+01,  1.492192795742413e+01
s33         , -2.289264810431292e+01, -2.320947944881717e+01, -3.894824756460000e-01,  2.063492063492063e-01,  3.220675992277420e+01,  1.643154904597763e+01
s34         , -2.302504917991390e+01, -2.248690142365389e+01, -3.227030048160777e-01,  0.000000000000000e+00,  4.455272882346433e+01,  1.616633110132655e+01
s35         , -2.244061385591441e+01, -2.260868399538244e+01, -2.994700044061031e-01,  6.310679611650485e-02,  2.765019900405555e+01,  1.448683589230736e+01
s36         , -2.239655424600443e+01, -2.126057647708033e+01, -2.432166247466915e-01,  2.428115015974441e-01,  4.600628365664067e+01,  1.525928067599527e+01
s37         , -2.226102540809307e+01, -2.157165394280862e+01, -2.755059157063177e-01,  2.440677966101695e-01,  4.372660140687414e+01,  1.549818995129651e+01
s38         , -2.102436377352775e+01, -2.092049549855877e+01, -3.732926497894007e-01,  0.000000000000000e+00,  3.374403886463284e+01,  1.352045780437927e+01
s39         , -2.141661104833067e+01, -2.037231090000854e+01, -3.147730979364888e-01,  0.000000000000000e+00,  2.434654645438425e+01,  1.161713035157313e+01
s40         , -1.990275935468409e+01, -1.974473628734848e+01, -2.860543489033874e-01,  0.000000000000000e+00,  3.333985875176263e+01,  1.179759001050850e+01
s41         , -1.952311408648237e+01, -1.933098415659444e+01, -2.985565554500590e-01,  0.000000000000000e+00,  3.623062983869288e+01,  1.172877329673941e+01
s42         , -1.862175379272403e+01, -1.917006365492077e+01, -3.069767301053377e-01,  1.956521739130435e-01,  4.168258078995260e+01,  1.270312834940833e+01
s43         , -2.257821044890805e+01, -2.261546219822031e+01, -2.425345663989731e-01,  0.000000000000000e+00,  2.778993064193830e+01,  1.407890359041090e+01
s44         , -1.984867902879579e+01, -1.958590822275784e+01, -3.740362316013757e-01,  3.684210526315789e-02,  4.013106591802116e+01,  1.288399317036714e+01
s45         , -1.928264199244582e+01, -1.910300152397808e+01, -4.014814156723991e-01,  1.666666666666667e-01,  3.712538806347220e+01,  1.249624222608577e+01
s46         , -2.007096062658339e+01, -2.040251778454331e+01, -3.343672691912639e-01,  0.000000000000000e+00,  4.292613046218703e+01,  1.379212732718986e+01
s47         , -1.842882744186564e+01, -1.855166666879776e+01, -4.455962803941608e-01,  8.480565371024736e-02,  3.674722537879586e+01,  1.185448877277465e+01
s48         , -1.712958329507449e+01, -1.696014013665307e+01, -3.925898175911589e-01,  0.000000000000000e+00,  4.409123992202438e+01,  1.047898688927233e+01
s49         , -2.142142340445580e+01, -2.148925172664035e+01, -3.769330315407132e-01,  1.343873517786561e-01,  4.513997850794564e+01,  1.575711280873738e+01
s50         , -2.022197746600499e+01, -2.052700502908669e+01, -3.009789092410951e-01,  0.000000000000000e+00,  4.542063862006720e+01,  1.404507687388660e+01
s51         , -2.208446385448407e+01, -2.251490974469903e+01, -2.948483434189449e-01,  1.959798994974874e-01,  3.073947576855190e+01,  1.504907950960228e+01
s52         , -2.030062191637932e+01, -1.945224222212091e+01, -3.477447359407730e-01,  2.184873949579832e-01,  4.487465519166598e+01,  1.361040272199163e+01
s53         , -1.881589086732163e+01, -1.896974752491328e+01, -2.669962624506305e-01,  0.000000000000000e+00,  2.502463905645082e+01,  9.954128737823392e+00
