# c0 + a0 * (poly_dist_avg_fixed - NBI) + a1 * (P + B) + a2 * (face-area-avg * E_T) + a3 * (E_T / face-area-avg) + a4 * (O + E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.294868322057634; Max AE: 1.80136853907234
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all , -4.164697496472354e+00,  2.501536993115274e+00,  1.747862036699488e-01,  5.819362997572881e-01, -1.330638429775397e+00, -1.353368406577642e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         30|4|sub; (poly_dist_avg_fixed - NBI); $\left(poly_{dist, avg, fixed} - NBI\right)$; (poly_dist_avg_fixed - NBI); (newdata$poly_dist_avg_fixed - newdata$NBI); poly_dist_avg_fixed,NBI
# 1;  1; Unitless;                                         16|8|add; (P + B); $\left(P + B\right)$; (P + B); (newdata$P + newdata$B); P,B
# 2;  1; A^2;                                              32|0|mult; (face-area-avg * E_T); $\left(face-area-avg E_{T}\right)$; (face_sub_area_sub_avg .* E_T); (newdata$face_sub_area_sub_avg * newdata$E_T); face-area-avg,E_T
# 3;  1; A^-2;                                             0|32|div; (E_T / face-area-avg); $\left(\frac{ E_{T} }{ face-area-avg } \right)$; (E_T ./ face_sub_area_sub_avg); (newdata$E_T / newdata$face_sub_area_sub_avg); E_T,face-area-avg
# 4;  1; Unitless;                                         11|0|add; (O + E_T); $\left(O + E_{T}\right)$; (O + E_T); (newdata$O + newdata$E_T); O,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
s1          , -2.244947812336508e+01, -2.211544605327774e+01, -2.733445324275395e-01,  1.715328467153285e-01,  3.560995675399762e+01,  5.601384139488149e+00,  1.475459637507883e+01
s2          , -2.298888400764099e+01, -2.302819259656255e+01, -2.734949098882034e-01,  1.358490566037736e-01,  4.665265980384177e+01,  5.793784246826711e+00,  1.690858891402743e+01
s3          , -1.755271246623431e+01, -1.760933557620224e+01, -4.004859851472701e-01,  1.130434782608696e-01,  3.594374374082060e+01,  3.139857284339258e+00,  1.062347521346189e+01
s4          , -1.917258847351942e+01, -1.925290494012943e+01, -2.945191678607162e-01,  3.370786516853932e-02,  4.326563969645847e+01,  3.646969989656161e+00,  1.256138883866988e+01
s5          , -2.000094091703784e+01, -2.037626946723344e+01, -2.922450284908473e-01,  1.615384615384615e-01,  4.225684067687310e+01,  4.216004159875661e+00,  1.375516458063223e+01
s6          , -2.179532463031582e+01, -2.137486821254467e+01, -2.955339758367886e-01,  2.137404580152672e-01,  3.251673179349294e+01,  5.378605848839864e+00,  1.384309598910606e+01
s7          , -2.156980503382011e+01, -2.171410025060177e+01, -2.444664013271263e-01,  0.000000000000000e+00,  2.860869557636923e+01,  5.536634084696731e+00,  1.309215039088110e+01
s8          , -2.070680399014268e+01, -2.090544975675757e+01, -3.244057028467022e-01,  0.000000000000000e+00,  5.034597625869112e+01,  4.568991234033469e+00,  1.516675061424882e+01
s9          , -2.311678210871720e+01, -2.298222995582640e+01, -3.064153012895160e-01,  9.268292682926829e-02,  3.201850758064101e+01,  7.098576543807239e+00,  1.554429437036547e+01
s10         , -1.955558688693647e+01, -1.954414054338529e+01, -3.785508693087064e-01,  0.000000000000000e+00,  3.576448139210588e+01,  4.180835287710319e+00,  1.222805813900046e+01
s11         , -1.929232032084748e+01, -1.915405199395370e+01, -4.132697209907581e-01,  0.000000000000000e+00,  4.641989593191737e+01,  3.796378655659334e+00,  1.327507070089868e+01
s12         , -1.972420304545977e+01, -1.927797700671566e+01, -2.724780451998594e-01,  0.000000000000000e+00,  3.475392376501588e+01,  3.664185262398559e+00,  1.133734758203288e+01
