# c0 + a0 * (cub_root_V * WE) + a1 * (Al + O) + a2 * (face-area-avg / E_T) + a3 * (O + E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.324165018397264; Max AE: 1.68842788666595
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  3.251590097226279e-02, -2.370400166005281e+00,  6.233082330089445e+00, -5.606567474639226e-01, -1.583292839488763e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; A;                                                21|7|mult; (cub_root_V * WE); $\left(cub_{root, V} WE\right)$; (cub_root_V .* WE); (newdata$cub_root_V * newdata$WE); cub_root_V,WE
# 1;  1; Unitless;                                         14|11|add; (Al + O); $\left(Al + O\right)$; (Al + O); (newdata$Al + newdata$O); Al,O
# 2;  1; A^2;                                              32|0|div; (face-area-avg / E_T); $\left(\frac{ face-area-avg }{ E_{T} } \right)$; (face_sub_area_sub_avg ./ E_T); (newdata$face_sub_area_sub_avg / newdata$E_T); face-area-avg,E_T
# 3;  1; Unitless;                                         11|0|add; (O + E_T); $\left(O + E_{T}\right)$; (O + E_T); (newdata$O + newdata$E_T); O,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
s1          , -2.244947812336508e+01, -2.218827184079024e+01,  7.075875636483805e+01,  6.313868613138686e-01,  1.785273023769763e-01,  1.475459637507883e+01
s2          , -2.298888400764099e+01, -2.300695007005918e+01,  7.194138230782384e+01,  4.679245283018868e-01,  1.725987640198555e-01,  1.690858891402743e+01
s3          , -1.755271246623431e+01, -1.783104601483705e+01,  6.859749450811627e+01,  1.086956521739130e-01,  3.184858130296954e-01,  1.062347521346189e+01
s4          , -1.917258847351942e+01, -1.895503867178187e+01,  6.800994207189228e+01,  0.000000000000000e+00,  2.742002272670965e-01,  1.256138883866988e+01
s5          , -2.000094091703784e+01, -2.066363731829421e+01,  7.286211131058030e+01,  4.076923076923077e-01,  2.371914168200186e-01,  1.375516458063223e+01
s6          , -2.179532463031582e+01, -2.169705316575570e+01,  6.777920404892839e+01,  6.183206106870229e-01,  1.859217849576567e-01,  1.384309598910606e+01
s7          , -2.156980503382011e+01, -2.148932944549110e+01,  6.533283589001906e+01,  6.607929515418502e-01,  1.806151507761732e-01,  1.309215039088110e+01
s8          , -2.070680399014268e+01, -2.078380864107049e+01,  6.729774181111560e+01,  0.000000000000000e+00,  2.188666926194139e-01,  1.516675061424882e+01
s9          , -2.311678210871720e+01, -2.288227736949965e+01,  5.836008177989474e+01,  4.682926829268293e-01,  1.408733136606655e-01,  1.554429437036547e+01
s10         , -1.955558688693647e+01, -1.933386281422433e+01,  5.732391621816939e+01,  0.000000000000000e+00,  2.391866531885453e-01,  1.222805813900046e+01
s11         , -1.929232032084748e+01, -1.904582883698441e+01,  7.959207525618098e+01,  0.000000000000000e+00,  2.634089195789996e-01,  1.327507070089868e+01
s12         , -1.972420304545977e+01, -1.944634277001813e+01,  6.081786189025320e+01,  3.947368421052632e-01,  2.729119649767394e-01,  1.133734758203288e+01
s13         , -1.649771434553038e+01, -1.671757102583354e+01,  6.896743823485122e+01,  0.000000000000000e+00,  3.498205353670782e-01,  9.466828401885049e+00
s14         , -1.814284237715737e+01, -1.826697556387177e+01,  7.278458471829732e+01,  0.000000000000000e+00,  3.103992464147319e-01,  1.201349596978806e+01
s15         , -2.140988745272463e+01, -2.103805464182026e+01,  5.807548390942884e+01,  0.000000000000000e+00,  1.826942873763845e-01,  1.468322909220248e+01
s16         , -2.271802967642396e+01, -2.252120720896778e+01,  6.088699914735089e+01,  5.575221238938053e-01,  1.486995139096716e-01,  1.475658727713754e+01
s17         , -1.845283706311921e+01, -1.817996080372726e+01,  7.165564808648891e+01,  0.000000000000000e+00,  2.775841933540951e-01,  1.142800033320397e+01
s18         , -2.106370881996578e+01, -2.158386751496332e+01,  6.913440559225835e+01,  4.897119341563786e-01,  1.989363061738647e-01,  1.440824491533685e+01
s19         , -2.166440903696862e+01, -2.172274527181169e+01,  6.294604442666145e+01,  3.059360730593607e-01,  1.410527783082114e-01,  1.443051728603995e+01
s20         , -1.957524373940041e+01, -1.944230238771910e+01,  6.710900756365291e+01,  3.952569169960474e-02,  2.687491891960654e-01,  1.315052032586146e+01
s21         , -2.230012329283520e+01, -2.291570374520632e+01,  5.493311500988126e+01,  5.212765957446809e-01,  1.576089788997455e-01,  1.536721127393174e+01
s22         , -1.709175230426198e+01, -1.667681597624382e+01,  6.746606448460832e+01,  0.000000000000000e+00,  4.028711174400567e-01,  9.896851008472128e+00
s23         , -2.271630669020732e+01, -2.265068369320533e+01,  6.685905436738145e+01,  3.166666666666667e-01,  1.390044562127534e-01,  1.624440842103852e+01
s24         , -1.997593461761007e+01, -2.030324005443303e+01,  7.103915787728310e+01,  3.472803347280335e-01,  2.278202561774379e-01,  1.315785989508156e+01
s25         , -2.228124530569044e+01, -2.279757233775292e+01,  5.172824662339696e+01,  5.141242937853108e-01,  1.316196487140282e-01,  1.471194330614414e+01
s26         , -1.806502239865187e+01, -1.816127226756831e+01,  7.264317946438378e+01,  1.673469387755102e-01,  3.478383880825129e-01,  1.152546264842853e+01
s27         , -2.017409009594002e+01, -2.012506259658382e+01,  6.264767038999123e+01,  1.052631578947368e-01,  2.163054806786991e-01,  1.324859416106476e+01
s28         , -1.658938425028538e+01, -1.689665129561852e+01,  7.710591052078209e+01,  5.862068965517241e-02,  3.587289298271981e-01,  1.010943601151142e+01
s29         , -2.262132344831001e+01, -2.317735502357772e+01,  5.211229985886649e+01,  4.293785310734464e-01,  1.226354761217143e-01,  1.567002114573491e+01
s30         , -1.697997334312175e+01, -1.712031308272833e+01,  7.051038558470431e+01,  0.000000000000000e+00,  3.276868423896840e-01,  1.002858254282004e+01
s31         , -1.964904728113367e+01, -1.972194172837608e+01,  5.752061156826657e+01,  2.842105263157895e-01,  2.472776461939692e-01,  1.181998989834859e+01
s32         , -2.151059652715050e+01, -2.103206344579319e+01,  6.274136295090469e+01,  0.000000000000000e+00,  1.807857716845267e-01,  1.492192795742413e+01
s33         , -2.289264810431292e+01, -2.338394994005737e+01,  5.712198195253624e+01,  4.126984126984127e-01,  1.255117347684950e-01,  1.643154904597763e+01
s34         , -2.302504917991390e+01, -2.240186790101450e+01,  4.984686663385579e+01,  7.954545454545454e-02,  1.704713383703924e-01,  1.616633110132655e+01
s35         , -2.244061385591441e+01, -2.242373234601094e+01,  5.745648218417710e+01,  5.145631067961165e-01,  1.416329006106836e-01,  1.448683589230736e+01
s36         , -2.239655424600443e+01, -2.182202398479524e+01,  8.230765116472564e+01,  6.102236421725240e-01,  2.143866870261807e-01,  1.525928067599527e+01
s37         , -2.226102540809307e+01, -2.199783285145723e+01,  7.946605106723652e+01,  5.389830508474577e-01,  1.954018115991528e-01,  1.549818995129651e+01
