# c0 + a0 * (NBI / PF) + a1 * (Al + O) + a2 * (face-area-avg / E_T) + a3 * (O + E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.329355732765942; Max AE: 1.98639297245618
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  4.208987426333954e-01, -2.279307913620965e+00,  7.650881346014081e+00, -5.387185361708612e-01, -1.492545996074683e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         4|2|div; (NBI / PF); $\left(\frac{ NBI }{ PF } \right)$; (NBI ./ PF); (newdata$NBI / newdata$PF); NBI,PF
# 1;  1; Unitless;                                         14|11|add; (Al + O); $\left(Al + O\right)$; (Al + O); (newdata$Al + newdata$O); Al,O
# 2;  1; A^2;                                              32|0|div; (face-area-avg / E_T); $\left(\frac{ face-area-avg }{ E_{T} } \right)$; (face_sub_area_sub_avg ./ E_T); (newdata$face_sub_area_sub_avg / newdata$E_T); face-area-avg,E_T
# 3;  1; Unitless;                                         11|0|add; (O + E_T); $\left(O + E_{T}\right)$; (O + E_T); (newdata$O + newdata$E_T); O,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
s1          , -2.244947812336508e+01, -2.213237563121758e+01,  1.936077897130144e+00,  6.313868613138686e-01,  1.785273023769763e-01,  1.475459637507883e+01
s2          , -2.298888400764099e+01, -2.303963537307091e+01,  1.760058174258121e+00,  4.679245283018868e-01,  1.725987640198555e-01,  1.690858891402743e+01
s3          , -1.755271246623431e+01, -1.786223442450178e+01,  1.419206536110082e+00,  1.086956521739130e-01,  3.184858130296954e-01,  1.062347521346189e+01
s4          , -1.917258847351942e+01, -1.890060371665096e+01,  1.648937802294539e+00,  0.000000000000000e+00,  2.742002272670965e-01,  1.256138883866988e+01
s5          , -2.000094091703784e+01, -2.068392510316981e+01,  1.820461371096133e+00,  4.076923076923077e-01,  2.371914168200186e-01,  1.375516458063223e+01
s6          , -2.179532463031582e+01, -2.164221004526830e+01,  1.728824046832467e+00,  6.183206106870229e-01,  1.859217849576567e-01,  1.384309598910606e+01
s7          , -2.156980503382011e+01, -2.158656024911808e+01,  1.226350352431227e+00,  6.607929515418502e-01,  1.806151507761732e-01,  1.309215039088110e+01
s8          , -2.070680399014268e+01, -2.078222166510119e+01,  1.518951767820919e+00,  0.000000000000000e+00,  2.188666926194139e-01,  1.516675061424882e+01
s9          , -2.311678210871720e+01, -2.286676135543658e+01,  1.003272953795999e+00,  4.682926829268293e-01,  1.408733136606655e-01,  1.554429437036547e+01
s10         , -1.955558688693647e+01, -1.931306602284785e+01,  8.788023773686482e-01,  0.000000000000000e+00,  2.391866531885453e-01,  1.222805813900046e+01
s11         , -1.929232032084748e+01, -1.909873985381832e+01,  2.287810049694940e+00,  0.000000000000000e+00,  2.634089195789996e-01,  1.327507070089868e+01
s12         , -1.972420304545977e+01, -1.937170821025941e+01,  1.124025192007243e+00,  3.947368421052632e-01,  2.729119649767394e-01,  1.133734758203288e+01
s13         , -1.649771434553038e+01, -1.652006323379215e+01,  1.969398274083893e+00,  0.000000000000000e+00,  3.498205353670782e-01,  9.466828401885049e+00
s14         , -1.814284237715737e+01, -1.831309463752701e+01,  1.685513427074302e+00,  0.000000000000000e+00,  3.103992464147319e-01,  1.201349596978806e+01
s15         , -2.140988745272463e+01, -2.106337159699478e+01,  8.896290088934810e-01,  0.000000000000000e+00,  1.826942873763845e-01,  1.468322909220248e+01
s16         , -2.271802967642396e+01, -2.251514934524464e+01,  1.171398044839896e+00,  5.575221238938053e-01,  1.486995139096716e-01,  1.475658727713754e+01
s17         , -1.845283706311921e+01, -1.833124920374571e+01,  1.489485658857657e+00,  0.000000000000000e+00,  2.775841933540951e-01,  1.142800033320397e+01
s18         , -2.106370881996578e+01, -2.165700480647858e+01,  1.483991073265110e+00,  4.897119341563786e-01,  1.989363061738647e-01,  1.440824491533685e+01
s19         , -2.166440903696862e+01, -2.182420052923516e+01,  1.172232112106205e+00,  3.059360730593607e-01,  1.410527783082114e-01,  1.443051728603995e+01
s20         , -1.957524373940041e+01, -1.939183158981808e+01,  1.549019819323925e+00,  3.952569169960474e-02,  2.687491891960654e-01,  1.315052032586146e+01
s21         , -2.230012329283520e+01, -2.283668540707806e+01,  8.307898171415030e-01,  5.212765957446809e-01,  1.576089788997455e-01,  1.536721127393174e+01
s22         , -1.709175230426198e+01, -1.657818273784113e+01,  1.417384119250157e+00,  0.000000000000000e+00,  4.028711174400567e-01,  9.896851008472128e+00
s23         , -2.271630669020732e+01, -2.277156458285182e+01,  1.338406330644414e+00,  3.166666666666667e-01,  1.390044562127534e-01,  1.624440842103852e+01
s24         , -1.997593461761007e+01, -2.047110059972027e+01,  1.404792625668688e+00,  3.472803347280335e-01,  2.278202561774379e-01,  1.315785989508156e+01
s25         , -2.228124530569044e+01, -2.270897869199312e+01,  7.291993443427185e-01,  5.141242937853108e-01,  1.316196487140282e-01,  1.471194330614414e+01
s26         , -1.806502239865187e+01, -1.828479766646245e+01,  1.353787907361832e+00,  1.673469387755102e-01,  3.478383880825129e-01,  1.152546264842853e+01
s27         , -2.017409009594002e+01, -2.016485189883895e+01,  1.147237678341132e+00,  1.052631578947368e-01,  2.163054806786991e-01,  1.324859416106476e+01
s28         , -1.658938425028538e+01, -1.690709008441677e+01,  2.027881017098589e+00,  5.862068965517241e-02,  3.587289298271981e-01,  1.010943601151142e+01
s29         , -2.262132344831001e+01, -2.308991872908981e+01,  7.547860330054389e-01,  4.293785310734464e-01,  1.226354761217143e-01,  1.567002114573491e+01
s30         , -1.697997334312175e+01, -1.712702123016128e+01,  1.648683680561944e+00,  0.000000000000000e+00,  3.276868423896840e-01,  1.002858254282004e+01
s31         , -1.964904728113367e+01, -1.969477847618276e+01,  8.416288182632581e-01,  2.842105263157895e-01,  2.472776461939692e-01,  1.181998989834859e+01
s32         , -2.151059652715050e+01, -2.110837889255187e+01,  1.122906101126782e+00,  0.000000000000000e+00,  1.807857716845267e-01,  1.492192795742413e+01
s33         , -2.289264810431292e+01, -2.337155249446598e+01,  9.177477715637469e-01,  4.126984126984127e-01,  1.255117347684950e-01,  1.643154904597763e+01
s34         , -2.302504917991390e+01, -2.222685625402946e+01,  6.765487878766033e-01,  7.954545454545454e-02,  1.704713383703924e-01,  1.616633110132655e+01
s35         , -2.244061385591441e+01, -2.241300232708287e+01,  9.646403334175349e-01,  5.145631067961165e-01,  1.416329006106836e-01,  1.448683589230736e+01
s36         , -2.239655424600443e+01, -2.160790310508966e+01,  3.061673856441403e+00,  6.102236421725240e-01,  2.143866870261807e-01,  1.525928067599527e+01
s37         , -2.226102540809307e+01, -2.181629177731252e+01,  2.831661215238353e+00,  5.389830508474577e-01,  1.954018115991528e-01,  1.549818995129651e+01
s38         , -2.102436377352775e+01, -2.116693877699949e+01,  7.043901648326951e-01,  3.099415204678362e-01,  1.898105042368268e-01,  1.352045780437927e+01
s39         , -2.141661104833067e+01, -2.105938268766608e+01,  1.141709420230283e+00,  8.161434977578476e-01,  1.965968280284532e-01,  1.161713035157313e+01
s40         , -1.990275935468409e+01, -1.952882313302785e+01,  7.305704540014890e-01,  1.702127659574468e-01,  2.395395098410020e-01,  1.179759001050850e+01
s41         , -1.952311408648237e+01, -1.935320785493011e+01,  8.901895106714466e-01,  2.189054726368159e-01,  2.633726660438693e-01,  1.172877329673941e+01
s42         , -1.862175379272403e+01, -1.922926613949450e+01,  1.691599849720137e+00,  6.521739130434782e-02,  2.583052471184119e-01,  1.270312834940833e+01
s43         , -2.257821044890805e+01, -2.256053140454697e+01,  1.075964610696071e+00,  7.235023041474655e-01,  1.497484032372155e-01,  1.407890359041090e+01
s44         , -1.984867902879579e+01, -1.965830563458227e+01,  8.513765302843526e-01,  0.000000000000000e+00,  2.417573704498071e-01,  1.288399317036714e+01
s45         , -1.928264199244582e+01, -1.946746126435887e+01,  1.024498222395960e+00,  3.030303030303030e-02,  2.389026644823618e-01,  1.249624222608577e+01
s46         , -2.007096062658339e+01, -2.022318133090623e+01,  1.492737353382188e+00,  1.098039215686274e-01,  2.292989352655356e-01,  1.379212732718986e+01
s47         , -1.842882744186564e+01, -1.855165128333150e+01,  1.804222563197436e+00,  0.000000000000000e+00,  2.614922931591507e-01,  1.185448877277465e+01
s48         , -1.712958329507449e+01, -1.690205809551664e+01,  1.417438864564810e+00,  0.000000000000000e+00,  4.015260422928962e-01,  1.047898688927233e+01
