# c0 + a0 * (face-area-avg * NBI) + a1 * (P + B) + a2 * (AAV * E_T) + a3 * (Al + O) + a4 * (O + E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.293994236610423; Max AE: 1.64253612048114
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  1.091020500462270e+00,  2.079814199320081e+00,  5.660807286367001e-03, -1.522534404028936e+00, -8.018099779108117e-01, -1.262761384563423e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; A^2;                                              32|4|mult; (face-area-avg * NBI); $\left(face-area-avg NBI\right)$; (face_sub_area_sub_avg .* NBI); (newdata$face_sub_area_sub_avg * newdata$NBI); face-area-avg,NBI
# 1;  1; Unitless;                                         16|8|add; (P + B); $\left(P + B\right)$; (P + B); (newdata$P + newdata$B); P,B
# 2;  1; A^3;                                              1|0|mult; (AAV * E_T); $\left(AAV E_{T}\right)$; (AAV .* E_T); (newdata$AAV * newdata$E_T); AAV,E_T
# 3;  1; Unitless;                                         14|11|add; (Al + O); $\left(Al + O\right)$; (Al + O); (newdata$Al + newdata$O); Al,O
# 4;  1; Unitless;                                         11|0|add; (O + E_T); $\left(O + E_{T}\right)$; (O + E_T); (newdata$O + newdata$E_T); O,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
s1          , -2.244947812336508e+01, -2.208102399007999e+01,  1.660432714970475e+00,  1.715328467153285e-01,  2.066768972403687e+02,  6.313868613138686e-01,  1.475459637507883e+01
s2          , -2.298888400764099e+01, -2.284932838287665e+01,  1.842957536640521e+00,  1.358490566037736e-01,  3.100170381399461e+02,  4.679245283018868e-01,  1.690858891402743e+01
s3          , -1.755271246623431e+01, -1.776299689310879e+01,  1.628232197721003e+00,  1.130434782608696e-01,  2.714408091611307e+02,  1.086956521739130e-01,  1.062347521346189e+01
s4          , -1.917258847351942e+01, -1.920929850401657e+01,  1.413999803031212e+00,  3.370786516853932e-02,  3.316405743115425e+02,  0.000000000000000e+00,  1.256138883866988e+01
s5          , -2.000094091703784e+01, -2.005069240812154e+01,  2.077113866404631e+00,  1.615384615384615e-01,  2.869787527681697e+02,  4.076923076923077e-01,  1.375516458063223e+01
s6          , -2.179532463031582e+01, -2.134942700354011e+01,  1.655850464338555e+00,  2.137404580152672e-01,  1.886703499971022e+02,  6.183206106870229e-01,  1.384309598910606e+01
s7          , -2.156980503382011e+01, -2.159934463136698e+01,  1.339741822628910e+00,  0.000000000000000e+00,  1.890331510505936e+02,  6.607929515418502e-01,  1.309215039088110e+01
s8          , -2.070680399014268e+01, -2.107674770353171e+01,  1.384535157538542e+00,  0.000000000000000e+00,  3.888423974276491e+02,  0.000000000000000e+00,  1.516675061424882e+01
s9          , -2.311678210871720e+01, -2.279488711441689e+01,  1.454078534450046e+00,  9.268292682926829e-02,  2.173004587546372e+02,  4.682926829268293e-01,  1.554429437036547e+01
s10         , -1.955558688693647e+01, -1.929646458688822e+01,  1.374357162371461e+00,  0.000000000000000e+00,  2.890535507022710e+02,  0.000000000000000e+00,  1.222805813900046e+01
s11         , -1.929232032084748e+01, -1.938260618431963e+01,  1.790405521536620e+00,  0.000000000000000e+00,  3.419517006507479e+02,  0.000000000000000e+00,  1.327507070089868e+01
