# c0 + a0 * (poly_dist_std + Cl) + a1 * (P + B) + a2 * (Al + O) + a3 * (face-area-avg / E_T) + a4 * (O + E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.29403100705168; Max AE: 1.98952280661575
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  1.754469229669634e+00,  1.885029590423336e+00, -1.989838481240479e+00,  1.016663307588179e+01, -4.998404209471921e-01, -1.591275889107712e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         28|17|add; (poly_dist_std + Cl); $\left(poly_{dist, std} + Cl\right)$; (poly_dist_std + Cl); (newdata$poly_dist_std + newdata$Cl); poly_dist_std,Cl
# 1;  1; Unitless;                                         16|8|add; (P + B); $\left(P + B\right)$; (P + B); (newdata$P + newdata$B); P,B
# 2;  1; Unitless;                                         14|11|add; (Al + O); $\left(Al + O\right)$; (Al + O); (newdata$Al + newdata$O); Al,O
# 3;  1; A^2;                                              32|0|div; (face-area-avg / E_T); $\left(\frac{ face-area-avg }{ E_{T} } \right)$; (face_sub_area_sub_avg ./ E_T); (newdata$face_sub_area_sub_avg / newdata$E_T); face-area-avg,E_T
# 4;  1; Unitless;                                         11|0|add; (O + E_T); $\left(O + E_{T}\right)$; (O + E_T); (newdata$O + newdata$E_T); O,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
s1          , -2.244947812336508e+01, -2.227404899752039e+01,  7.503429439863338e-02,  1.715328467153285e-01,  6.313868613138686e-01,  1.785273023769763e-01,  1.475459637507883e+01
s2          , -2.298888400764099e+01, -2.306085171878253e+01,  1.275427388423458e-01,  1.358490566037736e-01,  4.679245283018868e-01,  1.725987640198555e-01,  1.690858891402743e+01
s3          , -1.755271246623431e+01, -1.737911636705453e+01,  3.470867002451640e-01,  1.130434782608696e-01,  1.086956521739130e-01,  3.184858130296954e-01,  1.062347521346189e+01
s4          , -1.917258847351942e+01, -1.923879977082465e+01,  5.780413820823727e-02,  3.370786516853932e-02,  0.000000000000000e+00,  2.742002272670965e-01,  1.256138883866988e+01
s5          , -2.000094091703784e+01, -2.054894386462254e+01,  1.906566577411240e-01,  1.615384615384615e-01,  4.076923076923077e-01,  2.371914168200186e-01,  1.375516458063223e+01
s6          , -2.179532463031582e+01, -2.162136421090172e+01,  8.434807089358930e-02,  2.137404580152672e-01,  6.183206106870229e-01,  1.859217849576567e-01,  1.384309598910606e+01
s7          , -2.156980503382011e+01, -2.165093718433143e+01,  1.621179452119723e-01,  0.000000000000000e+00,  6.607929515418502e-01,  1.806151507761732e-01,  1.309215039088110e+01
s8          , -2.070680399014268e+01, -2.117980905890367e+01,  5.059506642016903e-02,  0.000000000000000e+00,  0.000000000000000e+00,  2.188666926194139e-01,  1.516675061424882e+01
s9          , -2.311678210871720e+01, -2.275303942351794e+01,  1.449415902363540e-01,  9.268292682926829e-02,  4.682926829268293e-01,  1.408733136606655e-01,  1.554429437036547e+01
s10         , -1.955558688693647e+01, -1.936638175270132e+01,  1.292310645807591e-01,  0.000000000000000e+00,  0.000000000000000e+00,  2.391866531885453e-01,  1.222805813900046e+01
s11         , -1.929232032084748e+01, -1.958879429361735e+01,  1.603902112774810e-01,  0.000000000000000e+00,  0.000000000000000e+00,  2.634089195789996e-01,  1.327507070089868e+01
s12         , -1.972420304545977e+01, -1.951184221886355e+01,  4.482723729746356e-02,  0.000000000000000e+00,  3.947368421052632e-01,  2.729119649767394e-01,  1.133734758203288e+01
