# c0 + a0 * (E_T / face-area-avg)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.660304102374205; Max AE: 2.47559137566235
# Coefficients
# Task   a0                      c0
# all , -1.221259597963274e+00, -1.438303469355206e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         0|33|div; (E_T / face-area-avg); $\left(\frac{ E_{T} }{ face-area-avg } \right)$; (E_T ./ face_sub_area_sub_avg); (newdata$E_T / newdata$face_sub_area_sub_avg); E_T,face-area-avg
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -2.244947812336508e+01, -2.122377883578121e+01,  5.601384139488149e+00
s2          , -2.298888400764099e+01, -2.145874931351759e+01,  5.793784246826711e+00
s3          , -1.755271246623431e+01, -1.821761553828627e+01,  3.139857284339258e+00
s4          , -1.917258847351942e+01, -1.883693179690367e+01,  3.646969989656161e+00
s5          , -2.000094091703784e+01, -1.953187023885330e+01,  4.216004159875661e+00
s6          , -2.179532463031582e+01, -2.095170871010914e+01,  5.378605848839864e+00
s7          , -2.156980503382011e+01, -2.114470220989855e+01,  5.536634084696731e+00
s8          , -2.070680399014268e+01, -1.996295909112549e+01,  4.568991234033469e+00
s9          , -2.311678210871720e+01, -2.305223942955361e+01,  7.098576543807239e+00
s10         , -1.955558688693647e+01, -1.948891991617183e+01,  4.180835287710319e+00
s11         , -1.929232032084748e+01, -1.901939856427893e+01,  3.796378655659334e+00
s12         , -1.972420304545977e+01, -1.885795611397187e+01,  3.664185262398559e+00
s13         , -1.649771434553038e+01, -1.787413791504180e+01,  2.858608626136447e+00
s14         , -1.814284237715737e+01, -1.831751459989667e+01,  3.221657306035711e+00
s15         , -2.140988745272463e+01, -2.106775163517842e+01,  5.473624897421190e+00
s16         , -2.271802967642396e+01, -2.259597074057327e+01,  6.724971546359297e+00
s17         , -1.845283706311921e+01, -1.878263534518353e+01,  3.602510603780557e+00
s18         , -2.106370881996578e+01, -2.052198248770647e+01,  5.026734532438883e+00
s19         , -2.166440903696862e+01, -2.304120940383480e+01,  7.089544863943915e+00
s20         , -1.957524373940041e+01, -1.892727016312330e+01,  3.720941458433395e+00
s21         , -2.230012329283520e+01, -2.213170235505700e+01,  6.344816183576039e+00
s22         , -1.709175230426198e+01, -1.741442499455815e+01,  2.482183399877978e+00
s23         , -2.271630669020732e+01, -2.316879330329097e+01,  7.194013970814353e+00
s24         , -1.997593461761007e+01, -1.974366249045917e+01,  4.389425316163061e+00
s25         , -2.228124530569044e+01, -2.366173745484510e+01,  7.597649817260292e+00
s26         , -1.806502239865187e+01, -1.789403186869298e+01,  2.874898327101216e+00
s27         , -2.017409009594002e+01, -2.002902939572670e+01,  4.623091365333472e+00
s28         , -1.658938425028538e+01, -1.778744258045307e+01,  2.787620169027645e+00
s29         , -2.262132344831001e+01, -2.434148747234820e+01,  8.154247299594706e+00
s30         , -1.697997334312175e+01, -1.810994538992648e+01,  3.051694089110857e+00
s31         , -1.964904728113367e+01, -1.932185393888447e+01,  4.044037200255381e+00
s32         , -2.151059652715050e+01, -2.113832072399468e+01,  5.531408753477634e+00
s33         , -2.289264810431292e+01, -2.411327705069797e+01,  7.967382506858733e+00
s34         , -2.302504917991390e+01, -2.154705188047516e+01,  5.866088748756377e+00
s35         , -2.244061385591441e+01, -2.300574589057991e+01,  7.060506391440581e+00
s36         , -2.239655424600443e+01, -2.007956191221342e+01,  4.664468740439472e+00
s37         , -2.226102540809307e+01, -2.063302586798684e+01,  5.117659820121829e+00
s38         , -2.102436377352775e+01, -2.081713381189962e+01,  5.268412325338428e+00
s39         , -2.141661104833067e+01, -2.059503521365466e+01,  5.086552056960304e+00
s40         , -1.990275935468409e+01, -1.948139862847830e+01,  4.174676656321812e+00
s41         , -1.952311408648237e+01, -1.902003676482946e+01,  3.796901231327599e+00
s42         , -1.862175379272403e+01, -1.911100523068724e+01,  3.871388642529517e+00
s43         , -2.257821044890805e+01, -2.253844451136951e+01,  6.677867532356297e+00
s44         , -1.984867902879579e+01, -1.943462669131010e+01,  4.136378544072627e+00
s45         , -1.928264199244582e+01, -1.949498939112488e+01,  4.185805136023629e+00
s46         , -2.007096062658339e+01, -1.970909343232908e+01,  4.361119247422442e+00
s47         , -1.842882744186564e+01, -1.905338112406803e+01,  3.824204483882725e+00
s48         , -1.712958329507449e+01, -1.742457987201502e+01,  2.490498484953916e+00
s49         , -2.142142340445580e+01, -2.081701683639288e+01,  5.268316542667044e+00
s50         , -2.022197746600499e+01, -1.968702833705801e+01,  4.343051757670166e+00
s51         , -2.208446385448407e+01, -2.290059011550061e+01,  6.974402032257101e+00
s52         , -2.030062191637932e+01, -1.910387982804267e+01,  3.865554172400111e+00
s53         , -1.881589086732163e+01, -1.881716054719588e+01,  3.630780761959807e+00
s54         , -2.389190768082197e+01, -2.556931304370050e+01,  9.159623694097546e+00
s55         , -1.989931101552115e+01, -1.939208197257561e+01,  4.101541791259838e+00
s56         , -2.293632659980805e+01, -2.397274983995471e+01,  7.852315070764368e+00
s57         , -2.165250835772914e+01, -2.225133858478447e+01,  6.442777526051451e+00
s58         , -2.493828100106786e+01, -2.519011565900377e+01,  8.849126740518532e+00
