# c0 + a0 * (E_T / Na-Na)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.749608401738695; Max AE: 3.50229540128925
# Coefficients
# Task   a0                      c0
# all , -1.833202519109662e+00, -1.206151756509616e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         0|23|div; (E_T / Na-Na); $\left(\frac{ E_{T} }{ Na-Na } \right)$; (E_T ./ Na_sub_Na); (newdata$E_T / newdata$Na_sub_Na); E_T,Na-Na
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -2.244947812336508e+01, -2.166090437928654e+01,  5.236402805540848e+00
s2          , -2.298888400764099e+01, -2.272573505263245e+01,  5.817260982553973e+00
s3          , -1.755271246623431e+01, -1.859523474549324e+01,  3.564100044751378e+00
s4          , -1.917258847351942e+01, -1.819662435873641e+01,  3.346660682432357e+00
s5          , -2.000094091703784e+01, -2.041623906163053e+01,  4.557446004706586e+00
s6          , -2.179532463031582e+01, -2.047236617972060e+01,  4.588062981011704e+00
s7          , -2.156980503382011e+01, -2.041163629463901e+01,  4.554935225377219e+00
s8          , -2.070680399014268e+01, -1.980010613103091e+01,  4.221349515542438e+00
s9          , -2.311678210871720e+01, -2.272281748974090e+01,  5.815669471053673e+00
s10         , -1.955558688693647e+01, -1.998261755626720e+01,  4.320908305874527e+00
s11         , -1.929232032084748e+01, -1.888925017480328e+01,  3.724483540980060e+00
s12         , -1.972420304545977e+01, -1.789375159941551e+01,  3.181445570537353e+00
s13         , -1.649771434553038e+01, -1.706615119643496e+01,  2.729994956459814e+00
s14         , -1.814284237715737e+01, -1.902569189629475e+01,  3.798911608838999e+00
s15         , -2.140988745272463e+01, -2.260579823603098e+01,  5.751836232505235e+00
s16         , -2.271802967642396e+01, -2.204930553000393e+01,  5.448273096285387e+00
s17         , -1.845283706311921e+01, -1.859335679761644e+01,  3.563075636451025e+00
s18         , -2.106370881996578e+01, -2.067562417455765e+01,  4.698938889547861e+00
s19         , -2.166440903696862e+01, -2.198302983728716e+01,  5.412120138810208e+00
s20         , -1.957524373940041e+01, -1.903779891859775e+01,  3.805515910424229e+00
s21         , -2.230012329283520e+01, -2.251277753419221e+01,  5.701094047247956e+00
s22         , -1.709175230426198e+01, -1.717356017301822e+01,  2.788585851608389e+00
s23         , -2.271630669020732e+01, -2.303820669314894e+01,  5.987712221442871e+00
s24         , -1.997593461761007e+01, -2.014080461331075e+01,  4.407198312240201e+00
s25         , -2.228124530569044e+01, -2.318123356706979e+01,  6.065732446938913e+00
s26         , -1.806502239865187e+01, -1.872341526411129e+01,  3.634021680403670e+00
s27         , -2.017409009594002e+01, -2.024801835988058e+01,  4.465682710691660e+00
s28         , -1.658938425028538e+01, -1.769429744441415e+01,  3.072644631785517e+00
s29         , -2.262132344831001e+01, -2.354514834587421e+01,  6.264245581745847e+00
s30         , -1.697997334312175e+01, -1.769475007766346e+01,  3.072891540266490e+00
s31         , -1.964904728113367e+01, -1.986046400839786e+01,  4.254274343398484e+00
s32         , -2.151059652715050e+01, -2.238734894841418e+01,  5.632673572984729e+00
s33         , -2.289264810431292e+01, -2.345298485109944e+01,  6.213970997342845e+00
s34         , -2.302504917991390e+01, -2.269119977403210e+01,  5.798422213656187e+00
s35         , -2.244061385591441e+01, -2.226502507764113e+01,  5.565946700477235e+00
s36         , -2.239655424600443e+01, -2.005846437920659e+01,  4.362282252369117e+00
s37         , -2.226102540809307e+01, -2.107789657702280e+01,  4.918375857516091e+00
s38         , -2.102436377352775e+01, -2.182187317770691e+01,  5.324210233657707e+00
s39         , -2.141661104833067e+01, -1.919665893060820e+01,  3.892173009328720e+00
s40         , -1.990275935468409e+01, -1.995597993223198e+01,  4.306377655955846e+00
s41         , -1.952311408648237e+01, -1.945297600662777e+01,  4.031992300076833e+00
s42         , -1.862175379272403e+01, -1.848894691738405e+01,  3.506120728772249e+00
s43         , -2.257821044890805e+01, -2.151055902468875e+01,  5.154390396638636e+00
s44         , -1.984867902879579e+01, -2.033666615592995e+01,  4.514039504403917e+00
s45         , -1.928264199244582e+01, -1.971290910291596e+01,  4.173784106262239e+00
s46         , -2.007096062658339e+01, -1.946712057469252e+01,  4.039708069566185e+00
s47         , -1.842882744186564e+01, -1.902310903975685e+01,  3.797502677468362e+00
s48         , -1.712958329507449e+01, -1.763730318602726e+01,  3.041554636112499e+00
s49         , -2.142142340445580e+01, -2.157618519210630e+01,  5.190189042305686e+00
s50         , -2.022197746600499e+01, -2.002837842589087e+01,  4.345870561351838e+00
s51         , -2.208446385448407e+01, -2.220658008360797e+01,  5.534065337985132e+00
s52         , -2.030062191637932e+01, -1.964981557884974e+01,  4.139367001000533e+00
s53         , -1.881589086732163e+01, -1.776675845593838e+01,  3.112171640268699e+00
s54         , -2.389190768082197e+01, -2.481599656443679e+01,  6.957484984002281e+00
s55         , -1.989931101552115e+01, -1.959433790605961e+01,  4.109104292864457e+00
s56         , -2.293632659980805e+01, -2.337023075546610e+01,  6.168829178710862e+00
s57         , -2.165250835772914e+01, -2.014475353881944e+01,  4.409352425311471e+00
s58         , -2.493828100106786e+01, -2.475171047484483e+01,  6.922417342035927e+00
s59         , -2.019609135900962e+01, -1.994178715885009e+01,  4.298635590780866e+00
s60         , -1.686951544328429e+01, -1.763650672792859e+01,  3.041120173422006e+00
s61         , -1.698686520707895e+01, -1.754900192672120e+01,  2.993386875930198e+00
s62         , -1.961666852236879e+01, -2.003056042828496e+01,  4.347060829405340e+00
s63         , -2.363642228074260e+01, -2.346775924864367e+01,  6.222030334699313e+00
s64         , -2.123215125329894e+01, -2.143076802966950e+01,  5.110864930037157e+00
s65         , -2.229595939650926e+01, -2.165522495366044e+01,  5.233304715958873e+00
s66         , -2.209517036440609e+01, -2.217698166644570e+01,  5.517919594755060e+00
s67         , -2.100952424313996e+01, -2.021616666624484e+01,  4.448307819863341e+00
s68         , -2.306714632630091e+01, -2.345024505335038e+01,  6.212476455566638e+00
s69         , -2.116954741071400e+01, -2.149085207826921e+01,  5.143640386089276e+00
s70         , -2.268552320802911e+01, -2.093963055338653e+01,  4.842952644753204e+00
s71         , -1.844586653395837e+01, -1.859432183283137e+01,  3.563602056857320e+00
s72         , -2.185924535832699e+01, -2.140952722037712e+01,  5.099278207309601e+00
s73         , -1.814705961150877e+01, -1.840122705009736e+01,  3.458270114138965e+00
s74         , -2.269683109870329e+01, -2.400636845214821e+01,  6.515838137105197e+00
s75         , -2.162544692540680e+01, -2.042714749666646e+01,  4.563396484766600e+00
s76         , -1.799713371423827e+01, -1.905979978791975e+01,  3.817517240933353e+00
s77         , -1.808839931225978e+01, -1.856922985655375e+01,  3.549914547694500e+00
s78         , -1.710463489071706e+01, -1.776623683752698e+01,  3.111887100832404e+00
s79         , -2.130172009097587e+01, -2.060573231996388e+01,  4.660813339388944e+00
s80         , -2.075517304342145e+01, -2.031938439518368e+01,  4.504612416798419e+00
s81         , -1.679587307458704e+01, -1.818012216696112e+01,  3.337658844608509e+00
s82         , -1.961963418382102e+01, -1.999667596231913e+01,  4.328577074548683e+00
s83         , -1.732943596118787e+01, -1.839859052807743e+01,  3.456831908598412e+00
s84         , -2.091958911511147e+01, -2.181369288840995e+01,  5.319747939278509e+00
s85         , -1.931803893900067e+01, -1.862615225303934e+01,  3.580965343169752e+00
s86         , -2.124992178205270e+01, -1.956031691885738e+01,  4.090546066565080e+00
s87         , -2.000999990609716e+01, -1.986225436455138e+01,  4.255250970985922e+00
s88         , -1.933594922663024e+01, -2.017006323038598e+01,  4.423158696742317e+00
s89         , -2.128477820873118e+01, -2.069004153660181e+01,  4.706803466371134e+00
s90         , -2.009844325702736e+01, -2.046817329906808e+01,  4.585775792002957e+00
s91         , -2.185233402642529e+01, -2.209391920513645e+01,  5.472609564661062e+00
s92         , -1.852873985612102e+01, -1.821015616208798e+01,  3.354042192773142e+00
s93         , -2.244477787769646e+01, -2.099650531640192e+01,  4.873977456481594e+00
s94         , -2.069748145715988e+01, -2.107502913986194e+01,  4.916811689274463e+00
s95         , -1.839144268754908e+01, -1.799198737769753e+01,  3.235032545930409e+00
s96         , -2.061908691885885e+01, -2.094173657809519e+01,  4.844101467475574e+00
s97         , -2.336181657728519e+01, -2.372970318162614e+01,  6.364919039166992e+00
s98         , -1.913590175727989e+01, -1.884717118933002e+01,  3.701529729257342e+00
s99         , -1.764848235022367e+01, -1.735724074301377e+01,  2.888782402769993e+00
