# c0 + a0 * (O * SBI) + a1 * (face-area-avg - E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.393195535803403; Max AE: 1.61192572510934
# Coefficients
# Task   a0                      a1                      c0
# all , -7.187154524223569e+00,  7.163966637028105e-01, -1.257579541590717e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         12|6|mult; (O * SBI); $\left(O SBI\right)$; (O .* SBI); (newdata$O * newdata$SBI); O,SBI
# 1;  1; Unitless;                                         33|0|sub; (face-area-avg - E_T); $\left(face-area-avg - E_{T}\right)$; (face_sub_area_sub_avg - E_T); (newdata$face_sub_area_sub_avg - newdata$E_T); face-area-avg,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          , -2.244947812336508e+01, -2.234405874095584e+01,  2.026880437503431e-01, -1.160183101836766e+01
s2          , -2.298888400764099e+01, -2.299275981205091e+01,  9.347258744967964e-02, -1.360302603308405e+01
s3          , -1.755271246623431e+01, -1.776254241677855e+01,  0.000000000000000e+00, -7.240049072901664e+00
s4          , -1.917258847351942e+01, -1.910722188562447e+01,  0.000000000000000e+00, -9.117053164316232e+00
s5          , -2.000094091703784e+01, -2.035482211096770e+01,  6.747962402731911e-02, -1.018156641355539e+01
s6          , -2.179532463031582e+01, -2.172555111686559e+01,  1.999439577167936e-01, -1.076600153439930e+01
s7          , -2.156980503382011e+01, -2.135718234476282e+01,  1.939037145794287e-01, -1.031240281210619e+01
s8          , -2.070680399014268e+01, -2.106312870535422e+01,  0.000000000000000e+00, -1.184725406952471e+01
s9          , -2.311678210871720e+01, -2.269288605924363e+01,  1.166221051300517e-01, -1.295219537297537e+01
s10         , -1.955558688693647e+01, -1.924062688918965e+01,  0.000000000000000e+00, -9.303269837737986e+00
s11         , -1.929232032084748e+01, -1.958093595995683e+01,  0.000000000000000e+00, -9.778298670240128e+00
s12         , -1.972420304545977e+01, -1.854234337179117e+01,  1.231728581362980e-02, -8.204981984478989e+00
s13         , -1.649771434553038e+01, -1.698531532973864e+01,  0.000000000000000e+00, -6.155137422109360e+00
s14         , -1.814284237715737e+01, -1.851079494840468e+01,  0.000000000000000e+00, -8.284515873959428e+00
s15         , -2.140988745272463e+01, -2.117304755689748e+01,  0.000000000000000e+00, -1.200068701681835e+01
s16         , -2.271802967642396e+01, -2.253109006040000e+01,  1.802837848832839e-01, -1.208767106698464e+01
s17         , -1.845283706311921e+01, -1.849020012405079e+01,  0.000000000000000e+00, -8.255768079061216e+00
s18         , -2.106370881996578e+01, -2.128663812666240e+01,  8.913491716207179e-02, -1.126501098692357e+01
s19         , -2.166440903696862e+01, -2.196377205579627e+01,  9.690330665928795e-02, -1.213226979044971e+01
s20         , -1.957524373940041e+01, -1.946490117839558e+01,  0.000000000000000e+00, -9.616328650779812e+00
s21         , -2.230012329283520e+01, -2.247871923488976e+01,  1.143188318659294e-01, -1.267635259828722e+01
s22         , -1.709175230426198e+01, -1.680948161546250e+01,  0.000000000000000e+00, -5.909695583551210e+00
s23         , -2.271630669020732e+01, -2.296884573716796e+01,  7.911209930959411e-02, -1.371371467310823e+01
s24         , -1.997593461761007e+01, -2.016652189821149e+01,  7.013631119114536e-02, -9.892070043132339e+00
s25         , -2.228124530569044e+01, -2.285048086656720e+01,  1.938108123876180e-01, -1.239779251296096e+01
s26         , -1.806502239865187e+01, -1.796056536247607e+01,  0.000000000000000e+00, -7.516464298893938e+00
s27         , -2.017409009594002e+01, -2.004337764023531e+01,  1.230545579050287e-02, -1.030035647281009e+01
s28         , -1.658938425028538e+01, -1.722011535916420e+01,  0.000000000000000e+00, -6.482888849945390e+00
s29         , -2.262132344831001e+01, -2.320766305700209e+01,  1.439711949042237e-01, -1.339638345979570e+01
s30         , -1.697997334312175e+01, -1.740599102556362e+01,  0.000000000000000e+00, -6.742347995719033e+00
s31         , -1.964904728113367e+01, -1.904689609061082e+01,  2.063180344404845e-02, -8.825860079466834e+00
s32         , -2.151059652715050e+01, -2.133321141321603e+01,  0.000000000000000e+00, -1.222425569662030e+01
s33         , -2.289264810431292e+01, -2.353860515178740e+01,  1.290236029440906e-01, -1.400829690129894e+01
s34         , -2.302504917991390e+01, -2.218298631010362e+01,  0.000000000000000e+00, -1.341043500194451e+01
s35         , -2.244061385591441e+01, -2.252176871666924e+01,  1.883895861276184e-01, -1.199333926277557e+01
s36         , -2.239655424600443e+01, -2.193022515904912e+01,  1.544119957371015e-01, -1.150849422828392e+01
s37         , -2.226102540809307e+01, -2.204726522606712e+01,  1.181011971293693e-01, -1.203615077201476e+01
s38         , -2.102436377352775e+01, -2.068956027016328e+01,  5.215925893551335e-02, -1.080251848245343e+01
s39         , -2.141661104833067e+01, -2.064753735121391e+01,  2.319089762997193e-01, -8.940544549692632e+00
s40         , -1.990275935468409e+01, -1.900302049918625e+01,  0.000000000000000e+00, -8.971601082086192e+00
s41         , -1.952311408648237e+01, -1.876527274815878e+01,  0.000000000000000e+00, -8.639735004153007e+00
s42         , -1.862175379272403e+01, -1.932557276692074e+01,  0.000000000000000e+00, -9.421843641937507e+00
s43         , -2.257821044890805e+01, -2.246912334445242e+01,  2.219953592058977e-01, -1.158270745620642e+01
s44         , -1.984867902879579e+01, -1.957441258831456e+01,  0.000000000000000e+00, -9.769192860605903e+00
s45         , -1.928264199244582e+01, -1.939396432634349e+01,  2.942135565489085e-03, -9.487793106635129e+00
s46         , -2.007096062658339e+01, -2.024403704540109e+01,  1.584107682938043e-02, -1.054498121675357e+01
s47         , -1.842882744186564e+01, -1.884758408503937e+01,  0.000000000000000e+00, -8.754631319352400e+00
s48         , -1.712958329507449e+01, -1.706860599452371e+01,  0.000000000000000e+00, -6.271400756383662e+00
s49         , -2.142142340445580e+01, -2.186488854900215e+01,  4.708902147460869e-02, -1.249399601206904e+01
s50         , -2.022197746600499e+01, -2.032087296682180e+01,  0.000000000000000e+00, -1.081115804041152e+01
s51         , -2.208446385448407e+01, -2.236533973257988e+01,  1.118710038064565e-01, -1.254264652642666e+01
s52         , -2.030062191637932e+01, -2.024434137389251e+01,  9.378440379576876e-02, -9.763449929806711e+00
s53         , -1.881589086732163e+01, -1.859967504466862e+01,  1.497068127352952e-01, -6.906667608877179e+00
s54         , -2.389190768082197e+01, -2.434673852888846e+01,  9.906788015122583e-02, -1.543687667777141e+01
s55         , -1.989931101552115e+01, -1.977663681379545e+01,  0.000000000000000e+00, -1.005147254688426e+01
s56         , -2.293632659980805e+01, -2.340263509245392e+01,  1.883587842474150e-01, -1.322322739360983e+01
s57         , -2.165250835772914e+01, -2.173072061833058e+01,  1.344885163923602e-01, -1.142989054563044e+01
s58         , -2.493828100106786e+01, -2.551679250724662e+01,  2.385482323715233e-01, -1.567080732310909e+01
s59         , -2.019609135900962e+01, -1.975727121414933e+01,  0.000000000000000e+00, -1.002444059569394e+01
s60         , -1.686951544328429e+01, -1.741359450612007e+01,  0.000000000000000e+00, -6.752961502092934e+00
s61         , -1.698686520707895e+01, -1.783293557757754e+01,  0.000000000000000e+00, -7.338309107273060e+00
s62         , -1.961666852236879e+01, -1.973205692371205e+01,  0.000000000000000e+00, -9.989244604820744e+00
s63         , -2.363642228074260e+01, -2.301869528458686e+01,  9.768147310888130e-02, -1.359700361660709e+01
s64         , -2.123215125329894e+01, -2.135967369265686e+01,  1.438140597040195e-01, -1.081839824161451e+01
s65         , -2.229595939650926e+01, -2.184738289696627e+01,  1.123135836875572e-01, -1.181520354405036e+01
s66         , -2.209517036440609e+01, -2.171529846319020e+01,  5.433539219168630e-02, -1.221248873807780e+01
s67         , -2.100952424313996e+01, -2.107507756687625e+01,  1.968303859668138e-01, -9.889258438676938e+00
s68         , -2.306714632630091e+01, -2.284270930812355e+01,  7.836118365426792e-02, -1.354517748091799e+01
s69         , -2.116954741071400e+01, -2.147787985594793e+01,  1.271016413768825e-01, -1.115106435852503e+01
s70         , -2.268552320802911e+01, -2.184974474772995e+01,  1.698164689287330e-01, -1.124161032136639e+01
s71         , -1.844586653395837e+01, -1.936142227297523e+01,  0.000000000000000e+00, -9.471885061546020e+00
s72         , -2.185924535832699e+01, -2.161607700407458e+01,  1.307077732192209e-01, -1.130779222596192e+01
s73         , -1.814705961150877e+01, -1.843691832796073e+01,  0.000000000000000e+00, -8.181393366294326e+00
s74         , -2.269683109870329e+01, -2.369257960526373e+01,  1.697479845708738e-01, -1.381466399203632e+01
s75         , -2.162544692540680e+01, -2.107792441981727e+01,  1.015300874957187e-01, -1.084931989499707e+01
s76         , -1.799713371423827e+01, -1.870835869146304e+01,  0.000000000000000e+00, -8.560290110591437e+00
s77         , -1.808839931225978e+01, -1.786387419250953e+01,  0.000000000000000e+00, -7.381495538058597e+00
s78         , -1.710463489071706e+01, -1.747546141414866e+01,  0.000000000000000e+00, -6.839319955674805e+00
s79         , -2.130172009097587e+01, -2.133513036505766e+01,  1.150263882511782e-01, -1.107294732700863e+01
s80         , -2.075517304342145e+01, -2.068259855147961e+01,  0.000000000000000e+00, -1.131608164347267e+01
s81         , -1.679587307458704e+01, -1.737736630593520e+01,  0.000000000000000e+00, -6.702391472917180e+00
s82         , -1.961963418382102e+01, -1.935055481572645e+01,  0.000000000000000e+00, -9.456715452585794e+00
s83         , -1.732943596118787e+01, -1.764052279121864e+01,  0.000000000000000e+00, -7.069724960936600e+00
s84         , -2.091958911511147e+01, -2.153026112187260e+01,  1.619094991197005e-02, -1.233687884777828e+01
s85         , -1.931803893900067e+01, -1.904491141914135e+01,  3.421589901474567e-02, -8.686809089344949e+00
s86         , -2.124992178205270e+01, -2.024329983563049e+01,  9.339482796798645e-02, -9.765904440694671e+00
s87         , -2.000999990609716e+01, -1.969117347631103e+01,  0.000000000000000e+00, -9.932176433690920e+00
s88         , -1.933594922663024e+01, -1.949852613160401e+01,  0.000000000000000e+00, -9.663264873283470e+00
s89         , -2.128477820873118e+01, -2.119523097563184e+01,  1.206764933545993e-01, -1.082098137430691e+01
s90         , -2.009844325702736e+01, -2.028124716939701e+01,  2.539887803772458e-02, -1.050103451544213e+01
s91         , -2.185233402642529e+01, -2.221856605346701e+01,  1.573687316084440e-01, -1.188131893609695e+01
s92         , -1.852873985612102e+01, -1.816041393232722e+01,  0.000000000000000e+00, -7.795427867509963e+00
s93         , -2.244477787769646e+01, -2.200660011270068e+01,  1.172373587126618e-01, -1.198805371220504e+01
s94         , -2.069748145715988e+01, -2.047121848027738e+01,  3.258854858408002e-02, -1.069408125154869e+01
s95         , -1.839144268754908e+01, -1.816200734261335e+01,  0.000000000000000e+00, -7.797652068663955e+00
s96         , -2.061908691885885e+01, -2.042161914012502e+01,  0.000000000000000e+00, -1.095178707793731e+01
