# c0 + a0 * (poly_dist_avg_fixed + Al) + a1 * (face-area-avg - E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.414131384145826; Max AE: 1.92744990928472
# Coefficients
# Task   a0                      a1                      c0
# all , -3.729728437349721e+00,  7.434708189381379e-01, -1.186188586622449e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         31|15|add; (poly_dist_avg_fixed + Al); $\left(poly_{dist, avg, fixed} + Al\right)$; (poly_dist_avg_fixed + Al); (newdata$poly_dist_avg_fixed + newdata$Al); poly_dist_avg_fixed,Al
# 1;  1; Unitless;                                         33|0|sub; (face-area-avg - E_T); $\left(face-area-avg - E_{T}\right)$; (face_sub_area_sub_avg - E_T); (newdata$face_sub_area_sub_avg - newdata$E_T); face-area-avg,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          , -2.244947812336508e+01, -2.192418925935619e+01,  3.851971018417861e-01, -1.160183101836766e+01
s2          , -2.298888400764099e+01, -2.337761922935876e+01,  3.759738763385400e-01, -1.360302603308405e+01
s3          , -1.755271246623431e+01, -1.795123829383870e+01,  1.894473622143382e-01, -7.240049072901664e+00
s4          , -1.917258847351942e+01, -1.907283415170724e+01,  1.160098678426801e-01, -9.117053164316232e+00
s5          , -2.000094091703784e+01, -2.078862006845998e+01,  3.638432946181763e-01, -1.018156641355539e+01
s6          , -2.179532463031582e+01, -2.127560163230985e+01,  3.779116394913297e-01, -1.076600153439930e+01
s7          , -2.156980503382011e+01, -2.139035674075052e+01,  4.990980823022694e-01, -1.031240281210619e+01
s8          , -2.070680399014268e+01, -2.101566793792086e+01,  9.268620819597542e-02, -1.184725406952471e+01
s9          , -2.311678210871720e+01, -2.290220341565213e+01,  3.782415454990412e-01, -1.295219537297537e+01
s10         , -1.955558688693647e+01, -1.911930186457364e+01,  9.134883651896880e-02, -9.303269837737986e+00
s11         , -1.929232032084748e+01, -1.950006483759286e+01,  9.874693489613684e-02, -9.778298670240128e+00
s12         , -1.972420304545977e+01, -1.958508839692136e+01,  4.351624743159352e-01, -8.204981984478989e+00
s13         , -1.649771434553038e+01, -1.677386154692455e+01,  9.003621213941702e-02, -6.155137422109360e+00
s14         , -1.814284237715737e+01, -1.833118393622337e+01,  8.311657909886477e-02, -8.284515873959428e+00
s15         , -2.140988745272463e+01, -2.113717079664180e+01,  9.467829418004933e-02, -1.200068701681835e+01
s16         , -2.271802967642396e+01, -2.225163716581654e+01,  3.761455065514202e-01, -1.208767106698464e+01
s17         , -1.845283706311921e+01, -1.842405715723695e+01,  1.137478621931372e-01, -8.255768079061216e+00
s18         , -2.106370881996578e+01, -2.142162528034390e+01,  3.175921491930216e-01, -1.126501098692357e+01
s19         , -2.166440903696862e+01, -2.201318184562353e+01,  3.033216604688918e-01, -1.213226979044971e+01
s20         , -1.957524373940041e+01, -1.954638611379667e+01,  1.434529401767462e-01, -9.616328650779812e+00
s21         , -2.230012329283520e+01, -2.266042071037178e+01,  3.684012441738172e-01, -1.267635259828722e+01
s22         , -1.709175230426198e+01, -1.657889368987042e+01,  8.668770767068526e-02, -5.909695583551210e+00
s23         , -2.271630669020732e+01, -2.333824083011707e+01,  3.433516157285768e-01, -1.371371467310823e+01
s24         , -1.997593461761007e+01, -2.021904399188910e+01,  2.688379935822055e-01, -9.892070043132339e+00
s25         , -2.228124530569044e+01, -2.270377544019311e+01,  4.355525204099726e-01, -1.239779251296096e+01
s26         , -1.806502239865187e+01, -1.834246876868062e+01,  2.392428965343759e-01, -7.516464298893938e+00
s27         , -2.017409009594002e+01, -2.001898848833764e+01,  1.338135385194242e-01, -1.030035647281009e+01
s28         , -1.658938425028538e+01, -1.723868718578506e+01,  1.493306138938419e-01, -6.482888849945390e+00
s29         , -2.262132344831001e+01, -2.323645731286925e+01,  3.793174995835440e-01, -1.339638345979570e+01
s30         , -1.697997334312175e+01, -1.720746025053399e+01,  8.923850729541723e-02, -6.742347995719033e+00
s31         , -1.964904728113367e+01, -1.949240380585017e+01,  2.865486151239713e-01, -8.825860079466834e+00
s32         , -2.151059652715050e+01, -2.137491830581655e+01,  1.138568271255492e-01, -1.222425569662030e+01
s33         , -2.289264810431292e+01, -2.308581542544871e+01,  2.169513420826682e-01, -1.400829690129894e+01
s34         , -2.302504917991390e+01, -2.248841566090066e+01,  1.759545533910617e-01, -1.341043500194451e+01
s35         , -2.244061385591441e+01, -2.214621313172573e+01,  3.666833993346656e-01, -1.199333926277557e+01
s36         , -2.239655424600443e+01, -2.196960585560509e+01,  4.159794437570326e-01, -1.150849422828392e+01
s37         , -2.226102540809307e+01, -2.221832223236165e+01,  3.774831112918476e-01, -1.203615077201476e+01
s38         , -2.102436377352775e+01, -2.086127252879565e+01,  2.595442043804680e-01, -1.080251848245343e+01
s39         , -2.141661104833067e+01, -2.048384423642267e+01,  5.295088972988727e-01, -8.940544549692632e+00
s40         , -1.990275935468409e+01, -1.954305257085190e+01,  2.710768673713246e-01, -8.971601082086192e+00
s41         , -1.952311408648237e+01, -1.946221207432498e+01,  3.155552391880488e-01, -8.639735004153007e+00
s42         , -1.862175379272403e+01, -1.956743182700196e+01,  1.878635842176761e-01, -9.421843641937507e+00
s43         , -2.257821044890805e+01, -2.271986999807643e+01,  6.023438895357394e-01, -1.158270745620642e+01
s44         , -1.984867902879579e+01, -1.942632525683902e+01,  8.079129063599381e-02, -9.769192860605903e+00
s45         , -1.928264199244582e+01, -1.922366780508232e+01,  8.254880566344149e-02, -9.487793106635129e+00
s46         , -2.007096062658339e+01, -2.015557899778694e+01,  1.216730167566479e-01, -1.054498121675357e+01
s47         , -1.842882744186564e+01, -1.876773471414692e+01,  1.064516996589051e-01, -8.754631319352400e+00
s48         , -1.712958329507449e+01, -1.674055492693502e+01,  5.793065315668152e-02, -6.271400756383662e+00
s49         , -2.142142340445580e+01, -2.227588784685856e+01,  3.016521316846165e-01, -1.249399601206904e+01
s50         , -2.022197746600499e+01, -2.034991659513241e+01,  1.207193002108941e-01, -1.081115804041152e+01
s51         , -2.208446385448407e+01, -2.244675218216275e+01,  3.377657790494329e-01, -1.254264652642666e+01
s52         , -2.030062191637932e+01, -2.039886694273376e+01,  3.426900866923701e-01, -9.763449929806711e+00
s53         , -1.881589086732163e+01, -1.892106564842650e+01,  5.159287039846621e-01, -6.906667608877179e+00
s54         , -2.389190768082197e+01, -2.456810957794266e+01,  3.296101544384784e-01, -1.543687667777141e+01
s55         , -1.989931101552115e+01, -2.010574535623170e+01,  2.066860837162546e-01, -1.005147254688426e+01
s56         , -2.293632659980805e+01, -2.322669409421145e+01,  4.112161393027551e-01, -1.322322739360983e+01
s57         , -2.165250835772914e+01, -2.157811627804842e+01,  3.266833894096039e-01, -1.142989054563044e+01
s58         , -2.493828100106786e+01, -2.487757723267469e+01,  3.659524910307925e-01, -1.567080732310909e+01
s59         , -2.019609135900962e+01, -1.971334661692210e+01,  1.068661427542284e-01, -1.002444059569394e+01
s60         , -1.686951544328429e+01, -1.739118297839972e+01,  1.363818579558378e-01, -6.752961502092934e+00
s61         , -1.698686520707895e+01, -1.786519078874802e+01,  1.467898400954559e-01, -7.338309107273060e+00
s62         , -1.961666852236879e+01, -1.961056081150672e+01,  8.632346396553078e-02, -9.989244604820744e+00
s63         , -2.363642228074260e+01, -2.337870316032570e+01,  3.774649827208080e-01, -1.359700361660709e+01
s64         , -2.123215125329894e+01, -2.164641282772266e+01,  4.668874934078325e-01, -1.081839824161451e+01
s65         , -2.229595939650926e+01, -2.164245784893970e+01,  2.671274717810990e-01, -1.181520354405036e+01
s66         , -2.209517036440609e+01, -2.204097775000228e+01,  2.947836280508300e-01, -1.221248873807780e+01
s67         , -2.100952424313996e+01, -2.054342542293675e+01,  3.563703119261716e-01, -9.889258438676938e+00
s68         , -2.306714632630091e+01, -2.310985836958219e+01,  3.157142212192565e-01, -1.354517748091799e+01
s69         , -2.116954741071400e+01, -2.136880942308475e+01,  3.261450871367328e-01, -1.115106435852503e+01
s70         , -2.268552320802911e+01, -2.147825420923424e+01,  3.374398786240763e-01, -1.124161032136639e+01
s71         , -1.844586653395837e+01, -1.934252077233982e+01,  1.175862451882533e-01, -9.471885061546020e+00
s72         , -2.185924535832699e+01, -2.193480663587825e+01,  4.466564392069562e-01, -1.130779222596192e+01
s73         , -1.814705961150877e+01, -1.834942340285298e+01,  1.085629469641293e-01, -8.181393366294326e+00
s74         , -2.269683109870329e+01, -2.348453862268676e+01,  3.624535211224192e-01, -1.381466399203632e+01
s75         , -2.162544692540680e+01, -2.151203854914682e+01,  4.246957820855693e-01, -1.084931989499707e+01
s76         , -1.799713371423827e+01, -1.857696467321629e+01,  9.404247896707046e-02, -8.560290110591437e+00
s77         , -1.808839931225978e+01, -1.771959548413449e+01,  9.914477460030088e-02, -7.381495538058597e+00
s78         , -1.710463489071706e+01, -1.731065494063346e+01,  9.757661237183170e-02, -6.839319955674805e+00
s79         , -2.130172009097587e+01, -2.152299414161590e+01,  3.830560541122528e-01, -1.107294732700863e+01
s80         , -2.075517304342145e+01, -2.079506541410313e+01,  1.394211589315322e-01, -1.131608164347267e+01
s81         , -1.679587307458704e+01, -1.718533222760823e+01,  9.127042085989080e-02, -6.702391472917180e+00
s82         , -1.961963418382102e+01, -1.925507272462193e+01,  9.716387734010176e-02, -9.456715452585794e+00
s83         , -1.732943596118787e+01, -1.739682615133177e+01,  7.475238034500652e-02, -7.069724960936600e+00
s84         , -2.091958911511147e+01, -2.168094621962750e+01,  1.734579190340226e-01, -1.233687884777828e+01
s85         , -1.931803893900067e+01, -1.874731398358739e+01,  1.144960167801911e-01, -8.686809089344949e+00
s86         , -2.124992178205270e+01, -2.081428098248053e+01,  4.535799784027398e-01, -9.765904440694671e+00
s87         , -2.000999990609716e+01, -2.007104329027947e+01,  2.211619668607456e-01, -9.932176433690920e+00
s88         , -1.933594922663024e+01, -1.933936959391587e+01,  7.859239182128504e-02, -9.663264873283470e+00
