# c0 + a0 * (rho / RBI) + a1 * (face-area-avg - E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.42944331064099; Max AE: 1.93156989250952
# Coefficients
# Task   a0                      a1                      c0
# all , -1.000967730530341e+00,  7.518467473324091e-01, -1.172938969019289e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; cm^-3 * g;                                        1|7|div; (rho / RBI); $\left(\frac{ rho }{ RBI } \right)$; (rho ./ RBI); (newdata$rho / newdata$RBI); rho,RBI
# 1;  1; Unitless;                                         33|0|sub; (face-area-avg - E_T); $\left(face-area-avg - E_{T}\right)$; (face_sub_area_sub_avg - E_T); (newdata$face_sub_area_sub_avg - newdata$E_T); face-area-avg,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          , -2.244947812336508e+01, -2.174716975541770e+01,  1.293729169749280e+00, -1.160183101836766e+01
s2          , -2.298888400764099e+01, -2.283571859855605e+01,  8.780882786752203e-01, -1.360302603308405e+01
s3          , -1.755271246623431e+01, -1.782276509611368e+01,  6.493396741054658e-01, -7.240049072901664e+00
s4          , -1.917258847351942e+01, -1.903150445134516e+01,  4.470553651788347e-01, -9.117053164316232e+00
s5          , -2.000094091703784e+01, -2.003710781623763e+01,  6.521094690219288e-01, -1.018156641355539e+01
s6          , -2.179532463031582e+01, -2.096355487979245e+01,  1.138680018767277e+00, -1.076600153439930e+01
s7          , -2.156980503382011e+01, -2.134924036779854e+01,  1.864699639371099e+00, -1.031240281210619e+01
s8          , -2.070680399014268e+01, -2.115987458457884e+01,  5.226596636796286e-01, -1.184725406952471e+01
s9          , -2.311678210871720e+01, -2.244243403185240e+01,  9.740357755164932e-01, -1.295219537297537e+01
s10         , -1.955558688693647e+01, -1.920804636434118e+01,  4.835555556149936e-01, -9.303269837737986e+00
s11         , -1.929232032084748e+01, -2.005189463973713e+01,  9.697844098980759e-01, -9.778298670240128e+00
s12         , -1.972420304545977e+01, -1.924789823239042e+01,  1.348314719927008e+00, -8.204981984478989e+00
s13         , -1.649771434553038e+01, -1.675546735063478e+01,  3.979724801257301e-01, -6.155137422109360e+00
s14         , -1.814284237715737e+01, -1.850825760422504e+01,  5.496496881877985e-01, -8.284515873959428e+00
s15         , -2.140988745272463e+01, -2.208568573133508e+01,  1.332329206143789e+00, -1.200068701681835e+01
s16         , -2.271802967642396e+01, -2.200276429294695e+01,  1.184152487702671e+00, -1.208767106698464e+01
s17         , -1.845283706311921e+01, -1.910508275963620e+01,  1.167490875905897e+00, -8.255768079061216e+00
s18         , -2.106370881996578e+01, -2.127652240814539e+01,  1.076529058733229e+00, -1.126501098692357e+01
s19         , -2.166440903696862e+01, -2.193367767532107e+01,  1.081633675488909e+00, -1.213226979044971e+01
s20         , -1.957524373940041e+01, -1.943325820149304e+01,  4.734049654935760e-01, -9.616328650779812e+00
s21         , -2.230012329283520e+01, -2.280614548144516e+01,  1.544586578602428e+00, -1.267635259828722e+01
s22         , -1.709175230426198e+01, -1.657389215247937e+01,  4.009290687684575e-01, -5.909695583551210e+00
s23         , -2.271630669020732e+01, -2.284910732866913e+01,  8.083236282016820e-01, -1.371371467310823e+01
s24         , -1.997593461761007e+01, -2.002058464800800e+01,  8.530487501822839e-01, -9.892070043132339e+00
s25         , -2.228124530569044e+01, -2.279062017486039e+01,  1.738308295686830e+00, -1.239779251296096e+01
s26         , -1.806502239865187e+01, -1.808086747654143e+01,  6.995715550330002e-01, -7.516464298893938e+00
s27         , -2.017409009594002e+01, -1.998150519323576e+01,  5.073350289996138e-01, -1.030035647281009e+01
s28         , -1.658938425028538e+01, -1.708171664230301e+01,  4.777257471704698e-01, -6.482888849945390e+00
s29         , -2.262132344831001e+01, -2.311133986877076e+01,  1.308656421539951e+00, -1.339638345979570e+01
s30         , -1.697997334312175e+01, -1.723011572678206e+01,  4.310964414367323e-01, -6.742347995719033e+00
s31         , -1.964904728113367e+01, -1.953683366001489e+01,  1.170616934916650e+00, -8.825860079466834e+00
s32         , -2.151059652715050e+01, -2.203901949206890e+01,  1.117781206812293e+00, -1.222425569662030e+01
s33         , -2.289264810431292e+01, -2.339735806267535e+01,  1.134777752497945e+00, -1.400829690129894e+01
s34         , -2.302504917991390e+01, -2.262903447168330e+01,  8.162629224149330e-01, -1.341043500194451e+01
s35         , -2.244061385591441e+01, -2.216797218830511e+01,  1.420055153013998e+00, -1.199333926277557e+01
s36         , -2.239655424600443e+01, -2.125294657076956e+01,  8.700909148051779e-01, -1.150849422828392e+01
s37         , -2.226102540809307e+01, -2.144403645093099e+01,  6.646627379724342e-01, -1.203615077201476e+01
s38         , -2.102436377352775e+01, -2.103971750396958e+01,  1.187340404186818e+00, -1.080251848245343e+01
s39         , -2.141661104833067e+01, -2.078776034080888e+01,  2.334192442259026e+00, -8.940544549692632e+00
s40         , -1.990275935468409e+01, -1.952265589863207e+01,  1.046983918206339e+00, -8.971601082086192e+00
s41         , -1.952311408648237e+01, -1.927720369254197e+01,  1.051040217955160e+00, -8.639735004153007e+00
s42         , -1.862175379272403e+01, -1.918494921009093e+01,  3.714175916898027e-01, -9.421843641937507e+00
s43         , -2.257821044890805e+01, -2.253208208000262e+01,  2.092246732518035e+00, -1.158270745620642e+01
s44         , -1.984867902879579e+01, -1.933615117748196e+01,  2.615724793054127e-01, -9.769192860605903e+00
s45         , -1.928264199244582e+01, -1.932407246038718e+01,  4.608703852654683e-01, -9.487793106635129e+00
s46         , -2.007096062658339e+01, -2.054533949348021e+01,  8.868817122800298e-01, -1.054498121675357e+01
s47         , -1.842882744186564e+01, -1.956085196471872e+01,  1.248113355576780e+00, -8.754631319352400e+00
s48         , -1.712958329507449e+01, -1.683852163506174e+01,  3.936187680646163e-01, -6.271400756383662e+00
s49         , -2.142142340445580e+01, -2.154630958481547e+01,  4.229403394853539e-01, -1.249399601206904e+01
s50         , -2.022197746600499e+01, -2.043982748453861e+01,  5.815410117739679e-01, -1.081115804041152e+01
s51         , -2.208446385448407e+01, -2.212707469860085e+01,  9.666016046904111e-01, -1.254264652642666e+01
s52         , -2.030062191637932e+01, -1.964687195611172e+01,  5.763064840713522e-01, -9.763449929806711e+00
s53         , -1.881589086732163e+01, -1.830145344282387e+01,  1.377974667834472e+00, -6.906667608877179e+00
s54         , -2.389190768082197e+01, -2.435471098623727e+01,  1.018170462249020e+00, -1.543687667777141e+01
s55         , -1.989931101552115e+01, -1.981458993519466e+01,  5.275228048021811e-01, -1.005147254688426e+01
s56         , -2.293632659980805e+01, -2.324138574691138e+01,  1.568637533164255e+00, -1.322322739360983e+01
s57         , -2.165250835772914e+01, -2.148711661131043e+01,  1.163075348496015e+00, -1.142989054563044e+01
s58         , -2.493828100106786e+01, -2.526714795961837e+01,  1.754015341276583e+00, -1.567080732310909e+01
s59         , -2.019609135900962e+01, -1.979272040605528e+01,  5.259786545606231e-01, -1.002444059569394e+01
s60         , -1.686951544328429e+01, -1.721484947575521e+01,  4.078729342617822e-01, -6.752961502092934e+00
s61         , -1.698686520707895e+01, -1.760328203489469e+01,  3.562637441766702e-01, -7.338309107273060e+00
s62         , -1.961666852236879e+01, -1.955396268660348e+01,  3.138881728003768e-01, -9.989244604820744e+00
s63         , -2.363642228074260e+01, -2.281709622226169e+01,  8.640074630553225e-01, -1.359700361660709e+01
s64         , -2.123215125329894e+01, -2.145706037274623e+01,  1.592352185423938e+00, -1.081839824161451e+01
s65         , -2.229595939650926e+01, -2.160670773647215e+01,  9.931346059357474e-01, -1.181520354405036e+01
s66         , -2.209517036440609e+01, -2.174795695044993e+01,  8.358384593040687e-01, -1.221248873807780e+01
s67         , -2.100952424313996e+01, -2.043705689791219e+01,  1.271230208786338e+00, -9.889258438676938e+00
s68         , -2.306714632630091e+01, -2.284679105989323e+01,  9.326012319471746e-01, -1.354517748091799e+01
s69         , -2.116954741071400e+01, -2.125757046941113e+01,  1.143183018857729e+00, -1.115106435852503e+01
s70         , -2.268552320802911e+01, -2.199913176389865e+01,  1.816016504193299e+00, -1.124161032136639e+01
s71         , -1.844586653395837e+01, -1.907059178020776e+01,  2.195836176143381e-01, -9.471885061546020e+00
s72         , -2.185924535832699e+01, -2.157256091841826e+01,  1.340147521953054e+00, -1.130779222596192e+01
