# c0 + a0 * (O - NBI) + a1 * (rho / RBI) + a2 * (face-area-avg - E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.335395015864926; Max AE: 1.59311886655208
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -2.565297483140017e+00, -5.373474932694866e-01,  7.203662471271387e-01, -1.333271758221667e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         12|5|sub; (O - NBI); $\left(O - NBI\right)$; (O - NBI); (newdata$O - newdata$NBI); O,NBI
# 1;  1; cm^-3 * g;                                        1|7|div; (rho / RBI); $\left(\frac{ rho }{ RBI } \right)$; (rho ./ RBI); (newdata$rho / newdata$RBI); rho,RBI
# 2;  1; Unitless;                                         33|0|sub; (face-area-avg - E_T); $\left(face-area-avg - E_{T}\right)$; (face_sub_area_sub_avg - E_T); (newdata$face_sub_area_sub_avg - newdata$E_T); face-area-avg,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
s1          , -2.244947812336508e+01, -2.231580710833792e+01, -2.715477295545710e-02,  1.293729169749280e+00, -1.160183101836766e+01
s2          , -2.298888400764099e+01, -2.313800190272449e+01, -1.815442579248565e-01,  8.780882786752203e-01, -1.360302603308405e+01
s3          , -1.755271246623431e+01, -1.766260775978306e+01, -4.812376951876953e-01,  6.493396741054658e-01, -7.240049072901664e+00
s4          , -1.917258847351942e+01, -1.908742993283946e+01, -4.105290357033963e-01,  4.470553651788347e-01, -9.117053164316232e+00
s5          , -2.000094091703784e+01, -2.038037408477101e+01, -2.483960154167160e-01,  6.521094690219288e-01, -1.018156641355539e+01
s6          , -2.179532463031582e+01, -2.155863652217367e+01, -5.512500464109538e-02,  1.138680018767277e+00, -1.076600153439930e+01
s7          , -2.156980503382011e+01, -2.155108256881370e+01, -8.277153208754540e-02,  1.864699639371099e+00, -1.031240281210619e+01
s8          , -2.070680399014268e+01, -2.107796456551739e+01, -4.170919110426776e-01,  5.226596636796286e-01, -1.184725406952471e+01
s9          , -2.311678210871720e+01, -2.263139919243683e+01, -2.163641638617279e-01,  9.740357755164932e-01, -1.295219537297537e+01
s10         , -1.955558688693647e+01, -1.908888399421737e+01, -4.698997058276752e-01,  4.835555556149936e-01, -9.303269837737986e+00
s11         , -1.929232032084748e+01, -1.958431008158398e+01, -5.120166558868949e-01,  9.697844098980759e-01, -9.778298670240128e+00
s12         , -1.972420304545977e+01, -1.916513218088622e+01, -3.129036774105314e-01,  1.348314719927008e+00, -8.204981984478989e+00
s13         , -1.649771434553038e+01, -1.684772979027619e+01, -4.415825296239856e-01,  3.979724801257301e-01, -6.155137422109360e+00
s14         , -1.814284237715737e+01, -1.838803891439191e+01, -4.708682588577026e-01,  5.496496881877985e-01, -8.284515873959428e+00
s15         , -2.140988745272463e+01, -2.133855092232204e+01, -5.281961632847288e-01,  1.332329206143789e+00, -1.200068701681835e+01
s16         , -2.271802967642396e+01, -2.234913675057455e+01, -1.276391715740530e-01,  1.184152487702671e+00, -1.208767106698464e+01
s17         , -1.845283706311921e+01, -1.863104745426032e+01, -4.974842489778722e-01,  1.167490875905897e+00, -8.255768079061216e+00
s18         , -2.106370881996578e+01, -2.157779970335338e+01, -1.747640425517821e-01,  1.076529058733229e+00, -1.126501098692357e+01
s19         , -2.166440903696862e+01, -2.167361619374501e+01, -3.820189265192572e-01,  1.081633675488909e+00, -1.213226979044971e+01
s20         , -1.957524373940041e+01, -1.947425559590278e+01, -4.054592287883396e-01,  4.734049654935760e-01, -9.616328650779812e+00
s21         , -2.230012329283520e+01, -2.277842271535413e+01, -2.011038270966132e-01,  1.544586578602428e+00, -1.267635259828722e+01
s22         , -1.709175230426198e+01, -1.671208679042741e+01, -4.261549618484539e-01,  4.009290687684575e-01, -5.909695583551210e+00
s23         , -2.271630669020732e+01, -2.256342479449779e+01, -4.219941910978016e-01,  8.083236282016820e-01, -1.371371467310823e+01
