# c0 + a0 * (cub_root_V * NBI) + a1 * (Al + O) + a2 * (face-area-avg - E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.336725364623598; Max AE: 1.52347596804153
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  8.383093674440205e-02, -2.677084035716640e+00,  7.244090775767774e-01, -1.352590484553453e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; A;                                                22|5|mult; (cub_root_V * NBI); $\left(cub_{root, V} NBI\right)$; (cub_root_V .* NBI); (newdata$cub_root_V * newdata$NBI); cub_root_V,NBI
# 1;  1; Unitless;                                         15|12|add; (Al + O); $\left(Al + O\right)$; (Al + O); (newdata$Al + newdata$O); Al,O
# 2;  1; Unitless;                                         33|0|sub; (face-area-avg - E_T); $\left(face-area-avg - E_{T}\right)$; (face_sub_area_sub_avg - E_T); (newdata$face_sub_area_sub_avg - newdata$E_T); face-area-avg,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
s1          , -2.244947812336508e+01, -2.222842353086709e+01,  1.660757665054195e+01,  6.313868613138686e-01, -1.160183101836766e+01
s2          , -2.298888400764099e+01, -2.315514589134096e+01,  1.762580542568922e+01,  4.679245283018868e-01, -1.360302603308405e+01
s3          , -1.755271246623431e+01, -1.781675443820983e+01,  1.485006754509062e+01,  1.086956521739130e-01, -7.240049072901664e+00
s4          , -1.917258847351942e+01, -1.908289398200384e+01,  1.249523120211825e+01,  0.000000000000000e+00, -9.117053164316232e+00
s5          , -2.000094091703784e+01, -2.044343961076343e+01,  1.848376025945426e+01,  4.076923076923077e-01, -1.018156641355539e+01
s6          , -2.179532463031582e+01, -2.158938697701974e+01,  1.659057382723120e+01,  6.183206106870229e-01, -1.076600153439930e+01
s7          , -2.156980503382011e+01, -2.149369322601702e+01,  1.516872098899922e+01,  6.607929515418502e-01, -1.031240281210619e+01
s8          , -2.070680399014268e+01, -2.107441062738043e+01,  1.233139757972758e+01,  0.000000000000000e+00, -1.184725406952471e+01
s9          , -2.311678210871720e+01, -2.275390338556684e+01,  1.679986271058051e+01,  4.682926829268293e-01, -1.295219537297537e+01
s10         , -1.955558688693647e+01, -1.908014451618443e+01,  1.413718487444757e+01,  0.000000000000000e+00, -9.303269837737986e+00
s11         , -1.929232032084748e+01, -1.926682442902968e+01,  1.601519425432624e+01,  0.000000000000000e+00, -9.778298670240128e+00
s12         , -1.972420304545977e+01, -1.965318432011934e+01,  1.041653223197702e+01,  3.947368421052632e-01, -8.204981984478989e+00
s13         , -1.649771434553038e+01, -1.688782855550558e+01,  1.308483186442199e+01,  0.000000000000000e+00, -6.155137422109360e+00
s14         , -1.814284237715737e+01, -1.829124325671013e+01,  1.474443850028979e+01,  0.000000000000000e+00, -8.284515873959428e+00
s15         , -2.140988745272463e+01, -2.093138647317689e+01,  1.536336148104215e+01,  0.000000000000000e+00, -1.200068701681835e+01
s16         , -2.271802967642396e+01, -2.239867400361322e+01,  1.641617188697337e+01,  5.575221238938053e-01, -1.208767106698464e+01
s17         , -1.845283706311921e+01, -1.822476534767533e+01,  1.528901962061542e+01,  0.000000000000000e+00, -8.255768079061216e+00
s18         , -2.106370881996578e+01, -2.176494187542105e+01,  1.470148416485754e+01,  4.897119341563786e-01, -1.126501098692357e+01
s19         , -2.166440903696862e+01, -2.175858871845643e+01,  1.640276400847031e+01,  3.059360730593607e-01, -1.213226979044971e+01
s20         , -1.957524373940041e+01, -1.956749988754298e+01,  1.229109877382549e+01,  3.952569169960474e-02, -9.616328650779812e+00
s21         , -2.230012329283520e+01, -2.297109984005607e+01,  1.351733852572223e+01,  5.212765957446809e-01, -1.267635259828722e+01
s22         , -1.709175230426198e+01, -1.668630410158458e+01,  1.336783189965575e+01,  0.000000000000000e+00, -5.909695583551210e+00
s23         , -2.271630669020732e+01, -2.278051440250107e+01,  1.822087616848499e+01,  3.166666666666667e-01, -1.371371467310823e+01
s24         , -1.997593461761007e+01, -2.007883994580840e+01,  1.840214287141753e+01,  3.472803347280335e-01, -9.892070043132339e+00
s25         , -2.228124530569044e+01, -2.260695357259283e+01,  1.522562791350423e+01,  5.141242937853108e-01, -1.239779251296096e+01
s26         , -1.806502239865187e+01, -1.827333128493570e+01,  1.366524570415029e+01,  1.673469387755102e-01, -7.516464298893938e+00
s27         , -2.017409009594002e+01, -2.006005486165017e+01,  1.442570107860058e+01,  1.052631578947368e-01, -1.030035647281009e+01
s28         , -1.658938425028538e+01, -1.702731004195038e+01,  1.612520270369866e+01,  5.862068965517241e-02, -6.482888849945390e+00
s29         , -2.262132344831001e+01, -2.304368833399980e+01,  1.593875434554928e+01,  4.293785310734464e-01, -1.339638345979570e+01
s30         , -1.697997334312175e+01, -1.719703736040445e+01,  1.447061937419585e+01,  0.000000000000000e+00, -6.742347995719033e+00
s31         , -1.964904728113367e+01, -1.960888962800913e+01,  1.278053044501900e+01,  2.842105263157895e-01, -8.825860079466834e+00
s32         , -2.151059652715050e+01, -2.103238334985475e+01,  1.609051910088825e+01,  0.000000000000000e+00, -1.222425569662030e+01
s33         , -2.289264810431292e+01, -2.351089190434072e+01,  1.512065544431090e+01,  4.126984126984127e-01, -1.400829690129894e+01
s34         , -2.302504917991390e+01, -2.245024988378250e+01,  1.196748738416593e+01,  7.954545454545454e-02, -1.341043500194451e+01
s35         , -2.244061385591441e+01, -2.225253615581547e+01,  1.597239936357638e+01,  5.145631067961165e-01, -1.199333926277557e+01
s36         , -2.239655424600443e+01, -2.193351113261542e+01,  1.864313381788879e+01,  6.102236421725240e-01, -1.150849422828392e+01
s37         , -2.226102540809307e+01, -2.216794347606623e+01,  1.813126785614256e+01,  5.389830508474577e-01, -1.203615077201476e+01
s38         , -2.102436377352775e+01, -2.103999230653877e+01,  1.361185415719834e+01,  3.099415204678362e-01, -1.080251848245343e+01
s39         , -2.141661104833067e+01, -2.110424654861189e+01,  1.292070323875227e+01,  8.161434977578476e-01, -8.940544549692632e+00
s40         , -1.990275935468409e+01, -1.952425344520132e+01,  1.140908810228463e+01,  1.702127659574468e-01, -8.971601082086192e+00
s41         , -1.952311408648237e+01, -1.940949848890752e+01,  1.146518463166868e+01,  2.189054726368159e-01, -8.639735004153007e+00
s42         , -1.862175379272403e+01, -1.942866813827009e+01,  1.308703264822130e+01,  6.521739130434782e-02, -9.421843641937507e+00
s43         , -2.257821044890805e+01, -2.266195358552394e+01,  1.421248764132044e+01,  7.235023041474655e-01, -1.158270745620642e+01
s44         , -1.984867902879579e+01, -1.942669762817091e+01,  1.402941744252087e+01,  0.000000000000000e+00, -9.769192860605903e+00
s45         , -1.928264199244582e+01, -1.925295701038060e+01,  1.463797368947825e+01,  3.030303030303030e-02, -9.487793106635129e+00
s46         , -2.007096062658339e+01, -2.035003717085729e+01,  1.322545303103298e+01,  1.098039215686274e-01, -1.054498121675357e+01
s47         , -1.842882744186564e+01, -1.850335634158326e+01,  1.627660331040289e+01,  0.000000000000000e+00, -8.754631319352400e+00
s48         , -1.712958329507449e+01, -1.685884014878176e+01,  1.443529537894341e+01,  0.000000000000000e+00, -6.271400756383662e+00
s49         , -2.142142340445580e+01, -2.191845926911214e+01,  1.858055448723663e+01,  3.359683794466403e-01, -1.249399601206904e+01
s50         , -2.022197746600499e+01, -2.026274903005323e+01,  1.306029589542531e+01,  0.000000000000000e+00, -1.081115804041152e+01
s51         , -2.208446385448407e+01, -2.234404119276450e+01,  1.619375945674183e+01,  4.070351758793970e-01, -1.254264652642666e+01
s52         , -2.030062191637932e+01, -2.016375236309709e+01,  1.923157931420872e+01,  4.397759103641457e-01, -9.763449929806711e+00
s53         , -1.881589086732163e+01, -1.885640933192806e+01,  1.585892172281066e+01,  6.188524590163935e-01, -6.906667608877179e+00
s54         , -2.389190768082197e+01, -2.423523473814608e+01,  1.629046627025058e+01,  3.333333333333333e-01, -1.543687667777141e+01
s55         , -1.989931101552115e+01, -1.997784706116741e+01,  1.277347255534775e+01,  9.016393442622951e-02, -1.005147254688426e+01
s56         , -2.293632659980805e+01, -2.312588635069970e+01,  1.606429873389913e+01,  5.108695652173912e-01, -1.322322739360983e+01
s57         , -2.165250835772914e+01, -2.156419148801487e+01,  1.560194910130615e+01,  3.983050847457627e-01, -1.142989054563044e+01
s58         , -2.493828100106786e+01, -2.503685549932170e+01,  1.513644754180357e+01,  5.333333333333333e-01, -1.567080732310909e+01
s59         , -2.019609135900962e+01, -1.976832521645444e+01,  1.215989506759279e+01,  0.000000000000000e+00, -1.002444059569394e+01
s60         , -1.686951544328429e+01, -1.731798849305348e+01,  1.490607110826770e+01,  5.594405594405594e-02, -6.752961502092934e+00
s61         , -1.698686520707895e+01, -1.773837516820262e+01,  1.463852258100985e+01,  4.620462046204620e-02, -7.338309107273060e+00
s62         , -1.961666852236879e+01, -1.950757637600270e+01,  1.496616867379336e+01,  0.000000000000000e+00, -9.989244604820744e+00
s63         , -2.363642228074260e+01, -2.313669296006860e+01,  1.731185715613577e+01,  4.528301886792453e-01, -1.359700361660709e+01
s64         , -2.123215125329894e+01, -2.134961741082581e+01,  1.628962765909190e+01,  5.051546391752577e-01, -1.081839824161451e+01
s65         , -2.229595939650926e+01, -2.205038162703461e+01,  1.595927707716243e+01,  4.868421052631579e-01, -1.181520354405036e+01
s66         , -2.209517036440609e+01, -2.169316609313351e+01,  1.738791512806575e+01,  2.906403940886699e-01, -1.221248873807780e+01
s67         , -2.100952424313996e+01, -2.070571886386850e+01,  1.651564527612532e+01,  5.231316725978647e-01, -9.889258438676938e+00
s68         , -2.306714632630091e+01, -2.280668692612025e+01,  1.749142075176609e+01,  3.492063492063492e-01, -1.354517748091799e+01
s69         , -2.116954741071400e+01, -2.121833590686443e+01,  1.671592591286285e+01,  3.794466403162055e-01, -1.115106435852503e+01
s70         , -2.268552320802911e+01, -2.167365109630231e+01,  1.672869042702136e+01,  5.254237288135594e-01, -1.124161032136639e+01
s71         , -1.844586653395837e+01, -1.923207384682632e+01,  1.378191111687853e+01,  0.000000000000000e+00, -9.471885061546020e+00
s72         , -2.185924535832699e+01, -2.160294152324358e+01,  1.699245068595842e+01,  4.893617021276596e-01, -1.130779222596192e+01
s73         , -1.814705961150877e+01, -1.815531586386379e+01,  1.547477165137842e+01,  0.000000000000000e+00, -8.181393366294326e+00
s74         , -2.269683109870329e+01, -2.340176830541404e+01,  1.556357152458969e+01,  4.382022471910113e-01, -1.381466399203632e+01
s75         , -2.162544692540680e+01, -2.184932103372926e+01,  1.246640178663785e+01,  5.637254901960784e-01, -1.084931989499707e+01
s76         , -1.799713371423827e+01, -1.845669953762734e+01,  1.515379906326972e+01,  0.000000000000000e+00, -8.560290110591437e+00
s77         , -1.808839931225978e+01, -1.767555622595602e+01,  1.428554946358279e+01,  0.000000000000000e+00, -7.381495538058597e+00
s78         , -1.710463489071706e+01, -1.729874157001390e+01,  1.409537793268619e+01,  0.000000000000000e+00, -6.839319955674805e+00
s79         , -2.130172009097587e+01, -2.123213688945064e+01,  1.796455169359209e+01,  4.448398576512456e-01, -1.107294732700863e+01
s80         , -2.075517304342145e+01, -2.078045591591118e+01,  1.188657689114704e+01,  2.000000000000000e-02, -1.131608164347267e+01
s81         , -1.679587307458704e+01, -1.710048435239052e+01,  1.527710135821569e+01,  0.000000000000000e+00, -6.702391472917180e+00
s82         , -1.961963418382102e+01, -1.925599923252342e+01,  1.368963169948801e+01,  1.015228426395939e-02, -9.456715452585794e+00
s83         , -1.732943596118787e+01, -1.725808641392139e+01,  1.657134493823380e+01,  0.000000000000000e+00, -7.069724960936600e+00
s84         , -2.091958911511147e+01, -2.158343910750007e+01,  1.479978881705839e+01,  1.349480968858132e-01, -1.233687884777828e+01
s85         , -1.931803893900067e+01, -1.911600933686147e+01,  1.391208602280002e+01,  1.731601731601732e-01, -8.686809089344949e+00
s86         , -2.124992178205270e+01, -2.117023484853607e+01,  1.224614831092911e+01,  5.963302752293578e-01, -9.765904440694671e+00
s87         , -2.000999990609716e+01, -1.994685553104603e+01,  1.251193519079939e+01,  1.026785714285714e-01, -9.932176433690920e+00
s88         , -1.933594922663024e+01, -1.925041522835032e+01,  1.521689318955082e+01,  0.000000000000000e+00, -9.663264873283470e+00
s89         , -2.128477820873118e+01, -2.122068588230449e+01,  1.826246029414443e+01,  5.180722891566265e-01, -1.082098137430691e+01
s90         , -2.009844325702736e+01, -2.027089329227167e+01,  1.616239331097481e+01,  1.841004184100418e-01, -1.050103451544213e+01
s91         , -2.185233402642529e+01, -2.200841551459833e+01,  1.678609485065249e+01,  4.791666666666667e-01, -1.188131893609695e+01
s92         , -1.852873985612102e+01, -1.866584567358287e+01,  1.333279755501788e+01,  2.280701754385965e-01, -7.795427867509963e+00
s93         , -2.244477787769646e+01, -2.251702915067636e+01,  1.378372433249749e+01,  5.462555066079295e-01, -1.198805371220504e+01
s94         , -2.069748145715988e+01, -2.060689630842712e+01,  1.385119460397799e+01,  1.850000000000000e-01, -1.069408125154869e+01
s95         , -1.839144268754908e+01, -1.800741489694171e+01,  1.392302097824602e+01,  0.000000000000000e+00, -7.797652068663955e+00
s96         , -2.061908691885885e+01, -2.040199078353686e+01,  1.261453203329646e+01,  0.000000000000000e+00, -1.095178707793731e+01
s97         , -2.336181657728519e+01, -2.323057520918894e+01,  1.848024518828539e+01,  2.982456140350877e-01, -1.443308536659058e+01
s98         , -1.913590175727989e+01, -1.906869859634976e+01,  1.231531120808972e+01,  2.572815533980582e-01, -8.125841694436835e+00
s99         , -1.764848235022367e+01, -1.821989838321304e+01,  1.436893567999694e+01,  2.173913043478261e-01, -7.339195835540938e+00
s100        , -2.003395952271198e+01, -1.997729876404130e+01,  1.039422290772911e+01,  2.574257425742574e-01, -9.157258268979538e+00
s101        , -2.047737186068138e+01, -2.022767570381086e+01,  1.715042698972063e+01,  3.973509933774834e-01, -9.767637425407809e+00
s102        , -1.813404261594337e+01, -1.858853929677406e+01,  1.356242117901699e+01,  1.861313868613139e-01, -7.870270728740504e+00
s103        , -2.094885731266024e+01, -2.039940257520463e+01,  1.445059198224718e+01,  1.666666666666667e-01, -1.054476532097845e+01
s104        , -1.695125455205811e+01, -1.678580377748415e+01,  1.494044083513517e+01,  1.034482758620690e-01, -5.846738377255726e+00
s105        , -2.089913046364001e+01, -2.163447296027920e+01,  1.593535412269454e+01,  4.801762114537445e-01, -1.126293410828425e+01
s106        , -2.193421435204462e+01, -2.203547912453495e+01,  1.551308701063501e+01,  4.384236453201971e-01, -1.192192950152069e+01
s107        , -1.938858975045087e+01, -1.927999122937227e+01,  1.508098068732654e+01,  0.000000000000000e+00, -9.688364405037031e+00
s108        , -2.184761912256448e+01, -2.212809194708356e+01,  1.518897290201457e+01,  5.377358490566038e-01, -1.164525560528221e+01
