# c0 + a0 * (poly_dist_std - Al) + a1 * (O - NBI) + a2 * (face-area-avg - E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.340499294141099; Max AE: 1.56554808600906
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  1.954614467396058e+00, -3.600842080890744e+00,  7.559179137317046e-01, -1.393569419647210e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         29|15|sub; (poly_dist_std - Al); $\left(poly_{dist, std} - Al\right)$; (poly_dist_std - Al); (newdata$poly_dist_std - newdata$Al); poly_dist_std,Al
# 1;  1; Unitless;                                         12|5|sub; (O - NBI); $\left(O - NBI\right)$; (O - NBI); (newdata$O - newdata$NBI); O,NBI
# 2;  1; Unitless;                                         33|0|sub; (face-area-avg - E_T); $\left(face-area-avg - E_{T}\right)$; (face_sub_area_sub_avg - E_T); (newdata$face_sub_area_sub_avg - newdata$E_T); face-area-avg,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
s1          , -2.244947812336508e+01, -2.246128292880688e+01,  7.503429439863338e-02, -2.715477295545710e-02, -1.160183101836766e+01
s2          , -2.298888400764099e+01, -2.331545616980659e+01,  1.275427388423458e-01, -1.815442579248565e-01, -1.360302603308405e+01
s3          , -1.755271246623431e+01, -1.772815120182310e+01, -2.682634323309686e-02, -4.812376951876953e-01, -7.240049072901664e+00
s4          , -1.917258847351942e+01, -1.923620297181759e+01,  5.780413820823727e-02, -4.105290357033963e-01, -9.117053164316232e+00
s5          , -2.000094091703784e+01, -2.036502755176340e+01,  1.906566577411240e-01, -2.483960154167160e-01, -1.018156641355539e+01
s6          , -2.179532463031582e+01, -2.171054321950103e+01,  8.434807089358930e-02, -5.512500464109538e-02, -1.076600153439930e+01
s7          , -2.156980503382011e+01, -2.152079883053550e+01, -4.493051293780745e-02, -8.277153208754540e-02, -1.031240281210619e+01
s8          , -2.070680399014268e+01, -2.129046982247132e+01,  5.059506642016903e-02, -4.170919110426776e-01, -1.184725406952471e+01
s9          , -2.311678210871720e+01, -2.275943963301371e+01,  9.616110243147595e-02, -2.163641638617279e-01, -1.295219537297537e+01
s10         , -1.955558688693647e+01, -1.913555410061696e+01,  7.193939791409239e-02, -4.698997058276752e-01, -9.303269837737986e+00
s11         , -1.929232032084748e+01, -1.934120420991517e+01,  7.284812373539344e-02, -5.120166558868949e-01, -9.778298670240128e+00
s12         , -1.972420304545977e+01, -1.959233426168611e+01, -2.972780258604312e-01, -3.129036774105314e-01, -8.204981984478989e+00
s13         , -1.649771434553038e+01, -1.687272893450152e+01,  6.429653932451315e-02, -4.415825296239856e-01, -6.155137422109360e+00
s14         , -1.814284237715737e+01, -1.835059397089297e+01,  7.776057262670263e-02, -4.708682588577026e-01, -8.284515873959428e+00
s15         , -2.140988745272463e+01, -2.095752038571364e+01,  7.559400311566079e-02, -5.281961632847288e-01, -1.200068701681835e+01
s16         , -2.271802967642396e+01, -2.246074815715591e+01,  7.808426496286965e-02, -1.276391715740530e-01, -1.208767106698464e+01
s17         , -1.845283706311921e+01, -1.825339334057957e+01,  6.733891637709034e-02, -4.974842489778722e-01, -8.255768079061216e+00
s18         , -2.106370881996578e+01, -2.174972130684009e+01,  3.688644261444360e-02, -1.747640425517821e-01, -1.126501098692357e+01
s19         , -2.166440903696862e+01, -2.146682359861095e+01,  1.352086791483250e-01, -3.820189265192572e-01, -1.213226979044971e+01
s20         , -1.957524373940041e+01, -1.968931001935267e+01,  2.841717197701469e-02, -4.054592287883396e-01, -9.616328650779812e+00
s21         , -2.230012329283520e+01, -2.283473570154727e+01, -2.092618220644860e-02, -2.011038270966132e-01, -1.267635259828722e+01
s22         , -1.709175230426198e+01, -1.670898480761429e+01,  8.156975619514625e-02, -4.261549618484539e-01, -5.909695583551210e+00
s23         , -2.271630669020732e+01, -2.251697325060918e+01,  1.358984568594830e-01, -4.219941910978016e-01, -1.371371467310823e+01
s24         , -1.997593461761007e+01, -1.994900927963447e+01,  1.979684115199493e-01, -2.991872236783314e-01, -9.892070043132339e+00
s25         , -2.228124530569044e+01, -2.252582362324323e+01,  3.155230088506021e-02, -1.999286346201568e-01, -1.239779251296096e+01
s26         , -1.806502239865187e+01, -1.835077805642609e+01, -9.251819475297618e-02, -4.020125073377813e-01, -7.516464298893938e+00
s27         , -2.017409009594002e+01, -1.995585569857634e+01,  1.801677200540283e-01, -3.926592751299136e-01, -1.030035647281009e+01
s28         , -1.658938425028538e+01, -1.699523042308240e+01,  2.092673686949458e-02, -4.999085893567283e-01, -6.482888849945390e+00
s29         , -2.262132344831001e+01, -2.293050167174977e+01,  9.046100486367450e-02, -2.651997368690651e-01, -1.339638345979570e+01
s30         , -1.697997334312175e+01, -1.720934602277455e+01,  6.959185480639879e-02, -4.684972348578511e-01, -6.742347995719033e+00
s31         , -1.964904728113367e+01, -1.950136748054974e+01, -5.178733660505222e-02, -3.352484514228936e-01, -8.825860079466834e+00
s32         , -2.151059652715050e+01, -2.098469874405130e+01,  7.124953768603666e-02, -5.699400007758290e-01, -1.222425569662030e+01
s33         , -2.289264810431292e+01, -2.359062439395123e+01,  1.210375631818995e-01, -1.937354050302555e-01, -1.400829690129894e+01
s34         , -2.302504917991390e+01, -2.258540224681449e+01, -1.108991122038754e-02, -4.191121036616849e-01, -1.341043500194451e+01
s35         , -2.244061385591441e+01, -2.228282249460458e+01,  8.850797876207672e-02, -1.515902969446522e-01, -1.199333926277557e+01
s36         , -2.239655424600443e+01, -2.223945817995487e+01,  1.122323577756515e-01, -4.897242633120003e-02, -1.150849422828392e+01
s37         , -2.226102540809307e+01, -2.240419642656310e+01,  1.122074138468478e-01, -1.140059761507076e-01, -1.203615077201476e+01
s38         , -2.102436377352775e+01, -2.081944572531879e+01,  6.107117394826850e-02, -3.228953337020325e-01, -1.080251848245343e+01
