# c0 + a0 * (face-area-avg - E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.618909724102408; Max AE: 3.48085002189983
# Coefficients
# Task   a0                      c0
# all ,  8.284383579140620e-01, -1.187682809215270e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         33|0|sub; (face-area-avg - E_T); $\left(face-area-avg - E_{T}\right)$; (face_sub_area_sub_avg - E_T); (newdata$face_sub_area_sub_avg - newdata$E_T); face-area-avg,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -2.244947812336508e+01, -2.148822992980564e+01, -1.160183101836766e+01
s2          , -2.298888400764099e+01, -2.314609664166309e+01, -1.360302603308405e+01
s3          , -1.755271246623431e+01, -1.787476245732459e+01, -7.240049072901664e+00
s4          , -1.917258847351942e+01, -1.942974464461405e+01, -9.117053164316232e+00
s5          , -2.000094091703784e+01, -2.031162825279150e+01, -1.018156641355539e+01
s6          , -2.179532463031582e+01, -2.079579672461073e+01, -1.076600153439930e+01
s7          , -2.156980503382011e+01, -2.042001814396231e+01, -1.031240281210619e+01
s8          , -2.070680399014268e+01, -2.169154779930044e+01, -1.184725406952471e+01
s9          , -2.311678210871720e+01, -2.260692355832253e+01, -1.295219537297537e+01
s10         , -1.955558688693647e+01, -1.958401367975979e+01, -9.303269837737986e+00
s11         , -1.929232032084748e+01, -1.997754578571969e+01, -9.778298670240128e+00
s12         , -1.972420304545977e+01, -1.867414989408894e+01, -8.204981984478989e+00
s13         , -1.649771434553038e+01, -1.697598003086038e+01, -6.155137422109360e+00
s14         , -1.814284237715737e+01, -1.874003881888864e+01, -8.284515873959428e+00
s15         , -2.140988745272463e+01, -2.181865753820630e+01, -1.200068701681835e+01
s16         , -2.271802967642396e+01, -2.189071846189077e+01, -1.208767106698464e+01
s17         , -1.845283706311921e+01, -1.871622304288951e+01, -8.255768079061216e+00
s18         , -2.106370881996578e+01, -2.120919529604353e+01, -1.126501098692357e+01
s19         , -2.166440903696862e+01, -2.192766575512324e+01, -1.213226979044971e+01
s20         , -1.957524373940041e+01, -1.984336360876668e+01, -9.616328650779812e+00
s21         , -2.230012329283520e+01, -2.237840482301742e+01, -1.267635259828722e+01
s22         , -1.709175230426198e+01, -1.677264659716185e+01, -5.909695583551210e+00
s23         , -2.271630669020732e+01, -2.323779535684447e+01, -1.371371467310823e+01
s24         , -1.997593461761007e+01, -2.007179835505615e+01, -9.892070043132339e+00
s25         , -2.228124530569044e+01, -2.214763496334933e+01, -1.239779251296096e+01
s26         , -1.806502239865187e+01, -1.810375543324807e+01, -7.516464298893938e+00
s27         , -2.017409009594002e+01, -2.041003849441697e+01, -1.030035647281009e+01
s28         , -1.658938425028538e+01, -1.724750188554085e+01, -6.482888849945390e+00
s29         , -2.262132344831001e+01, -2.297490600757295e+01, -1.339638345979570e+01
s30         , -1.697997334312175e+01, -1.746244779421135e+01, -6.742347995719033e+00
s31         , -1.964904728113367e+01, -1.918850912356548e+01, -8.825860079466834e+00
s32         , -2.151059652715050e+01, -2.200387040818244e+01, -1.222425569662030e+01
s33         , -2.289264810431292e+01, -2.348183857423744e+01, -1.400829690129894e+01
s34         , -2.302504917991390e+01, -2.298654684407688e+01, -1.341043500194451e+01
s35         , -2.244061385591441e+01, -2.181257037691275e+01, -1.199333926277557e+01
s36         , -2.239655424600443e+01, -2.141090615269569e+01, -1.150849422828392e+01
s37         , -2.226102540809307e+01, -2.184803707332668e+01, -1.203615077201476e+01
s38         , -2.102436377352775e+01, -2.082604876509273e+01, -1.080251848245343e+01
s39         , -2.141661104833067e+01, -1.928351813775759e+01, -8.940544549692632e+00
s40         , -1.990275935468409e+01, -1.930924656045621e+01, -8.971601082086192e+00
s41         , -1.952311408648237e+01, -1.903431597180586e+01, -8.639735004153007e+00
s42         , -1.862175379272403e+01, -1.968224476740246e+01, -9.421843641937507e+00
s43         , -2.257821044890805e+01, -2.147238723737131e+01, -1.158270745620642e+01
s44         , -1.984867902879579e+01, -1.997000218373883e+01, -9.769192860605903e+00
s45         , -1.928264199244582e+01, -1.973687983364187e+01, -9.487793106635129e+00
s46         , -2.007096062658339e+01, -2.061269501559466e+01, -1.054498121675357e+01
s47         , -1.842882744186564e+01, -1.912950048650002e+01, -8.754631319352400e+00
s48         , -1.712958329507449e+01, -1.707229703659219e+01, -6.271400756383662e+00
s49         , -2.142142340445580e+01, -2.222733363217602e+01, -1.249399601206904e+01
s50         , -2.022197746600499e+01, -2.083320610630063e+01, -1.081115804041152e+01
