# c0 + a0 * (Na-Na-avg - E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.746298232333286; Max AE: 4.17637202492308
# Coefficients
# Task   a0                      c0
# all ,  8.402433868899642e-01, -1.243188657850153e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         25|0|sub; (Na-Na-avg - E_T); $\left(Na-Na-avg - E_{T}\right)$; (Na_sub_Na_sub_avg - E_T); (newdata$Na_sub_Na_sub_avg - newdata$E_T); Na-Na-avg,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -2.244947812336508e+01, -2.139639958410275e+01, -1.066894800419914e+01
s2          , -2.298888400764099e+01, -2.338919517894708e+01, -1.304063652437944e+01
s3          , -1.755271246623431e+01, -1.801856195095514e+01, -6.648877527179187e+00
s4          , -1.917258847351942e+01, -1.911535308727096e+01, -7.954203047651806e+00
s5          , -2.000094091703784e+01, -2.071206239658747e+01, -9.854496860408236e+00
s6          , -2.179532463031582e+01, -2.070352523830124e+01, -9.844336520654984e+00
s7          , -2.156980503382011e+01, -2.013261051035046e+01, -9.164873002276172e+00
s8          , -2.070680399014268e+01, -2.114136008727805e+01, -1.036541750243741e+01
s9          , -2.311678210871720e+01, -2.254913167046631e+01, -1.204085060331419e+01
s10         , -1.955558688693647e+01, -1.982707494268237e+01, -8.801245543333609e+00
s11         , -1.929232032084748e+01, -1.963812060273096e+01, -8.576365058822109e+00
s12         , -1.972420304545977e+01, -1.820473234874045e+01, -6.870444754830208e+00
s13         , -1.649771434553038e+01, -1.669708703476269e+01, -5.076148795467665e+00
s14         , -1.814284237715737e+01, -1.908450518897262e+01, -7.917489996671993e+00
s15         , -2.140988745272463e+01, -2.205665461153329e+01, -1.145473821419340e+01
s16         , -2.271802967642396e+01, -2.173978156634632e+01, -1.107761766777668e+01
s17         , -1.845283706311921e+01, -1.866228492249132e+01, -7.414992419102139e+00
s18         , -2.106370881996578e+01, -2.095635184882469e+01, -1.014523339704606e+01
s19         , -2.166440903696862e+01, -2.170431298266644e+01, -1.103540539424584e+01
s20         , -1.957524373940041e+01, -1.977888961124563e+01, -8.743898669572319e+00
s21         , -2.230012329283520e+01, -2.243512822435140e+01, -1.190517152759200e+01
s22         , -1.709175230426198e+01, -1.724214039251860e+01, -5.724833886311805e+00
s23         , -2.271630669020732e+01, -2.318113025740147e+01, -1.279301193751333e+01
s24         , -1.997593461761007e+01, -2.026930741671935e+01, -9.327560276584705e+00
s25         , -2.228124530569044e+01, -2.207210284733273e+01, -1.147312364398728e+01
s26         , -1.806502239865187e+01, -1.842719953014915e+01, -7.135209922732474e+00
s27         , -2.017409009594002e+01, -2.041696871002561e+01, -9.503296611568310e+00
s28         , -1.658938425028538e+01, -1.725764573832361e+01, -5.743287284513968e+00
s29         , -2.262132344831001e+01, -2.288091065016920e+01, -1.243571116976377e+01
s30         , -1.697997334312175e+01, -1.748684565618626e+01, -6.016065293170479e+00
s31         , -1.964904728113367e+01, -1.938470783208219e+01, -8.274770574887230e+00
s32         , -2.151059652715050e+01, -2.223873861418715e+01, -1.167144209487232e+01
s33         , -2.289264810431292e+01, -2.335941468457423e+01, -1.300519382427907e+01
s34         , -2.302504917991390e+01, -2.331135823638632e+01, -1.294800033851327e+01
s35         , -2.244061385591441e+01, -2.168063011442659e+01, -1.100721967019331e+01
s36         , -2.239655424600443e+01, -2.132073969597420e+01, -1.057890279907282e+01
s37         , -2.226102540809307e+01, -2.184298267208798e+01, -1.120044053952060e+01
s38         , -2.102436377352775e+01, -2.108439261202127e+01, -1.029761872395772e+01
s39         , -2.141661104833067e+01, -1.890995803153482e+01, -7.709755951797379e+00
s40         , -1.990275935468409e+01, -1.951630106119898e+01, -8.431383802875681e+00
s41         , -1.952311408648237e+01, -1.918984329772815e+01, -8.042856182706998e+00
s42         , -1.862175379272403e+01, -1.926225419588287e+01, -8.129034662995597e+00
s43         , -2.257821044890805e+01, -2.113363257010860e+01, -1.035622074196298e+01
s44         , -1.984867902879579e+01, -2.036543740143919e+01, -9.441967585490344e+00
s45         , -1.928264199244582e+01, -1.988772205770857e+01, -8.873423576475510e+00
s46         , -2.007096062658339e+01, -2.024521809774439e+01, -9.298890822768321e+00
s47         , -1.842882744186564e+01, -1.920759973440108e+01, -8.063988674732496e+00
s48         , -1.712958329507449e+01, -1.774151821891207e+01, -6.319159095156165e+00
s49         , -2.142142340445580e+01, -2.253613326520680e+01, -1.202538079365865e+01
s50         , -2.022197746600499e+01, -2.074590971683707e+01, -9.894779617497091e+00
s51         , -2.208446385448407e+01, -2.213578985064888e+01, -1.154891954349669e+01
s52         , -2.030062191637932e+01, -1.976902352709019e+01, -8.732156733474547e+00
s53         , -1.881589086732163e+01, -1.735326364333960e+01, -5.857085151308137e+00
s54         , -2.389190768082197e+01, -2.454465299948413e+01, -1.441578310519789e+01
s55         , -1.989931101552115e+01, -2.004055270137905e+01, -9.055312117409056e+00
s56         , -2.293632659980805e+01, -2.280267099923842e+01, -1.234259570803979e+01
s57         , -2.165250835772914e+01, -2.079901576107340e+01, -9.957982785846795e+00
s58         , -2.493828100106786e+01, -2.473298962654059e+01, -1.463992843022515e+01
s59         , -2.019609135900962e+01, -2.031943022419284e+01, -9.387213001325579e+00
s60         , -1.686951544328429e+01, -1.774813428767792e+01, -6.327033086036759e+00
s61         , -1.698686520707895e+01, -1.750639005415850e+01, -6.039325693998602e+00
s62         , -1.961666852236879e+01, -2.036645778191624e+01, -9.443181972289418e+00
