# c0 + a0 * (F - SBI) + a1 * (face-area-avg - E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.416245316736488; Max AE: 1.95038872966809
# Coefficients
# Task   a0                      a1                      c0
# all ,  4.431233826510258e+00,  7.481340469445028e-01, -1.187823673863367e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         13|6|sub; (F - SBI); $\left(F - SBI\right)$; (F - SBI); (newdata$F - newdata$SBI); F,SBI
# 1;  1; Unitless;                                         33|0|sub; (face-area-avg - E_T); $\left(face-area-avg - E_{T}\right)$; (face_sub_area_sub_avg - E_T); (newdata$face_sub_area_sub_avg - newdata$E_T); face-area-avg,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          , -2.244947812336508e+01, -2.198047785234026e+01, -3.210203698704857e-01, -1.160183101836766e+01
s2          , -2.298888400764099e+01, -2.294030677005298e+01, -1.997599651142347e-01, -1.360302603308405e+01
s3          , -1.755271246623431e+01, -1.805261972621322e+01, -1.710259048075695e-01, -7.240049072901664e+00
s4          , -1.917258847351942e+01, -1.912800045111887e+01, -9.680956800127805e-02, -9.117053164316232e+00
s5          , -2.000094091703784e+01, -2.022885358302424e+01, -1.655160589349337e-01, -1.018156641355539e+01
s6          , -2.179532463031582e+01, -2.136556007521121e+01, -3.233661538382711e-01, -1.076600153439930e+01
s7          , -2.156980503382011e+01, -2.128934702037299e+01, -3.827490713872201e-01, -1.031240281210619e+01
s8          , -2.070680399014268e+01, -2.108726816637585e+01, -7.801377879468985e-02, -1.184725406952471e+01
s9          , -2.311678210871720e+01, -2.267175531441777e+01, -2.490367869964645e-01, -1.295219537297537e+01
s10         , -1.955558688693647e+01, -1.925041362958289e+01, -9.299531316994382e-02, -9.303269837737986e+00
s11         , -1.929232032084748e+01, -1.966435652125335e+01, -1.062100635279546e-01, -9.778298670240128e+00
s12         , -1.972420304545977e+01, -1.905369781320355e+01, -2.340284304589662e-01, -8.204981984478989e+00
s13         , -1.649771434553038e+01, -1.685825526340851e+01, -8.466054159187654e-02, -6.155137422109360e+00
s14         , -1.814284237715737e+01, -1.850283474228042e+01, -9.628686559777500e-02, -8.284515873959428e+00
s15         , -2.140988745272463e+01, -2.162497463667667e+01, -1.734540275076467e-01, -1.200068701681835e+01
s16         , -2.271802967642396e+01, -2.235434605134753e+01, -3.233661538382711e-01, -1.208767106698464e+01
s17         , -1.845283706311921e+01, -1.869985620717630e+01, -1.456024010873357e-01, -8.255768079061216e+00
s18         , -2.106370881996578e+01, -2.144858894230483e+01, -2.578545817902791e-01, -1.126501098692357e+01
s19         , -2.166440903696862e+01, -2.130620087640603e+01, -7.930072178055680e-02, -1.213226979044971e+01
s20         , -1.957524373940041e+01, -1.946473631668425e+01, -8.850733749321589e-02, -9.616328650779812e+00
s21         , -2.230012329283520e+01, -2.294911126276962e+01, -3.581990065132454e-01, -1.267635259828722e+01
s22         , -1.709175230426198e+01, -1.661218068681283e+01, -7.056713486347356e-02, -5.909695583551210e+00
s23         , -2.271630669020732e+01, -2.206331611734358e+01,  1.683898463636946e-02, -1.371371467310823e+01
s24         , -1.997593461761007e+01, -2.017375769065386e+01, -2.019587755985993e-01, -9.892070043132339e+00
s25         , -2.228124530569044e+01, -2.312762043647879e+01, -4.455131661377713e-01, -1.239779251296096e+01
