# c0 + a0 * (Al + O) + a1 * (Na-Na-avg - E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.419364915907345; Max AE: 2.0490933509788
# Coefficients
# Task   a0                      a1                      c0
# all , -2.936192827230208e+00,  7.237405683328650e-01, -1.280638411900904e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         15|12|add; (Al + O); $\left(Al + O\right)$; (Al + O); (newdata$Al + newdata$O); Al,O
# 1;  1; Unitless;                                         25|0|sub; (Na-Na-avg - E_T); $\left(Na-Na-avg - E_{T}\right)$; (Na_sub_Na_sub_avg - E_T); (newdata$Na_sub_Na_sub_avg - newdata$E_T); Na-Na-avg,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          , -2.244947812336508e+01, -2.238180818447909e+01,  6.313868613138686e-01, -1.066894800419914e+01
s2          , -2.298888400764099e+01, -2.361833845227082e+01,  4.679245283018868e-01, -1.304063652437944e+01
s3          , -1.755271246623431e+01, -1.793759791356947e+01,  1.086956521739130e-01, -6.648877527179187e+00
s4          , -1.917258847351942e+01, -1.856316355335156e+01,  0.000000000000000e+00, -7.954203047651806e+00
s5          , -2.000094091703784e+01, -2.113554650695842e+01,  4.076923076923077e-01, -9.854496860408236e+00
s6          , -2.179532463031582e+01, -2.174663836935570e+01,  6.183206106870229e-01, -9.844336520654984e+00
s7          , -2.156980503382011e+01, -2.137959003897639e+01,  6.607929515418502e-01, -9.164873002276172e+00
s8          , -2.070680399014268e+01, -2.030825727323052e+01,  0.000000000000000e+00, -1.036541750243741e+01
s9          , -2.311678210871720e+01, -2.289583379451692e+01,  4.682926829268293e-01, -1.204085060331419e+01
s10         , -1.955558688693647e+01, -1.917620257057840e+01,  0.000000000000000e+00, -8.801245543333609e+00
s11         , -1.929232032084748e+01, -1.901344744091108e+01,  0.000000000000000e+00, -8.576365058822109e+00
s12         , -1.972420304545977e+01, -1.893782719500238e+01,  3.947368421052632e-01, -6.870444754830208e+00
s13         , -1.649771434553038e+01, -1.648019893318300e+01,  0.000000000000000e+00, -5.076148795467665e+00
s14         , -1.814284237715737e+01, -1.853659282897020e+01,  0.000000000000000e+00, -7.917489996671993e+00
s15         , -2.140988745272463e+01, -2.109664286425356e+01,  0.000000000000000e+00, -1.145473821419340e+01
s16         , -2.271802967642396e+01, -2.246069788685907e+01,  5.575221238938053e-01, -1.107761766777668e+01
s17         , -1.845283706311921e+01, -1.817291494659391e+01,  0.000000000000000e+00, -7.414992419102139e+00
s18         , -2.106370881996578e+01, -2.158678977213571e+01,  4.897119341563786e-01, -1.014523339704606e+01
s19         , -2.166440903696862e+01, -2.169144199413196e+01,  3.059360730593607e-01, -1.103540539424584e+01
s20         , -1.957524373940041e+01, -1.925075336402999e+01,  3.952569169960474e-02, -8.743898669572319e+00
s21         , -2.230012329283520e+01, -2.295320832791723e+01,  5.212765957446809e-01, -1.190517152759200e+01
s22         , -1.709175230426198e+01, -1.694967864949959e+01,  0.000000000000000e+00, -5.724833886311805e+00
s23         , -2.271630669020732e+01, -2.299500024464363e+01,  3.166666666666667e-01, -1.279301193751333e+01
s24         , -1.997593461761007e+01, -2.057679992261007e+01,  3.472803347280335e-01, -9.327560276584705e+00
s25         , -2.228124530569044e+01, -2.261951720937885e+01,  5.141242937853108e-01, -1.147312364398728e+01
s26         , -1.806502239865187e+01, -1.846178788495332e+01,  1.673469387755102e-01, -7.135209922732474e+00
s27         , -2.017409009594002e+01, -1.999337833888341e+01,  1.052631578947368e-01, -9.503296611568310e+00
s28         , -1.658938425028538e+01, -1.713515577089490e+01,  5.862068965517241e-02, -5.743287284513968e+00
s29         , -2.262132344831001e+01, -2.306735095174172e+01,  4.293785310734464e-01, -1.243571116976377e+01
s30         , -1.697997334312175e+01, -1.716045463341587e+01,  0.000000000000000e+00, -6.016065293170479e+00
s31         , -1.964904728113367e+01, -1.962966818649373e+01,  2.842105263157895e-01, -8.274770574887230e+00
s32         , -2.151059652715050e+01, -2.125348025401606e+01,  0.000000000000000e+00, -1.167144209487232e+01
s33         , -2.289264810431292e+01, -2.343053260784621e+01,  4.126984126984127e-01, -1.300519382427907e+01
s34         , -2.302504917991390e+01, -2.241093803585389e+01,  7.954545454545454e-02, -1.294800033851327e+01
s35         , -2.244061385591441e+01, -2.228361204221149e+01,  5.145631067961165e-01, -1.100721967019331e+01
s36         , -2.239655424600443e+01, -2.225449952430139e+01,  6.102236421725240e-01, -1.057890279907282e+01
s37         , -2.226102540809307e+01, -2.249515548855710e+01,  5.389830508474577e-01, -1.120044053952060e+01
s38         , -2.102436377352775e+01, -2.116923661601983e+01,  3.099415204678362e-01, -1.029761872395772e+01
s39         , -2.141661104833067e+01, -2.078260195737773e+01,  8.161434977578476e-01, -7.709755951797379e+00
s40         , -1.990275935468409e+01, -1.940829612684207e+01,  1.702127659574468e-01, -8.431383802875681e+00
s41         , -1.952311408648237e+01, -1.927007410229856e+01,  2.189054726368159e-01, -8.042856182706998e+00
s42         , -1.862175379272403e+01, -1.888118712256152e+01,  6.521739130434782e-02, -8.129034662995597e+00
s43         , -2.257821044890805e+01, -2.242594348050025e+01,  7.235023041474655e-01, -1.035622074196298e+01
s44         , -1.984867902879579e+01, -1.963991910551231e+01,  0.000000000000000e+00, -9.441967585490344e+00
s45         , -1.928264199244582e+01, -1.931741628152477e+01,  3.030303030303030e-02, -8.873423576475510e+00
s46         , -2.007096062658339e+01, -1.985877413485620e+01,  1.098039215686274e-01, -9.298890822768321e+00
s47         , -1.842882744186564e+01, -1.864261986548972e+01,  0.000000000000000e+00, -8.063988674732496e+00
s48         , -1.712958329507449e+01, -1.737981591392316e+01,  0.000000000000000e+00, -6.319159095156165e+00
s49         , -2.142142340445580e+01, -2.249610799493805e+01,  3.359683794466403e-01, -1.202538079365865e+01
s50         , -2.022197746600499e+01, -1.996763754290484e+01,  0.000000000000000e+00, -9.894779617497091e+00
s51         , -2.208446385448407e+01, -2.235993947689734e+01,  4.070351758793970e-01, -1.154891954349669e+01
s52         , -2.030062191637932e+01, -2.041746706966540e+01,  4.397759103641457e-01, -8.732156733474547e+00
s53         , -1.881589086732163e+01, -1.886246440646849e+01,  6.188524590163935e-01, -5.857085151308137e+00
s54         , -2.389190768082197e+01, -2.421840211893834e+01,  3.333333333333333e-01, -1.441578310519789e+01
s55         , -1.989931101552115e+01, -1.962481955483130e+01,  9.016393442622951e-02, -9.055312117409056e+00
s56         , -2.293632659980805e+01, -2.323923290449006e+01,  5.108695652173912e-01, -1.234259570803979e+01
s57         , -2.165250835772914e+01, -2.118288077276652e+01,  3.983050847457627e-01, -9.957982785846795e+00
s58         , -2.493828100106786e+01, -2.496786374930877e+01,  5.333333333333333e-01, -1.463992843022515e+01
s59         , -2.019609135900962e+01, -1.960029099165007e+01,  0.000000000000000e+00, -9.387213001325579e+00
s60         , -1.686951544328429e+01, -1.754977717634723e+01,  5.594405594405594e-02, -6.327033086036759e+00
s61         , -1.698686520707895e+01, -1.731295480431642e+01,  4.620462046204620e-02, -6.039325693998602e+00
s62         , -1.961666852236879e+01, -1.964079800650445e+01,  0.000000000000000e+00, -9.443181972289418e+00
s63         , -2.363642228074260e+01, -2.335550390744404e+01,  4.528301886792453e-01, -1.273871251644613e+01
s64         , -2.123215125329894e+01, -2.143382528783928e+01,  5.051546391752577e-01, -9.871230180033232e+00
s65         , -2.229595939650926e+01, -2.206410194280252e+01,  4.868421052631579e-01, -1.081638347890116e+01
s66         , -2.209517036440609e+01, -2.210218697193152e+01,  2.906403940886699e-01, -1.166499016621810e+01
s67         , -2.100952424313996e+01, -2.078823454766201e+01,  5.231316725978647e-01, -8.906278362593577e+00
s68         , -2.306714632630091e+01, -2.313804778818692e+01,  3.492063492063492e-01, -1.285864976845509e+01
s69         , -2.116954741071400e+01, -2.135312944477567e+01,  3.794466403162055e-01, -1.026972529572939e+01
s70         , -2.268552320802911e+01, -2.180926396790399e+01,  5.254237288135594e-01, -1.030774671410286e+01
s71         , -1.844586653395837e+01, -1.876252488185834e+01,  0.000000000000000e+00, -8.229662704371069e+00
s72         , -2.185924535832699e+01, -2.166926535347261e+01,  4.893617021276596e-01, -1.026061166069631e+01
s73         , -1.814705961150877e+01, -1.802608806943830e+01,  0.000000000000000e+00, -7.212120169597291e+00
s74         , -2.269683109870329e+01, -2.336640059834763e+01,  4.382022471910113e-01, -1.281311369020169e+01
s75         , -2.162544692540680e+01, -2.162737772518397e+01,  5.637254901960784e-01, -9.901043521493820e+00
s76         , -1.799713371423827e+01, -1.864599763318407e+01,  0.000000000000000e+00, -8.068655772090494e+00
s77         , -1.808839931225978e+01, -1.786359187555270e+01,  0.000000000000000e+00, -6.987597459394779e+00
s78         , -1.710463489071706e+01, -1.735388871168852e+01,  0.000000000000000e+00, -6.283335205534557e+00
s79         , -2.130172009097587e+01, -2.150066343159757e+01,  4.448398576512456e-01, -1.020827633070978e+01
s80         , -2.075517304342145e+01, -2.040612934252754e+01,  2.000000000000000e-02, -1.041950900216167e+01
