# c0 + a0 * (O - NBI) + a1 * (Na-Na-avg - E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.429716009682161; Max AE: 2.26862840652198
# Coefficients
# Task   a0                      a1                      c0
# all , -4.503075955253321e+00,  7.369251347804725e-01, -1.490121492521867e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         12|5|sub; (O - NBI); $\left(O - NBI\right)$; (O - NBI); (newdata$O - newdata$NBI); O,NBI
# 1;  1; Unitless;                                         25|0|sub; (Na-Na-avg - E_T); $\left(Na-Na-avg - E_{T}\right)$; (Na_sub_Na_sub_avg - E_T); (newdata$Na_sub_Na_sub_avg - newdata$E_T); Na-Na-avg,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          , -2.244947812336508e+01, -2.264115086601289e+01, -2.715477295545710e-02, -1.066894800419914e+01
s2          , -2.298888400764099e+01, -2.369368017089441e+01, -1.815442579248565e-01, -1.304063652437944e+01
s3          , -1.755271246623431e+01, -1.763388999911281e+01, -4.812376951876953e-01, -6.648877527179187e+00
s4          , -1.917258847351942e+01, -1.891422364857142e+01, -4.105290357033963e-01, -7.954203047651806e+00
s5          , -2.000094091703784e+01, -2.104469522786501e+01, -2.483960154167160e-01, -9.854496860408236e+00
s6          , -2.179532463031582e+01, -2.190752185959413e+01, -5.512500464109538e-02, -9.844336520654984e+00
s7          , -2.156980503382011e+01, -2.128231370174404e+01, -8.277153208754540e-02, -9.164873002276172e+00
s8          , -2.070680399014268e+01, -2.066155505951128e+01, -4.170919110426776e-01, -1.036541750243741e+01
s9          , -2.311678210871720e+01, -2.280011611507327e+01, -2.163641638617279e-01, -1.204085060331419e+01
s10         , -1.955558688693647e+01, -1.927107991678261e+01, -4.698997058276752e-01, -8.801245543333609e+00
s11         , -1.929232032084748e+01, -1.891570401030419e+01, -5.120166558868949e-01, -8.576365058822109e+00
s12         , -1.972420304545977e+01, -1.855518932611600e+01, -3.129036774105314e-01, -6.870444754830208e+00
s13         , -1.649771434553038e+01, -1.665347688907470e+01, -4.415825296239856e-01, -5.076148795467665e+00
s14         , -1.814284237715737e+01, -1.861545677358510e+01, -4.708682588577026e-01, -7.917489996671993e+00
s15         , -2.140988745272463e+01, -2.096399198504365e+01, -5.281961632847288e-01, -1.145473821419340e+01
s16         , -2.271802967642396e+01, -2.248982093362797e+01, -1.276391715740530e-01, -1.107761766777668e+01
s17         , -1.845283706311921e+01, -1.812529985337218e+01, -4.974842489778722e-01, -7.414992419102139e+00
s18         , -2.106370881996578e+01, -2.159051665585839e+01, -1.747640425517821e-01, -1.014523339704606e+01
s19         , -2.166440903696862e+01, -2.131322229026988e+01, -3.820189265192572e-01, -1.103540539424584e+01
s20         , -1.957524373940041e+01, -1.951899992680772e+01, -4.054592287883396e-01, -8.743898669572319e+00
s21         , -2.230012329283520e+01, -2.276884924946587e+01, -2.011038270966132e-01, -1.190517152759200e+01
s22         , -1.709175230426198e+01, -1.720098074657314e+01, -4.261549618484539e-01, -5.724833886311805e+00
s23         , -2.271630669020732e+01, -2.242843507632978e+01, -4.219941910978016e-01, -1.279301193751333e+01
s24         , -1.997593461761007e+01, -2.042766574614894e+01, -2.991872236783314e-01, -9.327560276584705e+00
s25         , -2.228124530569044e+01, -2.245575428559236e+01, -1.999286346201568e-01, -1.147312364398728e+01
s26         , -1.806502239865187e+01, -1.834903760371140e+01, -4.020125073377813e-01, -7.135209922732474e+00
s27         , -2.017409009594002e+01, -2.013625852111274e+01, -3.926592751299136e-01, -9.503296611568310e+00
s28         , -1.658938425028538e+01, -1.688246133288521e+01, -4.999085893567283e-01, -5.743287284513968e+00
s29         , -2.262132344831001e+01, -2.287118849665326e+01, -2.651997368690651e-01, -1.243571116976377e+01
s30         , -1.697997334312175e+01, -1.722492601884539e+01, -4.684972348578511e-01, -6.016065293170479e+00
s31         , -1.964904728113367e+01, -1.948945210575658e+01, -3.352484514228936e-01, -8.274770574887230e+00
s32         , -2.151059652715050e+01, -2.093571085063424e+01, -5.699400007758290e-01, -1.167144209487232e+01
s33         , -2.289264810431292e+01, -2.361266389294868e+01, -1.937354050302555e-01, -1.300519382427907e+01
s34         , -2.302504917991390e+01, -2.255562818326059e+01, -4.191121036616849e-01, -1.294800033851327e+01
s35         , -2.244061385591441e+01, -2.233008914301297e+01, -1.515902969446522e-01, -1.100721967019331e+01
s36         , -2.239655424600443e+01, -2.247654774077248e+01, -4.897242633120003e-02, -1.057890279907282e+01
s37         , -2.226102540809307e+01, -2.264172350944612e+01, -1.140059761507076e-01, -1.120044053952060e+01
s38         , -2.102436377352775e+01, -2.103576677803201e+01, -3.228953337020325e-01, -1.029761872395772e+01
s39         , -2.141661104833067e+01, -2.045601807771355e+01, -2.813849747751401e-02, -7.709755951797379e+00
s40         , -1.990275935468409e+01, -1.937219040027117e+01, -3.869184503172652e-01, -8.431383802875681e+00
s41         , -1.952311408648237e+01, -1.904855371571186e+01, -3.952063220012920e-01, -8.042856182706998e+00
s42         , -1.862175379272403e+01, -1.895708023541083e+01, -4.296229230186659e-01, -8.129034662995597e+00
s43         , -2.257821044890805e+01, -2.198640826065173e+01, -1.213761517872470e-01, -1.035622074196298e+01
s44         , -1.984867902879579e+01, -1.981111528157445e+01, -4.548275222373696e-01, -9.441967585490344e+00
s45         , -1.928264199244582e+01, -1.939709578609263e+01, -4.537271910328103e-01, -8.873423576475510e+00
s46         , -2.007096062658339e+01, -2.019467265082543e+01, -3.462363643792843e-01, -9.298890822768321e+00
s47         , -1.842882744186564e+01, -1.835785688109099e+01, -5.520479800530659e-01, -8.063988674732496e+00
s48         , -1.712958329507449e+01, -1.752923419394187e+01, -4.505204707478404e-01, -6.319159095156165e+00
s49         , -2.142142340445580e+01, -2.222019088647203e+01, -3.426167837786894e-01, -1.202538079365865e+01
s50         , -2.022197746600499e+01, -2.029398766110915e+01, -4.216982094519892e-01, -9.894779617497091e+00
s51         , -2.208446385448407e+01, -2.239610488598258e+01, -2.255789465889808e-01, -1.154891954349669e+01
s52         , -2.030062191637932e+01, -2.020742458215013e+01, -2.506589122689975e-01, -8.732156733474547e+00
s53         , -1.881589086732163e+01, -1.847861722669095e+01, -1.640725074188992e-01, -5.857085151308137e+00
s54         , -2.389190768082197e+01, -2.389451034011364e+01, -3.619875634048325e-01, -1.441578310519789e+01
