# c0 + a0 * (Al + Na) + a1 * (O - NBI) + a2 * (face-area-avg - E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.321833433016911; Max AE: 1.68535635569465
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -1.813429491579483e+00, -3.875737054471581e+00,  6.989461624575964e-01, -1.397851264048028e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         15|14|add; (Al + Na); $\left(Al + Na\right)$; (Al + Na); (newdata$Al + newdata$Na); Al,Na
# 1;  1; Unitless;                                         12|5|sub; (O - NBI); $\left(O - NBI\right)$; (O - NBI); (newdata$O - newdata$NBI); O,NBI
# 2;  1; Unitless;                                         33|0|sub; (face-area-avg - E_T); $\left(face-area-avg - E_{T}\right)$; (face_sub_area_sub_avg - E_T); (newdata$face_sub_area_sub_avg - newdata$E_T); face-area-avg,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
s1          , -2.244947812336508e+01, -2.221396560180458e+01,  1.277372262773723e-01, -2.715477295545710e-02, -1.160183101836766e+01
s2          , -2.298888400764099e+01, -2.311799105433753e+01,  1.849056603773585e-01, -1.815442579248565e-01, -1.360302603308405e+01
s3          , -1.755271246623431e+01, -1.774933314041735e+01,  3.173913043478261e-01, -4.812376951876953e-01, -7.240049072901664e+00
s4          , -1.917258847351942e+01, -1.894311987737330e+01,  1.011235955056180e-01, -4.105290357033963e-01, -9.117053164316232e+00
s5          , -2.000094091703784e+01, -2.052972131429305e+01,  2.192307692307692e-01, -2.483960154167160e-01, -1.018156641355539e+01
s6          , -2.179532463031582e+01, -2.159426348564546e+01,  1.679389312977099e-01, -5.512500464109538e-02, -1.076600153439930e+01
s7          , -2.156980503382011e+01, -2.147266570700302e+01,  3.348017621145374e-01, -8.277153208754540e-02, -1.031240281210619e+01
s8          , -2.070680399014268e+01, -2.079368595758454e+01,  8.333333333333333e-02, -4.170919110426776e-01, -1.184725406952471e+01
s9          , -2.311678210871720e+01, -2.282089510859669e+01,  3.463414634146341e-01, -2.163641638617279e-01, -1.295219537297537e+01
s10         , -1.955558688693647e+01, -1.936816058526137e+01,  3.906250000000000e-01, -4.698997058276752e-01, -9.303269837737986e+00
s11         , -1.929232032084748e+01, -1.899343227218860e+01,  9.090909090909091e-02, -5.120166558868949e-01, -9.778298670240128e+00
s12         , -1.972420304545977e+01, -1.929598474664143e+01,  4.385964912280702e-01, -3.129036774105314e-01, -8.204981984478989e+00
s13         , -1.649771434553038e+01, -1.672811055960592e+01,  8.764940239043825e-02, -4.415825296239856e-01, -6.155137422109360e+00
s14         , -1.814284237715737e+01, -1.818259080340283e+01,  1.315789473684210e-01, -4.708682588577026e-01, -8.284515873959428e+00
s15         , -2.140988745272463e+01, -2.106700331157689e+01,  4.123711340206185e-01, -5.281961632847288e-01, -1.200068701681835e+01
s16         , -2.271802967642396e+01, -2.242993758546680e+01,  2.743362831858407e-01, -1.276391715740530e-01, -1.208767106698464e+01
s17         , -1.845283706311921e+01, -1.817313927029088e+01,  1.943319838056680e-01, -4.974842489778722e-01, -8.255768079061216e+00
s18         , -2.106370881996578e+01, -2.168973378786089e+01,  2.839506172839507e-01, -1.747640425517821e-01, -1.126501098692357e+01
s19         , -2.166440903696862e+01, -2.144969964120355e+01,  2.602739726027397e-01, -3.820189265192572e-01, -1.213226979044971e+01
s20         , -1.957524373940041e+01, -1.939356039429305e+01,  1.462450592885375e-01, -4.054592287883396e-01, -9.616328650779812e+00
s21         , -2.230012329283520e+01, -2.302376524363359e+01,  5.319148936170213e-01, -2.011038270966132e-01, -1.267635259828722e+01
s22         , -1.709175230426198e+01, -1.678382442179734e+01,  1.800000000000000e-01, -4.261549618484539e-01, -5.909695583551210e+00
