# c0 + a0 * (face-area-avg * NBI) + a1 * (Al + O) + a2 * (Na-Na-avg - E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.324301566149762; Max AE: 1.53976606050375
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  1.165430065107534e+00, -2.916879849094432e+00,  6.784851256688569e-01, -1.496736426337412e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         33|5|mult; (face-area-avg * NBI); $\left(face-area-avg NBI\right)$; (face_sub_area_sub_avg .* NBI); (newdata$face_sub_area_sub_avg * newdata$NBI); face-area-avg,NBI
# 1;  1; Unitless;                                         15|12|add; (Al + O); $\left(Al + O\right)$; (Al + O); (newdata$Al + newdata$O); Al,O
# 2;  1; Unitless;                                         25|0|sub; (Na-Na-avg - E_T); $\left(Na-Na-avg - E_{T}\right)$; (Na_sub_Na_sub_avg - E_T); (newdata$Na_sub_Na_sub_avg - newdata$E_T); Na-Na-avg,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
s1          , -2.244947812336508e+01, -2.211264819639236e+01,  1.660432714970475e+00,  6.313868613138686e-01, -1.066894800419914e+01
s2          , -2.298888400764099e+01, -2.303228368000300e+01,  1.842957536640521e+00,  4.679245283018868e-01, -1.304063652437944e+01
s3          , -1.755271246623431e+01, -1.789799016926923e+01,  1.628232197721003e+00,  1.086956521739130e-01, -6.648877527179187e+00
s4          , -1.917258847351942e+01, -1.871625483524706e+01,  1.413999803031212e+00,  0.000000000000000e+00, -7.954203047651806e+00
s5          , -2.000094091703784e+01, -2.042195233249035e+01,  2.077113866404631e+00,  4.076923076923077e-01, -9.854496860408236e+00
s6          , -2.179532463031582e+01, -2.152038917984756e+01,  1.655850464338555e+00,  6.183206106870229e-01, -9.844336520654984e+00
s7          , -2.156980503382011e+01, -2.155167251926495e+01,  1.339741822628910e+00,  6.607929515418502e-01, -9.164873002276172e+00
s8          , -2.070680399014268e+01, -2.038656696133172e+01,  1.384535157538542e+00,  0.000000000000000e+00, -1.036541750243741e+01
s9          , -2.311678210871720e+01, -2.280822894735573e+01,  1.454078534450046e+00,  4.682926829268293e-01, -1.204085060331419e+01
s10         , -1.955558688693647e+01, -1.933716129466172e+01,  1.374357162371461e+00,  0.000000000000000e+00, -8.801245543333609e+00
s11         , -1.929232032084748e+01, -1.869970796455772e+01,  1.790405521536620e+00,  0.000000000000000e+00, -8.576365058822109e+00
s12         , -1.972420304545977e+01, -1.946827429124025e+01,  1.125751364005481e+00,  3.947368421052632e-01, -6.870444754830208e+00
s13         , -1.649771434553038e+01, -1.670714841065771e+01,  1.462384880182284e+00,  0.000000000000000e+00, -5.076148795467665e+00
s14         , -1.814284237715737e+01, -1.829293333006236e+01,  1.755858365037857e+00,  0.000000000000000e+00, -7.917489996671993e+00
s15         , -2.140988745272463e+01, -2.108792607389886e+01,  1.416908432067751e+00,  0.000000000000000e+00, -1.145473821419340e+01
s16         , -2.271802967642396e+01, -2.242362395955871e+01,  1.446645507384460e+00,  5.575221238938053e-01, -1.107761766777668e+01
s17         , -1.845283706311921e+01, -1.815911967431015e+01,  1.578135580535591e+00,  0.000000000000000e+00, -7.414992419102139e+00
s18         , -2.106370881996578e+01, -2.158235618008731e+01,  1.455968026761632e+00,  4.897119341563786e-01, -1.014523339704606e+01
s19         , -2.166440903696862e+01, -2.174973898613376e+01,  1.370620603847707e+00,  3.059360730593607e-01, -1.103540539424584e+01
s20         , -1.957524373940041e+01, -1.934523408892762e+01,  1.432970630968773e+00,  3.952569169960474e-02, -8.743898669572319e+00
s21         , -2.230012329283520e+01, -2.312733645324679e+01,  1.233888545628355e+00,  5.212765957446809e-01, -1.190517152759200e+01
