# c0 + a0 * (SBI + E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.445769378778699; Max AE: 2.29443966566592
# Coefficients
# Task   a0                      c0
# all , -2.295425339265498e-02,  6.202405248241077e-16, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         6|0|add; (SBI + E_T); $\left(SBI + E_{T}\right)$; (SBI + E_T); (newdata$SBI + newdata$E_T); SBI,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -1.176056511198248e+00, -6.233652098883189e-01,  2.715684972301417e+01
s2          , -1.455476726264239e+00, -1.745143698010464e+00,  7.602702942056413e+01
s3          ,  1.360540424298584e+00,  1.136626886960747e+00, -4.951704886748571e+01
s4          ,  5.214207269978391e-01,  1.931878717035037e-01, -8.416212385514587e+00
s5          ,  9.232192651096478e-02, -2.090576705067781e-01,  9.107578753734334e+00
s6          , -8.371953399684261e-01, -1.796334421846198e-01,  7.825714873483990e+00
s7          , -7.203728580649982e-01,  1.246586736086055e-01, -5.430743987887396e+00
s8          , -2.733255709368181e-01, -1.091212773942585e+00,  4.753858708781868e+01
s9          , -1.521729831673386e+00, -1.080190899252014e+00,  4.705842010081059e+01
s10         ,  3.230218919710685e-01,  3.587451799414162e-01, -1.562870174014062e+01
s11         ,  4.593978616455925e-01, -1.941750063707408e-01,  8.459216819174546e+00
s12         ,  2.356762313996669e-01,  7.972337739032314e-01, -3.473141819364657e+01
s13         ,  1.907045033118390e+00,  1.725577841524150e+00, -7.517464462931773e+01
s14         ,  1.054844414236797e+00,  4.641757455175828e-01, -2.022177491802506e+01
s15         , -6.375331890789701e-01, -8.934841186776502e-01,  3.892455587179117e+01
s16         , -1.315170182182296e+00, -6.613333261879979e-01,  2.881092732032031e+01
s17         ,  8.942625882950092e-01,  7.134457502208744e-01, -3.108120042140711e+01
s18         , -4.582075442603601e-01, -5.808818252738130e-01,  2.530606486463581e+01
s19         , -7.693791289946220e-01, -6.231970302811679e-01,  2.714952299344148e+01
s20         ,  3.128393520635399e-01, -9.644238885572845e-02,  4.201504061403678e+00
s21         , -1.098688503016758e+00, -1.087980551452401e+00,  4.739777560356369e+01
s22         ,  1.599324596570011e+00,  1.515758883758666e+00, -6.603390046411555e+01
s23         , -1.314277649873613e+00, -1.501457339600678e+00,  6.541085496952483e+01
s24         ,  1.052755589569482e-01,  4.917615215207675e-02, -2.142354678711169e+00
s25         , -1.088909426848386e+00, -7.239960700952935e-01,  3.154082416494374e+01
s26         ,  1.095156312501731e+00,  7.033186322378921e-01, -3.064001343049314e+01
s27         ,  2.628094430707173e-03, -9.850717112499134e-02,  4.291456116647766e+00
s28         ,  1.859558668493155e+00,  1.398226402692767e+00, -6.091360841821927e+01
s29         , -1.265074927670763e+00, -1.197302357622445e+00,  5.216037033056210e+01
s30         ,  1.657227749413040e+00,  1.443728627757912e+00, -6.289590879134770e+01
s31         ,  2.746080273692961e-01,  5.826428044405889e-01, -2.538278176483951e+01
s32         , -6.897019771020165e-01, -1.012744050323706e+00,  4.412010414800812e+01
s33         , -1.405625106938475e+00, -1.558931981003032e+00,  6.791473259164542e+01
s34         , -1.474210819660272e+00, -1.600466513105446e+00,  6.972418077503545e+01
s35         , -1.171464689733801e+00, -5.576647240078972e-01,  2.429461392050078e+01
