# c0 + a0 * (AAV - E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.446948900097306; Max AE: 2.30356466178911
# Coefficients
# Task   a0                      c0
# all ,  2.276577189062071e-02,  7.105668148470362e-16, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         2|0|sub; (AAV - E_T); $\left(AAV - E_{T}\right)$; (AAV - E_T); (newdata$AAV - newdata$E_T); AAV,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -1.176056511198248e+00, -6.235314483138503e-01, -2.738898778875757e+01
s2          , -1.455476726264239e+00, -1.742691280042627e+00, -7.654874556485392e+01
s3          ,  1.360540424298584e+00,  1.137055627187837e+00,  4.994584117994668e+01
s4          ,  5.214207269978391e-01,  1.902624797427326e-01,  8.357391994299929e+00
s5          ,  9.232192651096478e-02, -2.151659158072453e-01, -9.451290157918711e+00
s6          , -8.371953399684261e-01, -1.844800177232264e-01, -8.103393928814302e+00
s7          , -7.203728580649982e-01,  1.320390586083599e-01,  5.799893772227334e+00
s8          , -2.733255709368181e-01, -1.090393152830074e+00, -4.789616438524128e+01
s9          , -1.521729831673386e+00, -1.091631846995084e+00, -4.795057475933102e+01
s10         ,  3.230218919710685e-01,  3.424525607439378e-01,  1.504243134778243e+01
s11         ,  4.593978616455925e-01, -1.623113152931348e-01, -7.129620558132988e+00
s12         ,  2.356762313996669e-01,  8.006047120127161e-01,  3.516703566473655e+01
s13         ,  1.907045033118390e+00,  1.705698451517395e+00,  7.492381368453077e+01
s14         ,  1.054844414236797e+00,  4.689265456123687e-01,  2.059787596332552e+01
s15         , -6.375331890789701e-01, -8.716228814491523e-01, -3.828655077617876e+01
s16         , -1.315170182182296e+00, -6.652485218522562e-01, -2.922143492645348e+01
s17         ,  8.942625882950092e-01,  7.342121909692659e-01,  3.225070489578937e+01
s18         , -4.582075442603601e-01, -5.778291236412321e-01, -2.538148613705881e+01
s19         , -7.693791289946220e-01, -6.333957277798490e-01, -2.782228210064790e+01
s20         ,  3.128393520635399e-01, -9.403539451742596e-02, -4.130560341605126e+00
s21         , -1.098688503016758e+00, -1.067542255525760e+00, -4.689242520107909e+01
s22         ,  1.599324596570011e+00,  1.515015029546475e+00,  6.654793155380102e+01
s23         , -1.314277649873613e+00, -1.511385724940399e+00, -6.638851220164764e+01
s24         ,  1.052755589569482e-01,  3.914018566879884e-02,  1.719255813369699e+00
s25         , -1.088909426848386e+00, -7.056290989511493e-01, -3.099517566728597e+01
s26         ,  1.095156312501731e+00,  7.212984093873287e-01,  3.168345939917356e+01
s27         ,  2.628094430707173e-03, -1.157541209841283e-01, -5.084568251859656e+00
s28         ,  1.859558668493155e+00,  1.402894730792695e+00,  6.162298109341395e+01
s29         , -1.265074927670763e+00, -1.192434246964530e+00, -5.237837981921459e+01
s30         ,  1.657227749413040e+00,  1.425974460956633e+00,  6.263677189632742e+01
s31         ,  2.746080273692961e-01,  5.865428619931690e-01,  2.576424224977931e+01
s32         , -6.897019771020165e-01, -9.918348827157057e-01, -4.356693405701449e+01
s33         , -1.405625106938475e+00, -1.556992289343644e+00, -6.839180752685618e+01
s34         , -1.474210819660272e+00, -1.595170354418048e+00, -7.006880162386430e+01
s35         , -1.171464689733801e+00, -5.546168647040363e-01, -2.436187392936736e+01
s36         , -1.148641161041122e+00, -8.673879655164375e-01, -3.810052958818383e+01
s37         , -1.078435221245579e+00, -1.019168706421325e+00, -4.476758843574348e+01
s38         , -4.378262290801383e-01, -2.203429700303827e-01, -9.678695327750461e+00
s39         , -6.410161109102297e-01,  8.424460277062803e-01,  3.700494021260749e+01
s40         ,  1.431814259493607e-01,  5.498280348335186e-01,  2.415152174392304e+01
s41         ,  3.398432822287206e-01,  5.899500642544584e-01,  2.591390562502788e+01
s42         ,  8.067612274639525e-01,  1.175064189973096e-01,  5.161538978861530e+00
s43         , -1.242741757202650e+00, -3.817758419275304e-01, -1.676972973997070e+01
s44         ,  1.711958335245295e-01,  2.939279183304297e-02,  1.291095771944891e+00
s45         ,  4.644113787063103e-01,  2.243518285668029e-01,  9.854786810862894e+00
s46         ,  5.605068277705415e-02, -3.695331218543474e-01, -1.623196101717036e+01
s47         ,  9.066999267258494e-01,  5.215719642376575e-01,  2.291035712487920e+01
s48         ,  1.579727584566370e+00,  1.233174941211638e+00,  5.416793891885097e+01
s49         , -6.435089824614265e-01, -1.236946492810928e+00, -5.433360655434395e+01
s50         , -2.217827055817793e-02, -5.443923934564431e-01, -2.391275798035771e+01
s51         , -9.869737286665018e-01, -8.803292241662293e-01, -3.866898203126236e+01
s52         , -6.291725742859308e-02, -1.338372404596131e-01, -5.878879973964493e+00
s53         ,  7.061953554227811e-01,  1.634280461499961e+00,  7.178673621750856e+01
s54         , -1.923256326608463e+00, -2.203011265320101e+00, -9.676857327327095e+01
s55         ,  1.449677165676465e-01, -1.775551725191581e-01, -7.799216006038868e+00
s56         , -1.428251212735210e+00, -1.134025216452635e+00, -4.981272859541581e+01
s57         , -7.632144013758455e-01, -3.432471878814559e-01, -1.507733581495084e+01
s58         , -2.465293161402924e+00, -2.365813566214898e+00, -1.039197606644558e+02
s59         , -8.768884797438996e-03, -1.262542736656071e-02, -5.545793670963990e-01
s60         ,  1.714446572989188e+00,  1.226704833784232e+00,  5.388373562196775e+01
s61         ,  1.653657662090557e+00,  1.061384772774597e+00,  4.662195412806876e+01
s62         ,  2.913807026429409e-01, -3.308574171837839e-02, -1.453310780646543e+00
s63         , -1.790911115854549e+00, -1.460716535525752e+00, -6.416283807743652e+01
s64         , -5.454632126173593e-01,  3.361843674102645e-02,  1.476709724693158e+00
s65         , -1.096531543219279e+00, -5.947193529560550e-01, -2.612339945306553e+01
s66         , -9.925198589409868e-01, -9.780956195118130e-01, -4.296342879174592e+01
s67         , -4.301391331597769e-01,  2.140444017155267e-01,  9.402026987879568e+00
s68         , -1.496017763262518e+00, -1.458555309603178e+00, -6.406790495006628e+01
s69         , -5.130334975012112e-01, -2.920164122688036e-01, -1.282699368472160e+01
s70         , -1.298331351434060e+00, -4.119271846946861e-01, -1.809414531050437e+01
s71         ,  8.978734253548585e-01,  4.421185926140180e-02,  1.942032076655217e+00
