# c0 + a0 * (cub_root_V - E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.44716483429159; Max AE: 2.30170974488105
# Coefficients
# Task   a0                      c0
# all ,  2.276844794326586e-02,  6.675542957884984e-16, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         22|0|sub; (cub_root_V - E_T); $\left(cub_{root, V} - E_{T}\right)$; (cub_root_V - E_T); (newdata$cub_root_V - newdata$E_T); cub_root_V,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -1.176056511198248e+00, -6.233163181949227e-01, -2.737632006134521e+01
s2          , -1.455476726264239e+00, -1.743624796429306e+00, -7.658074897217631e+01
s3          ,  1.360540424298584e+00,  1.140544650338395e+00,  5.009321026977285e+01
s4          ,  5.214207269978391e-01,  1.866219718169279e-01,  8.196517052104278e+00
s5          ,  9.232192651096478e-02, -2.179757581483560e-01, -9.573588796720180e+00
s6          , -8.371953399684261e-01, -1.876356255990423e-01, -8.241037161012954e+00
s7          , -7.203728580649982e-01,  1.351387152473334e-01,  5.935350340263407e+00
s8          , -2.733255709368181e-01, -1.098423097948180e+00, -4.824321362111364e+01
s9          , -1.521729831673386e+00, -1.096318231296445e+00, -4.815076697490481e+01
s10         ,  3.230218919710685e-01,  3.471272447368386e-01,  1.524597748611611e+01
s11         ,  4.593978616455925e-01, -1.562753293700392e-01, -6.863679498903253e+00
s12         ,  2.356762313996669e-01,  7.963512873169377e-01,  3.497609012705984e+01
s13         ,  1.907045033118390e+00,  1.697432287006040e+00,  7.455195414442304e+01
s14         ,  1.054844414236797e+00,  4.627047211132879e-01,  2.032218982454356e+01
s15         , -6.375331890789701e-01, -8.653368314730818e-01, -3.800596481715917e+01
s16         , -1.315170182182296e+00, -6.711355077734867e-01, -2.947655937926971e+01
s17         ,  8.942625882950092e-01,  7.449405299824976e-01,  3.271810761272488e+01
s18         , -4.582075442603601e-01, -5.680288646647338e-01, -2.494807138721716e+01
s19         , -7.693791289946220e-01, -6.355928011059598e-01, -2.791550845669072e+01
s20         ,  3.128393520635399e-01, -1.033298625052946e-01, -4.538291883696743e+00
s21         , -1.098688503016758e+00, -1.070433521928802e+00, -4.701389943645239e+01
s22         ,  1.599324596570011e+00,  1.501192322855005e+00,  6.593301074344889e+01
s23         , -1.314277649873613e+00, -1.512924733830370e+00, -6.644830326600467e+01
s24         ,  1.052755589569482e-01,  4.779251289342921e-02,  2.099067666470606e+00
s25         , -1.088909426848386e+00, -7.091500253589488e-01, -3.114617329762664e+01
s26         ,  1.095156312501731e+00,  7.246320911241511e-01,  3.182615226693447e+01
s27         ,  2.628094430707173e-03, -1.111237536313565e-01, -4.880602925076579e+00
s28         ,  1.859558668493155e+00,  1.404426060046770e+00,  6.168299497384718e+01
s29         , -1.265074927670763e+00, -1.196119951809420e+00, -5.253410134893241e+01
s30         ,  1.657227749413040e+00,  1.432532093194141e+00,  6.291742400552319e+01
s31         ,  2.746080273692961e-01,  5.906516131061065e-01,  2.594167220259739e+01
s32         , -6.897019771020165e-01, -9.896034404085610e-01, -4.346380758470860e+01
s33         , -1.405625106938475e+00, -1.555359707477584e+00, -6.831206551071075e+01
s34         , -1.474210819660272e+00, -1.597151071944449e+00, -7.014756016414516e+01
s35         , -1.171464689733801e+00, -5.597669655337627e-01, -2.458520523351367e+01
s36         , -1.148641161041122e+00, -8.553661368149156e-01, -3.756804763092799e+01
s37         , -1.078435221245579e+00, -1.011810104878155e+00, -4.443913381357270e+01
s38         , -4.378262290801383e-01, -2.235548465156276e-01, -9.818624750913171e+00
s39         , -6.410161109102297e-01,  8.435096736729693e-01,  3.704730668400479e+01
s40         ,  1.431814259493607e-01,  5.531856166712078e-01,  2.429614956845668e+01
s41         ,  3.398432822287206e-01,  5.829160401621720e-01,  2.560192252079169e+01
s42         ,  8.067612274639525e-01,  1.173205185725705e-01,  5.152767499344163e+00
s43         , -1.242741757202650e+00, -3.830186353004910e-01, -1.682234275497797e+01
s44         ,  1.711958335245295e-01,  3.186036037674610e-02,  1.399320693976800e+00
s45         ,  4.644113787063103e-01,  2.317865013242329e-01,  1.018016256100526e+01
s46         ,  5.605068277705415e-02, -3.752073891824320e-01, -1.647926947490535e+01
s47         ,  9.066999267258494e-01,  5.252564350688589e-01,  2.306948793249701e+01
s48         ,  1.579727584566370e+00,  1.221382322879479e+00,  5.364363552240818e+01
s49         , -6.435089824614265e-01, -1.241597575108134e+00, -5.453149807145098e+01
s50         , -2.217827055817793e-02, -5.364904736854386e-01, -2.356289172728241e+01
