# c0 + a0 * (poly_dist_avg + E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.44821858171939; Max AE: 2.30915186822637
# Coefficients
# Task   a0                      c0
# all , -2.280473735035473e-02,  6.899208056989381e-16, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         30|0|add; (poly_dist_avg + E_T); $\left(poly_{dist, avg} + E_{T}\right)$; (poly_dist_avg + E_T); (newdata$poly_dist_avg + newdata$E_T); poly_dist_avg,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -1.176056511198248e+00, -6.363274157845260e-01,  2.790329947714256e+01
s2          , -1.455476726264239e+00, -1.772836926943375e+00,  7.773985289577557e+01
s3          ,  1.360540424298584e+00,  1.142889076122475e+00, -5.011630077400109e+01
s4          ,  5.214207269978391e-01,  1.834525496841534e-01, -8.044492986949445e+00
s5          ,  9.232192651096478e-02, -2.436297772059564e-01,  1.068329678448007e+01
s6          , -8.371953399684261e-01, -1.936004004361835e-01,  8.489481701185774e+00
s7          , -7.203728580649982e-01,  1.268364230694292e-01, -5.561845379791473e+00
s8          , -2.733255709368181e-01, -1.091717480573975e+00,  4.787239878283422e+01
s9          , -1.521729831673386e+00, -1.102970390867158e+00,  4.836584495238668e+01
s10         ,  3.230218919710685e-01,  3.520029461582002e-01, -1.543551853942857e+01
s11         ,  4.593978616455925e-01, -1.635477030310555e-01,  7.171654753941386e+00
s12         ,  2.356762313996669e-01,  8.319661556092030e-01, -3.648216345698281e+01
s13         ,  1.907045033118390e+00,  1.708550454986388e+00, -7.492085651930608e+01
s14         ,  1.054844414236797e+00,  4.592355295634978e-01, -2.013772500459663e+01
s15         , -6.375331890789701e-01, -8.546055815525235e-01,  3.747491446285965e+01
s16         , -1.315170182182296e+00, -6.718173678629981e-01,  2.945955296663605e+01
s17         ,  8.942625882950092e-01,  7.406048913593137e-01, -3.247592287432299e+01
s18         , -4.582075442603601e-01, -5.732305700865638e-01,  2.513646885205840e+01
s19         , -7.693791289946220e-01, -6.207859168647094e-01,  2.722179638938283e+01
s20         ,  3.128393520635399e-01, -1.035612357489991e-01,  4.541215895537989e+00
s21         , -1.098688503016758e+00, -1.063646280906436e+00,  4.664146157727582e+01
s22         ,  1.599324596570011e+00,  1.498735169778894e+00, -6.572034339854302e+01
s23         , -1.314277649873613e+00, -1.514516137405078e+00,  6.641234731789272e+01
s24         ,  1.052755589569482e-01,  4.082371748710882e-02, -1.790141971815918e+00
s25         , -1.088909426848386e+00, -7.062071955872368e-01,  3.096756541141450e+01
s26         ,  1.095156312501731e+00,  7.019783218458193e-01, -3.078212702304591e+01
s27         ,  2.628094430707173e-03, -9.937352476611112e-02,  4.357582516273359e+00
s28         ,  1.859558668493155e+00,  1.393475780151142e+00, -6.110466254194618e+01
s29         , -1.265074927670763e+00, -1.192403533143003e+00,  5.228753634930402e+01
s30         ,  1.657227749413040e+00,  1.432966510309018e+00, -6.283635230233106e+01
s31         ,  2.746080273692961e-01,  6.063669641291833e-01, -2.658951755564729e+01
s32         , -6.897019771020165e-01, -9.756018187092625e-01,  4.278066454881085e+01
s33         , -1.405625106938475e+00, -1.558878552036465e+00,  6.835766306303094e+01
s34         , -1.474210819660272e+00, -1.583430155766312e+00,  6.943426409345085e+01
s35         , -1.171464689733801e+00, -5.585691192215938e-01,  2.449355634490155e+01
