# c0 + a0 * (S - E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.448370566674778; Max AE: 2.31801139966186
# Coefficients
# Task   a0                      c0
# all ,  2.290038417243481e-02,  6.907810560801087e-16, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         11|0|sub; (S - E_T); $\left(S - E_{T}\right)$; (S - E_T); (newdata$S - newdata$E_T); S,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -1.176056511198248e+00, -6.285557823796983e-01, -2.744739029908029e+01
s2          , -1.455476726264239e+00, -1.771642765976131e+00, -7.736301507590682e+01
s3          ,  1.360540424298584e+00,  1.130904059065229e+00,  4.938362826360344e+01
s4          ,  5.214207269978391e-01,  2.096601132086975e-01,  9.155309868603196e+00
s5          ,  9.232192651096478e-02, -2.459225956855669e-01, -1.073879782250922e+01
s6          , -8.371953399684261e-01, -1.854022270900493e-01, -8.096031302095737e+00
s7          , -7.203728580649982e-01,  1.299000624220194e-01,  5.672396648191580e+00
s8          , -2.733255709368181e-01, -1.075079621469309e+00, -4.694592079216660e+01
s9          , -1.521729831673386e+00, -1.098521495618171e+00, -4.796956624598737e+01
s10         ,  3.230218919710685e-01,  3.505620884773104e-01,  1.530813133254250e+01
s11         ,  4.593978616455925e-01, -1.653841957731521e-01, -7.221896127499284e+00
s12         ,  2.356762313996669e-01,  8.270543895578654e-01,  3.611530633417888e+01
s13         ,  1.907045033118390e+00,  1.715598424355417e+00,  7.491570496972193e+01
s14         ,  1.054844414236797e+00,  4.588309503629122e-01,  2.003594991717241e+01
s15         , -6.375331890789701e-01, -8.648480724877688e-01, -3.776565781498055e+01
s16         , -1.315170182182296e+00, -6.659716540627616e-01, -2.908124374893205e+01
s17         ,  8.942625882950092e-01,  7.490158060189867e-01,  3.270756509493742e+01
s18         , -4.582075442603601e-01, -5.721475976605868e-01, -2.498419211452712e+01
s19         , -7.693791289946220e-01, -6.292323744194238e-01, -2.747693530734875e+01
s20         ,  3.128393520635399e-01, -9.054645126201349e-02, -3.953927173457856e+00
s21         , -1.098688503016758e+00, -1.068487544537059e+00, -4.665806199981560e+01
s22         ,  1.599324596570011e+00,  1.503242387315585e+00,  6.564267114457569e+01
s23         , -1.314277649873613e+00, -1.518643153950719e+00, -6.631518242295300e+01
s24         ,  1.052755589569482e-01,  1.890028340078222e-02,  8.253260407540148e-01
