# c0 + a0 * (poly_dist_avg_fixed + E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.448557902702612; Max AE: 2.30816935228801
# Coefficients
# Task   a0                      c0
# all , -2.282241684829906e-02,  5.058272241283979e-16, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         31|0|add; (poly_dist_avg_fixed + E_T); $\left(poly_{dist, avg, fixed} + E_{T}\right)$; (poly_dist_avg_fixed + E_T); (newdata$poly_dist_avg_fixed + newdata$E_T); poly_dist_avg_fixed,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -1.176056511198248e+00, -6.393127300773443e-01,  2.801249027773289e+01
s2          , -1.455476726264239e+00, -1.776592640949200e+00,  7.784419383618471e+01
s3          ,  1.360540424298584e+00,  1.144278356980352e+00, -5.013835145446629e+01
s4          ,  5.214207269978391e-01,  1.843332203058272e-01, -8.076849245682096e+00
s5          ,  9.232192651096478e-02, -2.535479591261665e-01,  1.110960161719523e+01
s6          , -8.371953399684261e-01, -1.961550572384993e-01,  8.594841578012762e+00
s7          , -7.203728580649982e-01,  1.249261940430497e-01, -5.473837187070742e+00
s8          , -2.733255709368181e-01, -1.091545491351432e+00,  4.782777821503091e+01
s9          , -1.521729831673386e+00, -1.106234000867805e+00,  4.847137830410158e+01
s10         ,  3.230218919710685e-01,  3.533102370246071e-01, -1.548084233905045e+01
s11         ,  4.593978616455925e-01, -1.629077731576318e-01,  7.138059664779703e+00
s12         ,  2.356762313996669e-01,  8.166757609073715e-01, -3.578392973609353e+01
s13         ,  1.907045033118390e+00,  1.710925169227151e+00, -7.496687053784423e+01
s14         ,  1.054844414236797e+00,  4.604924257108929e-01, -2.017719809307630e+01
s15         , -6.375331890789701e-01, -8.542736765331601e-01,  3.743134139611638e+01
s16         , -1.315170182182296e+00, -6.747215700950250e-01,  2.956398415557430e+01
s17         ,  8.942625882950092e-01,  7.419446431370111e-01, -3.250946856631037e+01
s18         , -4.582075442603601e-01, -5.655535561448286e-01,  2.478061635207488e+01
s19         , -7.693791289946220e-01, -6.229848530083111e-01,  2.729705872736008e+01
s20         ,  3.128393520635399e-01, -1.027580737687907e-01,  4.502506217979700e+00
s21         , -1.098688503016758e+00, -1.048482770270313e+00,  4.594091753032090e+01
s22         ,  1.599324596570011e+00,  1.500233578811971e+00, -6.573508795251811e+01
s23         , -1.314277649873613e+00, -1.517680095533353e+00,  6.649953445427778e+01
s24         ,  1.052755589569482e-01,  3.010199418079833e-02, -1.318966101657253e+00
s25         , -1.088909426848386e+00, -7.089017757773266e-01,  3.106164349242271e+01
s26         ,  1.095156312501731e+00,  7.027258498254404e-01, -3.079103560751119e+01
s27         ,  2.628094430707173e-03, -1.054301609528744e-01,  4.619587910153017e+00
s28         ,  1.859558668493155e+00,  1.394897561560510e+00, -6.111962509634339e+01
s29         , -1.265074927670763e+00, -1.195410384970575e+00,  5.237878148122899e+01
s30         ,  1.657227749413040e+00,  1.434948390238847e+00, -6.287451499010683e+01
s31         ,  2.746080273692961e-01,  5.992859041245988e-01, -2.625865210104873e+01
s32         , -6.897019771020165e-01, -9.755938732740270e-01,  4.274717615398992e+01
s33         , -1.405625106938475e+00, -1.536218496583776e+00,  6.731182358095739e+01
s34         , -1.474210819660272e+00, -1.583684046939731e+00,  6.939160113788570e+01
s35         , -1.171464689733801e+00, -5.612719728385229e-01,  2.459301206218896e+01
s36         , -1.148641161041122e+00, -9.041967092842641e-01,  3.961879739970018e+01
s37         , -1.078435221245579e+00, -1.048663495022525e+00,  4.594883626887577e+01
s38         , -4.378262290801383e-01, -1.994321167695222e-01,  8.738431082700435e+00
s39         , -6.410161109102297e-01,  8.708901751984144e-01, -3.815941935454222e+01
s40         ,  1.431814259493607e-01,  5.629402505957348e-01, -2.466611026946034e+01
s41         ,  3.398432822287206e-01,  5.976437427443904e-01, -2.618669822380935e+01
s42         ,  8.067612274639525e-01,  1.132799981233664e-01, -4.963540841285115e+00
s43         , -1.242741757202650e+00, -3.828569313685515e-01,  1.677547710715336e+01
