# c0 + a0 * (face-area-avg - SBI) + a1 * (poly_dist_avg + E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.234716207458271; Max AE: 1.03193818849798
# Coefficients
# Task   a0                      a1                      c0
# all ,  2.392653967866133e-01, -1.694947335953898e-02,  7.303525736139632e-16, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         33|6|sub; (face-area-avg - SBI); $\left(face-area-avg - SBI\right)$; (face_sub_area_sub_avg - SBI); (newdata$face_sub_area_sub_avg - newdata$SBI); face-area-avg,SBI
# 1;  1; Unitless;                                         30|0|add; (poly_dist_avg + E_T); $\left(poly_{dist, avg} + E_{T}\right)$; (poly_dist_avg + E_T); (newdata$poly_dist_avg + newdata$E_T); poly_dist_avg,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          , -1.176056511198248e+00, -8.516172213966560e-01, -1.582640011264584e+00,  2.790329947714256e+01
s2          , -1.455476726264239e+00, -1.314832053251627e+00,  1.177567846265869e-02,  7.773985289577557e+01
s3          ,  1.360540424298584e+00,  1.138213382786828e+00,  1.206896115432807e+00, -5.011630077400109e+01
s4          ,  5.214207269978391e-01,  6.035106812233355e-01,  1.952479413756057e+00, -8.044492986949445e+00
s5          ,  9.232192651096478e-02,  2.871710967887228e-02,  8.768228366367881e-01,  1.068329678448007e+01
s6          , -8.371953399684261e-01, -5.534032607928190e-01, -1.711534648812994e+00,  8.489481701185774e+00
s7          , -7.203728580649982e-01, -5.148351157794108e-01, -2.545731535167567e+00, -5.561845379791473e+00
s8          , -2.733255709368181e-01, -3.573272223566758e-01,  1.897828652068606e+00,  4.787239878283422e+01
s9          , -1.521729831673386e+00, -1.215077619476374e+00, -1.652148719594627e+00,  4.836584495238668e+01
s10         ,  3.230218919710685e-01,  5.208733619714510e-01,  1.083522545167470e+00, -1.543551853942857e+01
s11         ,  4.593978616455925e-01,  7.660221445171325e-03,  5.400529887577156e-01,  7.171654753941386e+00
s12         ,  2.356762313996669e-01,  6.510288209275152e-01,  1.365653527583807e-01, -3.648216345698281e+01
s13         ,  1.907045033118390e+00,  1.707000864860925e+00,  1.826974602612325e+00, -7.492085651930608e+01
s14         ,  1.054844414236797e+00,  9.277819234898395e-01,  2.451077748303628e+00, -2.013772500459663e+01
s15         , -6.375331890789701e-01, -8.764413909493554e-01, -1.008341907565017e+00,  3.747491446285965e+01
s16         , -1.315170182182296e+00, -1.053109374769295e+00, -2.314523846802884e+00,  2.945955296663605e+01
s17         ,  8.942625882950092e-01,  4.865915229951878e-01, -2.668930294443895e-01, -3.247592287432299e+01
s18         , -4.582075442603601e-01, -5.597188788118028e-01, -5.586640251626935e-01,  2.513646885205840e+01
s19         , -7.693791289946220e-01, -1.050977157623129e+00, -2.464134190905612e+00,  2.722179638938283e+01
s20         ,  3.128393520635399e-01,  4.446347536876549e-01,  2.180030955308510e+00,  4.541215895537989e+00
s21         , -1.098688503016758e+00, -1.308072896405190e+00, -2.162973388135784e+00,  4.664146157727582e+01
s22         ,  1.599324596570011e+00,  1.860664458194666e+00,  3.120966335333810e+00, -6.572034339854302e+01
s23         , -1.314277649873613e+00, -1.485117139799178e+00, -1.502360278660310e+00,  6.641234731789272e+01
s24         ,  1.052755589569482e-01,  6.221129016425307e-02,  1.331965546676531e-01, -1.790141971815918e+00
s25         , -1.088909426848386e+00, -1.427104615445039e+00, -3.770794701663969e+00,  3.096756541141450e+01
s26         ,  1.095156312501731e+00,  1.202124474077932e+00,  2.843635733744078e+00, -3.078212702304591e+01
s27         ,  2.628094430707173e-03,  1.020967368703848e-01,  7.353987162584841e-01,  4.357582516273359e+00
s28         ,  1.859558668493155e+00,  1.503117827672856e+00,  1.953587873767589e+00, -6.110466254194618e+01
s29         , -1.265074927670763e+00, -1.612575576804131e+00, -3.035664087538105e+00,  5.228753634930402e+01
s30         ,  1.657227749413040e+00,  1.448744557493847e+00,  1.603664730830598e+00, -6.283635230233106e+01
s31         ,  2.746080273692961e-01,  4.419714262891038e-01, -3.639010605072972e-02, -2.658951755564729e+01
s32         , -6.897019771020165e-01, -9.730594371574639e-01, -1.036295705162720e+00,  4.278066454881085e+01
s33         , -1.405625106938475e+00, -1.732154767478584e+00, -2.397038544536784e+00,  6.835766306303094e+01
s34         , -1.474210819660272e+00, -1.113738294407265e+00,  2.638739906890110e-01,  6.943426409345085e+01
s35         , -1.171464689733801e+00, -1.112136722326224e+00, -2.913015634264689e+00,  2.449355634490155e+01
s36         , -1.148641161041122e+00, -6.506746930937652e-01,  7.823104427792693e-02,  3.949342028183007e+01
s37         , -1.078435221245579e+00, -7.786666036590346e-01, -6.854324030608913e-03,  4.584370172556692e+01
s38         , -4.378262290801383e-01, -4.346276262506825e-01, -1.201637555330741e+00,  8.679758754745112e+00
s39         , -6.410161109102297e-01, -2.031720305850494e-01, -3.484521853370946e+00, -3.720195075668860e+01
s40         ,  1.431814259493607e-01,  4.283600331085227e-01,  4.583138012864642e-02, -2.462578989345756e+01
s41         ,  3.398432822287206e-01,  5.769325186112080e-01,  5.590096886493278e-01, -2.614717485599913e+01
s42         ,  8.067612274639525e-01,  5.169225273396639e-01,  1.810886174023744e+00, -4.934674169649541e+00
s43         , -1.242741757202650e+00, -1.203093168716622e+00, -3.845777868684480e+00,  1.669264849774369e+01
s44         ,  1.711958335245295e-01,  4.607893409357730e-01,  1.826622371219463e+00, -1.400740542376874e+00
s45         ,  4.644113787063103e-01,  4.597507238140794e-01,  1.140835756740121e+00, -1.102029543025152e+01
s46         ,  5.605068277705415e-02, -2.667375774900652e-02,  1.010440340082480e+00,  1.583749305679570e+01
s47         ,  9.066999267258494e-01,  3.251744594268361e-01, -2.967216689792274e-01, -2.337356913023945e+01
s48         ,  1.579727584566370e+00,  1.771345227130297e+00,  3.617324791996822e+00, -5.344381835659355e+01
s49         , -6.435089824614265e-01, -7.677848292013033e-01,  6.809973884333760e-01,  5.491167305393957e+01
s50         , -2.217827055817793e-02, -2.278651030924889e-02,  1.601587546906516e+00,  2.395301503452604e+01
