# c0 + a0 * (face-area-avg - SBI) + a1 * (S - E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.236087618250168; Max AE: 1.03927163069228
# Coefficients
# Task   a0                      a1                      c0
# all ,  2.390015138448693e-01,  1.701604064093258e-02,  6.946521827953775e-16, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         33|6|sub; (face-area-avg - SBI); $\left(face-area-avg - SBI\right)$; (face_sub_area_sub_avg - SBI); (newdata$face_sub_area_sub_avg - newdata$SBI); face-area-avg,SBI
# 1;  1; Unitless;                                         11|0|sub; (S - E_T); $\left(S - E_{T}\right)$; (S - E_T); (newdata$S - newdata$E_T); S,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          , -1.176056511198248e+00, -8.452992673803846e-01, -1.582640011264584e+00, -2.744739029908029e+01
s2          , -1.455476726264239e+00, -1.313597803657584e+00,  1.177567846265869e-02, -7.736301507590682e+01
s3          ,  1.360540424298584e+00,  1.128763824172117e+00,  1.206896115432807e+00,  4.938362826360344e+01
s4          ,  5.214207269978391e-01,  6.224326604431243e-01,  1.952479413756057e+00,  9.155309868603196e+00
s5          ,  9.232192651096478e-02,  2.683016514737030e-02,  8.768228366367881e-01, -1.073879782250922e+01
s6          , -8.371953399684261e-01, -5.468217697309748e-01, -1.711534648812994e+00, -8.096031302095737e+00
s7          , -7.203728580649982e-01, -5.119119588505532e-01, -2.545731535167567e+00,  5.672396648191580e+00
s8          , -2.733255709368181e-01, -3.452497752629434e-01,  1.897828652068606e+00, -4.694592079216660e+01
s9          , -1.521729831673386e+00, -1.211118133849606e+00, -1.652148719594627e+00, -4.796956624598737e+01
s10         ,  3.230218919710685e-01,  5.194473134713484e-01,  1.083522545167470e+00,  1.530813133254250e+01
s11         ,  4.593978616455925e-01,  6.185403859419430e-03,  5.400529887577156e-01, -7.221896127499284e+00
s12         ,  2.356762313996669e-01,  6.471788463901299e-01,  1.365653527583807e-01,  3.611530633417888e+01
s13         ,  1.907045033118390e+00,  1.711418376189378e+00,  1.826974602612325e+00,  7.491570496972193e+01
