# c0 + a0 * (face-area-avg - SBI) + a1 * (cub_root_V - E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.236355526284842; Max AE: 1.03022329557032
# Coefficients
# Task   a0                      a1                      c0
# all ,  2.382715276455211e-01,  1.692202866005885e-02,  7.897098499147444e-16, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         33|6|sub; (face-area-avg - SBI); $\left(face-area-avg - SBI\right)$; (face_sub_area_sub_avg - SBI); (newdata$face_sub_area_sub_avg - newdata$SBI); face-area-avg,SBI
# 1;  1; Unitless;                                         22|0|sub; (cub_root_V - E_T); $\left(cub_{root, V} - E_{T}\right)$; (cub_root_V - E_T); (newdata$cub_root_V - newdata$E_T); cub_root_V,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          , -1.176056511198248e+00, -8.403609258819640e-01, -1.582640011264584e+00, -2.737632006134521e+01
s2          , -1.455476726264239e+00, -1.293095820019579e+00,  1.177567846265869e-02, -7.658074897217631e+01
s3          ,  1.360540424298584e+00,  1.135247720993071e+00,  1.206896115432807e+00,  5.009321026977285e+01
s4          ,  5.214207269978391e-01,  6.039219490804575e-01,  1.952479413756057e+00,  8.196517052104278e+00
s5          ,  9.232192651096478e-02,  4.691737276221020e-02,  8.768228366367881e-01, -9.573588796720180e+00
s6          , -8.371953399684261e-01, -5.472650424181829e-01, -1.711534648812994e+00, -8.241037161012954e+00
s7          , -7.203728580649982e-01, -5.061371732943255e-01, -2.545731535167567e+00,  5.935350340263407e+00
s8          , -2.733255709368181e-01, -3.641745114119989e-01,  1.897828652068606e+00, -4.824321362111364e+01
s9          , -1.521729831673386e+00, -1.208468658068557e+00, -1.652148719594627e+00, -4.815076697490481e+01
s10         ,  3.230218919710685e-01,  5.161654400460856e-01,  1.083522545167470e+00,  1.524597748611611e+01
s11         ,  4.593978616455925e-01,  1.253186944693185e-02,  5.400529887577156e-01, -6.863679498903253e+00
s12         ,  2.356762313996669e-01,  6.244060347720977e-01,  1.365653527583807e-01,  3.497609012705984e+01
s13         ,  1.907045033118390e+00,  1.696886334229328e+00,  1.826974602612325e+00,  7.455195414442304e+01
s14         ,  1.054844414236797e+00,  9.279147181123325e-01,  2.451077748303628e+00,  2.032218982454356e+01
s15         , -6.375331890789701e-01, -8.833971925936704e-01, -1.008341907565017e+00, -3.800596481715917e+01
s16         , -1.315170182182296e+00, -1.050288315365639e+00, -2.314523846802884e+00, -2.947655937926971e+01
s17         ,  8.942625882950092e-01,  4.900637448817652e-01, -2.668930294443895e-01,  3.271810761272488e+01
s18         , -4.582075442603601e-01, -5.552857097437930e-01, -5.586640251626935e-01, -2.494807138721716e+01
s19         , -7.693791289946220e-01, -1.059520052154875e+00, -2.464134190905612e+00, -2.791550845669072e+01
s20         ,  3.128393520635399e-01,  4.426422007122554e-01,  2.180030955308510e+00, -4.538291883696743e+00
s21         , -1.098688503016758e+00, -1.310945527132493e+00, -2.162973388135784e+00, -4.701389943645239e+01
s22         ,  1.599324596570011e+00,  1.859357713894841e+00,  3.120966335333810e+00,  6.593301074344889e+01
s23         , -1.314277649873613e+00, -1.482409770949955e+00, -1.502360278660310e+00, -6.644830326600467e+01
s24         ,  1.052755589569482e-01,  6.725742976920111e-02,  1.331965546676531e-01,  2.099067666470606e+00
s25         , -1.088909426848386e+00, -1.425529451196708e+00, -3.770794701663969e+00, -3.114617329762664e+01
s26         ,  1.095156312501731e+00,  1.216120491147056e+00,  2.843635733744078e+00,  3.182615226693447e+01
s27         ,  2.628094430707173e-03,  9.263487297495193e-02,  7.353987162584841e-01, -4.880602925076579e+00
s28         ,  1.859558668493155e+00,  1.509285775858078e+00,  1.953587873767589e+00,  6.168299497384718e+01
s29         , -1.265074927670763e+00, -1.612295888213421e+00, -3.035664087538105e+00, -5.253410134893241e+01
s30         ,  1.657227749413040e+00,  1.446798097484789e+00,  1.603664730830598e+00,  6.291742400552319e+01
s31         ,  2.746080273692961e-01,  4.303149943423160e-01, -3.639010605072972e-02,  2.594167220259739e+01
s32         , -6.897019771020165e-01, -9.824155583853351e-01, -1.036295705162720e+00, -4.346380758470860e+01
s33         , -1.405625106938475e+00, -1.727124766232040e+00, -2.397038544536784e+00, -6.831206551071075e+01
s34         , -1.474210819660272e+00, -1.124165364663475e+00,  2.638739906890110e-01, -7.014756016414516e+01
s35         , -1.171464689733801e+00, -1.110120232806480e+00, -2.913015634264689e+00, -2.458520523351367e+01
s36         , -1.148641161041122e+00, -6.170873482836124e-01,  7.823104427792693e-02, -3.756804763092799e+01
s37         , -1.078435221245579e+00, -7.536334862792172e-01, -6.854324030608913e-03, -4.443913381357270e+01
s38         , -4.378262290801383e-01, -4.524670654222001e-01, -1.201637555330741e+00, -9.818624750913171e+00
s39         , -6.410161109102297e-01, -2.033467596321781e-01, -3.484521853370946e+00,  3.704730668400479e+01
s40         ,  1.431814259493607e-01,  4.220604522838563e-01,  4.583138012864642e-02,  2.429614956845668e+01
s41         ,  3.398432822287206e-01,  5.664325591325663e-01,  5.590096886493278e-01,  2.560192252079169e+01
s42         ,  8.067612274639525e-01,  5.186778943793130e-01,  1.810886174023744e+00,  5.152767499344163e+00
s43         , -1.242741757202650e+00, -1.201007533985857e+00, -3.845777868684480e+00, -1.682234275497797e+01
s44         ,  1.711958335245295e-01,  4.589114477100351e-01,  1.826622371219463e+00,  1.399320693976800e+00
s45         ,  4.644113787063103e-01,  4.440976811724926e-01,  1.140835756740121e+00,  1.018016256100526e+01
s46         ,  5.605068277705415e-02, -3.810350692506817e-02,  1.010440340082480e+00, -1.647926947490535e+01
s47         ,  9.066999267258494e-01,  3.196822106133879e-01, -2.967216689792274e-01,  2.306948793249701e+01
s48         ,  1.579727584566370e+00,  1.769664641919042e+00,  3.617324791996822e+00,  5.364363552240818e+01
s49         , -6.435089824614265e-01, -7.605212851764058e-01,  6.809973884333760e-01, -5.453149807145098e+01
s50         , -2.217827055817793e-02, -1.711921766347740e-02,  1.601587546906516e+00, -2.356289172728241e+01
s51         , -9.869737286665018e-01, -1.106760203854517e+00, -1.917010450203905e+00, -3.841094991797187e+01
s52         , -6.291725742859308e-02,  1.111000865781490e-01,  8.840456935637617e-01, -5.882440772050278e+00
s53         ,  7.061953554227811e-01,  8.184799667803635e-01, -1.692095421477176e+00,  7.219336122868100e+01
s54         , -1.923256326608463e+00, -2.231382860246297e+00, -2.470033674840475e+00, -9.708316870327677e+01
s55         ,  1.449677165676465e-01,  2.368053374055367e-01,  1.518647962040196e+00, -7.389494189942113e+00
s56         , -1.428251212735210e+00, -1.657583726066552e+00, -3.399121642984703e+00, -5.009268312731287e+01
s57         , -7.632144013758455e-01, -8.388916083947089e-01, -2.457448947389274e+00, -1.497169746481853e+01
s58         , -2.465293161402924e+00, -2.616978156215908e+00, -3.582257645729811e+00, -1.042090277692442e+02
s59         , -8.768884797438996e-03,  2.129536467281711e-01,  9.460027830447706e-01, -7.358385802886550e-01
s60         ,  1.714446572989188e+00,  1.504992663752316e+00,  2.530844153601158e+00,  5.330120750651741e+01
s61         ,  1.653657662090557e+00,  1.285546044998910e+00,  2.064192439226812e+00,  4.690381839521376e+01
s62         ,  2.913807026429409e-01,  3.282896676013894e-01,  1.463393171059105e+00, -1.205249040915924e+00
s63         , -1.790911115854549e+00, -1.364884055194146e+00, -1.166153604943881e+00, -6.423714769143150e+01
s64         , -5.454632126173593e-01, -7.665642206462888e-01, -3.333293924534856e+00,  1.634840325584731e+00
s65         , -1.096531543219279e+00, -7.933478856689141e-01, -1.485544298171096e+00, -2.596526605558097e+01
s66         , -9.925198589409868e-01, -7.686062406431422e-01, -1.617224117795251e-01, -4.314331391348551e+01
s67         , -4.301391331597769e-01, -3.240143077573733e-01, -2.036322897428025e+00,  9.525067179019574e+00
s68         , -1.496017763262518e+00, -1.352518089107333e+00, -1.138560997290165e+00, -6.389490543278860e+01
s69         , -5.130334975012112e-01, -7.200574024552631e-01, -2.094461471899010e+00, -1.306030573466903e+01
s70         , -1.298331351434060e+00, -7.082063569671895e-01, -1.707546643705505e+00, -1.780794818985073e+01
s71         ,  8.978734253548585e-01,  5.732743202094986e-01,  2.258301539518788e+00,  2.079263852517429e+00
s72         , -8.703072211857277e-01, -7.670026624890403e-01, -2.228745715841153e+00, -1.394371920661542e+01
s73         ,  1.052659824554331e+00,  5.229752968947665e-01, -5.616331623823717e-01,  3.881310578454689e+01
s74         , -1.304189005820537e+00, -1.825023404387622e+00, -3.321348869452999e+00, -6.108254253575633e+01
s75         , -7.491961797362119e-01, -6.018597119963202e-01, -1.854893540942606e+00, -9.448713129384352e+00
s76         ,  1.130323653742102e+00,  8.476520608049201e-01,  1.917590755069982e+00,  2.309089471747222e+01
s77         ,  1.083046725976420e+00,  1.224618281367780e+00,  1.783781888992347e+00,  4.725165414584389e+01
s78         ,  1.592651226510811e+00,  1.492313212880506e+00,  2.257225376474225e+00,  5.640462460866889e+01
s79         , -5.815008980639539e-01, -5.488537040068571e-01, -1.016102283136788e+00, -1.812699097264658e+01
s80         , -2.983814549448998e-01, -3.578278778339281e-01,  2.593273229644152e-01, -2.479715663331256e+01
s81         ,  1.752594407670262e+00,  1.405952734057592e+00,  1.205502616587168e+00,  6.611002773344808e+01
s82         ,  2.898444462079387e-01,  5.281377446245946e-01,  1.684843953781755e+00,  7.486537486590854e+00
s83         ,  1.476200951700887e+00,  1.443843592306319e+00,  2.334756422376032e+00,  5.244865321386960e+01
s84         , -3.835514085014881e-01, -6.337182938229501e-01,  1.206694188308534e+00, -5.444023172272499e+01
s85         ,  4.460752375789071e-01,  5.227866807958371e-01,  2.521543591746297e-01,  2.734338096973834e+01
s86         , -5.546686089820558e-01, -1.703649683518061e-01, -1.485381581772774e+00,  1.084735015884756e+01
s87         ,  8.762923637719959e-02,  2.056341506583505e-01,  9.232113533745886e-01, -8.474651082320395e-01
s88         ,  4.367974440523036e-01,  4.313365741710654e-01,  1.543128460406153e+00,  3.761546551865265e+00
s89         , -5.727247528300363e-01, -3.582010469247536e-01, -6.745489205487532e-01, -1.166971461406797e+01
s90         ,  4.181427428933503e-02, -1.454320378874405e-02,  7.798268038672942e-01, -1.183981729791210e+01
s91         , -8.667270491804479e-01, -9.911829059832455e-01, -2.712270983627068e+00, -2.038325086518352e+01
s92         ,  8.549438204377635e-01,  9.167833925831970e-01,  1.320036326052343e+00,  3.559007804121215e+01
s93         , -1.173621714519396e+00, -9.481655741392430e-01, -1.519876460285480e+00, -3.463073487741731e+01
s94         , -2.684963611581566e-01, -1.958962352024822e-01, -1.918821560434881e-01, -8.874596762062367e+00
s95         ,  9.260657816336888e-01,  1.086193469587400e+00,  2.352137275799636e+00,  3.106874111917605e+01
s96         , -2.278868324329024e-01, -1.099944657352169e-01,  9.838799445234164e-01, -2.035364967496780e+01
s97         , -1.648661305544417e+00, -1.700660791588251e+00, -1.449935324745176e+00, -8.008392575132898e+01
s98         ,  5.404249878717727e-01,  7.238778711025304e-01,  4.167666326044359e-01,  3.690894640513031e+01
s99         ,  1.310930209873364e+00,  1.133183458004554e+00,  2.109549036914924e+00,  3.726137090312098e+01
s100        ,  7.521780108780159e-02,  3.180858471136763e-01, -6.010614421662879e-04,  1.880560950075844e+01
s101        , -1.544763391692015e-01, -2.163142161207915e-01, -1.396697631380694e+00,  6.883280043254656e+00
s102        ,  1.059402820517896e+00,  1.087192139983127e+00,  3.016338878430715e+00,  2.177543100329326e+01
s103        , -3.987127671222759e-01, -1.586345403013963e-01, -3.113791601795747e-01, -4.990048996178495e+00
s104        ,  1.672104507359812e+00,  1.769414250300668e+00,  2.447453980661562e+00,  7.010126713035596e+01
s105        , -3.729535248655157e-01, -6.000565029836628e-01, -1.026748512940765e+00, -2.100289353228554e+01
s106        , -9.091422672215730e-01, -1.028263294068470e+00, -2.734585060817738e+00, -2.226030588400497e+01
s107        ,  4.095288752140306e-01,  5.274487407870434e-01,  2.514961915451651e+00, -4.242699159787289e+00
s108        , -8.642846593415402e-01, -1.012889299061219e+00, -2.932453726378483e+00, -1.856568596109003e+01
s109        ,  1.308766037007560e+00,  8.002191168652366e-01,  1.473190534639847e+00,  2.654526633227647e+01
s110        , -1.060518384725506e+00, -5.216866512147511e-01,  7.744198474962202e-01, -4.173310809853171e+01
s111        , -9.347636068172456e-01, -7.403134840934985e-01, -1.947580534436949e+00, -1.632549503905440e+01
s112        , -1.677387906237608e+00, -1.512617609103873e+00, -3.927668619869843e+00, -3.408373892684953e+01
s113        , -2.426092490978830e-01, -2.471072166597542e-02, -4.734895799050450e-01,  5.206725838385884e+00
s114        , -1.644000182446823e+00, -1.516915506215211e+00, -2.484997017340923e+00, -5.465133579886101e+01
s115        , -2.329704376178373e+00, -2.296234333497303e+00, -1.694979396732065e+00, -1.118287317274695e+02
s116        , -5.268968759749211e-01, -5.171538064967869e-01, -3.194829395837324e+00,  1.442398421131972e+01
s117        ,  1.742591906297736e+00,  1.534346254878874e+00,  2.137216458412136e+00,  6.057834110891399e+01
s118        ,  1.515143207668377e+00,  1.323505683336248e+00,  1.680367835389924e+00,  5.455148970231574e+01
s119        , -4.303518965464308e-02, -9.113364294789360e-02, -6.149108236852346e-02, -4.519674936840802e+00
s120        , -2.251286346153320e-01, -8.253058590542928e-02, -7.771583311572949e-01,  6.065709906527567e+00
s121        , -3.744651294305373e-01, -4.585316318286552e-01, -1.014975883020894e+00, -1.280530733111005e+01
s122        ,  1.754705398768575e+00,  1.326332369584142e+00,  1.262172222997376e+00,  6.060695714808266e+01
s123        ,  1.494372078098040e+00,  1.264994659425078e+00,  1.829492899258999e+00,  4.899404250856047e+01
s124        ,  4.706190523857749e-01,  3.519976301960934e-01, -1.921881293163646e-03,  2.082820959993235e+01
s125        , -2.939771406988250e-01, -1.257028672838921e-01,  2.095945127362397e+00, -3.694042405903498e+01
s126        ,  1.907608110252774e-01,  3.685674940889730e-01,  1.017341336253534e+00,  7.455608443725929e+00
s127        ,  1.175241554433439e+00,  1.263589923925081e+00,  2.206240612255990e+00,  4.360621398963460e+01
s128        , -9.405598864666275e-01, -9.716129144219314e-01, -2.718039794595679e+00, -1.914554258656921e+01
s129        ,  8.848224007924820e-01,  1.008334416746393e+00,  1.635416015778630e+00,  3.655952585585062e+01
s130        , -8.567501741532092e-01, -5.976063575541332e-01, -4.381374062928618e+00,  2.637688084407126e+01
s131        ,  4.181459542201291e-01,  4.631913884704927e-01,  1.333147546329074e+00,  8.600640558735426e+00
s132        ,  1.352109327204641e+00,  1.182510038196179e+00,  1.489464575113467e+00,  4.890743628530925e+01
s133        ,  3.377243561871698e-01,  3.851545291573188e-02, -7.358154778981887e-01,  1.263674321770165e+01
s134        ,  1.167150831191734e+00,  4.994942335122635e-01, -6.658246382729676e-01,  3.889257608758241e+01
s135        , -7.551299954675708e-01, -7.551687199916834e-01, -4.764418279331840e-01, -3.791780587928567e+01
s136        , -1.288171140802968e+00, -1.080996325432122e+00, -1.263941136564644e+00, -4.608402193582720e+01
s137        ,  7.561360588094119e-01,  8.034173541335925e-01,  8.313671659620139e-02,  4.630699175662883e+01
s138        , -4.177976720303577e-01, -2.614296435293153e-01, -3.864065584266566e-01, -1.000825409074560e+01
s139        ,  3.703571329650210e-01,  3.781629830644647e-01,  9.899708247591954e-01,  8.408041682403063e+00
s140        ,  6.601089262860428e-01,  3.455718771425280e-02,  5.387539695115517e-02,  1.283546731690495e+00
s141        , -1.578466378610989e-01, -4.991947409464313e-01, -7.301430484534439e-01, -1.921888019013326e+01
s142        ,  1.583934988818062e+00,  1.524569192537005e+00,  2.807479241840244e+00,  5.056289892536229e+01
s143        , -6.655556961981216e-01, -8.170551378046097e-01, -3.145218645776259e+00, -3.997102691119602e+00
s144        , -1.444363515954881e+00, -9.848774189209484e-01, -3.592097706965700e+00, -7.622183688572598e+00
s145        , -7.857021391434503e-01, -7.904431769240433e-01, -7.885083001272336e-01, -3.560826611254892e+01
s146        , -1.297382615214570e+00, -1.209665441078079e+00, -2.503530251138765e+00, -3.623356726015252e+01
s147        , -5.360922680501714e-01, -6.629992954567893e-01, -8.752985233316299e-01, -2.685497042262505e+01
s148        , -6.315112169106484e-01, -3.222025453241478e-01, -5.510357399540131e-01, -1.128153258767509e+01
s149        ,  1.034538941403273e+00,  1.124869457161354e+00,  1.817315239293949e+00,  4.088487218522961e+01
s150        , -1.132891587887058e+00, -8.009550158034824e-01, -2.287931530900754e+00, -1.511674988420183e+01
s151        ,  5.509532181847399e-02,  3.344672660764518e-01,  1.336612757759475e+00,  9.449518574773792e-01
s152        , -1.325344879425763e-01, -2.391280363431575e-02,  1.596078857455332e+00, -2.388679037029302e+01
s153        , -1.431235874103281e+00, -1.212030675514533e+00, -2.141061642717152e+00, -4.147709835628228e+01
s154        ,  3.955605453613595e-01,  3.042453836193308e-01,  1.164025296132051e+00,  1.589129686051647e+00
s155        , -6.583727769299562e-02, -2.330776032262034e-01,  2.080437004461602e+00, -4.306732491061786e+01
s156        ,  1.360777508064747e+00,  1.444891191941387e+00,  2.179233534730941e+00,  5.470040898284811e+01
s157        ,  1.886695766984781e-01,  4.896204523247583e-01,  5.608162617997811e-01,  2.103730658118594e+01
s158        , -5.322620015856455e-01, -4.712429991699971e-01, -8.700633756304393e-01, -1.559692840688029e+01
s159        , -9.397989837818175e-01, -7.924336109619139e-01, -1.680464541477864e+00, -2.316665249688157e+01
s160        ,  1.011185408564766e+00,  1.048543746742072e+00,  2.050099738273742e+00,  3.309670261933924e+01
s161        ,  8.691500702744535e-01, -4.876117202678612e-02, -1.028237529754835e+00,  1.159663293996998e+01
s162        , -7.631554763960900e-01, -5.617248683229282e-01, -3.303408888418639e-01, -2.854350679802708e+01
s163        , -1.913891772907037e-01, -2.706762767146592e-02,  1.338247748264013e+00, -2.044281864591221e+01
