# c0 + a0 * (face-area-avg - SBI) + a1 * (AAV - E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.236404785398842; Max AE: 1.03215372749312
# Coefficients
# Task   a0                      a1                      c0
# all ,  2.381402191502834e-01,  1.692077181671390e-02,  6.925015568424505e-16, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         33|6|sub; (face-area-avg - SBI); $\left(face-area-avg - SBI\right)$; (face_sub_area_sub_avg - SBI); (newdata$face_sub_area_sub_avg - newdata$SBI); face-area-avg,SBI
# 1;  1; Unitless;                                         2|0|sub; (AAV - E_T); $\left(AAV - E_{T}\right)$; (AAV - E_T); (newdata$AAV - newdata$E_T); AAV,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          , -1.176056511198248e+00, -8.403330517828844e-01, -1.582640011264584e+00, -2.738898778875757e+01
s2          , -1.455476726264239e+00, -1.292459593908841e+00,  1.177567846265869e-02, -7.654874556485392e+01
s3          ,  1.360540424298584e+00,  1.132532687220505e+00,  1.206896115432807e+00,  4.994584117994668e+01
s4          ,  5.214207269978391e-01,  6.063773983966654e-01,  1.952479413756057e+00,  8.357391994299929e+00
s5          ,  9.232192651096478e-02,  4.888365833696215e-02,  8.768228366367881e-01, -9.451290157918711e+00
s6          , -8.371953399684261e-01, -5.447009159620405e-01, -1.711534648812994e+00, -8.103393928814302e+00
s7          , -7.203728580649982e-01, -5.081023866015524e-01, -2.545731535167567e+00,  5.799893772227334e+00
s8          , -2.733255709368181e-01, -3.584907373451812e-01,  1.897828652068606e+00, -4.789616438524128e+01
s9          , -1.521729831673386e+00, -1.204803792136045e+00, -1.652148719594627e+00, -4.795057475933102e+01
s10         ,  3.230218919710685e-01,  5.125598447648653e-01,  1.083522545167470e+00,  1.504243134778243e+01
s11         ,  4.593978616455925e-01,  7.969654491607941e-03,  5.400529887577156e-01, -7.129620558132988e+00
s12         ,  2.356762313996669e-01,  6.275750889874638e-01,  1.365653527583807e-01,  3.516703566473655e+01
s13         ,  1.907045033118390e+00,  1.702844887242033e+00,  1.826974602612325e+00,  7.492381368453077e+01
s14         ,  1.054844414236797e+00,  9.322321512198166e-01,  2.451077748303628e+00,  2.059787596332552e+01
s15         , -6.375331890789701e-01, -8.879647521786983e-01, -1.008341907565017e+00, -3.828655077617876e+01
s16         , -1.315170182182296e+00, -1.045630448653668e+00, -2.314523846802884e+00, -2.922143492645348e+01
s17         ,  8.942625882950092e-01,  4.821488539482603e-01, -2.668930294443895e-01,  3.225070489578937e+01
s18         , -4.582075442603601e-01, -5.625147086778818e-01, -5.586640251626935e-01, -2.538148613705881e+01
s19         , -7.693791289946220e-01, -1.057583943083275e+00, -2.464134190905612e+00, -2.782228210064790e+01
s20         ,  3.128393520635399e-01,  4.492607804361027e-01,  2.180030955308510e+00, -4.130560341605126e+00
s21         , -1.098688503016758e+00, -1.308546983426669e+00, -2.162973388135784e+00, -4.689242520107909e+01
s22         ,  1.599324596570011e+00,  1.869269971753213e+00,  3.120966335333810e+00,  6.654793155380102e+01
s23         , -1.314277649873613e+00, -1.481117272218052e+00, -1.502360278660310e+00, -6.638851220164764e+01
s24         ,  1.052755589569482e-01,  6.081059203120583e-02,  1.331965546676531e-01,  1.719255813369699e+00
s25         , -1.088909426848386e+00, -1.422440171510093e+00, -3.770794701663969e+00, -3.099517566728597e+01
s26         ,  1.095156312501731e+00,  1.213292623674927e+00,  2.843635733744078e+00,  3.168345939917356e+01
s27         ,  2.628094430707173e-03,  8.909319227640802e-02,  7.353987162584841e-01, -5.084568251859656e+00
