# c0 + a0 * (face-area-avg - SBI) + a1 * (face-area-count - E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.237600372160484; Max AE: 1.03253291834778
# Coefficients
# Task   a0                      a1                      c0
# all ,  2.391525842057302e-01,  1.686040504303873e-02,  6.537902896897672e-16, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         33|6|sub; (face-area-avg - SBI); $\left(face-area-avg - SBI\right)$; (face_sub_area_sub_avg - SBI); (newdata$face_sub_area_sub_avg - newdata$SBI); face-area-avg,SBI
# 1;  1; Unitless;                                         35|0|sub; (face-area-count - E_T); $\left(face-area-count - E_{T}\right)$; (face_sub_area_sub_count - E_T); (newdata$face_sub_area_sub_count - newdata$E_T); face-area-count,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          , -1.176056511198248e+00, -8.304515484927609e-01, -1.582640011264584e+00, -2.680594557353495e+01
s2          , -1.455476726264239e+00, -1.283604460703989e+00,  1.177567846265869e-02, -7.629832387509835e+01
s3          ,  1.360540424298584e+00,  1.132439006333461e+00,  1.206896115432807e+00,  5.004664355962406e+01
s4          ,  5.214207269978391e-01,  6.088635602180245e-01,  1.952479413756057e+00,  8.417535785616872e+00
s5          ,  9.232192651096478e-02,  5.682184410437993e-02,  8.768228366367881e-01, -9.066959113833683e+00
s6          , -8.371953399684261e-01, -5.363149375589162e-01, -1.711534648812994e+00, -7.532262897211754e+00
s7          , -7.203728580649982e-01, -5.024592466549122e-01, -2.545731535167567e+00,  6.308213142147776e+00
s8          , -2.733255709368181e-01, -3.537837219813106e-01,  1.897828652068606e+00, -4.790242858588132e+01
s9          , -1.521729831673386e+00, -1.205437992326314e+00, -1.652148719594627e+00, -4.806066962653632e+01
s10         ,  3.230218919710685e-01,  5.060278090974805e-01,  1.083522545167470e+00,  1.464381144730855e+01
s11         ,  4.593978616455925e-01,  8.055830479630113e-03,  5.400529887577156e-01, -7.182463118808966e+00
s12         ,  2.356762313996669e-01,  6.347235721324097e-01,  1.365653527583807e-01,  3.570872784908885e+01
s13         ,  1.907045033118390e+00,  1.698168862253902e+00,  1.826974602612325e+00,  7.480503354109305e+01
s14         ,  1.054844414236797e+00,  9.310978408190766e-01,  2.451077748303628e+00,  2.045717539659636e+01
