# c0 + a0 * (face-area-avg - SBI) + a1 * (VPA - E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.238011922402583; Max AE: 1.02742521498931
# Coefficients
# Task   a0                      a1                      c0
# all ,  2.386552786250043e-01,  1.695111979699358e-02,  7.514287079526464e-16, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         33|6|sub; (face-area-avg - SBI); $\left(face-area-avg - SBI\right)$; (face_sub_area_sub_avg - SBI); (newdata$face_sub_area_sub_avg - newdata$SBI); face-area-avg,SBI
# 1;  1; Unitless;                                         4|0|sub; (VPA - E_T); $\left(VPA - E_{T}\right)$; (VPA - E_T); (newdata$VPA - newdata$E_T); VPA,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          , -1.176056511198248e+00, -8.495390931438317e-01, -1.582640011264584e+00, -2.783495756876705e+01
s2          , -1.455476726264239e+00, -1.301848107548714e+00,  1.177567846265869e-02, -7.696591440552569e+01
s3          ,  1.360540424298584e+00,  1.134562968767910e+00,  1.206896115432807e+00,  4.993952318229719e+01
s4          ,  5.214207269978391e-01,  6.004662791485358e-01,  1.952479413756057e+00,  7.934387949570882e+00
s5          ,  9.232192651096478e-02,  4.225714810131204e-02,  8.768228366367881e-01, -9.851930272513741e+00
s6          , -8.371953399684261e-01, -5.524687125349261e-01, -1.711534648812994e+00, -8.495128096000650e+00
s7          , -7.203728580649982e-01, -5.111021193395527e-01, -2.545731535167567e+00,  5.689898404672262e+00
s8          , -2.733255709368181e-01, -3.665233232013598e-01,  1.897828652068606e+00, -4.834194783336063e+01
s9          , -1.521729831673386e+00, -1.205209672910621e+00, -1.652148719594627e+00, -4.783847141766088e+01
s10         ,  3.230218919710685e-01,  5.266461118199971e-01,  1.083522545167470e+00,  1.581357102756848e+01
s11         ,  4.593978616455925e-01, -3.983274014454946e-03,  5.400529887577156e-01, -7.838406672240037e+00
s12         ,  2.356762313996669e-01,  6.289295273006227e-01,  1.365653527583807e-01,  3.517982836115134e+01
s13         ,  1.907045033118390e+00,  1.702048329301707e+00,  1.826974602612325e+00,  7.468717179964690e+01
s14         ,  1.054844414236797e+00,  9.250285225620071e-01,  2.451077748303628e+00,  2.006155839152110e+01
s15         , -6.375331890789701e-01, -8.777949426455457e-01, -1.008341907565017e+00, -3.758741790376308e+01
s16         , -1.315170182182296e+00, -1.049880422278497e+00, -2.314523846802884e+00, -2.934951169560939e+01
s17         ,  8.942625882950092e-01,  4.790495830867187e-01, -2.668930294443895e-01,  3.201823949637242e+01
s18         , -4.582075442603601e-01, -5.673984683974798e-01, -5.586640251626935e-01, -2.560717846448690e+01
s19         , -7.693791289946220e-01, -1.061156620036800e+00, -2.464134190905612e+00, -2.790836203167689e+01
s20         ,  3.128393520635399e-01,  4.448338459540302e-01,  2.180030955308510e+00, -4.450564328478023e+00
s21         , -1.098688503016758e+00, -1.301267366128127e+00, -2.162973388135784e+00, -4.631330312840747e+01
s22         ,  1.599324596570011e+00,  1.868982162573182e+00,  3.120966335333810e+00,  6.631697998112249e+01
s23         , -1.314277649873613e+00, -1.488020555064671e+00, -1.502360278660310e+00, -6.663125254805750e+01
s24         ,  1.052755589569482e-01,  5.839191378796112e-02,  1.331965546676531e-01,  1.569445159993466e+00
s25         , -1.088909426848386e+00, -1.415398292628870e+00, -3.770794701663969e+00, -3.040968612333153e+01
s26         ,  1.095156312501731e+00,  1.213988660455279e+00,  2.843635733744078e+00,  3.158139335464515e+01
s27         ,  2.628094430707173e-03,  8.916857684046578e-02,  7.353987162584841e-01, -5.093363136044072e+00
s28         ,  1.859558668493155e+00,  1.499134850714638e+00,  1.953587873767589e+00,  6.093407425304122e+01
s29         , -1.265074927670763e+00, -1.602545449987958e+00, -3.035664087538105e+00, -5.180001096566878e+01
s30         ,  1.657227749413040e+00,  1.443006869565840e+00,  1.603664730830598e+00,  6.254948517303387e+01
s31         ,  2.746080273692961e-01,  4.416274176314343e-01, -3.639010605072972e-02,  2.656533101783815e+01
s32         , -6.897019771020165e-01, -9.845420055929447e-01, -1.036295705162720e+00, -4.349120141727711e+01
s33         , -1.405625106938475e+00, -1.725067900563573e+00, -2.397038544536784e+00, -6.801922307497156e+01
s34         , -1.474210819660272e+00, -1.102650651661923e+00,  2.638739906890110e-01, -6.876392748038010e+01
s35         , -1.171464689733801e+00, -1.106634018623928e+00, -2.913015634264689e+00, -2.427140305282166e+01
s36         , -1.148641161041122e+00, -6.388431180146904e-01,  7.823104427792693e-02, -3.878878667358486e+01
s37         , -1.078435221245579e+00, -7.709751079493635e-01, -6.854324030608913e-03, -4.538575011867370e+01
s38         , -4.378262290801383e-01, -4.300839469798616e-01, -1.201637555330741e+00, -8.454120029967109e+00
s39         , -6.410161109102297e-01, -2.058329959891617e-01, -3.484521853370946e+00,  3.691594097004624e+01
s40         ,  1.431814259493607e-01,  4.367513176411789e-01,  4.583138012864642e-02,  2.512007595641729e+01
s41         ,  3.398432822287206e-01,  5.820256104871846e-01,  5.590096886493278e-01,  2.646521308687036e+01
s42         ,  8.067612274639525e-01,  5.105917938150316e-01,  1.810886174023744e+00,  4.625903794812041e+00
s43         , -1.242741757202650e+00, -1.202616561576016e+00, -3.845777868684480e+00, -1.680133089766487e+01
s44         ,  1.711958335245295e-01,  4.760236509749297e-01,  1.826622371219463e+00,  2.365069712739124e+00
s45         ,  4.644113787063103e-01,  4.501699765483947e-01,  1.140835756740121e+00,  1.049508842417392e+01
s46         ,  5.605068277705415e-02, -3.946963360430611e-02,  1.010440340082480e+00, -1.655445527264841e+01
s47         ,  9.066999267258494e-01,  3.081962761971462e-01, -2.967216689792274e-01,  2.235902249057788e+01
s48         ,  1.579727584566370e+00,  1.774813936557815e+00,  3.617324791996822e+00,  5.377345516774314e+01
s49         , -6.435089824614265e-01, -7.633868521394556e-01,  6.809973884333760e-01, -5.462237803210747e+01
s50         , -2.217827055817793e-02, -2.670194186904490e-02,  1.601587546906516e+00, -2.412402655492320e+01
s51         , -9.869737286665018e-01, -1.108759852604841e+00, -1.917010450203905e+00, -3.841959689293738e+01
