# c0 + a0 * (O - NBI) + a1 * (face-area-avg - SBI) + a2 * (poly_dist_avg_fixed + E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.194025866494141; Max AE: 0.815597956977262
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -2.376732920909155e-01,  2.180739096058116e-01, -1.787406232941520e-02,  8.189583628745502e-16, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         12|5|sub; (O - NBI); $\left(O - NBI\right)$; (O - NBI); (newdata$O - newdata$NBI); O,NBI
# 1;  1; Unitless;                                         33|6|sub; (face-area-avg - SBI); $\left(face-area-avg - SBI\right)$; (face_sub_area_sub_avg - SBI); (newdata$face_sub_area_sub_avg - newdata$SBI); face-area-avg,SBI
# 2;  1; Unitless;                                         31|0|add; (poly_dist_avg_fixed + E_T); $\left(poly_{dist, avg, fixed} + E_{T}\right)$; (poly_dist_avg_fixed + E_T); (newdata$poly_dist_avg_fixed + newdata$E_T); poly_dist_avg_fixed,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
s1          , -1.176056511198248e+00, -1.006758349459547e+00,  6.771011419179580e-01, -1.582640011264584e+00,  2.801249027773289e+01
s2          , -1.455476726264239e+00, -1.389662096958356e+00,  3.526237973783930e-03,  1.177567846265869e-02,  7.784419383618471e+01
s3          ,  1.360540424298584e+00,  1.251896830656552e+00, -3.893086028757597e-01,  1.206896115432807e+00, -5.013835145446629e+01
s4          ,  5.214207269978391e-01,  4.813056775004669e-01,  3.738125043128819e-01,  1.952479413756057e+00, -8.076849245682096e+00
s5          ,  9.232192651096478e-02,  7.634534032280924e-02, -3.521929928688239e-01,  8.768228366367881e-01,  1.110960161719523e+01
s6          , -8.371953399684261e-01, -6.349076851253638e-01,  4.545815720629116e-01, -1.711534648812994e+00,  8.594841578012762e+00
s7          , -7.203728580649982e-01, -6.556830408791334e-01,  8.346125789566309e-01, -2.545731535167567e+00, -5.473837187070742e+00
s8          , -2.733255709368181e-01, -5.130207104580505e-01,  3.029828671541472e-01,  1.897828652068606e+00,  4.782777821503091e+01
s9          , -1.521729831673386e+00, -1.137661777593416e+00, -3.745022806556939e-01, -1.652148719594627e+00,  4.847137830410158e+01
s10         ,  3.230218919710685e-01,  5.764389239337495e-01, -2.669436894858681e-01,  1.083522545167470e+00, -1.548084233905045e+01
s11         ,  4.593978616455925e-01,  1.616641569584219e-01, -7.214896219785819e-01,  5.400529887577156e-01,  7.138059664779703e+00
s12         ,  2.356762313996669e-01,  4.060882413485752e-01,  1.107811850553975e+00,  1.365653527583807e-01, -3.578392973609353e+01
s13         ,  1.907045033118390e+00,  1.729187519041847e+00,  3.866859357281260e-02,  1.826974602612325e+00, -7.496687053784423e+01
s14         ,  1.054844414236797e+00,  9.610944070422397e-01, -2.773967692930105e-01,  2.451077748303628e+00, -2.017719809307630e+01
s15         , -6.375331890789701e-01, -6.759626152170539e-01, -8.961064749814802e-01, -1.008341907565017e+00,  3.743134139611638e+01
s16         , -1.315170182182296e+00, -1.042955465362668e+00,  4.118975937842673e-02, -2.314523846802884e+00,  2.956398415557430e+01
s17         ,  8.942625882950092e-01,  6.570758601559576e-01, -5.646490520765064e-01, -2.668930294443895e-01, -3.250946856631037e+01
s18         , -4.582075442603601e-01, -7.594314685724479e-01,  8.190703191687289e-01, -5.586640251626935e-01,  2.478061635207488e+01
s19         , -7.693791289946220e-01, -7.456804616960194e-01, -1.176372160922948e+00, -2.464134190905612e+00,  2.729705872736008e+01
s20         ,  3.128393520635399e-01,  2.930800779990236e-01,  4.285282448525507e-01,  2.180030955308510e+00,  4.502506217979700e+00
s21         , -1.098688503016758e+00, -1.458238108942209e+00,  6.959100072016592e-01, -2.162973388135784e+00,  4.594091753032090e+01
s22         ,  1.599324596570011e+00,  1.806790922293553e+00,  2.051701605372631e-01,  3.120966335333810e+00, -6.573508795251811e+01
s23         , -1.314277649873613e+00, -1.118622487760544e+00, -1.672968435191875e+00, -1.502360278660310e+00,  6.649953445427778e+01
s24         ,  1.052755589569482e-01,  1.794177367199832e-01, -5.334876286296116e-01,  1.331965546676531e-01, -1.318966101657253e+00
s25         , -1.088909426848386e+00, -1.378670708318875e+00,  4.884913901274324e-03, -3.770794701663969e+00,  3.106164349242271e+01
s26         ,  1.095156312501731e+00,  1.059792809917393e+00,  4.657268837279624e-01,  2.843635733744078e+00, -3.079103560751119e+01
s27         ,  2.628094430707173e-03,  9.504782806120447e-02, -7.256750212940022e-02,  7.353987162584841e-01,  4.619587910153017e+00
s28         ,  1.859558668493155e+00,  1.658903164731298e+00, -5.908136736038818e-01,  1.953587873767589e+00, -6.111962509634339e+01
s29         , -1.265074927670763e+00, -1.480882640461438e+00, -4.936949341677624e-01, -3.035664087538105e+00,  5.237878148122899e+01
s30         ,  1.657227749413040e+00,  1.533388369933796e+00, -2.518075632023571e-01,  1.603664730830598e+00, -6.287451499010683e+01
s31         ,  2.746080273692961e-01,  3.162039408388281e-01,  6.109609940890991e-01, -3.639010605072972e-02, -2.625865210104873e+01
s32         , -6.897019771020165e-01, -6.699978070725355e-01, -1.346625601165517e+00, -1.036295705162720e+00,  4.274717615398992e+01
s33         , -1.405625106938475e+00, -1.775143886974836e+00,  2.073291006563499e-01, -2.397038544536784e+00,  6.731182358095739e+01
s34         , -1.474210819660272e+00, -1.249594746954558e+00,  2.811799983203311e-01,  2.638739906890110e-01,  6.939160113788570e+01
s35         , -1.171464689733801e+00, -1.085187100368807e+00,  4.357814756176404e-02, -2.913015634264689e+00,  2.459301206218896e+01
s36         , -1.148641161041122e+00, -8.265991092575260e-01,  5.701541119950904e-01,  7.823104427792693e-02,  3.961879739970018e+01
s37         , -1.078435221245579e+00, -8.943051758486805e-01,  3.009091284362093e-01, -6.854324030608913e-03,  4.594883626887577e+01
s38         , -4.378262290801383e-01, -4.617721485632572e-01,  1.831719783347543e-01, -1.201637555330741e+00,  8.738431082700435e+00
s39         , -6.410161109102297e-01, -4.420411362130262e-01,  1.532446785815520e+00, -3.484521853370946e+00, -3.815941935454222e+01
s40         ,  1.431814259493607e-01,  3.014698858144496e-01,  6.286290457753483e-01,  4.583138012864642e-02, -2.466611026946034e+01
s41         ,  3.398432822287206e-01,  4.618188397723379e-01,  5.391824368044018e-01,  5.590096886493278e-01, -2.618669822380935e+01
s42         ,  8.067612274639525e-01,  4.437578032827083e-01,  1.677422926183827e-01,  1.810886174023744e+00, -4.963540841285115e+00
s43         , -1.242741757202650e+00, -1.310575780701726e+00,  7.239603594897858e-01, -3.845777868684480e+00,  1.677547710715336e+01
s44         ,  1.711958335245295e-01,  4.490173694081387e-01, -1.042775957843105e-01,  1.826622371219463e+00, -1.448729873727363e+00
s45         ,  4.644113787063103e-01,  5.010406008010565e-01, -2.764256140352523e-01,  1.140835756740121e+00, -1.043719653464615e+01
s46         ,  5.605068277705415e-02, -1.630292594781674e-01,  4.008753732898298e-01,  1.010440340082480e+00,  1.611847155200325e+01
s47         ,  9.066999267258494e-01,  6.275246369000012e-01, -1.153526498970985e+00, -2.967216689792274e-01, -2.338972770093267e+01
s48         ,  1.579727584566370e+00,  1.758094162991476e+00, -5.779387051813067e-02,  3.617324791996822e+00, -5.345812978650617e+01
s49         , -6.435089824614265e-01, -6.164236181737126e-01, -9.335049720036894e-01,  6.809973884333760e-01,  5.520852298674779e+01
s50         , -2.217827055817793e-02, -1.385345533220245e-01,  2.532695283949011e-01,  1.601587546906516e+00,  2.392313514249510e+01
s51         , -9.869737286665018e-01, -1.086548022051009e+00, -1.019498454371124e-01, -1.917010450203905e+00,  3.875609254607035e+01
s52         , -6.291725742859308e-02,  2.015561834295944e-01, -5.714515551220436e-01,  8.840456935637617e-01,  7.108059000291250e+00
s53         ,  7.061953554227811e-01,  7.968503647926006e-01,  4.701822200991296e-01, -1.692095421477176e+00, -7.147798644582642e+01
s54         , -1.923256326608463e+00, -1.996646676025301e+00, -1.126561508774055e+00, -2.470033674840475e+00,  9.655053934706346e+01
s55         ,  1.449677165676465e-01,  1.139475143867472e-01,  3.371476175625945e-01,  1.518647962040196e+00,  7.670276476429408e+00
s56         , -1.428251212735210e+00, -1.554305889178922e+00, -3.344571542117003e-01, -3.399121642984703e+00,  4.993479712239399e+01
s57         , -7.632144013758455e-01, -7.341187937863118e-01, -2.715916514520232e-01, -2.457448947389274e+00,  1.470082017365637e+01
s58         , -2.465293161402924e+00, -2.757372851506041e+00,  4.803580528028757e-01, -3.582257645729811e+00,  1.041737243262321e+02
s59         , -8.768884797438996e-03,  1.383560882017037e-01,  2.695135491983160e-01,  9.460027830447706e-01,  2.174248149164376e-01
s60         ,  1.714446572989188e+00,  1.587067751902796e+00, -3.526583800614702e-01,  2.530844153601158e+00, -5.322456512785621e+01
s61         ,  1.653657662090557e+00,  1.298869724902768e+00, -9.282483139142694e-02,  2.064192439226812e+00, -4.624920798652498e+01
s62         ,  2.913807026429409e-01,  4.170349119718759e-01, -4.927940422748091e-01,  1.463393171059105e+00,  1.075129991577164e+00
s63         , -1.790911115854549e+00, -1.304771290173796e+00, -4.548420026311273e-01, -1.166153604943881e+00,  6.481836021029717e+01
s64         , -5.454632126173593e-01, -5.683710917973588e-01, -5.393058155592612e-01, -3.333293924534856e+00, -1.698257340949030e+00
s65         , -1.096531543219279e+00, -8.322997813521669e-01,  2.322442986438916e-01, -1.485544298171096e+00,  2.535199066546847e+01
s66         , -9.925198589409868e-01, -6.336003072221023e-01, -7.638177072689105e-01, -1.617224117795251e-01,  4.363148809070500e+01
s67         , -4.301391331597769e-01, -3.857966228993966e-01,  4.209459219250875e-01, -2.036322897428025e+00, -8.857520618477489e+00
s68         , -1.496017763262518e+00, -1.246675124272498e+00, -6.433780658110536e-01, -1.138560997290165e+00,  6.441168426130287e+01
s69         , -5.130334975012112e-01, -5.075819808619799e-01, -7.567822754981549e-01, -2.094461471899010e+00,  1.290705547111459e+01
s70         , -1.298331351434060e+00, -8.180910247817406e-01,  4.838900894585221e-01, -1.707546643705505e+00,  1.850233571349786e+01
s71         ,  8.978734253548585e-01,  5.094595202903685e-01,  5.103266617615287e-02,  2.258301539518788e+00, -1.628727467568239e+00
s72         , -8.703072211857277e-01, -6.135633612175280e-01, -5.433711297340562e-01, -2.228745715841153e+00,  1.436029873609020e+01
s73         ,  1.052659824554331e+00,  8.290031565279670e-01, -1.036892526965335e+00, -5.616331623823717e-01, -3.944481240978828e+01
s74         , -1.304189005820537e+00, -1.771482072818354e+00, -1.808411567227888e-01, -3.321348869452999e+00,  6.099137580837780e+01
s75         , -7.491961797362119e-01, -8.055401138533722e-01,  1.058759165563330e+00, -1.854893540942606e+00,  8.358337814494583e+00
s76         ,  1.130323653742102e+00,  9.414327128944870e-01, -4.742141785738135e-01,  1.917590755069982e+00, -2.296893383094853e+01
s77         ,  1.083046725976420e+00,  1.277175183861048e+00, -1.925234905213198e-01,  1.783781888992347e+00, -4.713093118518696e+01
s78         ,  1.592651226510811e+00,  1.538490105719466e+00, -1.619551673597364e-01,  2.257225376474225e+00, -5.638090024752243e+01
s79         , -5.815008980639539e-01, -3.546551067274663e-01, -8.376958117949120e-01, -1.016102283136788e+00,  1.858377936267233e+01
s80         , -2.983814549448998e-01, -3.946447839529243e-01,  1.089925995406102e-01,  2.593273229644152e-01,  2.379384548151204e+01
s81         ,  1.752594407670262e+00,  1.571536614613979e+00, -5.381961120271959e-01,  1.205502616587168e+00, -6.605846407369972e+01
s82         ,  2.898444462079387e-01,  4.815682994692134e-01,  7.182066756090077e-02,  1.684843953781755e+00, -7.341232422342769e+00
s83         ,  1.476200951700887e+00,  1.630936440514285e+00, -7.977098680941208e-01,  2.334756422376032e+00, -5.215337352225875e+01
s84         , -3.835514085014881e-01, -7.596098116719665e-01,  1.653014825754807e-01,  1.206694188308534e+00,  5.502221964647104e+01
s85         ,  4.460752375789071e-01,  4.331731054369186e-01,  4.900054535621379e-01,  2.521543591746297e-01, -2.767395674704226e+01
s86         , -5.546686089820558e-01, -4.130886118484942e-01,  1.258994508304948e+00, -1.485381581772774e+00, -1.175243336332549e+01
s87         ,  8.762923637719959e-02,  1.321236814612796e-01,  2.404282469983345e-01,  9.232113533745886e-01,  6.747909100663257e-01
s88         ,  4.367974440523036e-01,  5.275707085754393e-01, -5.163067187434047e-01,  1.543128460406153e+00, -3.823547963453060e+00
s89         , -5.727247528300363e-01, -3.773691803513269e-01,  2.356990434838169e-03, -6.745489205487532e-01,  1.285144149759278e+01
s90         ,  4.181427428933503e-02,  1.939157550814846e-02, -2.548934960375508e-01,  7.798268038672942e-01,  1.181878393781547e+01
s91         , -8.667270491804479e-01, -8.942668457802145e-01, -2.848021419270099e-01, -2.712270983627068e+00,  2.072730665859318e+01
s92         ,  8.549438204377635e-01,  8.638230043695722e-01,  2.404908663898655e-01,  1.320036326052343e+00, -3.542092257429400e+01
s93         , -1.173621714519396e+00, -1.189517298296847e+00,  1.052889526993138e+00, -1.519876460285480e+00,  3.400615736892378e+01
s94         , -2.684963611581566e-01, -2.276713427153055e-01,  1.681915666918772e-01, -1.918821560434881e-01,  8.159992100155954e+00
s95         ,  9.260657816336888e-01,  1.021683559823471e+00,  1.393644670864536e-01,  2.352137275799636e+00, -3.031582803431694e+01
s96         , -2.278868324329024e-01, -1.447969319576843e-01,  3.163534412490676e-02,  9.838799445234164e-01,  1.968419910224019e+01
s97         , -1.648661305544417e+00, -1.262989172827043e+00, -2.018817167558853e+00, -1.449935324745176e+00,  7.981481791522522e+01
s98         ,  5.404249878717727e-01,  6.563723706788018e-01,  4.479948465840623e-01,  4.167666326044359e-01, -3.759429945788303e+01
