# c0 + a0 * (O - NBI) + a1 * (face-area-avg - SBI) + a2 * (S - E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.194256495694721; Max AE: 0.822811153136626
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -2.422428312434383e-01,  2.169459089901710e-01,  1.796692020969023e-02,  8.912193948928926e-16, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         12|5|sub; (O - NBI); $\left(O - NBI\right)$; (O - NBI); (newdata$O - newdata$NBI); O,NBI
# 1;  1; Unitless;                                         33|6|sub; (face-area-avg - SBI); $\left(face-area-avg - SBI\right)$; (face_sub_area_sub_avg - SBI); (newdata$face_sub_area_sub_avg - newdata$SBI); face-area-avg,SBI
# 2;  1; Unitless;                                         11|0|sub; (S - E_T); $\left(S - E_{T}\right)$; (S - E_T); (newdata$S - newdata$E_T); S,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
s1          , -1.176056511198248e+00, -1.000515244972181e+00,  6.771011419179580e-01, -1.582640011264584e+00, -2.744739029908029e+01
s2          , -1.455476726264239e+00, -1.388274639652230e+00,  3.526237973783930e-03,  1.177567846265869e-02, -7.736301507590682e+01
s3          ,  1.360540424298584e+00,  1.243410101684495e+00, -3.893086028757597e-01,  1.206896115432807e+00,  4.938362826360344e+01
s4          ,  5.214207269978391e-01,  4.975217437071356e-01,  3.738125043128819e-01,  1.952479413756057e+00,  9.155309868603196e+00
s5          ,  9.232192651096478e-02,  8.259623142913464e-02, -3.521929928688239e-01,  8.768228366367881e-01, -1.073879782250922e+01
s6          , -8.371953399684261e-01, -6.268903156224287e-01,  4.545815720629116e-01, -1.711534648812994e+00, -8.096031302095737e+00
s7          , -7.203728580649982e-01, -6.525494580839400e-01,  8.346125789566309e-01, -2.545731535167567e+00,  5.672396648191580e+00
s8          , -2.733255709368181e-01, -5.051428785703544e-01,  3.029828671541472e-01,  1.897828652068606e+00, -4.694592079216660e+01
s9          , -1.521729831673386e+00, -1.129571782221348e+00, -3.745022806556939e-01, -1.652148719594627e+00, -4.796956624598737e+01
s10         ,  3.230218919710685e-01,  5.747709528075774e-01, -2.669436894858681e-01,  1.083522545167470e+00,  1.530813133254250e+01
s11         ,  4.593978616455925e-01,  1.621827438043013e-01, -7.214896219785819e-01,  5.400529887577156e-01, -7.221896127499284e+00
s12         ,  2.356762313996669e-01,  4.101486426822159e-01,  1.107811850553975e+00,  1.365653527583807e-01,  3.611530633417888e+01
s13         ,  1.907045033118390e+00,  1.732991969922097e+00,  3.866859357281260e-02,  1.826974602612325e+00,  7.491570496972193e+01
s14         ,  1.054844414236797e+00,  9.589329823698212e-01, -2.773967692930105e-01,  2.451077748303628e+00,  2.003594991717241e+01
s15         , -6.375331890789701e-01, -6.802128427427037e-01, -8.961064749814802e-01, -1.008341907565017e+00, -3.776565781498055e+01
s16         , -1.315170182182296e+00, -1.034604789789759e+00,  4.118975937842673e-02, -2.314523846802884e+00, -2.908124374893205e+01
s17         ,  8.942625882950092e-01,  6.665350464719738e-01, -5.646490520765064e-01, -2.668930294443895e-01,  3.270756509493742e+01
s18         , -4.582075442603601e-01, -7.685027740872077e-01,  8.190703191687289e-01, -5.586640251626935e-01, -2.498419211452712e+01
s19         , -7.693791289946220e-01, -7.432920133357959e-01, -1.176372160922948e+00, -2.464134190905612e+00, -2.747693530734875e+01
s20         ,  3.128393520635399e-01,  2.981010078848099e-01,  4.285282448525507e-01,  2.180030955308510e+00, -3.953927173457856e+00
s21         , -1.098688503016758e+00, -1.476129115335305e+00,  6.959100072016592e-01, -2.162973388135784e+00, -4.665806199981560e+01
s22         ,  1.599324596570011e+00,  1.806776512777027e+00,  2.051701605372631e-01,  3.120966335333810e+00,  6.564267114457569e+01
s23         , -1.314277649873613e+00, -1.112145897247151e+00, -1.672968435191875e+00, -1.502360278660310e+00, -6.631518242295300e+01
s24         ,  1.052755589569482e-01,  1.729585683405259e-01, -5.334876286296116e-01,  1.331965546676531e-01,  8.253260407540148e-01
s25         , -1.088909426848386e+00, -1.371869279132766e+00,  4.884913901274324e-03, -3.770794701663969e+00, -3.075805163831461e+01
s26         ,  1.095156312501731e+00,  1.045954945639104e+00,  4.657268837279624e-01,  2.843635733744078e+00,  3.015869159107537e+01
s27         ,  2.628094430707173e-03,  1.022314059754537e-01, -7.256750212940022e-02,  7.353987162584841e-01, -4.168176476074537e+00
s28         ,  1.859558668493155e+00,  1.660151137704055e+00, -5.908136736038818e-01,  1.953587873767589e+00,  6.084559016500892e+01
s29         , -1.265074927670763e+00, -1.475492377872937e+00, -4.936949341677624e-01, -3.035664087538105e+00, -5.212421053283308e+01
s30         ,  1.657227749413040e+00,  1.532490019973896e+00, -2.518075632023571e-01,  1.603664730830598e+00,  6.253620136765191e+01
s31         ,  2.746080273692961e-01,  3.068807884518190e-01,  6.109609940890991e-01, -3.639010605072972e-02,  2.575713526156245e+01
s32         , -6.897019771020165e-01, -6.686954191854713e-01, -1.346625601165517e+00, -1.036295705162720e+00, -4.286130815465142e+01
s33         , -1.405625106938475e+00, -1.792006440490700e+00,  2.073291006563499e-01, -2.397038544536784e+00, -6.800023220232275e+01
s34         , -1.474210819660272e+00, -1.257707583541694e+00,  2.811799983203311e-01,  2.638739906890110e-01, -6.939643037742083e+01
s35         , -1.171464689733801e+00, -1.077257503626830e+00,  4.357814756176404e-02, -2.913015634264689e+00, -2.419636643505121e+01
s36         , -1.148641161041122e+00, -8.177862331224653e-01,  5.701541119950904e-01,  7.823104427792693e-02, -3.877361193066839e+01
s37         , -1.078435221245579e+00, -8.910471427820799e-01,  3.009091284362093e-01, -6.854324030608913e-03, -4.545392512874327e+01
s38         , -4.378262290801383e-01, -4.730033949735247e-01,  1.831719783347543e-01, -1.201637555330741e+00, -9.347230502460938e+00
s39         , -6.410161109102297e-01, -4.559652447477358e-01,  1.532446785815520e+00, -3.484521853370946e+00,  3.735819808960845e+01
s40         ,  1.431814259493607e-01,  3.041272745903567e-01,  6.286290457753483e-01,  4.583138012864642e-02,  2.484929074142370e+01
s41         ,  3.398432822287206e-01,  4.603438970807630e-01,  5.391824368044018e-01,  5.590096886493278e-01,  2.614149262138641e+01
s42         ,  8.067612274639525e-01,  4.632373413271151e-01,  1.677422926183827e-01,  1.810886174023744e+00,  6.178430182434488e+00
