# c0 + a0 * (O - NBI) + a1 * (face-area-avg - SBI) + a2 * (poly_dist_avg + E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.194679087909799; Max AE: 0.818059521103189
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -2.364359590670097e-01,  2.179874118958948e-01, -1.785228470748498e-02,  8.430453735473309e-16, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         12|5|sub; (O - NBI); $\left(O - NBI\right)$; (O - NBI); (newdata$O - newdata$NBI); O,NBI
# 1;  1; Unitless;                                         33|6|sub; (face-area-avg - SBI); $\left(face-area-avg - SBI\right)$; (face_sub_area_sub_avg - SBI); (newdata$face_sub_area_sub_avg - newdata$SBI); face-area-avg,SBI
# 2;  1; Unitless;                                         30|0|add; (poly_dist_avg + E_T); $\left(poly_{dist, avg} + E_{T}\right)$; (poly_dist_avg + E_T); (newdata$poly_dist_avg + newdata$E_T); poly_dist_avg,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
s1          , -1.176056511198248e+00, -1.003224304437361e+00,  6.771011419179580e-01, -1.582640011264584e+00,  2.790329947714256e+01
s2          , -1.455476726264239e+00, -1.386100766799222e+00,  3.526237973783930e-03,  1.177567846265869e-02,  7.773985289577557e+01
s3          ,  1.360540424298584e+00,  1.249825183427793e+00, -3.893086028757597e-01,  1.206896115432807e+00, -5.011630077400109e+01
s4          ,  5.214207269978391e-01,  4.808457953466284e-01,  3.738125043128819e-01,  1.952479413756057e+00, -8.044492986949445e+00
s5          ,  9.232192651096478e-02,  8.368617308419515e-02, -3.521929928688239e-01,  8.768228366367881e-01,  1.068329678448007e+01
s6          , -8.371953399684261e-01, -6.321290827783287e-01,  4.545815720629116e-01, -1.711534648812994e+00,  8.489481701185774e+00
s7          , -7.203728580649982e-01, -6.529782070688941e-01,  8.346125789566309e-01, -2.545731535167567e+00, -5.561845379791473e+00
s8          , -2.733255709368181e-01, -5.125649813915665e-01,  3.029828671541472e-01,  1.897828652068606e+00,  4.787239878283422e+01
s9          , -1.521729831673386e+00, -1.135042651760019e+00, -3.745022806556939e-01, -1.652148719594627e+00,  4.836584495238668e+01
s10         ,  3.230218919710685e-01,  5.748686341659290e-01, -2.669436894858681e-01,  1.083522545167470e+00, -1.543551853942857e+01
s11         ,  4.593978616455925e-01,  1.602804215441885e-01, -7.214896219785819e-01,  5.400529887577156e-01,  7.171654753941386e+00
s12         ,  2.356762313996669e-01,  4.191329392299841e-01,  1.107811850553975e+00,  1.365653527583807e-01, -3.648216345698281e+01
s13         ,  1.907045033118390e+00,  1.726623280327117e+00,  3.866859357281260e-02,  1.826974602612325e+00, -7.492085651930608e+01
s14         ,  1.054844414236797e+00,  9.593950660413075e-01, -2.773967692930105e-01,  2.451077748303628e+00, -2.013772500459663e+01
s15         , -6.375331890789701e-01, -6.769468912774803e-01, -8.961064749814802e-01, -1.008341907565017e+00,  3.747491446285965e+01
s16         , -1.315170182182296e+00, -1.040196130313889e+00,  4.118975937842673e-02, -2.314523846802884e+00,  2.945955296663605e+01
s17         ,  8.942625882950092e-01,  6.550934407130883e-01, -5.646490520765064e-01, -2.668930294443895e-01, -3.247592287432299e+01
s18         , -4.582075442603601e-01, -7.641827999083126e-01,  8.190703191687289e-01, -5.586640251626935e-01,  2.513646885205840e+01
s19         , -7.693791289946220e-01, -7.449848141445994e-01, -1.176372160922948e+00, -2.464134190905612e+00,  2.722179638938283e+01
s20         ,  3.128393520635399e-01,  2.928287401563222e-01,  4.285282448525507e-01,  2.180030955308510e+00,  4.541215895537989e+00
s21         , -1.098688503016758e+00, -1.468695772107217e+00,  6.959100072016592e-01, -2.162973388135784e+00,  4.664146157727582e+01
s22         ,  1.599324596570011e+00,  1.805080051799544e+00,  2.051701605372631e-01,  3.120966335333810e+00, -6.572034339854302e+01
s23         , -1.314277649873613e+00, -1.117557864828328e+00, -1.672968435191875e+00, -1.502360278660310e+00,  6.641234731789272e+01
s24         ,  1.052755589569482e-01,  1.871289554985558e-01, -5.334876286296116e-01,  1.331965546676531e-01, -1.790141971815918e+00
s25         , -1.088909426848386e+00, -1.375982541531924e+00,  4.884913901274324e-03, -3.770794701663969e+00,  3.096756541141450e+01
s26         ,  1.095156312501731e+00,  1.059293507073428e+00,  4.657268837279624e-01,  2.843635733744078e+00, -3.078212702304591e+01
s27         ,  2.628094430707173e-03,  9.967242611494247e-02, -7.256750212940022e-02,  7.353987162584841e-01,  4.357582516273359e+00
s28         ,  1.859558668493155e+00,  1.656404994715855e+00, -5.908136736038818e-01,  1.953587873767589e+00, -6.110466254194618e+01
s29         , -1.265074927670763e+00, -1.478461308142010e+00, -4.936949341677624e-01, -3.035664087538105e+00,  5.228753634930402e+01
