# c0 + a0 * (O - NBI) + a1 * (face-area-avg - SBI) + a2 * (O + E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.195069147531767; Max AE: 0.819941402597452
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -2.322681049836229e-01,  2.176104648000721e-01, -1.790026314401364e-02,  8.929398956552341e-16, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         12|5|sub; (O - NBI); $\left(O - NBI\right)$; (O - NBI); (newdata$O - newdata$NBI); O,NBI
# 1;  1; Unitless;                                         33|6|sub; (face-area-avg - SBI); $\left(face-area-avg - SBI\right)$; (face_sub_area_sub_avg - SBI); (newdata$face_sub_area_sub_avg - newdata$SBI); face-area-avg,SBI
# 2;  1; Unitless;                                         12|0|add; (O + E_T); $\left(O + E_{T}\right)$; (O + E_T); (newdata$O + newdata$E_T); O,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
s1          , -1.176056511198248e+00, -1.007822202558161e+00,  6.771011419179580e-01, -1.582640011264584e+00,  2.827635386742488e+01
s2          , -1.455476726264239e+00, -1.384103581307261e+00,  3.526237973783930e-03,  1.177567846265869e-02,  7.742048529730313e+01
s3          ,  1.360540424298584e+00,  1.249579820530308e+00, -3.893086028757597e-01,  1.206896115432807e+00, -5.008432653916717e+01
s4          ,  5.214207269978391e-01,  4.874084897371888e-01,  3.738125043128819e-01,  1.952479413756057e+00, -8.343634827683717e+00
s5          ,  9.232192651096478e-02,  8.444163747124905e-02, -3.521929928688239e-01,  8.768228366367881e-01,  1.051198996824144e+01
s6          , -8.371953399684261e-01, -6.366885197993131e-01,  4.545815720629116e-01, -1.711534648812994e+00,  8.863326073461693e+00
s7          , -7.203728580649982e-01, -6.505911684113548e-01,  8.346125789566309e-01, -2.545731535167567e+00, -5.432352336950460e+00
s8          , -2.733255709368181e-01, -5.125389528879924e-01,  3.029828671541472e-01,  1.897828652068606e+00,  4.777321230973781e+01
s9          , -1.521729831673386e+00, -1.132267609678398e+00, -3.745022806556939e-01, -1.652148719594627e+00,  4.802877404715853e+01
s10         ,  3.230218919710685e-01,  5.756584238204430e-01, -2.669436894858681e-01,  1.083522545167470e+00, -1.552323963147437e+01
s11         ,  4.593978616455925e-01,  1.592909339758753e-01, -7.214896219785819e-01,  5.400529887577156e-01,  7.028347805532126e+00
s12         ,  2.356762313996669e-01,  4.095410990346759e-01,  1.107811850553975e+00,  1.365653527583807e-01, -3.559346604158639e+01
s13         ,  1.907045033118390e+00,  1.731059153189828e+00,  3.866859357281260e-02,  1.826974602612325e+00, -7.499732439061555e+01
s14         ,  1.054844414236797e+00,  9.584058578497734e-01, -2.773967692930105e-01,  2.451077748303628e+00, -2.014469088788968e+01
s15         , -6.375331890789701e-01, -6.800184586583129e-01, -8.961064749814802e-01, -1.008341907565017e+00,  3.735864969710482e+01
s16         , -1.315170182182296e+00, -1.042391878695751e+00,  4.118975937842673e-02, -2.314523846802884e+00,  2.956158783752480e+01
s17         ,  8.942625882950092e-01,  6.594064042178475e-01, -5.646490520765064e-01, -2.668930294443895e-01, -3.275567238220280e+01
s18         , -4.582075442603601e-01, -7.704501573723841e-01,  8.190703191687289e-01, -5.586640251626935e-01,  2.562169643083604e+01
s19         , -7.693791289946220e-01, -7.421753435227645e-01, -1.176372160922948e+00, -2.464134190905612e+00,  2.676986844427267e+01
s20         ,  3.128393520635399e-01,  2.970756629417668e-01,  4.285282448525507e-01,  2.180030955308510e+00,  4.345659196838058e+00
s21         , -1.098688503016758e+00, -1.468678679005971e+00,  6.959100072016592e-01, -2.162973388135784e+00,  4.672307492481693e+01
s22         ,  1.599324596570011e+00,  1.808175574538285e+00,  2.051701605372631e-01,  3.120966335333810e+00, -6.573507409367919e+01
s23         , -1.314277649873613e+00, -1.113661205602303e+00, -1.672968435191875e+00, -1.502360278660310e+00,  6.565876075393662e+01
s24         ,  1.052755589569482e-01,  1.768344368274317e-01, -5.334876286296116e-01,  1.331965546676531e-01, -1.337260348065514e+00
s25         , -1.088909426848386e+00, -1.370525741888955e+00,  4.884913901274324e-03, -3.770794701663969e+00,  3.066026125336020e+01
s26         ,  1.095156312501731e+00,  1.059389612143234e+00,  4.657268837279624e-01,  2.843635733744078e+00, -3.065643307640603e+01
s27         ,  2.628094430707173e-03,  9.297595681523980e-02, -7.256750212940022e-02,  7.353987162584841e-01,  4.687619124426041e+00
s28         ,  1.859558668493155e+00,  1.657060571398124e+00, -5.908136736038818e-01,  1.953587873767589e+00, -6.115620898899969e+01
s29         , -1.265074927670763e+00, -1.474345436643185e+00, -4.936949341677624e-01, -3.035664087538105e+00,  5.186643028132153e+01
s30         ,  1.657227749413040e+00,  1.533346663975056e+00, -2.518075632023571e-01,  1.603664730830598e+00, -6.289771060524877e+01
s31         ,  2.746080273692961e-01,  3.138989724681134e-01,  6.109609940890991e-01, -3.639010605072972e-02, -2.590602098668051e+01
s32         , -6.897019771020165e-01, -6.734914548782979e-01, -1.346625601165517e+00, -1.036295705162720e+00,  4.249998087693405e+01
s33         , -1.405625106938475e+00, -1.788326186324547e+00,  2.073291006563499e-01, -2.397038544536784e+00,  6.807439462666883e+01
s34         , -1.474210819660272e+00, -1.248432222542260e+00,  2.811799983203311e-01,  2.638739906890110e-01,  6.930316101808023e+01
s35         , -1.171464689733801e+00, -1.082114766879159e+00,  4.357814756176404e-02, -2.913015634264689e+00,  2.447395680496385e+01
s36         , -1.148641161041122e+00, -8.225132927485302e-01,  5.701541119950904e-01,  7.823104427792693e-02,  3.950269143112587e+01
s37         , -1.078435221245579e+00, -8.920524189641974e-01,  3.009091284362093e-01, -6.854324030608913e-03,  4.584677033456406e+01
s38         , -4.378262290801383e-01, -4.681125349284077e-01,  1.831719783347543e-01, -1.201637555330741e+00,  9.166268583745461e+00
s39         , -6.410161109102297e-01, -4.536319342033140e-01,  1.532446785815520e+00, -3.484521853370946e+00, -3.690308860433012e+01
s40         ,  1.431814259493607e-01,  3.078014751303750e-01,  6.286290457753483e-01,  4.583138012864642e-02, -2.479508601785477e+01
s41         ,  3.398432822287206e-01,  4.667825640393724e-01,  5.391824368044018e-01,  5.590096886493278e-01, -2.627732815531058e+01
s42         ,  8.067612274639525e-01,  4.498116932667192e-01,  1.677422926183827e-01,  1.810886174023744e+00, -5.290709689993532e+00
s43         , -1.242741757202650e+00, -1.303409928938373e+00,  7.239603594897858e-01, -3.845777868684480e+00,  1.666877834329180e+01
s44         ,  1.711958335245295e-01,  4.466845351440231e-01, -1.042775957843105e-01,  1.826622371219463e+00, -1.395065098360097e+00
s45         ,  4.644113787063103e-01,  4.960567370377930e-01, -2.764256140352523e-01,  1.140835756740121e+00, -1.025650197067237e+01
