# c0 + a0 * (F - rho) + a1 * (face-area-avg - SBI) + a2 * (AAV - E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.196165018356764; Max AE: 0.875966613232836
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  9.110031299440294e-02,  2.450363304939814e-01,  1.668415565686768e-02,  6.925015568424509e-16, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         13|1|sub; (F - rho); $\left(F - rho\right)$; (F - rho); (newdata$F - newdata$rho); F,rho
# 1;  1; Unitless;                                         33|6|sub; (face-area-avg - SBI); $\left(face-area-avg - SBI\right)$; (face_sub_area_sub_avg - SBI); (newdata$face_sub_area_sub_avg - newdata$SBI); face-area-avg,SBI
# 2;  1; Unitless;                                         2|0|sub; (AAV - E_T); $\left(AAV - E_{T}\right)$; (AAV - E_T); (newdata$AAV - newdata$E_T); AAV,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
s1          , -1.176056511198248e+00, -9.592017002710607e-01, -1.256145671784746e+00, -1.582640011264584e+00, -2.738898778875757e+01
s2          , -1.455476726264239e+00, -1.440390758307053e+00, -1.823539739263520e+00,  1.177567846265869e-02, -7.654874556485392e+01
s3          ,  1.360540424298584e+00,  1.227312951316750e+00,  1.078759929730087e+00,  1.206896115432807e+00,  4.994584117994668e+01
s4          ,  5.214207269978391e-01,  6.984801984127056e-01,  8.849122020851220e-01,  1.952479413756057e+00,  8.357391994299929e+00
s5          ,  9.232192651096478e-02, -3.950106143284199e-02, -1.061112881891489e+00,  8.768228366367881e-01, -9.451290157918711e+00
s6          , -8.371953399684261e-01, -5.963373158722045e-01, -4.582954655608584e-01, -1.711534648812994e+00, -8.103393928814302e+00
s7          , -7.203728580649982e-01, -6.973983950171780e-01, -1.870114449733161e+00, -2.545731535167567e+00,  5.799893772227334e+00
s8          , -2.733255709368181e-01, -4.846205866780218e-01, -1.652579322380752e+00,  1.897828652068606e+00, -4.789616438524128e+01
s9          , -1.521729831673386e+00, -1.325430118683642e+00, -1.323582783851734e+00, -1.652148719594627e+00, -4.795057475933102e+01
s10         ,  3.230218919710685e-01,  4.562116963802687e-01, -6.614791560915749e-01,  1.083522545167470e+00,  1.504243134778243e+01
