# c0 + a0 * (O - NBI) + a1 * (face-area-avg - SBI) + a2 * (face-area-avg - E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.196367591853577; Max AE: 0.81632762883427
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -2.371234055965786e-01,  2.170671630837953e-01,  1.780481251812032e-02,  8.688528849824527e-16, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         12|5|sub; (O - NBI); $\left(O - NBI\right)$; (O - NBI); (newdata$O - newdata$NBI); O,NBI
# 1;  1; Unitless;                                         33|6|sub; (face-area-avg - SBI); $\left(face-area-avg - SBI\right)$; (face_sub_area_sub_avg - SBI); (newdata$face_sub_area_sub_avg - newdata$SBI); face-area-avg,SBI
# 2;  1; Unitless;                                         33|0|sub; (face-area-avg - E_T); $\left(face-area-avg - E_{T}\right)$; (face_sub_area_sub_avg - E_T); (newdata$face_sub_area_sub_avg - newdata$E_T); face-area-avg,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
s1          , -1.176056511198248e+00, -9.819096157559535e-01,  6.771011419179580e-01, -1.582640011264584e+00, -2.683622246157582e+01
s2          , -1.455476726264239e+00, -1.355057972142143e+00,  3.526237973783930e-03,  1.177567846265869e-02, -7.620287662795168e+01
s3          ,  1.360540424298584e+00,  1.245259853239171e+00, -3.893086028757597e-01,  1.206896115432807e+00,  5.004086140624145e+01
s4          ,  5.214207269978391e-01,  4.848449069731147e-01,  3.738125043128819e-01,  1.952479413756057e+00,  8.405897763568900e+00
s5          ,  9.232192651096478e-02,  1.134418401286486e-01, -3.521929928688239e-01,  8.768228366367881e-01, -9.008845629812154e+00
s6          , -8.371953399684261e-01, -6.145113496396124e-01,  4.545815720629116e-01, -1.711534648812994e+00, -7.593533954685309e+00
s7          , -7.203728580649982e-01, -6.462952749982790e-01,  8.346125789566309e-01, -2.545731535167567e+00,  5.852666198163366e+00
s8          , -2.733255709368181e-01, -5.132308312802150e-01,  3.029828671541472e-01,  1.897828652068606e+00, -4.792764779962833e+01
s9          , -1.521729831673386e+00, -1.125318739509561e+00, -3.745022806556939e-01, -1.652148719594627e+00, -4.804851268592360e+01
s10         ,  3.230218919710685e-01,  5.599355955888422e-01, -2.669436894858681e-01,  1.083522545167470e+00,  1.468366114793559e+01
s11         ,  4.593978616455925e-01,  1.659006080046923e-01, -7.214896219785819e-01,  5.400529887577156e-01, -6.875064723171994e+00
s12         ,  2.356762313996669e-01,  3.949537455664843e-01,  1.107811850553975e+00,  1.365653527583807e-01,  3.527125096050094e+01
s13         ,  1.907045033118390e+00,  1.719729332025317e+00,  3.866859357281260e-02,  1.826974602612325e+00,  7.482933983448569e+01
s14         ,  1.054844414236797e+00,  9.664039973269256e-01, -2.773967692930105e-01,  2.451077748303628e+00,  2.070104568601792e+01
s15         , -6.375331890789701e-01, -6.939892449100218e-01, -8.961064749814802e-01, -1.008341907565017e+00, -3.861872435002347e+01
s16         , -1.315170182182296e+00, -1.031749512637470e+00,  4.118975937842673e-02, -2.314523846802884e+00, -2.918173559951152e+01
s17         ,  8.942625882950092e-01,  6.518653578972357e-01, -5.646490520765064e-01, -2.668930294443895e-01,  3.234561239351408e+01
s18         , -4.582075442603601e-01, -7.615100888977354e-01,  8.190703191687289e-01, -5.586640251626935e-01, -2.505062773788859e+01
s19         , -7.693791289946220e-01, -7.506285311704028e-01, -1.176372160922948e+00, -2.464134190905612e+00, -2.778413338732647e+01
s20         ,  3.128393520635399e-01,  2.981110779086494e-01,  4.285282448525507e-01,  2.180030955308510e+00, -4.127422297003930e+00
s21         , -1.098688503016758e+00, -1.471645438467853e+00,  6.959100072016592e-01, -2.162973388135784e+00, -4.701641140737232e+01
s22         ,  1.599324596570011e+00,  1.817094284178196e+00,  2.051701605372631e-01,  3.120966335333810e+00,  6.673957513853665e+01
s23         , -1.314277649873613e+00, -1.108759766881540e+00, -1.672968435191875e+00, -1.502360278660310e+00, -6.623752173020631e+01
s24         ,  1.052755589569482e-01,  1.932652266584604e-01, -5.334876286296116e-01,  1.331965546676531e-01,  2.125842382299683e+00
s25         , -1.088909426848386e+00, -1.376283195417378e+00,  4.884913901274324e-03, -3.770794701663969e+00, -3.126172538851428e+01
s26         ,  1.095156312501731e+00,  1.071217269849073e+00,  4.657268837279624e-01,  2.843635733744078e+00,  3.169884953602299e+01
s27         ,  2.628094430707173e-03,  8.474473518180933e-02, -7.256750212940022e-02,  7.353987162584841e-01, -5.172401059473128e+00
s28         ,  1.859558668493155e+00,  1.659770366632425e+00, -5.908136736038818e-01,  1.953587873767589e+00,  6.153475851350770e+01
s29         , -1.265074927670763e+00, -1.479110417227211e+00, -4.936949341677624e-01, -3.035664087538105e+00, -5.263936639780698e+01
s30         ,  1.657227749413040e+00,  1.523916676382009e+00, -2.518075632023571e-01,  1.603664730830598e+00,  6.268553822994043e+01
s31         ,  2.746080273692961e-01,  3.007072515909083e-01,  6.109609940890991e-01, -3.639010605072972e-02,  2.546949033129222e+01
s32         , -6.897019771020165e-01, -6.843012916041828e-01, -1.346625601165517e+00, -1.036295705162720e+00, -4.373379223106271e+01
s33         , -1.405625106938475e+00, -1.790056171925795e+00,  2.073291006563499e-01, -2.397038544536784e+00, -6.855310785168747e+01
s34         , -1.474210819660272e+00, -1.263494084482228e+00,  2.811799983203311e-01,  2.638739906890110e-01, -7.043590619047600e+01
s35         , -1.171464689733801e+00, -1.079348267741592e+00,  4.357814756176404e-02, -2.913015634264689e+00, -2.452678615903116e+01
s36         , -1.148641161041122e+00, -7.785541622772599e-01,  5.701541119950904e-01,  7.823104427792693e-02, -3.708765075175851e+01
s37         , -1.078435221245579e+00, -8.588430940279550e-01,  3.009091284362093e-01, -6.854324030608913e-03, -4.414551668241109e+01
s38         , -4.378262290801383e-01, -4.788735455719068e-01,  1.831719783347543e-01, -1.201637555330741e+00, -9.806513092514727e+00
s39         , -6.410161109102297e-01, -4.593530669856268e-01,  1.532446785815520e+00, -3.484521853370946e+00,  3.709116321809596e+01
s40         ,  1.431814259493607e-01,  2.843556570903132e-01,  6.286290457753483e-01,  4.583138012864642e-02,  2.378400947416752e+01
s41         ,  3.398432822287206e-01,  4.514805412820947e-01,  5.391824368044018e-01,  5.590096886493278e-01,  2.572285831246153e+01
s42         ,  8.067612274639525e-01,  4.435777259160942e-01,  1.677422926183827e-01,  1.810886174023744e+00,  5.069945277405808e+00
s43         , -1.242741757202650e+00, -1.307201252022291e+00,  7.239603594897858e-01, -3.845777868684480e+00, -1.689100707751318e+01
s44         ,  1.711958335245295e-01,  4.369892359363495e-01, -1.042775957843105e-01,  1.826622371219463e+00,  8.853135147872753e-01
s45         ,  4.644113787063103e-01,  4.850470622653399e-01, -2.764256140352523e-01,  1.140835756740121e+00,  9.652564318559053e+00
s46         ,  5.605068277705415e-02, -1.654217110074585e-01,  4.008753732898298e-01,  1.010440340082480e+00, -1.627078044576278e+01
s47         ,  9.066999267258494e-01,  6.192330662153828e-01, -1.153526498970985e+00, -2.967216689792274e-01,  2.303385474162747e+01
s48         ,  1.579727584566370e+00,  1.770757255516921e+00, -5.779387051813067e-02,  3.617324791996822e+00,  5.458358770004183e+01
s49         , -6.435089824614265e-01, -5.938500481612801e-01, -9.335049720036894e-01,  6.809973884333760e-01, -5.408807851578037e+01
s50         , -2.217827055817793e-02, -1.382325461134692e-01,  2.532695283949011e-01,  1.601587546906516e+00, -2.391648200791724e+01
