# c0 + a0 * (F - rho) + a1 * (face-area-avg - SBI) + a2 * (cub_root_V - E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.196390913928095; Max AE: 0.874257991160855
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  9.081100946183095e-02,  2.451761092287207e-01,  1.668319550404335e-02,  7.054053125600117e-16, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         13|1|sub; (F - rho); $\left(F - rho\right)$; (F - rho); (newdata$F - newdata$rho); F,rho
# 1;  1; Unitless;                                         33|6|sub; (face-area-avg - SBI); $\left(face-area-avg - SBI\right)$; (face_sub_area_sub_avg - SBI); (newdata$face_sub_area_sub_avg - newdata$SBI); face-area-avg,SBI
# 2;  1; Unitless;                                         22|0|sub; (cub_root_V - E_T); $\left(cub_{root, V} - E_{T}\right)$; (cub_root_V - E_T); (newdata$cub_root_V - newdata$E_T); cub_root_V,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
s1          , -1.176056511198248e+00, -9.588218765221175e-01, -1.256145671784746e+00, -1.582640011264584e+00, -2.737632006134521e+01
s2          , -1.455476726264239e+00, -1.440321976436165e+00, -1.823539739263520e+00,  1.177567846265869e-02, -7.658074897217631e+01
s3          ,  1.360540424298584e+00,  1.229580192366609e+00,  1.078759929730087e+00,  1.206896115432807e+00,  5.009321026977285e+01
s4          ,  5.214207269978391e-01,  6.958051728028066e-01,  8.849122020851220e-01,  1.952479413756057e+00,  8.196517052104278e+00
s5          ,  9.232192651096478e-02, -4.110277395902207e-02, -1.061112881891489e+00,  8.768228366367881e-01, -9.573588796720180e+00
s6          , -8.371953399684261e-01, -5.987325139787408e-01, -4.582954655608584e-01, -1.711534648812994e+00, -8.241037161012954e+00
s7          , -7.203728580649982e-01, -6.949589238110616e-01, -1.870114449733161e+00, -2.545731535167567e+00,  5.935350340263407e+00
s8          , -2.733255709368181e-01, -4.896211161685416e-01, -1.652579322380752e+00,  1.897828652068606e+00, -4.824321362111364e+01
s9          , -1.521729831673386e+00, -1.328571942757270e+00, -1.323582783851734e+00, -1.652148719594627e+00, -4.815076697490481e+01
s10         ,  3.230218919710685e-01,  4.599358750342442e-01, -6.614791560915749e-01,  1.083522545167470e+00,  1.524597748611611e+01
s11         ,  4.593978616455925e-01,  3.356683351254758e-01,  3.499227168654873e+00,  5.400529887577156e-01, -6.863679498903253e+00
s12         ,  2.356762313996669e-01,  6.434523907460762e-01,  2.913399983255144e-01,  1.365653527583807e-01,  3.497609012705984e+01
s13         ,  1.907045033118390e+00,  1.725890836530099e+00,  3.765566070092905e-01,  1.826974602612325e+00,  7.455195414442304e+01
s14         ,  1.054844414236797e+00,  8.172003083976809e-01, -1.352087857951247e+00,  2.451077748303628e+00,  2.032218982454356e+01
s15         , -6.375331890789701e-01, -7.921247477554793e-01,  9.817921836394851e-01, -1.008341907565017e+00, -3.800596481715917e+01
s16         , -1.315170182182296e+00, -1.136135135687193e+00, -8.468794891262231e-01, -2.314523846802884e+00, -2.947655937926971e+01
s17         ,  8.942625882950092e-01,  7.554144278502010e-01,  3.028351278044245e+00, -2.668930294443895e-01,  3.271810761272488e+01
s18         , -4.582075442603601e-01, -5.438718462149904e-01,  1.025512027387215e-01, -5.586640251626935e-01, -2.494807138721716e+01
s19         , -7.693791289946220e-01, -7.880442399770322e-01,  3.103395506938696e+00, -2.464134190905612e+00, -2.791550845669072e+01
s20         ,  3.128393520635399e-01,  4.691465112954361e-01,  1.141735400398520e-01,  2.180030955308510e+00, -4.538291883696743e+00
s21         , -1.098688503016758e+00, -1.323432185829018e+00, -9.669213575414620e-02, -2.162973388135784e+00, -4.701389943645239e+01
s22         ,  1.599324596570011e+00,  1.810774500414292e+00, -5.988832349967221e-01,  3.120966335333810e+00,  6.593301074344889e+01
s23         , -1.314277649873613e+00, -1.166416124962585e+00,  3.419153238774978e+00, -1.502360278660310e+00, -6.644830326600467e+01
s24         ,  1.052755589569482e-01, -6.605017816406385e-02, -1.472574176287538e+00,  1.331965546676531e-01,  2.099067666470606e+00
s25         , -1.088909426848386e+00, -1.512942069216042e+00, -7.577891451983021e-01, -3.770794701663969e+00, -3.114617329762664e+01
s26         ,  1.095156312501731e+00,  1.121473550204316e+00, -1.174746499369942e+00,  2.843635733744078e+00,  3.182615226693447e+01
s27         ,  2.628094430707173e-03,  1.112474974744210e-01,  1.362098531921583e-01,  7.353987162584841e-01, -4.880602925076579e+00
s28         ,  1.859558668493155e+00,  1.615349891620899e+00,  1.181655769564351e+00,  1.953587873767589e+00,  6.168299497384718e+01
s29         , -1.265074927670763e+00, -1.631866056879586e+00, -1.228602523448695e-01, -3.035664087538105e+00, -5.253410134893241e+01
s30         ,  1.657227749413040e+00,  1.518137362455551e+00,  8.291219136804454e-01,  1.603664730830598e+00,  6.291742400552319e+01
s31         ,  2.746080273692961e-01,  3.976773005270915e-01, -2.884089062540180e-01, -3.639010605072972e-02,  2.594167220259739e+01
s32         , -6.897019771020165e-01, -7.398734108290851e-01,  2.635327355980415e+00, -1.036295705162720e+00, -4.346380758470860e+01
s33         , -1.405625106938475e+00, -1.725322625798407e+00,  2.243673354889802e-02, -2.397038544536784e+00, -6.831206551071075e+01
s34         , -1.474210819660272e+00, -1.108523823688612e+00, -3.230843616550610e-02,  2.638739906890110e-01, -7.014756016414516e+01
s35         , -1.171464689733801e+00, -1.220445442144284e+00, -1.058063531773434e+00, -2.913015634264689e+00, -2.458520523351367e+01
s36         , -1.148641161041122e+00, -6.223273346253441e-01, -1.624542490800411e-01,  7.823104427792693e-02, -3.756804763092799e+01
s37         , -1.078435221245579e+00, -6.844968194211167e-01,  6.449708561261510e-01, -6.854324030608913e-03, -4.443913381357270e+01
s38         , -4.378262290801383e-01, -4.490665158927595e-01,  1.029868622988571e-01, -1.201637555330741e+00, -9.818624750913171e+00
s39         , -6.410161109102297e-01, -3.219077448960207e-01, -9.432082649360645e-01, -3.484521853370946e+00,  3.704730668400479e+01
s40         ,  1.431814259493607e-01,  4.461230263731449e-01,  3.253884506040942e-01,  4.583138012864642e-02,  2.429614956845668e+01
s41         ,  3.398432822287206e-01,  5.607693785018616e-01, -3.753202058072613e-02,  5.590096886493278e-01,  2.560192252079169e+01
s42         ,  8.067612274639525e-01,  5.875373503071063e-01,  6.341378282954239e-01,  1.810886174023744e+00,  5.152767499344163e+00
s43         , -1.242741757202650e+00, -1.182903324802504e+00,  4.475224233013738e-01, -3.845777868684480e+00, -1.682234275497797e+01
s44         ,  1.711958335245295e-01,  3.606301396183076e-01, -1.217464355402401e+00,  1.826622371219463e+00,  1.399320693976800e+00
s45         ,  4.644113787063103e-01,  4.268571113363758e-01, -2.498177607848286e-01,  1.140835756740121e+00,  1.018016256100526e+01
s46         ,  5.605068277705415e-02, -1.796146391593730e-01, -1.678470450204028e+00,  1.010440340082480e+00, -1.647926947490535e+01
s47         ,  9.066999267258494e-01,  5.637510967881996e-01,  2.770890724016496e+00, -2.967216689792274e-01,  2.306948793249701e+01
s48         ,  1.579727584566370e+00,  1.555746388485267e+00, -2.489593388961405e+00,  3.617324791996822e+00,  5.364363552240818e+01
s49         , -6.435089824614265e-01, -7.013907876788463e-01,  4.559421366406112e-01,  6.809973884333760e-01, -5.453149807145098e+01
s50         , -2.217827055817793e-02, -8.379084311933777e-02, -9.179230318679295e-01,  1.601587546906516e+00, -2.356289172728241e+01
s51         , -9.869737286665018e-01, -1.114852185508723e+00, -4.437385976953884e-02, -1.917010450203905e+00, -3.841094991797187e+01
s52         , -6.291725742859308e-02,  4.053184378768994e-01,  3.157210403107653e+00,  8.840456935637617e-01, -5.882440772050278e+00
s53         ,  7.061953554227811e-01,  8.542426735462310e-01,  7.123374835164338e-01, -1.692095421477176e+00,  7.219336122868100e+01
s54         , -1.923256326608463e+00, -2.074432973660570e+00,  1.660787132786093e+00, -2.470033674840475e+00, -9.708316870327677e+01
s55         ,  1.449677165676465e-01,  2.880578840664815e-01,  4.294860493597926e-01,  1.518647962040196e+00, -7.389494189942113e+00
s56         , -1.428251212735210e+00, -1.761452444616201e+00, -1.017090328654944e+00, -3.399121642984703e+00, -5.009268312731287e+01
s57         , -7.632144013758455e-01, -6.112598311735020e-01,  2.654124182045104e+00, -2.457448947389274e+00, -1.497169746481853e+01
s58         , -2.465293161402924e+00, -2.687778721205120e+00, -7.813495988004395e-01, -3.582257645729811e+00, -1.042090277692442e+02
s59         , -8.768884797438996e-03,  2.670080417208793e-01,  5.213784014667737e-01,  9.460027830447706e-01, -7.358385802886550e-01
s60         ,  1.714446572989188e+00,  1.499838386489202e+00, -1.090022195156783e-01,  2.530844153601158e+00,  5.330120750651741e+01
s61         ,  1.653657662090557e+00,  1.375693471222323e+00,  9.591042827958282e-01,  2.064192439226812e+00,  4.690381839521376e+01
s62         ,  2.913807026429409e-01,  3.066507340785303e-01, -3.527204981288476e-01,  1.463393171059105e+00, -1.205249040915924e+00
s63         , -1.790911115854549e+00, -1.495019041143541e+00, -1.513309286798058e+00, -1.166153604943881e+00, -6.423714769143150e+01
s64         , -5.454632126173593e-01, -6.963443422841762e-01,  1.030990987042601e+00, -3.333293924534856e+00,  1.634840325584731e+00
s65         , -1.096531543219279e+00, -8.429901322063695e-01, -5.019936618287796e-01, -1.485544298171096e+00, -2.596526605558097e+01
s66         , -9.925198589409868e-01, -9.301681521222467e-01, -1.880271353968749e+00, -1.617224117795251e-01, -4.314331391348551e+01
s67         , -4.301391331597769e-01, -1.620349551995656e-01,  1.963574824739831e+00, -2.036322897428025e+00,  9.525067179019574e+00
s68         , -1.496017763262518e+00, -1.479344674117742e+00, -1.478075405509181e+00, -1.138560997290165e+00, -6.389490543278860e+01
s69         , -5.130334975012112e-01, -4.648744368283937e-01,  2.934942726381101e+00, -2.094461471899010e+00, -1.306030573466903e+01
s70         , -1.298331351434060e+00, -1.057159354568651e+00, -3.759634795214147e+00, -1.707546643705505e+00, -1.780794818985073e+01
s71         ,  8.978734253548585e-01,  6.592277803203392e-01,  7.802735644033981e-01,  2.258301539518788e+00,  2.079263852517429e+00
s72         , -8.703072211857277e-01, -6.690464005908899e-01,  1.211467604078480e+00, -2.228745715841153e+00, -1.394371920661542e+01
s73         ,  1.052659824554331e+00,  8.502027210751437e-01,  3.748170235484801e+00, -5.616331623823717e-01,  3.881310578454689e+01
s74         , -1.304189005820537e+00, -1.873391658448285e+00, -4.407424438261027e-01, -3.321348869452999e+00, -6.108254253575633e+01
s75         , -7.491961797362119e-01, -6.297016617007526e-01, -1.904103037978867e-01, -1.854893540942606e+00, -9.448713129384352e+00
s76         ,  1.130323653742102e+00,  9.278640905513331e-01,  7.982153224043359e-01,  1.917590755069982e+00,  2.309089471747222e+01
s77         ,  1.083046725976420e+00,  1.203803543042081e+00, -2.405627285473243e-01,  1.783781888992347e+00,  4.725165414584389e+01
s78         ,  1.592651226510811e+00,  1.507171081060873e+00,  1.403350320794079e-01,  2.257225376474225e+00,  5.640462460866889e+01
s79         , -5.815008980639539e-01, -3.020940594717120e-01,  2.746870458341534e+00, -1.016102283136788e+00, -1.812699097264658e+01
s80         , -2.983814549448998e-01, -2.486580121787240e-01,  1.117231670690134e+00,  2.593273229644152e-01, -2.479715663331256e+01
s81         ,  1.752594407670262e+00,  1.517214882960885e+00,  1.307417735027609e+00,  1.205502616587168e+00,  6.611002773344808e+01
s82         ,  2.898444462079387e-01,  4.803346930098492e-01, -6.348146674580424e-01,  1.684843953781755e+00,  7.486537486590854e+00
s83         ,  1.476200951700887e+00,  1.377307461003570e+00, -7.722650649708871e-01,  2.334756422376032e+00,  5.244865321386960e+01
s84         , -3.835514085014881e-01, -5.885618900570317e-01,  2.623311103069381e-01,  1.206694188308534e+00, -5.444023172272499e+01
s85         ,  4.460752375789071e-01,  5.632513094691397e-01,  4.983329066612735e-01,  2.521543591746297e-01,  2.734338096973834e+01
s86         , -5.546686089820558e-01, -1.936964088485931e-01, -1.154573148404315e-01, -1.485381581772774e+00,  1.084735015884756e+01
s87         ,  8.762923637719959e-02,  2.530129773922547e-01,  4.493071501064066e-01,  9.232113533745886e-01, -8.474651082320395e-01
s88         ,  4.367974440523036e-01,  3.934506453114553e-01, -5.246302563499738e-01,  1.543128460406153e+00,  3.761546551865265e+00
s89         , -5.727247528300363e-01, -4.556746921080440e-01, -1.052771932248628e+00, -6.745489205487532e-01, -1.166971461406797e+01
s90         ,  4.181427428933503e-02,  2.166592365124428e-02,  3.082997192293208e-01,  7.798268038672942e-01, -1.183981729791210e+01
s91         , -8.667270491804479e-01, -1.077632838858549e+00, -7.993637903298839e-01, -2.712270983627068e+00, -2.038325086518352e+01
s92         ,  8.549438204377635e-01,  8.761598079261410e-01, -4.541056502513999e-01,  1.320036326052343e+00,  3.559007804121215e+01
s93         , -1.173621714519396e+00, -9.637133639744385e-01, -1.467294175413810e-01, -1.519876460285480e+00, -3.463073487741731e+01
s94         , -2.684963611581566e-01, -2.753404642071136e-01, -8.835813127993308e-01, -1.918821560434881e-01, -8.874596762062367e+00
s95         ,  9.260657816336888e-01,  1.132873061652017e+00,  4.169022464154806e-01,  2.352137275799636e+00,  3.106874111917605e+01
s96         , -2.278868324329024e-01, -4.344770842565870e-02,  6.044680254246929e-01,  9.838799445234164e-01, -2.035364967496780e+01
s97         , -1.648661305544417e+00, -1.408342623582068e+00,  3.118593986470133e+00, -1.449935324745176e+00, -8.008392575132898e+01
s98         ,  5.404249878717727e-01,  6.921300371272207e-01, -2.842205277652692e-01,  4.167666326044359e-01,  3.690894640513031e+01
s99         ,  1.310930209873364e+00,  1.111973552240870e+00, -2.959575996549482e-01,  2.109549036914924e+00,  3.726137090312098e+01
s100        ,  7.521780108780159e-02,  3.524592027317879e-01,  4.280197852009769e-01, -6.010614421662879e-04,  1.880560950075844e+01
s101        , -1.544763391692015e-01,  1.577747987648403e-01,  4.243720947590714e+00, -1.396697631380694e+00,  6.883280043254656e+00
s102        ,  1.059402820517896e+00,  1.017571303111104e+00, -9.387264863126707e-01,  3.016338878430715e+00,  2.177543100329326e+01
s103        , -3.987127671222759e-01, -2.479364133942802e-01, -9.728304965674571e-01, -3.113791601795747e-01, -4.990048996178495e+00
s104        ,  1.672104507359812e+00,  1.715406811771345e+00, -5.964428505033186e-01,  2.447453980661562e+00,  7.010126713035596e+01
s105        , -3.729535248655157e-01, -5.653168692299519e-01,  4.053772279058184e-01, -1.026748512940765e+00, -2.100289353228554e+01
s106        , -9.091422672215730e-01, -9.147970155906073e-01,  1.398849608336573e+00, -2.734585060817738e+00, -2.226030588400497e+01
s107        ,  4.095288752140306e-01,  3.959811410307068e-01, -1.650082491083316e+00,  2.514961915451651e+00, -4.242699159787289e+00
s108        , -8.642846593415402e-01, -8.780862110622112e-01,  1.658569302473971e+00, -2.932453726378483e+00, -1.856568596109003e+01
s109        ,  1.308766037007560e+00,  9.333936379111185e-01,  1.424305789725171e+00,  1.473190534639847e+00,  2.654526633227647e+01
s110        , -1.060518384725506e+00, -4.213814488216918e-01,  9.359097312378980e-01,  7.744198474962202e-01, -4.173310809853171e+01
s111        , -9.347636068172456e-01, -9.847100992764313e-01, -2.586123173704657e+00, -1.947580534436949e+00, -1.632549503905440e+01
s112        , -1.677387906237608e+00, -1.597033627190180e+00, -7.205892434535077e-01, -3.927668619869843e+00, -3.408373892684953e+01
s113        , -2.426092490978830e-01, -5.665216494440850e-03,  2.594210934212217e-01, -4.734895799050450e-01,  5.206725838385884e+00
s114        , -1.644000182446823e+00, -1.574814167560015e+00, -5.923659260332406e-01, -2.484997017340923e+00, -5.465133579886101e+01
s115        , -2.329704376178373e+00, -2.299622483257904e+00, -2.025463132136434e-01, -1.694979396732065e+00, -1.118287317274695e+02
s116        , -5.268968759749211e-01, -6.426000048905407e-01, -1.100552819603777e+00, -3.194829395837324e+00,  1.442398421131972e+01
s117        ,  1.742591906297736e+00,  1.542582359455394e+00,  8.751841454886355e-02,  2.137216458412136e+00,  6.057834110891399e+01
s118        ,  1.515143207668377e+00,  1.437655310073481e+00,  1.272710159967209e+00,  1.680367835389924e+00,  5.455148970231574e+01
s119        , -4.303518965464308e-02, -2.766326939749184e-02,  6.917167410447836e-01, -6.149108236852346e-02, -4.519674936840802e+00
s120        , -2.251286346153320e-01, -6.287189288321747e-02,  2.915212474796703e-01, -7.771583311572949e-01,  6.065709906527567e+00
s121        , -3.744651294305373e-01, -4.657033591944194e-01, -3.548111136742649e-02, -1.014975883020894e+00, -1.280530733111005e+01
s122        ,  1.754705398768575e+00,  1.520011362674663e+00,  2.196200373048236e+00,  1.262172222997376e+00,  6.060695714808266e+01
s123        ,  1.494372078098040e+00,  1.379003288588144e+00,  1.245203072321899e+00,  1.829492899258999e+00,  4.899404250856047e+01
s124        ,  4.706190523857749e-01,  1.405440661416971e-01, -2.273577052593942e+00, -1.921881293163646e-03,  2.082820959993235e+01
s125        , -2.939771406988250e-01, -2.520814698307107e-01, -1.648179285993748e+00,  2.095945127362397e+00, -3.694042405903498e+01
s126        ,  1.907608110252774e-01,  4.116937087496488e-01,  4.171580640462472e-01,  1.017341336253534e+00,  7.455608443725929e+00
s127        ,  1.175241554433439e+00,  1.173844101169869e+00, -1.041331683306713e+00,  2.206240612255990e+00,  4.360621398963460e+01
s128        , -9.405598864666275e-01, -1.057611544136437e+00, -7.907003015542561e-01, -2.718039794595679e+00, -1.914554258656921e+01
s129        ,  8.848224007924820e-01,  1.093437175008806e+00,  9.089484016392814e-01,  1.635416015778630e+00,  3.655952585585062e+01
s130        , -8.567501741532092e-01, -7.389825176066128e-01, -1.154319639346143e+00, -4.381374062928618e+00,  2.637688084407126e+01
s131        ,  4.181459542201291e-01,  4.555649296096677e-01, -1.627243967011486e-01,  1.333147546329074e+00,  8.600640558735426e+00
s132        ,  1.352109327204641e+00,  1.283416112683274e+00,  1.126544708398876e+00,  1.489464575113467e+00,  4.890743628530925e+01
s133        ,  3.377243561871698e-01,  2.847158431853047e-01,  2.800309819683573e+00, -7.358154778981887e-01,  1.263674321770165e+01
