# c0 + a0 * (F - rho) + a1 * (face-area-avg - SBI) + a2 * (O + E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.196489058602312; Max AE: 0.878020584064564
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  8.756858179190859e-02,  2.453895080775226e-01, -1.676166248751886e-02,  6.856195537930842e-16, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         13|1|sub; (F - rho); $\left(F - rho\right)$; (F - rho); (newdata$F - newdata$rho); F,rho
# 1;  1; Unitless;                                         33|6|sub; (face-area-avg - SBI); $\left(face-area-avg - SBI\right)$; (face_sub_area_sub_avg - SBI); (newdata$face_sub_area_sub_avg - newdata$SBI); face-area-avg,SBI
# 2;  1; Unitless;                                         12|0|add; (O + E_T); $\left(O + E_{T}\right)$; (O + E_T); (newdata$O + newdata$E_T); O,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
s1          , -1.176056511198248e+00, -9.723208487336794e-01, -1.256145671784746e+00, -1.582640011264584e+00,  2.827635386742488e+01
s2          , -1.455476726264239e+00, -1.454491205036573e+00, -1.823539739263520e+00,  1.177567846265869e-02,  7.742048529730313e+01
s3          ,  1.360540424298584e+00,  1.230121698571337e+00,  1.078759929730087e+00,  1.206896115432807e+00, -5.008432653916717e+01
s4          ,  5.214207269978391e-01,  6.964616603207803e-01,  8.849122020851220e-01,  1.952479413756057e+00, -8.343634827683717e+00
s5          ,  9.232192651096478e-02, -5.395545355476965e-02, -1.061112881891489e+00,  8.768228366367881e-01,  1.051198996824144e+01
s6          , -8.371953399684261e-01, -6.086890096508729e-01, -4.582954655608584e-01, -1.711534648812994e+00,  8.863326073461693e+00
s7          , -7.203728580649982e-01, -6.974038228786454e-01, -1.870114449733161e+00, -2.545731535167567e+00, -5.432352336950460e+00
s8          , -2.733255709368181e-01, -4.797652488933785e-01, -1.652579322380752e+00,  1.897828652068606e+00,  4.777321230973781e+01
s9          , -1.521729831673386e+00, -1.326366329106093e+00, -1.323582783851734e+00, -1.652148719594627e+00,  4.802877404715853e+01
s10         ,  3.230218919710685e-01,  4.681555761813537e-01, -6.614791560915749e-01,  1.083522545167470e+00, -1.552323963147437e+01
s11         ,  4.593978616455925e-01,  3.211389040126520e-01,  3.499227168654873e+00,  5.400529887577156e-01,  7.028347805532126e+00
s12         ,  2.356762313996669e-01,  6.556295997564704e-01,  2.913399983255144e-01,  1.365653527583807e-01, -3.559346604158639e+01
s13         ,  1.907045033118390e+00,  1.738374765947807e+00,  3.765566070092905e-01,  1.826974602612325e+00, -7.499732439061555e+01
s14         ,  1.054844414236797e+00,  8.207268563153427e-01, -1.352087857951247e+00,  2.451077748303628e+00, -2.014469088788968e+01
s15         , -6.375331890789701e-01, -7.876554527479585e-01,  9.817921836394851e-01, -1.008341907565017e+00,  3.735864969710482e+01
s16         , -1.315170182182296e+00, -1.137621261939827e+00, -8.468794891262231e-01, -2.314523846802884e+00,  2.956158783752480e+01
s17         ,  8.942625882950092e-01,  7.487352024035967e-01,  3.028351278044245e+00, -2.668930294443895e-01, -3.275567238220280e+01
s18         , -4.582075442603601e-01, -5.575722548617374e-01,  1.025512027387215e-01, -5.586640251626935e-01,  2.562169643083604e+01
s19         , -7.693791289946220e-01, -7.816202333595090e-01,  3.103395506938696e+00, -2.464134190905612e+00,  2.676986844427267e+01
s20         ,  3.128393520635399e-01,  4.721142659531973e-01,  1.141735400398520e-01,  2.180030955308510e+00,  4.345659196838058e+00
s21         , -1.098688503016758e+00, -1.322394581166670e+00, -9.669213575414620e-02, -2.162973388135784e+00,  4.672307492481693e+01
s22         ,  1.599324596570011e+00,  1.815238163756755e+00, -5.988832349967221e-01,  3.120966335333810e+00, -6.573507409367919e+01
s23         , -1.314277649873613e+00, -1.169803036793162e+00,  3.419153238774978e+00, -1.502360278660310e+00,  6.565876075393662e+01
s24         ,  1.052755589569482e-01, -7.385148856115460e-02, -1.472574176287538e+00,  1.331965546676531e-01, -1.337260348065514e+00
